"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"2","rule2719","rawearn < 3590 & rawben_rel_max < 0.4406",2,"SKIP",-1.378,0.592,24.4,1908,82,1826,0.043,0.157,0.12,0.64,0.067
"2","rule824","unc_rawben_rel_max < 1.649 & shelter_expenses < 2640 & rawearn < 1058 & unc_rawben_rel_max < 1.335",4,"SKIP",-3.926,1.776,71.3,5570,208,5362,0.037,0.399,0.388,0.56,0.067
"2","rule229","shelter_expenses < 2690 & rawearn < 1017 & unc_rawben_rel_max < 1.401",3,"SKIP",-0.279,0.124,73.1,5714,209,5505,0.037,0.401,0.396,0.55,0.067
"2","rule1877","unc_rawben_rel_max < 1.397 & shelter_expenses < 2554 & rawearn < 1006",3,"SKIP",-0.078,0.035,72.8,5690,206,5484,0.036,0.395,0.39,0.54,0.067
"2","rule3954","rawearn < 453 & rawgross >= 0.5",2,"SKIP",-2.402,1.2,52.3,4084,118,3966,0.029,0.226,0.213,0.43,0.067
"2","rule1104","unc_rawben_rel_max < 1.662 & shelter_expenses < 2692 & rawunearn >= 841.5",3,"SKIP",-0.038,0.018,34.1,2664,69,2595,0.026,0.132,0.103,0.39,0.067
"2","rule4502","rawearn < 3431 & rawearn >= 0.5 & unc_rawben_rel_max >= 0.9874",3,"SKIP",-7.896,2.099,7.7,598,0,598,0,0,0,0,0.067
"3","rule1078","unc_rawben_rel_max >= 1.193 & utilities < 346 & months_since_cert_n >= 2.5 & rawgross < 2.5",4,"INCLUDE",12.763,1.301,1.1,72,22,50,0.306,0.048,0.088,4.58,0.067
"3","rule811","unc_rawben_rel_max >= 1.194 & utilities < 346 & months_since_cert_n >= 2.5 & rawgross < 252",4,"INCLUDE",9.561,1.076,1.3,88,24,64,0.273,0.053,0.094,4.09,0.067
"3","rule315","unc_rawben_rel_max >= 1.194 & utilities < 358.5 & shelter_expenses < 1106",3,"INCLUDE",3.093,0.453,2.2,150,28,122,0.187,0.061,0.109,2.8,0.067
"3","rule1876","shelter_expenses >= 1561 & rawben_rel_max >= 0.6416",2,"INCLUDE",3.963,1.037,7.4,507,80,427,0.158,0.175,0.189,2.37,0.067
"3","rule3032","shelter_expenses < 2590 & cat_elig >= 1.5 & rawgross < 48 & months_since_cert_n >= 3.5",4,"INCLUDE",11.234,1.963,3.2,216,31,185,0.144,0.068,0.119,2.15,0.067
"3","rule2621","shelter_expenses >= 1390 & rawben_rel_max >= 0.753",2,"INCLUDE",0.675,0.194,9.1,625,87,538,0.139,0.19,0.211,2.09,0.067
"3","rule4195","rawearn >= 918 & rawben_rel_max >= 0.6366",2,"INCLUDE",6.862,2.306,13,889,119,770,0.134,0.26,0.223,2.01,0.067
"3","rule1316","unc_rawben_rel_max >= 1.194 & rawearn < 0.5",2,"INCLUDE",3.225,1.072,12.7,868,110,758,0.127,0.241,0.323,1.9,0.067
"3","rule4308","rawben_rel_max >= 0.769 & rawgross >= 1040",2,"INCLUDE",2.811,0.816,9.3,636,81,555,0.127,0.177,0.174,1.91,0.067
"3","rule4399","total_deductions >= 534.7 & utilities < 327",2,"INCLUDE",0.703,0.167,6,412,51,361,0.124,0.112,0.129,1.86,0.067
"3","rule3867","unc_rawben_rel_max >= 1.156 & rawearn < 0.5",2,"INCLUDE",7.89,2.74,14,961,118,843,0.123,0.258,0.341,1.84,0.067
"3","rule3735","utilities >= 669.5 & rawben_rel_max >= 0.799",2,"INCLUDE",2.847,0.823,9.2,631,75,556,0.119,0.164,0.197,1.78,0.067
"3","rule3236","utilities >= 669.5 & unc_rawben_rel_max >= 0.7968",2,"INCLUDE",0.199,0.058,9.2,632,75,557,0.119,0.164,0.197,1.78,0.067
"3","rule4260","utilities >= 669.5 & rawben_rel_max >= 0.5857",2,"INCLUDE",1.096,0.358,12.2,833,97,736,0.116,0.212,0.233,1.75,0.067
"3","rule4180","rawunearn < 965.5 & shelter_expenses >= 824",2,"INCLUDE",2.393,1.159,37.5,2569,264,2305,0.103,0.578,0.528,1.54,0.067
