"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"4","rule1427","unc_rawben_rel_max >= 0.5543 & shelter_expenses >= 1304 & shelter_expenses < 1339 & rawben_rel_max >= 0.8811",4,"INCLUDE",11.063,0.695,0.4,21,8,13,0.381,0.023,0.03,5.71,0.067
"4","rule151","unc_rawben_rel_max < 1.421 & unc_rawben_rel_max >= 1.207 & rawunearn >= 77.5 & cat_elig >= 1.5",4,"INCLUDE",39.837,2.187,0.3,16,6,10,0.375,0.017,0.033,5.62,0.067
"4","rule2977","married >= 0.5 & cat_elig >= 1.5 & total_deductions >= 1232 & rawgross < 3046",4,"INCLUDE",0.194,0.012,0.4,19,7,12,0.368,0.02,0.028,5.53,0.067
"4","rule2039","shelter_expenses >= 1822 & rawgross < 2004 & months_since_cert_n >= 3.5 & rawearn >= 178.5",4,"INCLUDE",6.324,0.554,0.8,41,15,26,0.366,0.042,0.058,5.49,0.067
"4","rule3114","shelter_expenses >= 1192 & rawben_rel_max >= 0.6716 & rawearn >= 2175 & shelter_expenses < 1564",4,"INCLUDE",21.971,1.445,0.4,23,8,15,0.348,0.023,0.033,5.22,0.067
"4","rule2604","total_deductions < 614.5 & shelter_expenses < 346 & utilities >= 334 & months_since_cert_n >= 2.5",4,"INCLUDE",30.701,2.062,0.5,24,8,16,0.333,0.023,0.036,5,0.067
"4","rule4762","shelter_expenses >= 1816 & rawgross < 2006 & unc_rawben_rel_max < 0.9671 & rawunearn < 940.5",4,"INCLUDE",27.394,2.827,1.1,57,19,38,0.333,0.054,0.07,5,0.067
"4","rule5245","unc_rawben_rel_max < 1.241 & rawgross >= 1117 & rawgross < 1192 & utilities >= 513.5",4,"INCLUDE",18.307,1.23,0.5,24,8,16,0.333,0.023,0.043,5,0.067
"4","rule5032","unc_rawben_rel_max >= 1.271 & shelter_expenses >= 1276 & shelter_expenses < 2143 & utilities >= 493.5",4,"INCLUDE",6.426,0.482,0.6,30,10,20,0.333,0.028,0.042,5,0.067
"4","rule3709","shelter_expenses >= 1132 & rawben_rel_max >= 0.6721 & rawearn >= 2182 & shelter_expenses < 1564",4,"INCLUDE",3.581,0.241,0.5,24,8,16,0.333,0.023,0.033,5,0.067
"4","rule4696","total_deductions < 570.9 & rawearn >= 151.5 & rawearn < 369.5 & rawben_rel_max < 0.9947",4,"INCLUDE",1.337,0.095,0.5,27,9,18,0.333,0.025,0.04,5,0.067
"4","rule4277","rawben_rel_max >= 0.5547 & rawgross >= 1062 & rawgross < 1142 & rawearn >= 201.5",4,"INCLUDE",16.237,1.661,1.1,56,18,38,0.321,0.051,0.08,4.82,0.067
"4","rule3870","shelter_expenses >= 1763 & rawgross < 2008 & rawgross >= 1640",3,"INCLUDE",19.043,1.842,0.9,50,16,34,0.32,0.045,0.053,4.8,0.067
"4","rule877","unc_rawben_rel_max < 1.187 & shelter_expenses >= 1440 & shelter_expenses < 1452",3,"INCLUDE",4.216,0.231,0.3,16,5,11,0.312,0.014,0.025,4.69,0.067
"4","rule3220","shelter_expenses >= 1134 & rawgross < 206 & total_deductions >= 664.3 & utilities >= 513",4,"INCLUDE",5.855,0.432,0.5,29,9,20,0.31,0.025,0.041,4.66,0.067
"4","rule4807","unc_rawben_rel_max >= 0.6619 & rawgross >= 1060 & rawgross < 1136 & rawearn >= 201.5",4,"INCLUDE",16.455,1.669,1,55,17,38,0.309,0.048,0.08,4.64,0.067
"4","rule1574","rawben_rel_max >= 0.6009 & rawearn >= 1000 & months_since_cert_n >= 9.5 & shelter_expenses < 1135",4,"INCLUDE",12.295,1.051,0.7,39,12,27,0.308,0.034,0.048,4.62,0.067
"4","rule5584","rawben_rel_max >= 0.7705 & rawgross >= 1062 & rawgross < 1142 & rawearn >= 199",4,"INCLUDE",2.889,0.285,1,52,16,36,0.308,0.045,0.076,4.62,0.067
"4","rule3920","months_since_cert_n >= 10.5 & rawunearn < 45 & total_deductions < 469.2 & total_deductions >= 65.8",4,"INCLUDE",2.742,0.18,0.4,23,7,16,0.304,0.02,0.036,4.57,0.067
"4","rule1599","shelter_expenses >= 1194 & rawgross < 1800 & rawgross >= 1102 & rawgross < 1252",4,"INCLUDE",2.431,0.218,0.8,43,13,30,0.302,0.037,0.053,4.53,0.067
"4","rule3792","shelter_expenses >= 1916 & rawgross < 2008 & total_deductions >= 659.7 & rawgross < 1290",4,"INCLUDE",16.858,1.74,1.1,57,17,40,0.298,0.048,0.059,4.47,0.067
"4","rule4940","months_since_cert_n >= 5.5 & total_deductions >= 852.8 & rawben_rel_max >= 0.9011 & utilities < 756.5",4,"INCLUDE",43.554,3.954,0.8,44,13,31,0.295,0.037,0.058,4.43,0.067
"4","rule4856","shelter_expenses >= 1134 & rawgross < 210 & shelter_expenses < 1341 & utilities >= 514",4,"INCLUDE",18.741,1.06,0.3,17,5,12,0.294,0.014,0.033,4.41,0.067
"4","rule2470","months_since_cert_n >= 10.5 & shelter_expenses < 433 & total_deductions >= 62.7 & rawben_rel_max >= 0.7487",4,"INCLUDE",15.709,0.889,0.3,17,5,12,0.294,0.014,0.034,4.41,0.067
"4","rule4770","rawearn >= 189.5 & total_deductions < 227 & rawben_rel_max >= 0.7423 & cat_elig >= 0.5",4,"INCLUDE",21.618,1.895,0.8,41,12,29,0.293,0.034,0.058,4.39,0.067
"4","rule4082","months_since_cert_n >= 9.5 & rawearn >= 314 & rawearn < 1378 & unc_rawben_rel_max < 0.9751",4,"INCLUDE",17.47,1.531,0.8,41,12,29,0.293,0.034,0.054,4.39,0.067
"4","rule5567","total_deductions < 666.1 & unc_rawben_rel_max >= 0.7249 & rawearn >= 186 & rawunearn >= 447.5",4,"INCLUDE",27.455,1.844,0.5,24,7,17,0.292,0.02,0.041,4.38,0.067
"4","rule4601","rawben_rel_max >= 0.7626 & unc_rawben_rel_max < 0.9738 & rawearn >= 3 & shelter_expenses < 408",4,"INCLUDE",11.838,1.314,1.2,66,18,48,0.273,0.051,0.079,4.09,0.067
"4","rule2617","rawben_rel_max >= 0.6532 & rawgross >= 1043 & shelter_expenses < 346",3,"INCLUDE",4.426,0.495,1.3,67,18,49,0.269,0.051,0.056,4.03,0.067
"4","rule2916","rawben_rel_max >= 0.5547 & months_since_cert_n >= 10.5 & shelter_expenses < 437.5 & rawunearn < 50",4,"INCLUDE",21.052,1.845,0.8,41,11,30,0.268,0.031,0.048,4.02,0.067
"4","rule5615","total_deductions >= 614.5 & rawgross >= 187 & months_since_cert_n >= 8.5 & total_deductions < 658.8",4,"INCLUDE",23.673,1.777,0.6,30,8,22,0.267,0.023,0.036,4,0.067
