"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"3","rule28","unc_rawben_rel_max >= 1.194 & utilities < 851 & utilities < 346 & months_since_cert_n >= 2.5",4,"INCLUDE",6.875,0.864,1.6,110,25,85,0.227,0.055,0.097,3.41,0.067
"4","rule110","unc_rawben_rel_max >= 1.225 & shelter_expenses >= 1140 & utilities < 565.5 & utilities >= 514",4,"INCLUDE",10.609,0.564,0.3,15,8,7,0.533,0.023,0.034,8,0.067
"4","rule249","unc_rawben_rel_max >= 0.6619 & rawgross >= 1071 & rawgross < 1154 & rawgross >= 1128",4,"INCLUDE",3.349,0.21,0.4,21,8,13,0.381,0.023,0.041,5.71,0.067
"4","rule280","unc_rawben_rel_max >= 0.5543 & rawearn >= 1001 & rawgross < 1154 & unc_rawben_rel_max < 0.9928",4,"INCLUDE",36.305,3.843,1.1,60,19,41,0.317,0.054,0.075,4.75,0.067
"4","rule84","rawben_rel_max >= 0.5596 & rawearn >= 998 & rawgross < 1156 & shelter_expenses < 1104",4,"INCLUDE",2.043,0.19,0.9,46,14,32,0.304,0.04,0.059,4.57,0.067
"4","rule284","unc_rawben_rel_max >= 1.207 & rawunearn >= 53.5 & cat_elig >= 1.5",3,"INCLUDE",4.309,0.264,0.4,20,6,14,0.3,0.017,0.033,4.5,0.067
"4","rule399","shelter_expenses >= 1714 & rawgross < 2027 & rawben_rel_max < 0.9669 & rawunearn < 967.5",4,"INCLUDE",25.447,3.104,1.5,80,23,57,0.288,0.065,0.082,4.31,0.067
"4","rule89","unc_rawben_rel_max >= 0.6695 & rawgross >= 1061 & shelter_expenses < 303.5",3,"INCLUDE",0.788,0.077,1,51,14,37,0.275,0.04,0.045,4.12,0.067
"4","rule123","unc_rawben_rel_max < 1.182 & rawearn >= 151.5 & total_deductions < 228.8 & rawben_rel_max >= 0.7678",4,"INCLUDE",26.493,2.71,1.1,56,15,41,0.268,0.042,0.063,4.02,0.067
"4","rule212","months_since_cert_n >= 10.5 & shelter_expenses < 433 & rawunearn < 76",3,"INCLUDE",22.729,2.016,0.8,42,11,31,0.262,0.031,0.048,3.93,0.067
"4","rule307","unc_rawben_rel_max >= 1.26 & utilities < 444 & cat_elig >= 0.5 & cat_elig < 1.5",4,"INCLUDE",4.867,0.528,1.2,63,14,49,0.222,0.04,0.055,3.33,0.067
"4","rule314","shelter_expenses >= 1737 & rawgross < 2006 & shelter_expenses < 2314 & utilities >= 472",4,"INCLUDE",9.784,1.542,2.5,135,29,106,0.215,0.082,0.097,3.22,0.067
"4","rule235","unc_rawben_rel_max < 1.21 & shelter_expenses >= 1822 & months_since_cert_n >= 2.5 & rawgross < 1672",4,"INCLUDE",3.334,0.356,1.2,61,13,48,0.213,0.037,0.058,3.2,0.067
"4","rule364","unc_rawben_rel_max >= 0.5743 & unc_rawben_rel_max < 0.9927 & rawearn >= 7.5 & rawearn < 440",4,"INCLUDE",18.02,1.999,1.2,66,14,52,0.212,0.04,0.067,3.18,0.067
"4","rule50","unc_rawben_rel_max >= 0.5576 & rawgross >= 955.5 & rawgross < 1196 & rawgross >= 1122",4,"INCLUDE",7.601,0.91,1.5,77,16,61,0.208,0.045,0.062,3.12,0.067
"4","rule164","shelter_expenses >= 1192 & rawgross < 1792 & total_deductions >= 930.9",3,"INCLUDE",13.222,2.284,3.1,163,33,130,0.202,0.093,0.104,3.04,0.067
"4","rule378","shelter_expenses >= 1132 & rawgross < 206 & shelter_expenses < 1348",3,"INCLUDE",9.775,0.945,0.9,50,10,40,0.2,0.028,0.054,3,0.067
"5+","rule124","total_deductions >= 964.4 & utilities >= 851 & months_since_cert_n >= 4.5 & rawben_rel_max >= 0.8207",4,"INCLUDE",53.427,2.593,0.2,14,9,5,0.643,0.021,0.034,8.95,0.072
"5+","rule131","total_deductions >= 879.2 & rawgross < 2274 & utilities >= 851 & months_since_cert_n >= 8.5",4,"INCLUDE",61.768,2.889,0.2,13,7,6,0.538,0.016,0.027,7.49,0.072
"5+","rule143","utilities >= 851 & months_since_cert_n >= 6.5 & total_deductions >= 975.7 & rawgross < 2326",4,"INCLUDE",29.746,1.591,0.3,17,9,8,0.529,0.021,0.04,7.37,0.072
"5+","rule207","months_since_cert_n >= 7.5 & utilities >= 902 & rawearn >= 37 & utilities < 1016",4,"INCLUDE",92.394,5.744,0.4,23,10,13,0.435,0.023,0.038,6.05,0.072
"5+","rule281","unc_rawben_rel_max >= 0.5271 & rawearn >= 1046 & shelter_expenses >= 2107 & rawben_rel_max >= 0.9218",4,"INCLUDE",221.092,9.937,0.2,12,5,7,0.417,0.012,0.028,5.8,0.072
"5+","rule48","months_since_cert_n >= 7.5 & utilities >= 902 & rawearn >= 388 & rawben_rel_max >= 0.7745",4,"INCLUDE",-39.199,1.969,0.3,15,6,9,0.4,0.014,0.024,5.57,0.072
"5+","rule197","shelter_expenses >= 1386 & rawben_rel_max >= 0.8027 & months_since_cert_n >= 6.5 & rawearn >= 1256",4,"INCLUDE",28.975,2.597,0.8,48,19,29,0.396,0.045,0.068,5.51,0.072
"5+","rule34","percent_abawd >= 0.6333",1,"INCLUDE",122.7,4.504,0.1,8,3,5,0.375,0.007,0.015,5.22,0.072
"5+","rule190","shelter_expenses >= 1298 & rawben_rel_max >= 0.6988 & rawearn >= 1057 & total_deductions < 862.5",4,"INCLUDE",59.729,3.793,0.4,24,9,15,0.375,0.021,0.033,5.22,0.072
"5+","rule171","shelter_expenses >= 1370 & rawben_rel_max >= 0.6462 & rawearn >= 1102 & total_deductions < 864.3",4,"INCLUDE",6.924,0.421,0.4,22,8,14,0.364,0.019,0.03,5.06,0.072
"5+","rule164","shelter_expenses >= 1626 & rawben_rel_max >= 0.834 & unc_rawben_rel_max < 0.8443",3,"INCLUDE",117.169,5.687,0.2,14,5,9,0.357,0.012,0.024,4.97,0.072
"5+","rule157","rawben_rel_max >= 0.5959 & rawearn >= 1189 & rawben_rel_max >= 0.8929 & rawben_rel_max < 0.9026",4,"INCLUDE",68.369,3.964,0.3,20,7,13,0.35,0.016,0.024,4.87,0.072
"5+","rule46","months_since_cert_n >= 7.5 & utilities >= 902 & rawearn >= 388",3,"INCLUDE",-4.139,0.339,0.7,40,14,26,0.35,0.033,0.041,4.87,0.072
"5+","rule286","shelter_expenses >= 1818 & shelter_expenses < 1834 & rawearn < 1934",3,"INCLUDE",149.886,7.53,0.3,15,5,10,0.333,0.012,0.031,4.64,0.072
"5+","rule12","shelter_expenses >= 1631 & shelter_expenses < 1636",2,"INCLUDE",75.297,3.384,0.2,12,4,8,0.333,0.009,0.022,4.64,0.072
"5+","rule298","months_since_cert_n >= 6.5 & total_deductions >= 957.1 & rawgross < 2213 & rawben_rel_max < 0.853",4,"INCLUDE",75.109,5.417,0.5,31,10,21,0.323,0.023,0.051,4.49,0.072
"5+","rule252","unc_rawben_rel_max >= 0.5997 & rawearn >= 1576 & rawearn < 1598",3,"INCLUDE",107.568,5.581,0.3,16,5,11,0.312,0.012,0.029,4.35,0.072
"5+","rule203","months_since_cert_n >= 5.5 & shelter_expenses >= 1337 & rawgross < 2569 & rawearn >= 1356",4,"INCLUDE",22.339,2.834,1.6,97,30,67,0.309,0.07,0.098,4.3,0.072
"5+","rule258","shelter_expenses < 1398 & rawearn >= 606 & total_deductions < 180.1 & rawben_rel_max >= 0.8867",4,"INCLUDE",149.961,6.154,0.2,10,3,7,0.3,0.007,0.02,4.18,0.072
"5+","rule213","percent_abawd < 0.4643 & total_deductions >= 878.8 & rawgross < 2212 & rawgross >= 2187",4,"INCLUDE",137.221,5.631,0.2,10,3,7,0.3,0.007,0.022,4.18,0.072
"5+","rule183","shelter_expenses >= 1536 & shelter_expenses < 1548",2,"INCLUDE",75.761,4.811,0.4,24,7,17,0.292,0.016,0.021,4.06,0.072
"5+","rule136","rawben_rel_max >= 0.7109 & rawgross >= 1106 & percent_abawd >= 0.3875",3,"INCLUDE",59.226,2.875,0.2,14,4,10,0.286,0.009,0.026,3.98,0.072
"5+","rule117","percent_abawd < 0.4643 & utilities >= 851 & total_deductions >= 994.3 & rawgross < 2229",4,"INCLUDE",4.771,0.327,0.5,28,8,20,0.286,0.019,0.039,3.98,0.072
"5+","rule150","months_since_cert_n >= 5.5 & rawunearn < 0.5 & rawben_rel_max >= 0.7781 & unc_rawben_rel_max < 0.8046",4,"INCLUDE",21.581,1.399,0.4,25,7,18,0.28,0.016,0.026,3.9,0.072
"5+","rule111","total_deductions >= 859.3 & rawgross < 2200 & rawearn >= 1306 & rawgross < 1365",4,"INCLUDE",74.604,3.748,0.3,15,4,11,0.267,0.009,0.022,3.71,0.072
"5+","rule33","shelter_expenses >= 1310 & rawben_rel_max >= 0.8027 & percent_abawd >= 0.303",3,"INCLUDE",15.112,0.759,0.3,15,4,11,0.267,0.009,0.022,3.71,0.072
"5+","rule265","shelter_expenses >= 1398 & rawben_rel_max >= 0.7303 & utilities >= 598 & utilities < 635",4,"INCLUDE",55.946,4.035,0.5,31,8,23,0.258,0.019,0.037,3.59,0.072
"5+","rule182","shelter_expenses >= 1536 & shelter_expenses >= 1548 & utilities >= 598 & utilities < 625",4,"INCLUDE",30.952,2.371,0.6,35,9,26,0.257,0.021,0.034,3.58,0.072
"5+","rule176","rawben_rel_max >= 0.523 & rawearn >= 794.5 & total_deductions < 179.7",3,"INCLUDE",84.212,4.369,0.3,16,4,12,0.25,0.009,0.023,3.48,0.072
"5+","rule219","utilities < 960.5 & rawgross < 2012 & rawearn >= 1310 & shelter_expenses >= 1633",4,"INCLUDE",76.839,8.644,1.3,76,19,57,0.25,0.045,0.071,3.48,0.072
"5+","rule319","months_since_cert_n >= 5.5 & shelter_expenses >= 1628 & rawgross < 2223 & shelter_expenses < 1678",4,"INCLUDE",52.75,2.737,0.3,16,4,12,0.25,0.009,0.024,3.48,0.072
"5+","rule92","shelter_expenses >= 1378 & rawben_rel_max < 0.878 & shelter_expenses < 1417 & rawgross < 2532",4,"INCLUDE",43.085,2.792,0.4,25,6,19,0.24,0.014,0.026,3.34,0.072
"5+","rule300","cat_elig >= 2.5 & rawearn < 1475",2,"INCLUDE",82.123,4.391,0.3,17,4,13,0.235,0.009,0.018,3.27,0.072
"5+","rule307","unc_rawben_rel_max >= 0.5983 & rawearn >= 1190 & rawearn < 1656 & shelter_expenses >= 1376",4,"INCLUDE",21.991,2.941,1.8,108,25,83,0.231,0.059,0.096,3.22,0.072
"5+","rule247","shelter_expenses >= 1631 & rawben_rel_max >= 0.7779 & rawben_rel_max < 0.9521 & utilities >= 428.5",4,"INCLUDE",28.616,4.509,2.5,151,34,117,0.225,0.08,0.13,3.13,0.072
"5+","rule240","shelter_expenses >= 1674 & rawben_rel_max >= 0.823 & rawunearn < 1310 & rawearn >= 1256",4,"INCLUDE",-16.233,2.111,1.7,102,22,80,0.216,0.052,0.076,3,0.072
"5+","rule97","shelter_expenses >= 1378 & rawben_rel_max >= 0.878 & rawben_rel_max < 0.9598 & rawgross < 1322",4,"INCLUDE",43.911,3.011,0.5,28,6,22,0.214,0.014,0.03,2.98,0.072
"5+","rule313","percent_abawd < 0.4643 & rawearn >= 1046 & rawgross < 2036 & shelter_expenses >= 1824",4,"INCLUDE",-14.109,1.577,1.3,75,16,59,0.213,0.038,0.061,2.97,0.072
"5+","rule96","shelter_expenses >= 1378 & rawben_rel_max >= 0.878 & rawben_rel_max < 0.9598 & rawgross >= 1322",4,"INCLUDE",-6.59,0.806,1.5,90,19,71,0.211,0.045,0.059,2.94,0.072
"5+","rule68","rawearn >= 1046 & rawearn < 1924 & shelter_expenses >= 1372 & rawgross >= 1416",4,"INCLUDE",11.307,1.871,2.8,167,34,133,0.204,0.08,0.119,2.83,0.072
"5+","rule291","rawben_rel_max >= 0.6081 & rawearn >= 3222 & total_deductions < 1345",3,"INCLUDE",111.071,5.58,0.3,15,3,12,0.2,0.007,0.02,2.78,0.072
"5+","rule90","shelter_expenses >= 1378 & rawben_rel_max < 0.878 & shelter_expenses < 1417",3,"INCLUDE",5.081,0.586,1.3,80,16,64,0.2,0.038,0.041,2.78,0.072
