"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","unearned_income","1","elderly_disabled_i >   0.50 & percent_abawd <=   0.75 & unc_rawben_rel_max >   1.46 & utilities <= 290.00","elderly_disabled_i >   0.450 & percent_abawd <=   0.675 & unc_rawben_rel_max >   1.606 & utilities <= 290.000",FALSE,7,4,0.571,0.342,2,0,2,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 2190.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.26 & utilities <=  301.00","shelter_expenses_by_hh_size <= 1971.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.034 & utilities <=  270.900",FALSE,7,3,0.429,0.226,4,0,0,NA
"Arizona","unearned_income","2-3","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52","elderly_disabled_i > 0.375 & HH_size_n > 1.875 & unc_rawben_rel_max > 1.140",FALSE,6,3,0.5,0.268,3,1,0,NA
"Arizona","unearned_income","1","cat_elig <=   1.50 & count_divisible_by_100 <=   0.50 & unc_rawben_rel_max >   1.93 & utilities <= 288.00","cat_elig <=   1.350 & count_divisible_by_100 <=   0.450 & unc_rawben_rel_max >   1.737 & utilities <= 288.000",FALSE,20,5,0.25,0.148,5,0,1,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 706.200 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   1.980",FALSE,7,3,0.429,0.226,6,0.333,0,NA
"Arizona","unearned_income","2-3","count_divisible_by_100 <=   0.50 & HH_size_n >   2.50 & total_deductions_by_hh_size <= 580.00 & unc_rawben_rel_max >   1.53","count_divisible_by_100 <=   0.450 & HH_size_n >   2.250 & total_deductions_by_hh_size <= 638.000 & unc_rawben_rel_max >   1.377",FALSE,5,3,0.6,0.33,0,NA,0,NA
"Arizona","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.97 & utilities <= 606.00","expedited_i <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.773 & utilities <= 545.400",FALSE,9,6,0.667,0.454,5,0.4,1,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 1170.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.98 & utilities <=  286.00","shelter_expenses_by_hh_size <= 1053.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.682 & utilities <=  314.600",FALSE,18,6,0.333,0.21,3,0,0,NA
"Arizona","unearned_income","1","months_since_cert_n >   7.50 & percent_abawd <=   0.25 & unc_rawben_rel_max >   1.93 & utilities <= 430.00","months_since_cert_n >   6.750 & percent_abawd <=   0.225 & unc_rawben_rel_max >   1.737 & utilities <= 387.000",FALSE,7,5,0.714,0.472,7,0.429,1,0
"Arizona","unearned_income","1","homeless <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.96 & utilities <= 302.00","homeless <=   0.450 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.664 & utilities <= 271.800",FALSE,8,3,0.375,0.195,5,0,1,0
