"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame"
"2-3","children_i < 1.00 & unc_rawben_rel_max >= 1.68","xgboost",37,12,0.3243,0.2135,27,8,0.2963,0.0615,0.0813,0.324,30,11,0.3667,0.0112,0.0148,0.327,"unearned_income"
"2-3","homeless <=  0.50 & unc_rawben_rel_max >  1.68 & utilities > 78.50","ranger_mtry1",64,19,0.2969,0.2127,35,10,0.2857,0.0769,0.1031,0.42,47,22,0.4681,0.0223,0.0344,0.512,"unearned_income"
"2-3","unc_rawben_rel_max > 1.69","ranger_mtry1",64,19,0.2969,0.2127,37,10,0.2703,0.0769,0.1031,0.444,49,22,0.449,0.0223,0.0344,0.533,"unearned_income"
"2-3","cat_elig >   0.50 & expedited_i <=   0.50 & unc_rawben_rel_max >   1.68 & utilities <= 766.00","ranger_mtry1",41,13,0.3171,0.2121,18,5,0.2778,0.0385,0.0509,0.216,26,13,0.5,0.0132,0.0187,0.283,"unearned_income"
"2-3","children_i <=   0.50 & medical_deductions <= 148.00 & unc_rawben_rel_max >   1.77","ranger_mtry1",30,10,0.3333,0.2108,22,7,0.3182,0.0538,0.0736,0.264,24,9,0.375,0.0091,0.0131,0.261,"unearned_income"
"2-3","elderly_disabled_i > 0.50 & unc_rawben_rel_max > 1.77 & unc_rawben_rel_max <= 2.23","ranger_mtry1",30,10,0.3333,0.2108,19,6,0.3158,0.0462,0.0498,0.228,24,11,0.4583,0.0112,0.015,0.261,"unearned_income"
"2-3","months_since_cert_n <=  29.50 & shelter_expenses_by_hh_size <= 973.00 & unc_rawben_rel_max >   1.69 & utilities >  78.50","ranger_mtry1",49,15,0.3061,0.2103,25,7,0.28,0.0538,0.0743,0.3,34,16,0.4706,0.0162,0.0276,0.37,"unearned_income"
"2-3","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 586.00 & unc_rawben_rel_max >=   1.49","xgboost",53,16,0.3019,0.2099,20,6,0.3,0.0462,0.0723,0.24,21,7,0.3333,0.0071,0.0125,0.229,"unearned_income"
"2-3","months_since_cert_n >=   1.00 & shelter_expenses_by_hh_size >= 392.00 & unc_rawben_rel_max >=   1.68","xgboost",57,17,0.2982,0.2096,33,10,0.303,0.0769,0.1031,0.396,44,21,0.4773,0.0213,0.0318,0.479,"unearned_income"
"2-3","unc_rawben_rel_max >=   1.68 & utilities < 875.00","xgboost",57,17,0.2982,0.2096,30,8,0.2667,0.0615,0.0762,0.36,40,18,0.45,0.0183,0.0269,0.435,"unearned_income"
"2-3","unc_rawben_rel_max > 1.68","ranger_mtry1",65,19,0.2923,0.2093,38,10,0.2632,0.0769,0.1031,0.456,50,22,0.44,0.0223,0.0344,0.544,"unearned_income"
"2-3","count_divisible_by_100 >   0.5 & months_since_cert_n <=   3.5 & rawben_rel_max >   0.2 & shelter_expenses_by_hh_size > 853.0","ranger_mtry1",23,8,0.3478,0.2085,16,1,0.0625,0.0077,0.0101,0.192,17,2,0.1176,0.002,0.0034,0.185,"unearned_income"
"2-3","HH_size_n >   2.50 & medical_deductions <= 314.00 & unc_rawben_rel_max >   1.55 & unc_rawben_rel_max <=   1.76","ranger_mtry1",16,6,0.375,0.2081,7,1,0.1429,0.0077,0.0029,0.084,11,5,0.4545,0.0051,0.0062,0.12,"unearned_income"
"2-3","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size > 627.00 & unc_rawben_rel_max >   2.03","ranger_mtry1",16,6,0.375,0.2081,9,3,0.3333,0.0231,0.0288,0.108,12,6,0.5,0.0061,0.0083,0.131,"unearned_income"
"2-3","count_divisible_by_100 <= 0.50 & unc_rawben_rel_max > 1.82","ranger_mtry1",38,12,0.3158,0.2076,21,6,0.2857,0.0462,0.0584,0.252,26,11,0.4231,0.0112,0.0154,0.283,"unearned_income"
"2-3","HH_size_n <=   2.50 & homeless <=   0.50 & unc_rawben_rel_max >   1.74 & utilities > 230.00","ranger_mtry1",42,13,0.3095,0.2067,27,9,0.3333,0.0692,0.0835,0.324,33,15,0.4545,0.0152,0.0217,0.359,"unearned_income"
"2-3","count_divisible_by_100 <= 0.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",42,13,0.3095,0.2067,27,7,0.2593,0.0538,0.0736,0.324,33,13,0.3939,0.0132,0.0202,0.359,"unearned_income"
"2-3","homeless <=   0.500 & medical_deductions <= 216.000 & percent_abawd <=   0.833 & unc_rawben_rel_max >   1.800","ranger_mtry1",42,13,0.3095,0.2067,25,7,0.28,0.0538,0.0607,0.3,31,13,0.4194,0.0132,0.0184,0.338,"unearned_income"
"2-3","medical_deductions <= 218.00 & unc_rawben_rel_max >   1.69","ranger_mtry1",63,18,0.2857,0.2024,37,10,0.2703,0.0769,0.1031,0.444,48,21,0.4375,0.0213,0.0338,0.523,"unearned_income"
"2-3","cat_elig >   0.50 & expedited_i <=   0.50 & unc_rawben_rel_max >   1.68 & utilities > 766.00","ranger_mtry1",13,5,0.3846,0.2016,10,2,0.2,0.0154,0.0269,0.12,12,4,0.3333,0.0041,0.0075,0.131,"unearned_income"
"2-3","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size > 605.00 & total_deductions_by_hh_size > 872.00 & unc_rawben_rel_max >   1.82","ranger_mtry1",13,5,0.3846,0.2016,9,2,0.2222,0.0154,0.026,0.108,11,4,0.3636,0.0041,0.0044,0.12,"unearned_income"
"2-3","count_divisible_by_100 <=   0.50 & total_deductions_by_hh_size <= 546.00 & unc_rawben_rel_max >   1.69","ranger_mtry1",13,5,0.3846,0.2016,4,1,0.25,0.0077,0.0195,0.048,6,3,0.5,0.003,0.0059,0.065,"unearned_income"
"2-3","married <=   0.50 & shelter_expenses_by_hh_size <= 419.00 & unc_rawben_rel_max >   1.54","ranger_mtry1",13,5,0.3846,0.2016,5,2,0.4,0.0154,0.0223,0.06,6,3,0.5,0.003,0.0057,0.065,"unearned_income"
"4+","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 346.00 & unc_rawben_rel_max >=   1.23","xgboost",14,7,0.5,0.2988,8,1,0.125,0.0109,0.0134,0.196,8,1,0.125,0.0014,0.0015,0.17,"unearned_income"
"4+","elderly_disabled_i > 0.50 & expedited_i <= 0.50 & unc_rawben_rel_max > 1.36","ranger_mtry1",12,5,0.4167,0.22,9,2,0.2222,0.0217,0.0088,0.22,10,3,0.3,0.0042,0.0019,0.212,"unearned_income"
"4+","expedited_i <= 0.50 & unc_rawben_rel_max > 1.37","ranger_mtry1",12,5,0.4167,0.22,11,2,0.1818,0.0217,0.0088,0.269,14,5,0.3571,0.007,0.0053,0.297,"unearned_income"
"4+","elderly_disabled_i >   0.50 & expedited_i <=   0.50 & unc_rawben_rel_max >   1.26 & utilities > 150.00","ranger_mtry1",20,7,0.35,0.2022,17,2,0.1176,0.0217,0.0088,0.416,18,3,0.1667,0.0042,0.0019,0.382,"unearned_income"
"4+","count_divisible_by_100 <= 0.50 & unc_rawben_rel_max > 1.37","ranger_mtry1",13,5,0.3846,0.2016,12,2,0.1667,0.0217,0.0088,0.294,13,3,0.2308,0.0042,0.0035,0.276,"unearned_income"
"4+","elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.37 & utilities > 330.00","ranger_mtry1",13,5,0.3846,0.2016,11,2,0.1818,0.0217,0.0088,0.269,12,3,0.25,0.0042,0.0019,0.255,"unearned_income"
"1","elderly_disabled_i <  1.00000 & months_since_cert_n < 13.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",42,17,0.4048,0.2896,23,7,0.3043,0.0933,0.1551,0.112,23,7,0.3043,0.0054,0.0088,0.106,"underissuance"
"1","total_deductions_by_hh_size >= 256.00000 & unc_rawben_rel_max >=  -0.01600 & unc_rawben_rel_max <   0.00344 & utilities <  42.00000","xgboost",18,8,0.4444,0.2719,19,5,0.2632,0.0667,0.1246,0.092,19,5,0.2632,0.0039,0.0071,0.087,"underissuance"
"1","unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344 & utilities < 27.00000","xgboost",61,21,0.3443,0.2527,30,7,0.2333,0.0933,0.1551,0.146,30,7,0.2333,0.0054,0.0088,0.138,"underissuance"
"1","total_deductions_by_hh_size < 122.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities <  27.00000","xgboost",39,14,0.359,0.2456,11,1,0.0909,0.0133,0.0249,0.054,11,1,0.0909,8e-04,0.0014,0.051,"underissuance"
"1","rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",157,47,0.2994,0.2431,100,25,0.25,0.3333,0.4465,0.487,100,25,0.25,0.0193,0.0254,0.459,"underissuance"
"1","elderly_disabled_i <  1.00000 & months_since_cert_n >=  5.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",17,7,0.4118,0.2411,10,4,0.4,0.0533,0.0803,0.049,10,4,0.4,0.0031,0.0046,0.046,"underissuance"
"1","cat_elig >  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",167,49,0.2934,0.2391,85,23,0.2706,0.3067,0.4155,0.414,85,23,0.2706,0.0178,0.0236,0.39,"underissuance"
"1","percent_abawd >  0.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",21,8,0.381,0.2299,5,3,0.6,0.04,0.0747,0.024,5,3,0.6,0.0023,0.0043,0.023,"underissuance"
"1","rawben_rel_max <=   0.80200 & unc_rawben_rel_max >  -0.00744 & unc_rawben_rel_max <=  -0.00172 & utilities <= 851.00000","ranger_mtry1",148,41,0.277,0.2209,97,24,0.2474,0.32,0.4317,0.472,97,24,0.2474,0.0186,0.0246,0.446,"underissuance"
"1","elderly_disabled_i <  1.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",61,18,0.2951,0.2094,28,8,0.2857,0.1067,0.18,0.136,28,8,0.2857,0.0062,0.0102,0.129,"underissuance"
"1","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",196,49,0.25,0.2028,100,25,0.25,0.3333,0.4465,0.487,100,25,0.25,0.0193,0.0254,0.459,"underissuance"
"4+","expedited_i <=   0.5 & shelter_expenses_by_hh_size > 260.0 & shelter_expenses_by_hh_size <= 270.0 & utilities <= 308.0","ranger_mtry1",13,5,0.3846,0.2016,9,0,0,0,0,0.218,12,3,0.25,0.0042,0.0033,0.255,"underissuance"
"1","medical_deductions >=   5.000 & medical_deductions <   8.000 & rawben_rel_max <   0.432 & utilities >= 494.000","xgboost",11,9,0.8182,0.5728,3,2,0.6667,0.0027,0.0032,0.014,3,2,0.6667,0.0015,0.0015,0.014,"other_error"
"1","medical_deductions >=   4.00 & medical_deductions <  11.00 & rawben_rel_max <   0.58 & utilities >= 424.00","xgboost",33,23,0.697,0.5546,8,5,0.625,0.0067,0.0053,0.038,8,5,0.625,0.0039,0.0025,0.037,"other_error"
"1","medical_deductions >=   5.00 & medical_deductions <   8.00 & shelter_expenses_by_hh_size >= 962.00 & unc_rawben_rel_max <   1.13","xgboost",23,16,0.6957,0.5244,12,3,0.25,0.004,0.0021,0.057,12,3,0.25,0.0023,0.001,0.055,"other_error"
"1","medical_deductions >=   4.00 & medical_deductions <  11.00 & rawben_rel_max <   0.58 & utilities >= 361.00","xgboost",41,26,0.6341,0.5057,12,5,0.4167,0.0067,0.0053,0.057,12,5,0.4167,0.0039,0.0025,0.055,"other_error"
"1","medical_deductions >=   5 & medical_deductions <   8 & utilities >= 494","xgboost",26,17,0.6538,0.4926,14,6,0.4286,0.008,0.006,0.066,14,6,0.4286,0.0046,0.0029,0.064,"other_error"
"1","cat_elig <    2.000 & rawben_rel_max >=    0.968 & rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1700.000","xgboost",11,8,0.7273,0.4795,16,4,0.25,0.0053,0.0078,0.075,17,5,0.2941,0.0039,0.0047,0.078,"other_error"
"1","rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size >  790.000 & total_deductions_by_hh_size > 1330.000","ranger_mtry1",11,8,0.7273,0.4795,4,1,0.25,0.0013,0.003,0.019,4,1,0.25,8e-04,0.0014,0.018,"other_error"
"1","medical_deductions >=    4 & medical_deductions <    8 & shelter_expenses_by_hh_size >= 1130 & total_deductions_by_hh_size <  950","xgboost",13,9,0.6923,0.4648,8,1,0.125,0.0013,7e-04,0.038,8,1,0.125,8e-04,3e-04,0.037,"other_error"
"1","medical_deductions >=   4 & medical_deductions <   8 & utilities >= 496","xgboost",32,19,0.5938,0.4491,14,6,0.4286,0.008,0.006,0.066,14,6,0.4286,0.0046,0.0029,0.064,"other_error"
"1","rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 601.000 & utilities < 550.000","xgboost",142,68,0.4789,0.411,63,25,0.3968,0.0334,0.0444,0.297,63,25,0.3968,0.0193,0.0212,0.289,"other_error"
"1","medical_deductions >= 5.00 & medical_deductions < 8.00 & rawben_rel_max < 0.58","xgboost",41,22,0.5366,0.4102,17,8,0.4706,0.0107,0.0073,0.08,17,8,0.4706,0.0062,0.0035,0.078,"other_error"
"1","rawben_rel_max >    0.985 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1310.000 & unc_rawben_rel_max >    0.987","ranger_mtry1",75,37,0.4933,0.4003,37,12,0.3243,0.016,0.0233,0.174,37,12,0.3243,0.0093,0.0111,0.17,"other_error"
"1","count_divisible_by_100 <=   0.5 & medical_deductions >   3.5 & medical_deductions <=  11.5 & utilities > 364.0","ranger_mtry1",60,30,0.5,0.3961,28,6,0.2143,0.008,0.0042,0.132,28,6,0.2143,0.0046,0.002,0.129,"other_error"
"1","medical_deductions >=   4 & medical_deductions <   9 & shelter_expenses_by_hh_size >= 680 & utilities >= 417","xgboost",48,24,0.5,0.3845,19,6,0.3158,0.008,0.006,0.09,19,6,0.3158,0.0046,0.0029,0.087,"other_error"
"1","rawben_rel_max >=    0.988 & rawben_rel_max <    0.992 & shelter_expenses_by_hh_size >= 1330.000","xgboost",70,33,0.4714,0.3762,37,12,0.3243,0.016,0.0233,0.174,37,12,0.3243,0.0093,0.0111,0.17,"other_error"
"1","rawben_rel_max >=   0.948 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 269.000 & utilities <  56.000","xgboost",40,20,0.5,0.3741,15,7,0.4667,0.0093,0.0119,0.071,16,8,0.5,0.0062,0.0071,0.074,"other_error"
"1","medical_deductions >=   4 & medical_deductions <  11 & utilities >= 361","xgboost",61,29,0.4754,0.3735,27,7,0.2593,0.0093,0.0067,0.127,27,7,0.2593,0.0054,0.0032,0.124,"other_error"
"1","rawben_rel_max >    0.985 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1310.000","ranger_mtry1",80,37,0.4625,0.3735,40,12,0.3,0.016,0.0233,0.188,40,12,0.3,0.0093,0.0111,0.184,"other_error"
"1","total_deductions_by_hh_size > 860.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   0.991","ranger_mtry1",87,39,0.4483,0.3634,48,15,0.3125,0.02,0.0303,0.226,48,15,0.3125,0.0116,0.0145,0.221,"other_error"
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 866.000 & utilities >  30.500","ranger_mtry1",83,37,0.4458,0.3592,42,14,0.3333,0.0187,0.0274,0.198,42,14,0.3333,0.0108,0.0131,0.193,"other_error"
"1","medical_deductions >= 5 & medical_deductions < 8","xgboost",54,25,0.463,0.3558,30,11,0.3667,0.0147,0.0096,0.141,30,11,0.3667,0.0085,0.0046,0.138,"other_error"
"1","count_divisible_by_100 <= 0.5 & married <= 0.5 & medical_deductions > 3.5 & medical_deductions <= 7.5","ranger_mtry1",61,27,0.4426,0.3427,30,10,0.3333,0.0134,0.0071,0.141,30,10,0.3333,0.0077,0.0034,0.138,"other_error"
"1","medical_deductions >=   5.000 & medical_deductions <   8.000 & rawben_rel_max >=   0.432 & utilities >= 494.000","xgboost",15,8,0.5333,0.3331,11,4,0.3636,0.0053,0.0028,0.052,11,4,0.3636,0.0031,0.0013,0.051,"other_error"
"1","rawben_rel_max >=   0.984 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 931.000 & utilities < 819.000","xgboost",264,99,0.375,0.3275,133,45,0.3383,0.0601,0.073,0.627,133,45,0.3383,0.0348,0.0349,0.611,"other_error"
"1","cat_elig >=   1.000 & medical_deductions >= 390.000 & rawben_rel_max >=   0.284 & rawben_rel_max <   0.848","xgboost",48,21,0.4375,0.3262,25,10,0.4,0.0134,0.0204,0.118,26,11,0.4231,0.0085,0.0101,0.119,"other_error"
"1","expedited_i <=    0.5 & medical_deductions >    3.5 & medical_deductions <=    7.5 & utilities <= 1050.0","ranger_mtry1",64,27,0.4219,0.3255,28,10,0.3571,0.0134,0.0089,0.132,28,10,0.3571,0.0077,0.0043,0.129,"other_error"
"1","medical_deductions >=  4.00 & medical_deductions < 11.00 & rawben_rel_max <  0.58","xgboost",67,28,0.4179,0.3239,25,9,0.36,0.012,0.0083,0.118,25,9,0.36,0.007,0.004,0.115,"other_error"
"1","medical_deductions > 0.500 & medical_deductions <= 7.500 & unc_rawben_rel_max > 0.201","ranger_mtry1",62,25,0.4032,0.3069,33,12,0.3636,0.016,0.0106,0.155,33,12,0.3636,0.0093,0.0051,0.152,"other_error"
"1","medical_deductions >= 4.000 & medical_deductions < 9.000 & unc_rawben_rel_max >= 0.313 & unc_rawben_rel_max < 1.090","xgboost",46,19,0.413,0.3017,22,9,0.4091,0.012,0.0068,0.104,22,9,0.4091,0.007,0.0032,0.101,"other_error"
"1","children_i > 0.5 & elderly_disabled_i > 0.5 & married <= 0.5 & percent_abawd <= 0.5","ranger_mtry1",19,9,0.4737,0.3006,11,4,0.3636,0.0053,0.0085,0.052,11,4,0.3636,0.0031,0.0041,0.051,"other_error"
"1","children_i >= 1 & count_divisible_by_100 < 1 & elderly_disabled_i >= 1","xgboost",19,9,0.4737,0.3006,11,4,0.3636,0.0053,0.0085,0.052,11,4,0.3636,0.0031,0.0041,0.051,"other_error"
"1","elderly_disabled_i > 0.500 & rawben_rel_max > 0.989 & rawben_rel_max <= 0.991","ranger_mtry1",214,75,0.3505,0.299,204,50,0.2451,0.0668,0.0761,0.961,204,50,0.2451,0.0387,0.0365,0.937,"other_error"
"1","children_i >=   1.00 & rawben_rel_max <   0.54 & shelter_expenses_by_hh_size < 202.00","xgboost",14,7,0.5,0.2988,3,0,0,0,0,0.014,3,0,0,0,0,0.014,"other_error"
"1","cat_elig >=   1.000 & medical_deductions >= 401.000 & months_since_cert_n >=   9.000 & rawben_rel_max <   0.992","xgboost",30,13,0.4333,0.2962,21,6,0.2857,0.008,0.0133,0.099,21,6,0.2857,0.0046,0.0064,0.096,"other_error"
"1","rawben_rel_max >=   0.984 & rawben_rel_max <   0.992 & unc_rawben_rel_max >=   0.036 & utilities < 612.000","xgboost",269,92,0.342,0.2962,163,41,0.2515,0.0547,0.0665,0.768,163,41,0.2515,0.0317,0.0318,0.749,"other_error"
"1","rawben_rel_max >    0.985 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size <= 1310.000 & utilities <=  578.000","ranger_mtry1",210,73,0.3476,0.2958,145,32,0.2207,0.0427,0.0484,0.683,145,32,0.2207,0.0247,0.0232,0.666,"other_error"
"1","medical_deductions >= 117.000 & medical_deductions < 133.000 & rawben_rel_max >=   0.381 & unc_rawben_rel_max <   1.000","xgboost",74,28,0.3784,0.2915,97,19,0.1959,0.0254,0.0144,0.457,103,25,0.2427,0.0193,0.0114,0.473,"other_error"
"1","medical_deductions >=  70 & total_deductions_by_hh_size >= 337 & utilities >= 529 & utilities < 530","xgboost",25,11,0.44,0.2906,0,0,NA,0,0,0,0,0,NA,0,0,0,"other_error"
"1","medical_deductions >=   4.00 & medical_deductions <  25.00 & rawben_rel_max <   0.44 & utilities >= 281.00","xgboost",60,23,0.3833,0.2872,19,5,0.2632,0.0067,0.0075,0.09,19,5,0.2632,0.0039,0.0036,0.087,"other_error"
"1","children_i > 0.500 & elderly_disabled_i > 0.500 & rawben_rel_max > 0.526","ranger_mtry1",12,6,0.5,0.2855,6,2,0.3333,0.0027,0.0044,0.028,6,2,0.3333,0.0015,0.0021,0.028,"other_error"
"1","rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >=   8.000 & utilities < 850.000","xgboost",348,113,0.3247,0.2849,172,48,0.2791,0.0641,0.0727,0.81,172,48,0.2791,0.0371,0.0348,0.79,"other_error"
"1","children_i >    0.5 & elderly_disabled_i >    0.5 & percent_abawd <=    0.5 & utilities <= 1050.0","ranger_mtry1",20,9,0.45,0.2841,11,4,0.3636,0.0053,0.0085,0.052,11,4,0.3636,0.0031,0.0041,0.051,"other_error"
"1","rawben_rel_max <   0.992 & total_deductions_by_hh_size >=   8.000 & total_deductions_by_hh_size <  13.000 & utilities >= 360.000","xgboost",52,20,0.3846,0.282,15,0,0,0,0,0.071,15,0,0,0,0,0.069,"other_error"
"1","cat_elig >=   1.0000 & medical_deductions >= 278.0000 & rawben_rel_max >=   0.0859 & total_deductions_by_hh_size < 537.0000","xgboost",23,10,0.4348,0.2807,8,0,0,0,0,0.038,8,0,0,0,0,0.037,"other_error"
"1","cat_elig > 0.5 & count_divisible_by_100 <= 0.5 & medical_deductions > 1.5 & medical_deductions <= 9.5","ranger_mtry1",83,30,0.3614,0.2803,33,10,0.303,0.0134,0.0077,0.155,33,10,0.303,0.0077,0.0037,0.152,"other_error"
"1","medical_deductions >= 150.000 & medical_deductions < 160.000 & rawben_rel_max >=   0.344 & total_deductions_by_hh_size < 889.000","xgboost",56,21,0.375,0.2767,20,4,0.2,0.0053,0.004,0.094,20,4,0.2,0.0031,0.0019,0.092,"other_error"
"1","total_deductions_by_hh_size >=   8 & total_deductions_by_hh_size <  13 & utilities >= 341","xgboost",53,20,0.3774,0.2763,50,16,0.32,0.0214,0.0145,0.236,50,16,0.32,0.0124,0.0069,0.23,"other_error"
"1","children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 494.000 & unc_rawben_rel_max >   0.987","ranger_mtry1",390,122,0.3128,0.2756,180,46,0.2556,0.0614,0.073,0.848,180,46,0.2556,0.0356,0.0349,0.827,"other_error"
"1","rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 601.000","xgboost",375,117,0.312,0.2741,170,44,0.2588,0.0587,0.0701,0.801,170,44,0.2588,0.034,0.0336,0.781,"other_error"
"1","rawben_rel_max >=   0.984 & rawben_rel_max <   0.992 & utilities < 819.000","xgboost",377,117,0.3103,0.2726,210,51,0.2429,0.0681,0.0778,0.989,210,51,0.2429,0.0394,0.0373,0.965,"other_error"
"1","rawben_rel_max > 0.989 & rawben_rel_max <= 0.991","ranger_mtry1",241,77,0.3195,0.2723,236,50,0.2119,0.0668,0.0761,1.112,236,50,0.2119,0.0387,0.0365,1.084,"other_error"
"1","children_i >   0.50 & married <=   0.50 & rawben_rel_max <=   0.71 & total_deductions_by_hh_size <= 188.00","ranger_mtry1",18,8,0.4444,0.2719,9,2,0.2222,0.0027,0.0036,0.042,13,6,0.4615,0.0046,0.0045,0.06,"other_error"
"1","elderly_disabled_i >= 1.000 & rawben_rel_max >= 0.988 & rawben_rel_max < 0.992","xgboost",403,124,0.3077,0.2713,204,50,0.2451,0.0668,0.0761,0.961,204,50,0.2451,0.0387,0.0365,0.937,"other_error"
"1","children_i <=   0.500 & shelter_expenses_by_hh_size > 552.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   0.991","ranger_mtry1",400,123,0.3075,0.2709,190,48,0.2526,0.0641,0.0744,0.895,190,48,0.2526,0.0371,0.0356,0.873,"other_error"
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 790.000","ranger_mtry1",383,118,0.3081,0.2707,176,46,0.2614,0.0614,0.073,0.829,176,46,0.2614,0.0356,0.0349,0.809,"other_error"
"1","shelter_expenses_by_hh_size > 552.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   0.991","ranger_mtry1",401,123,0.3067,0.2703,190,48,0.2526,0.0641,0.0744,0.895,190,48,0.2526,0.0371,0.0356,0.873,"other_error"
"1","children_i >    0.500 & rawben_rel_max <=    0.213 & shelter_expenses_by_hh_size <= 1760.000 & utilities <=  232.000","ranger_mtry1",10,5,0.5,0.2693,4,0,0,0,0,0.019,4,0,0,0,0,0.018,"other_error"
"1","children_i >   0.5 & months_since_cert_n <=  13.5 & shelter_expenses_by_hh_size <= 731.0 & utilities > 598.0","ranger_mtry1",10,5,0.5,0.2693,2,0,0,0,0,0.009,2,0,0,0,0,0.009,"other_error"
"1","children_i > 0.5 & elderly_disabled_i > 0.5 & married <= 0.5","ranger_mtry1",21,9,0.4286,0.2693,11,4,0.3636,0.0053,0.0085,0.052,11,4,0.3636,0.0031,0.0041,0.051,"other_error"
"1","count_divisible_by_100 <=  0.5 & medical_deductions >  3.5 & medical_deductions <= 11.5","ranger_mtry1",93,32,0.3441,0.2685,42,11,0.2619,0.0147,0.0081,0.198,42,11,0.2619,0.0085,0.0039,0.193,"other_error"
"1","medical_deductions <  150.000 & rawben_rel_max >=    0.979 & rawben_rel_max <    0.990 & total_deductions_by_hh_size >= 1030.000","xgboost",42,16,0.381,0.2685,22,9,0.4091,0.012,0.0164,0.104,22,9,0.4091,0.007,0.0079,0.101,"other_error"
"1","homeless >   0.500 & total_deductions_by_hh_size > 632.000 & unc_rawben_rel_max <=   0.993 & utilities >  24.000","ranger_mtry1",24,10,0.4167,0.268,21,6,0.2857,0.008,0.0108,0.099,21,6,0.2857,0.0046,0.0052,0.096,"other_error"
"1","rawben_rel_max >=   0.984 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 905.000 & utilities >= 819.000","xgboost",30,12,0.4,0.2671,23,2,0.087,0.0027,0.0034,0.108,23,2,0.087,0.0015,0.0016,0.106,"other_error"
"1","elderly_disabled_i > 0.500 & homeless <= 0.500 & unc_rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.991","ranger_mtry1",392,119,0.3036,0.2668,198,45,0.2273,0.0601,0.0686,0.933,198,45,0.2273,0.0348,0.0329,0.91,"other_error"
"1","homeless <=  0.500 & medical_deductions >  1.500 & medical_deductions <= 11.500 & unc_rawben_rel_max >  0.148","ranger_mtry1",84,29,0.3452,0.2659,43,13,0.3023,0.0174,0.0116,0.203,43,13,0.3023,0.0101,0.0056,0.198,"other_error"
"1","medical_deductions >= 123 & medical_deductions < 130 & utilities >= 430","xgboost",52,19,0.3654,0.2647,47,9,0.1915,0.012,0.0071,0.221,48,10,0.2083,0.0077,0.0038,0.221,"other_error"
"1","medical_deductions >=  4 & medical_deductions < 11","xgboost",91,31,0.3407,0.2646,41,12,0.2927,0.016,0.0106,0.193,41,12,0.2927,0.0093,0.0051,0.188,"other_error"
"1","medical_deductions >  3.5 & medical_deductions <= 11.5","ranger_mtry1",99,33,0.3333,0.2607,43,12,0.2791,0.016,0.0106,0.203,43,12,0.2791,0.0093,0.0051,0.198,"other_error"
