"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame"
"1","months_since_cert_n >=   15.00 & total_deductions_by_hh_size >= 1140.00 & unc_rawben_rel_max >=    2.45","xgboost",33,12,0.3636,0.2411,7,0,0,0,0,0.034,8,1,0.125,8e-04,0.0014,0.037,"unearned_income"
"1","medical_deductions < 132.00 & months_since_cert_n >=  12.00 & unc_rawben_rel_max >=   2.45 & utilities >= 757.00","xgboost",14,6,0.4286,0.2406,4,0,0,0,0,0.019,5,1,0.2,8e-04,0.0014,0.023,"unearned_income"
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.33 & unc_rawben_rel_max <   1.69 & utilities < 288.00","xgboost",71,23,0.3239,0.2405,30,8,0.2667,0.041,0.0456,0.145,31,9,0.2903,0.007,0.0092,0.142,"unearned_income"
"1","expedited_i <=   0.50 & shelter_expenses_by_hh_size <= 961.00 & unc_rawben_rel_max >   1.93","ranger_mtry1",127,38,0.2992,0.2371,58,19,0.3276,0.0974,0.0888,0.281,61,22,0.3607,0.017,0.0171,0.28,"unearned_income"
"1","shelter_expenses_by_hh_size >= 1290.00 & unc_rawben_rel_max >=    2.45 & utilities >=  583.00","xgboost",72,23,0.3194,0.237,32,3,0.0938,0.0154,0.0149,0.155,34,5,0.1471,0.0039,0.0054,0.156,"unearned_income"
"1","cat_elig <    2.00 & total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15 & utilities <  651.00","xgboost",65,21,0.3231,0.2364,39,11,0.2821,0.0564,0.0575,0.189,41,13,0.3171,0.0101,0.0109,0.188,"unearned_income"
"1","months_since_cert_n >    8.50 & total_deductions_by_hh_size <= 1000.00 & unc_rawben_rel_max >    1.93","ranger_mtry1",84,26,0.3095,0.2336,43,11,0.2558,0.0564,0.0578,0.208,45,13,0.2889,0.0101,0.0117,0.207,"unearned_income"
"1","months_since_cert_n >=    9.00 & total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15","xgboost",55,18,0.3273,0.2334,27,6,0.2222,0.0308,0.0274,0.131,27,6,0.2222,0.0046,0.0047,0.124,"unearned_income"
"1","months_since_cert_n <   18.00 & shelter_expenses_by_hh_size >= 1290.00 & unc_rawben_rel_max >=    2.45 & utilities >=  583.00","xgboost",59,19,0.322,0.2317,30,3,0.1,0.0154,0.0149,0.145,31,4,0.129,0.0031,0.0039,0.142,"unearned_income"
"1","unc_rawben_rel_max >=   2.45 & utilities >= 583.00","xgboost",90,27,0.3,0.2273,38,4,0.1053,0.0205,0.0181,0.184,40,6,0.15,0.0046,0.0059,0.184,"unearned_income"
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 943.00 & unc_rawben_rel_max >=   1.69 & utilities < 601.00","xgboost",208,57,0.274,0.2263,89,35,0.3933,0.1795,0.1897,0.431,93,39,0.4194,0.0302,0.0368,0.427,"unearned_income"
"1","shelter_expenses_by_hh_size >= 279.00 & unc_rawben_rel_max >=   2.45 & utilities >= 580.00","xgboost",91,27,0.2967,0.2247,38,4,0.1053,0.0205,0.0181,0.184,40,6,0.15,0.0046,0.0059,0.184,"unearned_income"
"1","elderly_disabled_i >=   1.0 & unc_rawben_rel_max >=   1.3 & utilities < 366.0","xgboost",218,59,0.2706,0.2242,111,41,0.3694,0.2103,0.2371,0.537,114,44,0.386,0.034,0.0445,0.524,"unearned_income"
"1","shelter_expenses_by_hh_size < 1230.00 & unc_rawben_rel_max >=    1.93 & utilities <  577.00","xgboost",135,38,0.2815,0.2226,81,24,0.2963,0.1231,0.1341,0.392,86,29,0.3372,0.0224,0.0268,0.395,"unearned_income"
"1","expedited_i <=   0.500 & rawben_rel_max >   0.299 & unc_rawben_rel_max >   1.930 & utilities <= 684.000","ranger_mtry1",224,60,0.2679,0.2222,113,29,0.2566,0.1487,0.1661,0.547,117,33,0.2821,0.0255,0.0319,0.538,"unearned_income"
"1","months_since_cert_n >  6.50 & months_since_cert_n <= 28.50 & unc_rawben_rel_max >  1.95","ranger_mtry1",220,59,0.2682,0.2221,111,22,0.1982,0.1128,0.1108,0.537,117,28,0.2393,0.0217,0.0259,0.538,"unearned_income"
"1","married <=   0.50 & medical_deductions <= 132.00 & unc_rawben_rel_max >   2.59 & utilities > 582.00","ranger_mtry1",58,18,0.3103,0.2208,31,3,0.0968,0.0154,0.0149,0.15,33,5,0.1515,0.0039,0.0054,0.152,"unearned_income"
"1","total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15 & utilities <  651.00","xgboost",81,24,0.2963,0.2205,39,11,0.2821,0.0564,0.0575,0.189,41,13,0.3171,0.0101,0.0109,0.188,"unearned_income"
"1","months_since_cert_n >=  12.00 & months_since_cert_n <  15.00 & total_deductions_by_hh_size < 943.00 & unc_rawben_rel_max >=   1.94","xgboost",12,5,0.4167,0.22,3,1,0.3333,0.0051,0.0083,0.015,3,1,0.3333,8e-04,0.0014,0.014,"unearned_income"
"1","cat_elig <    2.00 & shelter_expenses_by_hh_size < 1790.00 & unc_rawben_rel_max >=    1.93 & utilities <  723.00","xgboost",198,53,0.2677,0.2193,126,32,0.254,0.1641,0.1766,0.61,136,42,0.3088,0.0325,0.0411,0.625,"unearned_income"
"1","months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.97","ranger_mtry1",223,59,0.2646,0.219,114,23,0.2018,0.1179,0.1145,0.552,119,28,0.2353,0.0217,0.0258,0.547,"unearned_income"
"1","months_since_cert_n >=    9.00 & total_deductions_by_hh_size >=  994.00 & total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15","xgboost",22,8,0.3636,0.2187,15,4,0.2667,0.0205,0.0169,0.073,15,4,0.2667,0.0031,0.0029,0.069,"unearned_income"
"1","months_since_cert_n > 6.50 & percent_abawd <= 0.25 & unc_rawben_rel_max > 1.93","ranger_mtry1",242,63,0.2603,0.2168,123,23,0.187,0.1179,0.1145,0.595,129,29,0.2248,0.0224,0.0265,0.593,"unearned_income"
"1","elderly_disabled_i >=    1.00 & total_deductions_by_hh_size < 1020.00 & unc_rawben_rel_max >=    1.69 & utilities <  688.00","xgboost",272,70,0.2574,0.2163,119,40,0.3361,0.2051,0.2079,0.576,124,45,0.3629,0.0348,0.0413,0.57,"unearned_income"
"1","count_divisible_by_100 <=  1.50 & medical_deductions <= 15.50 & months_since_cert_n >  6.50 & unc_rawben_rel_max >  1.93","ranger_mtry1",224,58,0.2589,0.2139,114,21,0.1842,0.1077,0.0978,0.552,120,27,0.225,0.0209,0.0237,0.551,"unearned_income"
"1","rawben_rel_max >=    0.392 & shelter_expenses_by_hh_size < 1610.000 & unc_rawben_rel_max >=    2.450 & utilities >=  723.000","xgboost",26,9,0.3462,0.2139,11,1,0.0909,0.0051,0.0032,0.053,11,1,0.0909,8e-04,5e-04,0.051,"unearned_income"
"1","shelter_expenses_by_hh_size < 653.00 & unc_rawben_rel_max >=   1.86 & utilities >= 284.00 & utilities < 385.00","xgboost",26,9,0.3462,0.2139,3,0,0,0,0,0.015,3,0,0,0,0,0.014,"unearned_income"
"1","elderly_disabled_i >=    1.00 & total_deductions_by_hh_size < 1100.00 & unc_rawben_rel_max >=    1.66 & utilities <  688.00","xgboost",310,78,0.2516,0.2133,144,47,0.3264,0.241,0.2479,0.697,150,53,0.3533,0.041,0.0495,0.689,"unearned_income"
"1","expedited_i <=    0.50 & shelter_expenses_by_hh_size <= 1020.00 & unc_rawben_rel_max >    1.95","ranger_mtry1",145,39,0.269,0.213,73,20,0.274,0.1026,0.0972,0.353,76,23,0.3026,0.0178,0.0185,0.349,"unearned_income"
"1","cat_elig <=    2.50 & total_deductions_by_hh_size > 1350.00 & unc_rawben_rel_max >    2.57 & utilities >   12.50","ranger_mtry1",100,28,0.28,0.2127,49,8,0.1633,0.041,0.0566,0.237,53,12,0.2264,0.0093,0.0144,0.243,"unearned_income"
"1","months_since_cert_n >= 7.00 & unc_rawben_rel_max >= 1.94","xgboost",239,61,0.2552,0.2118,121,23,0.1901,0.1179,0.1145,0.585,127,29,0.2283,0.0224,0.0265,0.583,"unearned_income"
"1","elderly_disabled_i >=   1.0 & total_deductions_by_hh_size >= 293.0 & unc_rawben_rel_max >=   1.3 & utilities < 366.0","xgboost",184,48,0.2609,0.2114,101,39,0.3861,0.2,0.2229,0.489,104,42,0.4038,0.0325,0.0421,0.478,"unearned_income"
"1","children_i <=   0.50 & elderly_disabled_i >   0.50 & total_deductions_by_hh_size <= 946.00 & unc_rawben_rel_max >   1.93","ranger_mtry1",142,38,0.2676,0.2113,68,22,0.3235,0.1128,0.111,0.329,70,24,0.3429,0.0186,0.0206,0.322,"unearned_income"
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   7.00 & total_deductions_by_hh_size < 328.00 & unc_rawben_rel_max >=   1.25","xgboost",30,10,0.3333,0.2108,15,3,0.2,0.0154,0.025,0.073,15,3,0.2,0.0023,0.0043,0.069,"unearned_income"
"1","percent_abawd <=    0.50 & shelter_expenses_by_hh_size <= 1590.00 & unc_rawben_rel_max >    1.93 & utilities <=  494.00","ranger_mtry1",139,37,0.2662,0.2094,70,21,0.3,0.1077,0.119,0.339,76,27,0.3553,0.0209,0.0265,0.349,"unearned_income"
"1","count_divisible_by_100 <= 0.50 & married <= 0.50 & months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.93","ranger_mtry1",229,58,0.2533,0.2091,109,23,0.211,0.1179,0.1145,0.527,115,29,0.2522,0.0224,0.0265,0.528,"unearned_income"
"1","elderly_disabled_i >=   1.0 & total_deductions_by_hh_size < 293.0 & unc_rawben_rel_max >=   1.3 & utilities < 366.0","xgboost",34,11,0.3235,0.2089,10,2,0.2,0.0103,0.0142,0.048,10,2,0.2,0.0015,0.0024,0.046,"unearned_income"
"1","cat_elig >=    2.00 & months_since_cert_n >=    9.00 & total_deductions_by_hh_size >= 1140.00 & unc_rawben_rel_max >=    2.15","xgboost",23,8,0.3478,0.2085,1,0,0,0,0,0.005,1,0,0,0,0,0.005,"unearned_income"
"1","shelter_expenses_by_hh_size >= 1500.00 & shelter_expenses_by_hh_size < 1790.00 & total_deductions_by_hh_size >=  675.00 & unc_rawben_rel_max >=    2.45","xgboost",23,8,0.3478,0.2085,14,3,0.2143,0.0154,0.0193,0.068,17,6,0.3529,0.0046,0.0075,0.078,"unearned_income"
"1","count_divisible_by_100 >=    1.00 & total_deductions_by_hh_size >= 1360.00 & unc_rawben_rel_max >=    1.69","xgboost",16,6,0.375,0.2081,13,1,0.0769,0.0051,0.0083,0.063,13,1,0.0769,8e-04,0.0014,0.06,"unearned_income"
