"n_deduction_types","rawben_rel_max","earned_by_hh_size","n_excluded","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision"
4,0.55,850,29,5.4614,25,4,0.8621,724,0.9587,0.9551,0.1693
4,0.55,900,29,5.4614,25,4,0.8621,724,0.9587,0.9551,0.1693
4,0.5,1050,29,5.4614,24,5,0.8276,803,0.9542,0.9438,0.1673
1,0.6,100,28,5.2731,21,7,0.75,748,0.9573,0.9213,0.163
1,0.6,150,28,5.2731,21,7,0.75,748,0.9573,0.9213,0.163
2,0.45,500,28,5.2731,23,5,0.8214,466,0.9734,0.9438,0.167
3,0.35,700,28,5.2731,24,4,0.8571,450,0.9743,0.9551,0.169
4,0.75,700,28,5.2731,26,2,0.9286,299,0.9829,0.9775,0.173
1,0.25,800,28,5.2731,23,5,0.8214,410,0.9766,0.9438,0.167
4,0.5,1000,28,5.2731,23,5,0.8214,803,0.9542,0.9438,0.167
4,0.8,600,27,5.0847,25,2,0.9259,299,0.9829,0.9775,0.1726
1,0.3,650,27,5.0847,23,4,0.8519,345,0.9803,0.9551,0.1687
4,0.75,650,27,5.0847,25,2,0.9259,299,0.9829,0.9775,0.1726
1,0.25,750,27,5.0847,22,5,0.8148,410,0.9766,0.9438,0.1667
4,0.6,750,27,5.0847,25,2,0.9259,299,0.9829,0.9775,0.1726
4,0.65,750,27,5.0847,25,2,0.9259,299,0.9829,0.9775,0.1726
4,0.55,800,27,5.0847,24,3,0.8889,409,0.9767,0.9663,0.1706
1,0.45,450,26,4.8964,20,6,0.7692,532,0.9696,0.9326,0.1644
2,0.4,550,26,4.8964,21,5,0.8077,507,0.9711,0.9438,0.1663
4,0.7,700,26,4.8964,24,2,0.9231,299,0.9829,0.9775,0.1723
2,0.25,800,26,4.8964,21,5,0.8077,410,0.9766,0.9438,0.1663
4,0.5,950,26,4.8964,21,5,0.8077,803,0.9542,0.9438,0.1663
1,0.6,50,25,4.7081,20,5,0.8,458,0.9739,0.9438,0.166
2,0.6,200,25,4.7081,18,7,0.72,816,0.9534,0.9213,0.1621
4,0.85,550,25,4.7081,21,4,0.84,567,0.9676,0.9551,0.168
3,0.4,600,25,4.7081,20,5,0.8,548,0.9687,0.9438,0.166
2,0.3,650,25,4.7081,21,4,0.84,345,0.9803,0.9551,0.168
4,0.7,650,25,4.7081,23,2,0.92,299,0.9829,0.9775,0.1719
2,0.25,750,25,4.7081,20,5,0.8,410,0.9766,0.9438,0.166
3,0.3,800,25,4.7081,22,3,0.88,499,0.9715,0.9663,0.17
4,0.5,850,25,4.7081,21,4,0.84,724,0.9587,0.9551,0.168
4,0.5,900,25,4.7081,21,4,0.84,724,0.9587,0.9551,0.168
3,0.25,1050,25,4.7081,21,4,0.84,422,0.9759,0.9551,0.168
1,0.55,200,24,4.5198,17,7,0.7083,731,0.9583,0.9213,0.1617
4,0.75,600,24,4.5198,22,2,0.9167,299,0.9829,0.9775,0.1716
3,0.35,650,24,4.5198,20,4,0.8333,450,0.9743,0.9551,0.1677
4,0.55,750,24,4.5198,22,2,0.9167,299,0.9829,0.9775,0.1716
1,0.4,500,23,4.3315,19,4,0.8261,409,0.9767,0.9551,0.1673
1,0.3,600,23,4.3315,19,4,0.8261,345,0.9803,0.9551,0.1673
1,0.25,700,23,4.3315,19,4,0.8261,345,0.9803,0.9551,0.1673
3,0.3,750,23,4.3315,20,3,0.8696,499,0.9715,0.9663,0.1693
4,0.5,800,23,4.3315,20,3,0.8696,409,0.9767,0.9663,0.1693
4,0.45,1050,23,4.3315,20,3,0.8696,504,0.9712,0.9663,0.1693
2,0.6,100,22,4.1431,16,6,0.7273,682,0.9611,0.9326,0.1631
2,0.6,150,22,4.1431,16,6,0.7273,682,0.9611,0.9326,0.1631
4,0.85,500,22,4.1431,18,4,0.8182,567,0.9676,0.9551,0.167
1,0.35,550,22,4.1431,18,4,0.8182,409,0.9767,0.9551,0.167
4,0.8,550,22,4.1431,20,2,0.9091,299,0.9829,0.9775,0.1709
4,0.7,600,22,4.1431,20,2,0.9091,299,0.9829,0.9775,0.1709
4,0.6,700,22,4.1431,20,2,0.9091,299,0.9829,0.9775,0.1709
4,0.65,700,22,4.1431,20,2,0.9091,299,0.9829,0.9775,0.1709
3,0.25,1000,22,4.1431,18,4,0.8182,422,0.9759,0.9551,0.167
4,0.45,1000,22,4.1431,19,3,0.8636,504,0.9712,0.9663,0.169
1,0.2,1050,22,4.1431,17,5,0.7727,459,0.9738,0.9438,0.165
2,0.2,1050,22,4.1431,17,5,0.7727,459,0.9738,0.9438,0.165
1,0.55,100,21,3.9548,15,6,0.7143,597,0.9659,0.9326,0.1627
1,0.55,150,21,3.9548,15,6,0.7143,597,0.9659,0.9326,0.1627
1,0.5,200,21,3.9548,15,6,0.7143,597,0.9659,0.9326,0.1627
3,0.7,350,21,3.9548,17,4,0.8095,857,0.9511,0.9551,0.1667
1,0.45,400,21,3.9548,16,5,0.7619,475,0.9729,0.9438,0.1647
2,0.45,450,21,3.9548,16,5,0.7619,466,0.9734,0.9438,0.1647
3,0.45,550,21,3.9548,18,3,0.8571,391,0.9777,0.9663,0.1686
2,0.3,600,21,3.9548,17,4,0.8095,345,0.9803,0.9551,0.1667
4,0.6,650,21,3.9548,19,2,0.9048,299,0.9829,0.9775,0.1706
4,0.65,650,21,3.9548,19,2,0.9048,299,0.9829,0.9775,0.1706
2,0.25,700,21,3.9548,17,4,0.8095,345,0.9803,0.9551,0.1667
4,0.45,950,21,3.9548,18,3,0.8571,504,0.9712,0.9663,0.1686
1,0.2,1000,21,3.9548,16,5,0.7619,459,0.9738,0.9438,0.1647
2,0.2,1000,21,3.9548,16,5,0.7619,459,0.9738,0.9438,0.1647
1,0.55,50,20,3.7665,15,5,0.75,458,0.9739,0.9438,0.1644
2,0.4,500,20,3.7665,16,4,0.8,409,0.9767,0.9551,0.1663
4,0.8,500,20,3.7665,18,2,0.9,299,0.9829,0.9775,0.1703
2,0.35,550,20,3.7665,16,4,0.8,409,0.9767,0.9551,0.1663
3,0.35,600,20,3.7665,16,4,0.8,450,0.9743,0.9551,0.1663
3,0.3,700,20,3.7665,18,2,0.9,229,0.9869,0.9775,0.1703
4,0.55,700,20,3.7665,18,2,0.9,299,0.9829,0.9775,0.1703
4,0.5,750,20,3.7665,18,2,0.9,299,0.9829,0.9775,0.1703
4,0.45,850,20,3.7665,18,2,0.9,425,0.9758,0.9775,0.1703
4,0.45,900,20,3.7665,18,2,0.9,425,0.9758,0.9775,0.1703
2,0.6,50,19,3.5782,15,4,0.7895,392,0.9776,0.9551,0.166
1,0.5,100,19,3.5782,13,6,0.6842,597,0.9659,0.9326,0.1621
1,0.5,150,19,3.5782,13,6,0.6842,597,0.9659,0.9326,0.1621
2,0.55,200,19,3.5782,13,6,0.6842,665,0.9621,0.9326,0.1621
3,0.65,350,19,3.5782,15,4,0.7895,857,0.9511,0.9551,0.166
4,0.75,550,19,3.5782,17,2,0.8947,299,0.9829,0.9775,0.1699
4,0.6,600,19,3.5782,17,2,0.8947,299,0.9829,0.9775,0.1699
4,0.65,600,19,3.5782,17,2,0.8947,299,0.9829,0.9775,0.1699
1,0.25,650,19,3.5782,15,4,0.7895,345,0.9803,0.9551,0.166
4,0.55,650,19,3.5782,17,2,0.8947,299,0.9829,0.9775,0.1699
1,0.5,50,18,3.3898,13,5,0.7222,458,0.9739,0.9438,0.1637
1,0.45,350,18,3.3898,13,5,0.7222,475,0.9729,0.9438,0.1637
4,0.95,450,18,3.3898,14,4,0.7778,876,0.95,0.9551,0.1657
1,0.35,500,18,3.3898,14,4,0.7778,409,0.9767,0.9551,0.1657
4,0.5,700,18,3.3898,16,2,0.8889,299,0.9829,0.9775,0.1696
4,0.45,800,18,3.3898,17,1,0.9444,110,0.9937,0.9888,0.1715
3,0.25,950,18,3.3898,15,3,0.8333,308,0.9824,0.9663,0.1676
4,0.4,1050,18,3.3898,15,3,0.8333,504,0.9712,0.9663,0.1676
3,0.6,350,17,3.2015,13,4,0.7647,857,0.9511,0.9551,0.1654
1,0.4,450,17,3.2015,13,4,0.7647,409,0.9767,0.9551,0.1654
4,0.9,450,17,3.2015,13,4,0.7647,876,0.95,0.9551,0.1654
4,0.75,500,17,3.2015,15,2,0.8824,299,0.9829,0.9775,0.1693
3,0.4,550,17,3.2015,14,3,0.8235,391,0.9777,0.9663,0.1673
4,0.7,550,17,3.2015,15,2,0.8824,299,0.9829,0.9775,0.1693
1,0.25,600,17,3.2015,13,4,0.7647,345,0.9803,0.9551,0.1654
4,0.55,600,17,3.2015,15,2,0.8824,299,0.9829,0.9775,0.1693
2,0.25,650,17,3.2015,13,4,0.7647,345,0.9803,0.9551,0.1654
3,0.3,650,17,3.2015,15,2,0.8824,229,0.9869,0.9775,0.1693
4,0.5,650,17,3.2015,15,2,0.8824,299,0.9829,0.9775,0.1693
3,0.25,850,17,3.2015,15,2,0.8824,229,0.9869,0.9775,0.1693
3,0.25,900,17,3.2015,15,2,0.8824,229,0.9869,0.9775,0.1693
1,0.2,950,17,3.2015,13,4,0.7647,345,0.9803,0.9551,0.1654
2,0.2,950,17,3.2015,13,4,0.7647,345,0.9803,0.9551,0.1654
4,0.4,1000,17,3.2015,14,3,0.8235,504,0.9712,0.9663,0.1673
2,0.55,100,16,3.0132,11,5,0.6875,531,0.9697,0.9438,0.1631
2,0.55,150,16,3.0132,11,5,0.6875,531,0.9697,0.9438,0.1631
2,0.5,200,16,3.0132,11,5,0.6875,531,0.9697,0.9438,0.1631
1,0.45,300,16,3.0132,11,5,0.6875,475,0.9729,0.9438,0.1631
2,0.45,400,16,3.0132,12,4,0.75,409,0.9767,0.9551,0.165
4,0.95,400,16,3.0132,12,4,0.75,876,0.95,0.9551,0.165
2,0.35,500,16,3.0132,12,4,0.75,409,0.9767,0.9551,0.165
3,0.45,500,16,3.0132,14,2,0.875,293,0.9833,0.9775,0.1689
4,0.7,500,16,3.0132,14,2,0.875,299,0.9829,0.9775,0.1689
1,0.3,550,16,3.0132,13,3,0.8125,270,0.9846,0.9663,0.167
1,0.2,850,16,3.0132,13,3,0.8125,267,0.9848,0.9663,0.167
2,0.2,850,16,3.0132,13,3,0.8125,267,0.9848,0.9663,0.167
1,0.2,900,16,3.0132,13,3,0.8125,267,0.9848,0.9663,0.167
2,0.2,900,16,3.0132,13,3,0.8125,267,0.9848,0.9663,0.167
4,0.4,950,16,3.0132,13,3,0.8125,504,0.9712,0.9663,0.167
2,0.55,50,15,2.8249,11,4,0.7333,392,0.9776,0.9551,0.1647
1,0.45,250,15,2.8249,10,5,0.6667,475,0.9729,0.9438,0.1628
1,0.4,400,15,2.8249,11,4,0.7333,409,0.9767,0.9551,0.1647
4,0.9,400,15,2.8249,11,4,0.7333,876,0.95,0.9551,0.1647
1,0.3,500,15,2.8249,12,3,0.8,270,0.9846,0.9663,0.1667
4,0.6,550,15,2.8249,13,2,0.8667,299,0.9829,0.9775,0.1686
4,0.65,550,15,2.8249,13,2,0.8667,299,0.9829,0.9775,0.1686
2,0.25,600,15,2.8249,11,4,0.7333,345,0.9803,0.9551,0.1647
4,0.5,600,15,2.8249,13,2,0.8667,299,0.9829,0.9775,0.1686
4,0.45,750,15,2.8249,15,0,1,0,1,1,0.1725
3,0.25,800,15,2.8249,13,2,0.8667,229,0.9869,0.9775,0.1686
4,0.4,850,15,2.8249,13,2,0.8667,425,0.9758,0.9775,0.1686
4,0.4,900,15,2.8249,13,2,0.8667,425,0.9758,0.9775,0.1686
2,0.5,100,14,2.6365,9,5,0.6429,531,0.9697,0.9438,0.1625
2,0.5,150,14,2.6365,9,5,0.6429,531,0.9697,0.9438,0.1625
1,0.45,200,14,2.6365,9,5,0.6429,475,0.9729,0.9438,0.1625
3,0.7,300,14,2.6365,10,4,0.7143,857,0.9511,0.9551,0.1644
1,0.35,450,14,2.6365,10,4,0.7143,409,0.9767,0.9551,0.1644
2,0.4,450,14,2.6365,10,4,0.7143,409,0.9767,0.9551,0.1644
4,0.6,500,14,2.6365,12,2,0.8571,299,0.9829,0.9775,0.1683
4,0.65,500,14,2.6365,12,2,0.8571,299,0.9829,0.9775,0.1683
2,0.3,550,14,2.6365,11,3,0.7857,270,0.9846,0.9663,0.1663
3,0.25,750,14,2.6365,12,2,0.8571,229,0.9869,0.9775,0.1683
2,0.5,50,13,2.4482,9,4,0.6923,392,0.9776,0.9551,0.1641
1,0.45,100,13,2.4482,8,5,0.6154,475,0.9729,0.9438,0.1622
1,0.45,150,13,2.4482,8,5,0.6154,475,0.9729,0.9438,0.1622
3,0.6,300,13,2.4482,9,4,0.6923,857,0.9511,0.9551,0.1641
3,0.65,300,13,2.4482,9,4,0.6923,857,0.9511,0.9551,0.1641
1,0.4,350,13,2.4482,9,4,0.6923,409,0.9767,0.9551,0.1641
2,0.45,350,13,2.4482,9,4,0.6923,409,0.9767,0.9551,0.1641
1,0.35,400,13,2.4482,9,4,0.6923,409,0.9767,0.9551,0.1641
4,0.85,450,13,2.4482,10,3,0.7692,447,0.9745,0.9663,0.166
2,0.3,500,13,2.4482,10,3,0.7692,270,0.9846,0.9663,0.166
3,0.35,550,13,2.4482,11,2,0.8462,293,0.9833,0.9775,0.168
4,0.55,550,13,2.4482,11,2,0.8462,299,0.9829,0.9775,0.168
3,0.3,600,13,2.4482,11,2,0.8462,229,0.9869,0.9775,0.168
4,0.45,700,13,2.4482,13,0,1,0,1,1,0.1718
4,0.4,800,13,2.4482,12,1,0.9231,110,0.9937,0.9888,0.1699
1,0.45,50,12,2.2599,8,4,0.6667,336,0.9808,0.9551,0.1638
3,0.55,350,12,2.2599,9,3,0.75,706,0.9597,0.9663,0.1657
4,0.95,350,12,2.2599,10,2,0.8333,466,0.9734,0.9775,0.1676
4,1,350,12,2.2599,10,2,0.8333,466,0.9734,0.9775,0.1676
2,0.4,400,12,2.2599,8,4,0.6667,409,0.9767,0.9551,0.1638
1,0.3,450,12,2.2599,9,3,0.75,270,0.9846,0.9663,0.1657
2,0.35,450,12,2.2599,8,4,0.6667,409,0.9767,0.9551,0.1638
1,0.25,500,12,2.2599,9,3,0.75,270,0.9846,0.9663,0.1657
3,0.4,500,12,2.2599,10,2,0.8333,293,0.9833,0.9775,0.1676
4,0.55,500,12,2.2599,10,2,0.8333,299,0.9829,0.9775,0.1676
1,0.25,550,12,2.2599,9,3,0.75,270,0.9846,0.9663,0.1657
4,0.5,550,12,2.2599,10,2,0.8333,299,0.9829,0.9775,0.1676
4,0.45,650,12,2.2599,12,0,1,0,1,1,0.1715
3,0.25,700,12,2.2599,10,2,0.8333,229,0.9869,0.9775,0.1676
1,0.2,800,12,2.2599,9,3,0.75,267,0.9848,0.9663,0.1657
2,0.2,800,12,2.2599,9,3,0.75,267,0.9848,0.9663,0.1657
3,0.2,1050,12,2.2599,9,3,0.75,343,0.9804,0.9663,0.1657
3,1,100,11,2.0716,6,5,0.5455,762,0.9565,0.9438,0.1615
3,0.95,200,11,2.0716,6,5,0.5455,638,0.9636,0.9438,0.1615
1,0.4,250,11,2.0716,7,4,0.6364,409,0.9767,0.9551,0.1635
3,0.7,250,11,2.0716,7,4,0.6364,857,0.9511,0.9551,0.1635
1,0.4,300,11,2.0716,7,4,0.6364,409,0.9767,0.9551,0.1635
2,0.45,300,11,2.0716,7,4,0.6364,409,0.9767,0.9551,0.1635
1,0.35,350,11,2.0716,7,4,0.6364,409,0.9767,0.9551,0.1635
3,0.5,350,11,2.0716,8,3,0.7273,706,0.9597,0.9663,0.1654
4,0.9,350,11,2.0716,9,2,0.8182,466,0.9734,0.9775,0.1673
1,0.3,400,11,2.0716,8,3,0.7273,270,0.9846,0.9663,0.1654
2,0.35,400,11,2.0716,7,4,0.6364,409,0.9767,0.9551,0.1635
4,0.85,400,11,2.0716,8,3,0.7273,447,0.9745,0.9663,0.1654
3,0.45,450,11,2.0716,9,2,0.8182,293,0.9833,0.9775,0.1673
4,0.8,450,11,2.0716,10,1,0.9091,179,0.9898,0.9888,0.1692
4,0.5,500,11,2.0716,9,2,0.8182,299,0.9829,0.9775,0.1673
1,0.2,750,11,2.0716,8,3,0.7273,267,0.9848,0.9663,0.1654
2,0.2,750,11,2.0716,8,3,0.7273,267,0.9848,0.9663,0.1654
4,0.4,750,11,2.0716,11,0,1,0,1,1,0.1712
3,0.2,1000,11,2.0716,8,3,0.7273,343,0.9804,0.9663,0.1654
4,0.35,1000,11,2.0716,10,1,0.9091,79,0.9955,0.9888,0.1692
4,0.35,1050,11,2.0716,10,1,0.9091,79,0.9955,0.9888,0.1692
3,0.95,150,10,1.8832,5,5,0.5,638,0.9636,0.9438,0.1612
1,0.4,200,10,1.8832,6,4,0.6,409,0.9767,0.9551,0.1631
2,0.45,250,10,1.8832,6,4,0.6,409,0.9767,0.9551,0.1631
3,0.6,250,10,1.8832,6,4,0.6,857,0.9511,0.9551,0.1631
3,0.65,250,10,1.8832,6,4,0.6,857,0.9511,0.9551,0.1631
3,0.55,300,10,1.8832,7,3,0.7,706,0.9597,0.9663,0.1651
2,0.4,350,10,1.8832,6,4,0.6,409,0.9767,0.9551,0.1631
2,0.3,450,10,1.8832,7,3,0.7,270,0.9846,0.9663,0.1651
2,0.25,500,10,1.8832,7,3,0.7,270,0.9846,0.9663,0.1651
3,0.35,500,10,1.8832,8,2,0.8,293,0.9833,0.9775,0.167
2,0.25,550,10,1.8832,7,3,0.7,270,0.9846,0.9663,0.1651
4,0.45,600,10,1.8832,10,0,1,0,1,1,0.1708
1,0.2,650,10,1.8832,7,3,0.7,267,0.9848,0.9663,0.1651
2,0.2,650,10,1.8832,7,3,0.7,267,0.9848,0.9663,0.1651
1,0.2,700,10,1.8832,7,3,0.7,267,0.9848,0.9663,0.1651
2,0.2,700,10,1.8832,7,3,0.7,267,0.9848,0.9663,0.1651
4,0.4,700,10,1.8832,10,0,1,0,1,1,0.1708
4,0.35,950,10,1.8832,9,1,0.9,79,0.9955,0.9888,0.1689
1,0.4,100,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
1,0.4,150,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
2,0.45,200,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
3,0.85,200,9,1.6949,4,5,0.4444,638,0.9636,0.9438,0.1609
3,0.9,200,9,1.6949,4,5,0.4444,638,0.9636,0.9438,0.1609
1,0.35,250,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
1,0.35,300,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
3,0.5,300,9,1.6949,6,3,0.6667,706,0.9597,0.9663,0.1648
1,0.3,350,9,1.6949,6,3,0.6667,270,0.9846,0.9663,0.1648
2,0.35,350,9,1.6949,5,4,0.5556,409,0.9767,0.9551,0.1628
1,0.25,400,9,1.6949,6,3,0.6667,270,0.9846,0.9663,0.1648
2,0.3,400,9,1.6949,6,3,0.6667,270,0.9846,0.9663,0.1648
4,0.8,400,9,1.6949,8,1,0.8889,179,0.9898,0.9888,0.1686
1,0.25,450,9,1.6949,6,3,0.6667,270,0.9846,0.9663,0.1648
1,0.2,600,9,1.6949,6,3,0.6667,267,0.9848,0.9663,0.1648
2,0.2,600,9,1.6949,6,3,0.6667,267,0.9848,0.9663,0.1648
