"n_deduction_types","rawben_rel_max","earned_by_hh_size","n_excluded","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision"
2,0.75,50,30,5.6497,23,7,0.7667,927,0.9471,0.9213,0.1637
3,0.75,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.75,50,0,0,0,0,NA,0,1,1,0.1676
1,0.8,50,38,7.1563,30,8,0.7895,993,0.9433,0.9101,0.1643
2,0.8,50,30,5.6497,23,7,0.7667,927,0.9471,0.9213,0.1637
3,0.8,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.8,50,0,0,0,0,NA,0,1,1,0.1676
1,0.85,50,41,7.7213,32,9,0.7805,1158,0.9339,0.8989,0.1633
2,0.85,50,33,6.2147,25,8,0.7576,1092,0.9377,0.9101,0.1627
3,0.85,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.85,50,0,0,0,0,NA,0,1,1,0.1676
1,0.9,50,48,9.0395,38,10,0.7917,1224,0.9302,0.8876,0.1636
2,0.9,50,40,7.533,31,9,0.775,1158,0.9339,0.8989,0.1629
3,0.9,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.9,50,0,0,0,0,NA,0,1,1,0.1676
1,0.95,50,53,9.9812,42,11,0.7925,1302,0.9257,0.8764,0.1632
2,0.95,50,45,8.4746,35,10,0.7778,1236,0.9295,0.8876,0.1626
3,0.95,50,4,0.7533,3,1,0.75,154,0.9912,0.9888,0.167
4,0.95,50,0,0,0,0,NA,0,1,1,0.1676
1,1,50,61,11.4878,46,15,0.7541,1880,0.8927,0.8315,0.1574
2,1,50,53,9.9812,39,14,0.7358,1814,0.8965,0.8427,0.1569
3,1,50,6,1.1299,4,2,0.6667,401,0.9771,0.9775,0.1657
4,1,50,0,0,0,0,NA,0,1,1,0.1676
1,0.15,100,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
2,0.15,100,1,0.1883,0,1,0,38,0.9978,0.9888,0.166
3,0.15,100,0,0,0,0,NA,0,1,1,0.1676
4,0.15,100,0,0,0,0,NA,0,1,1,0.1676
1,0.2,100,3,0.565,1,2,0.3333,192,0.989,0.9775,0.1648
2,0.2,100,3,0.565,1,2,0.3333,192,0.989,0.9775,0.1648
3,0.2,100,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.2,100,0,0,0,0,NA,0,1,1,0.1676
1,0.25,100,6,1.1299,3,3,0.5,270,0.9846,0.9663,0.1638
2,0.25,100,4,0.7533,1,3,0.25,270,0.9846,0.9663,0.1632
3,0.25,100,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.25,100,0,0,0,0,NA,0,1,1,0.1676
1,0.3,100,6,1.1299,3,3,0.5,270,0.9846,0.9663,0.1638
