"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Idaho",0.1223,-0.2611,-0.0151,-0.2604,-0.1296,-0.2544,0.4676,-0.2931,0.7024,0.1535,1,-0.2913,-0.111,0.5115,-0.4378,0.1788,-0.1101,0.6797,-0.2644,-0.2682,0.0181,-0.1115,-0.0297,-0.5666,-0.3713,0.2836,0.4121,0.3286,-0.0277,-0.0176,0.0199,0.5629,0.2836,-0.0845,-0.1516,-0.5837,-0.1997,-0.3117,0.4211,-0.1822,-0.3562,0.15,0.1541,-0.1957,-0.3469,-0.0799,-0.0402,0.1376,0.2358
"Illinois",0.0117,0.3825,-0.1563,0.1341,0.0671,-0.1852,-0.0088,0.127,-0.1281,0.3305,-0.2913,1,0.0079,-0.1587,-0.3776,-0.178,0.2513,-0.211,-0.0104,-0.1084,-0.0214,0.1918,0.1697,-0.0668,0.3074,-0.2648,0.1586,0.2908,-0.1916,0.2229,-0.262,-0.1162,-0.2057,-0.3801,-0.0275,0.4619,0.2838,0.174,0.098,-0.0989,-0.0706,-0.1019,-0.2379,-0.2038,0.5104,-0.1789,-0.1505,-0.0226,-0.1258
"Indiana",0.6655,0.5998,0.1637,-0.1552,-0.0873,0.0831,0.2214,-0.0495,0.0867,0.289,-0.111,0.0079,1,0.2419,0.0804,0.2127,0.4436,0.0761,0.1381,-0.2469,-0.3388,-0.1222,0.0099,-0.0119,-0.1237,-0.032,0.4469,-0.3294,-0.3788,0.2221,-0.5072,0.0714,-0.3803,0.4952,0.7397,0.0627,-0.4646,-0.3877,0.2859,-0.2596,0.3632,0.389,0.1079,-0.5333,-0.052,-0.1696,-0.0142,-0.0887,-0.4479
"Iowa",0.5307,-0.0171,-0.0063,-0.364,-0.0311,-0.3542,0.6141,-0.4512,0.5185,0.4924,0.5115,-0.1587,0.2419,1,-0.1357,-0.1066,0.054,0.3033,-0.5565,-0.3761,0.2466,-0.0633,-0.0725,-0.1983,-0.4797,0.2441,0.521,0.2723,-0.5913,-0.2058,-0.5876,0.6105,0.5823,0.3089,-0.0079,-0.3348,-0.5608,-0.5411,0.3707,-0.1232,-0.0461,0.5176,0.246,-0.5099,-0.399,-0.1112,-0.3528,0.2843,0.3156
"Kansas",-0.0554,-0.0706,0.3021,0.0058,0.013,0.1901,-0.533,-0.1139,-0.5936,-0.2452,-0.4378,-0.3776,0.0804,-0.1357,1,-0.0589,-0.1649,-0.2814,-0.2369,-0.0583,0.0421,-0.1514,-0.075,0.7225,-0.0558,0.1655,-0.4001,-0.2661,0.2033,-0.2419,-0.0363,-0.4121,0.1371,0.2783,0.1227,-0.0118,-0.0143,0.0814,-0.5356,0.3938,0.486,-0.0732,0.1539,0.2329,-0.0333,0.0203,0.0548,0.0028,0.1793
"Kentucky",0.1964,0.0687,0.1461,-0.1425,-0.0549,0.2454,3e-04,-0.1837,-0.0149,-0.3596,0.1788,-0.178,0.2127,-0.1066,-0.0589,1,0.2213,0.247,0.2947,-0.0453,-0.559,-0.3413,0.1575,-0.3538,-0.0893,0.1203,0.0016,-0.2186,0.3441,0.4405,0.2922,0.2872,-0.2801,0.4445,0.0385,-0.2165,0.1421,-0.1407,0.3337,-0.3664,-0.0392,0.3283,-0.3943,-0.0375,0.0697,0.094,0.5538,-0.1639,-0.4951
"Louisiana",0.5292,0.4073,-0.1761,0.0568,0.0596,0.2316,0.0883,-0.0897,-0.2065,0.1967,-0.1101,0.2513,0.4436,0.054,-0.1649,0.2213,1,-0.0447,0.1606,-0.0158,-0.0719,-0.1587,-0.2603,-0.0762,0.0222,-0.1467,-0.0403,-0.2367,-0.3373,0.2783,-0.2522,0.1193,-0.1745,0.3578,0.561,0.2373,-0.0901,0.0686,0.2381,-0.4977,-0.0736,0.5107,-0.3881,-0.1208,0.3628,-0.3323,-0.2262,0.0125,-0.5393
"Maine",0.0641,-0.332,-0.2116,0.0241,-0.188,0.0426,0.2803,0.0932,0.3513,-0.1332,0.6797,-0.211,0.0761,0.3033,-0.2814,0.247,-0.0447,1,-0.2033,-0.146,-0.3169,0.0799,-0.2019,-0.6167,-0.4012,0.5253,0.1664,0.1499,0.0738,-0.0266,0.0843,0.3748,0.0389,-0.0153,-0.0859,-0.4214,-0.1159,-0.2767,0.0964,-0.0765,-0.2532,-0.1481,0.0873,-0.0834,-0.0549,0.249,-0.1078,0.1807,-0.1702
"Maryland",-0.0961,0.0253,0.0351,0.3951,-0.0466,0.1554,-0.1294,0.4141,0.0494,-0.2873,-0.2644,-0.0104,0.1381,-0.5565,-0.2369,0.2947,0.1606,-0.2033,1,0.1173,-0.4327,0.2046,0.1254,-0.1226,0.3707,-0.2713,-0.1818,-0.3578,0.2904,0.4422,0.2764,-0.2583,-0.6239,0.0812,0.141,0.35,0.2137,0.2189,0.1695,-0.2409,0.0016,-0.1606,-0.4201,0.0845,0.1437,0.1,0.5031,-0.3459,-0.4611
"Massachusetts",-0.1643,-0.2082,-0.0254,0.1856,0.2037,0.1741,-0.3356,0.0903,-0.2224,-0.3468,-0.2682,-0.1084,-0.2469,-0.3761,-0.0583,-0.0453,-0.0158,-0.146,0.1173,1,-0.0455,0.0914,0.0522,0.0749,-0.0393,-0.2638,-0.4678,-0.0559,0.0544,-0.1715,0.4577,-0.2916,-0.2137,-0.1504,-0.2016,0.2725,0.0464,0.3173,-0.071,-0.0576,-0.1636,-0.1443,0.1308,0.283,0.0497,0.1998,0.0337,-0.3268,-0.1969
