"hh_size","rule_a","rule_b","error_jaccard","flag_jaccard","n_err_a","n_err_b"
"1","rule7130","rule12392",0.541,0.606,99,69
"1","rule7130","rule6495",0.615,0.724,99,77
"1","rule12392","rule6495",0.659,0.607,69,77
"1","rule12392","rule9309",0.5,0.345,69,84
"1","rule13309","rule9418",0.5,0.105,7,11
"1","rule1792","rule13598",0.542,0.108,14,23
"1","rule2285","rule16776",0.527,0.513,80,62
"1","rule2285","rule263",0.529,0.498,80,76
"1","rule2285","rule5870",0.509,0.497,80,80
"1","rule2285","rule548",0.504,0.32,80,99
"1","rule10831","rule13488",0.555,0.518,73,126
"1","rule16776","rule263",0.568,0.483,62,76
"1","rule16776","rule5870",0.596,0.502,62,80
"1","rule263","rule5870",0.95,0.944,76,80
"1","rule263","rule548",0.699,0.498,76,99
"1","rule5870","rule548",0.705,0.509,80,99
"1","rule17208","rule10030",0.511,0.17,150,119
"2","rule218","rule15797",0.581,0.487,21,28
"2","rule3074","rule18297",0.511,0.328,27,44
"2","rule11220","rule15092",0.507,0.388,39,65
"2","rule7095","rule10918",0.75,0.448,36,34
"2","rule6266","rule6264",0.878,0.787,122,139
"2","rule6266","rule2475",0.572,0.484,122,128
"2","rule4112","rule17016",0.5,0.337,28,23
"2","rule6264","rule2475",0.679,0.66,139,128
"2","rule2664","rule5977",0.721,0.65,80,111
"2","rule5727","rule7523",0.948,0.956,312,325
"2","rule5727","rule120",0.913,0.928,312,306
"2","rule5727","rule514",0.514,0.428,312,304
"2","rule5727","rule31479",0.631,0.482,312,275
"2","rule5727","rule18446",0.54,0.396,312,301
"2","rule7523","rule120",0.93,0.936,325,306
"2","rule7523","rule514",0.527,0.444,325,304
"2","rule7523","rule31479",0.648,0.499,325,275
"2","rule7523","rule18446",0.557,0.409,325,301
"2","rule120","rule31479",0.605,0.467,306,275
"2","rule120","rule18446",0.514,0.38,306,301
"2","rule11659","rule16953",0.591,0.644,19,16
"2","rule11659","rule1692",0.792,0.817,19,24
"2","rule16953","rule1692",0.667,0.747,16,24
"2","rule28470","rule9480",0.674,0.55,79,70
"2","rule24040","rule24524",0.658,0.545,84,110
"2","rule23648","rule6369",0.517,0.502,140,268
"2","rule514","rule31479",0.703,0.587,304,275
"2","rule514","rule6369",0.755,0.812,304,268
"2","rule514","rule25664",0.814,0.821,304,360
"2","rule514","rule18446",0.649,0.524,304,301
"2","rule31479","rule6369",0.616,0.515,275,268
"2","rule31479","rule25664",0.595,0.504,275,360
"2","rule31479","rule18446",0.761,0.728,275,301
"2","rule6369","rule25664",0.74,0.857,268,360
"2","rule6369","rule18446",0.542,0.457,268,301
"2","rule25664","rule18446",0.559,0.457,360,301
"2","rule4270","rule3995",0.523,0.535,43,56
"2","rule4270","rule11600",0.516,0.5,43,54
"2","rule3995","rule11600",0.719,0.717,56,54
"3","rule12598","rule7705",0.769,0.664,11,12
"3","rule7574","rule12189",0.753,0.728,60,68
"3","rule7574","rule1033",0.724,0.61,60,71
"3","rule12189","rule1033",0.931,0.765,68,71
"3","rule6727","rule763",0.806,0.779,25,31
"3","rule9115","rule2260",0.865,0.781,47,50
"3","rule15779","rule527",0.75,0.635,18,24
"3","rule5099","rule527",0.5,0.621,18,24
"4","rule8658","rule8609",0.909,0.838,20,22
"4","rule8658","rule3534",0.864,0.755,20,21
"4","rule8609","rule3534",0.955,0.912,22,21
"5+","rule2536","rule9592",0.591,0.19,13,22
