fiscal_year,calendar_year,month_name,month_num,state,stratum,sampling_interval,stratum_sampling_size,snap_units_in_state,units_with_complete_reviews,ineligible_units,disqualification_rate,adjusted_snap_units_in_state,failing_units,stratum_sampling_size_edited,stratum_specific_weight,pct_ineligible,ym
2017,2017,February,2,Nevada,0,1,102,224879,85,1,0.0118,222233,0,84,2646,1.18,2017-02
2017,2017,February,2,New Hampshire,0,1,66,46260,55,0,0,46260,1,54,857,0,2017-02
2017,2017,February,2,New Jersey,0,1,87,410725,72,0,0,410725,0,72,5705,0,2017-02
2017,2017,February,2,New Mexico,0,1,98,216423,88,3,0.0341,209045,0,85,2459,3.4099999999999997,2017-02
2017,2017,February,2,New York,0,1,92,1614016,76,0,0,1614016,0,76,21237,0,2017-02
2017,2017,February,2,North Carolina,0,1,85,775431,82,0,0,775431,0,82,9456,0,2017-02
2017,2017,February,2,North Dakota,0,1,45,25289,40,1,0.025,24657,0,39,632,2.5,2017-02
2017,2017,February,2,Ohio,0,1,96,750172,86,0,0,750172,0,86,8723,0,2017-02
2017,2017,February,2,Oklahoma,0,1,100,274024,91,2,0.022,268001,0,89,3011,2.1999999999999997,2017-02
2017,2017,February,2,Oregon,0,1,102,392997,76,1,0.0132,387826,0,75,5171,1.32,2017-02
2017,2017,February,2,Pennsylvania,0,1,88,951452,68,0,0,951452,0,68,13992,0,2017-02
2017,2017,February,2,Rhode Island,0,1,89,95391,78,0,0,95391,0,78,1223,0,2017-02
2017,2017,February,2,South Carolina,0,1,93,339846,85,0,0,339846,0,85,3998,0,2017-02
2017,2017,February,2,South Dakota,0,1,64,41769,61,0,0,41769,0,61,685,0,2017-02
2017,2017,February,2,Tennessee,0,1,106,513580,74,1,0.0135,506640,0,73,6940,1.35,2017-02
2017,2017,February,2,Texas,0,1,104,1590475,85,1,0.0118,1571764,0,84,18711,1.18,2017-02
2017,2017,February,2,Utah,0,1,88,83681,69,2,0.029,81255,0,67,1213,2.9000000000000004,2017-02
2017,2017,February,2,Vermont,0,1,65,42751,62,0,0,42751,0,62,690,0,2017-02
2017,2017,February,2,Virginia,0,1,95,376938,66,6,0.0909,342671,1,59,5808,9.09,2017-02
2017,2017,February,2,Washington,0,1,93,525654,78,0,0,525654,0,78,6739,0,2017-02
2017,2017,February,2,West Virginia,0,1,87,172555,65,1,0.0154,169900,0,64,2655,1.54,2017-02
2017,2017,February,2,Wisconsin,0,1,100,346398,84,1,0.0119,342274,0,83,4124,1.1900000000000002,2017-02
2017,2017,February,2,Wyoming,0,1,32,14421,29,0,0,14421,0,29,497,0,2017-02
2017,2017,February,2,Guam,0,1,41,14927,36,1,0.0278,14512,0,35,415,2.78,2017-02
2017,2017,February,2,Virgin Islands,0,1,27,12895,25,0,0,12895,0,25,516,0,2017-02
2017,2017,March,3,Alabama,0,1,92,376429,84,2,0.0238,367466,0,82,4481,2.3800000000000003,2017-03
2017,2017,March,3,Alaska,0,1,60,38255,44,0,0,38255,0,44,869,0,2017-03
2017,2017,March,3,Arizona,0,1,94,410914,69,3,0.0435,393048,0,66,5955,4.35,2017-03
2017,2017,March,3,Arkansas,0,1,98,169967,95,6,0.0632,159232,0,89,1789,6.32,2017-03
2017,2017,March,3,California,0,1,91,1989555,67,0,0,1989555,0,67,29695,0,2017-03
