"state","basis","budget","decile","n_rules","median_own_precision","median_marginal_precision"
"California","holdout",5,4,2,0.125,0.125
"California","holdout",5,5,2,0.1,0
"California","holdout",5,6,2,0.291666666666667,0.2
"California","holdout",5,7,2,0.25,0.5
"California","holdout",5,8,2,0.125,0.125
"California","holdout",5,9,2,0,0
"California","holdout",5,10,2,0.666666666666667,0.666666666666667
"California","holdout",10,1,2,0,0
"California","holdout",10,2,3,0.666666666666667,1
"California","holdout",10,3,2,0.125,0.125
"California","holdout",10,4,3,0.2,0
"California","holdout",10,5,2,0.30952380952381,0.272058823529412
"California","holdout",10,6,3,0,0
"California","holdout",10,7,2,0.125,0
"California","holdout",10,8,3,0.285714285714286,0.166666666666667
"California","holdout",10,9,2,0.142857142857143,0
"California","holdout",10,10,3,0.24,0.5
"California","train",5,1,15,0.5,0.5
"California","train",5,2,15,0.4,0.333333333333333
"California","train",5,3,15,0.166666666666667,0
"California","train",5,4,16,0.375,0.666666666666667
"California","train",5,5,15,0.333333333333333,0
"California","train",5,6,15,0.25,0
"California","train",5,7,16,0.287878787878788,0
"California","train",5,8,15,0.4,0
"California","train",5,9,15,0.357142857142857,0
"California","train",5,10,16,0.333333333333333,0
"California","train",10,1,28,0.5,0.416666666666667
"California","train",10,2,28,0.342857142857143,0.333333333333333
"California","train",10,3,28,0.333333333333333,0
"California","train",10,4,28,0.333333333333333,0
"California","train",10,5,29,0.357142857142857,0
"California","train",10,6,28,0.333333333333333,0
"California","train",10,7,28,0.354166666666667,0
"California","train",10,8,28,0.316770186335404,0
"California","train",10,9,28,0.366666666666667,0
"California","train",10,10,29,0.285714285714286,0
"Colorado","holdout",5,1,2,0.5,0.666666666666667
"Colorado","holdout",5,2,3,1,1
"Colorado","holdout",5,3,2,0.375,0.333333333333333
"Colorado","holdout",5,4,3,1,1
"Colorado","holdout",5,5,3,0.571428571428571,0.666666666666667
"Colorado","holdout",5,6,2,0.5,0.25
"Colorado","holdout",5,7,3,0.428571428571429,0
"Colorado","holdout",5,8,2,0.5,0.5
"Colorado","holdout",5,9,3,0.75,0.666666666666667
"Colorado","holdout",5,10,3,0.5,0
"Colorado","holdout",10,1,4,0.833333333333333,1
"Colorado","holdout",10,2,4,0.375,0.333333333333333
"Colorado","holdout",10,3,5,1,1
"Colorado","holdout",10,4,4,0.5,0.25
"Colorado","holdout",10,5,5,0.666666666666667,0.666666666666667
"Colorado","holdout",10,6,4,0.666666666666667,0.25
"Colorado","holdout",10,7,4,0.464285714285714,0.666666666666667
"Colorado","holdout",10,8,5,0.454545454545455,0
"Colorado","holdout",10,9,4,0.291666666666667,0
"Colorado","holdout",10,10,5,0.5,0
"Colorado","train",5,1,16,0.833333333333333,0.833333333333333
"Colorado","train",5,2,17,0.375,0
"Colorado","train",5,3,16,0.45,0
"Colorado","train",5,4,17,0.4,0
"Colorado","train",5,5,16,0.398913043478261,0
"Colorado","train",5,6,17,0.333333333333333,0
"Colorado","train",5,7,16,0.4,0
"Colorado","train",5,8,17,0.485714285714286,0
"Colorado","train",5,9,16,0.405032467532468,0.125
"Colorado","train",5,10,17,0.4,0.333333333333333
"Colorado","train",10,1,33,0.5,0.333333333333333
"Colorado","train",10,2,34,0.405882352941176,0
"Colorado","train",10,3,33,0.333333333333333,0
"Colorado","train",10,4,34,0.44949494949495,0
"Colorado","train",10,5,34,0.4,0.225
"Colorado","train",10,6,33,0.384615384615385,0
"Colorado","train",10,7,34,0.333333333333333,0
"Colorado","train",10,8,33,0.3,0
"Colorado","train",10,9,34,0.301089324618736,0
"Colorado","train",10,10,34,0.269230769230769,0
"Connecticut","holdout",5,1,1,0,0
"Connecticut","holdout",5,2,2,0.75,0.5
"Connecticut","holdout",5,3,1,0,0
"Connecticut","holdout",5,4,2,0.2,0.2
"Connecticut","holdout",5,5,1,0.5,0.5
"Connecticut","holdout",5,6,2,0.173913043478261,0.181818181818182
"Connecticut","holdout",5,7,1,0,0
"Connecticut","holdout",5,8,2,0.666666666666667,0.666666666666667
"Connecticut","holdout",5,9,1,0.333333333333333,0
"Connecticut","holdout",5,10,2,1,1
"Connecticut","holdout",10,1,2,0.5,0.5
"Connecticut","holdout",10,2,3,0,0
"Connecticut","holdout",10,3,3,0.4,0.4
"Connecticut","holdout",10,4,3,0.333333333333333,0.333333333333333
"Connecticut","holdout",10,5,3,0.666666666666667,0.5
"Connecticut","holdout",10,6,3,1,1
"Connecticut","holdout",10,7,3,0.333333333333333,0.2
"Connecticut","holdout",10,8,3,0.384615384615385,0
"Connecticut","holdout",10,9,3,0.428571428571429,0.5
"Connecticut","holdout",10,10,3,0.428571428571429,0.5
"Connecticut","train",5,1,9,0.666666666666667,0.666666666666667
"Connecticut","train",5,2,9,0.5,0.285714285714286
"Connecticut","train",5,3,10,0.577380952380952,0.477272727272727
"Connecticut","train",5,4,9,0.25,0.307692307692308
"Connecticut","train",5,5,10,0.261363636363636,0
"Connecticut","train",5,6,9,0.421052631578947,0.476190476190476
"Connecticut","train",5,7,9,0.508196721311475,0.166666666666667
"Connecticut","train",5,8,10,0.51,0.136363636363636
"Connecticut","train",5,9,9,0.509433962264151,0
"Connecticut","train",5,10,10,0.322916666666667,0.0833333333333333
"Connecticut","train",10,1,24,0.541666666666667,0.5
"Connecticut","train",10,2,24,0.4,0.25
"Connecticut","train",10,3,25,0.508196721311475,0.272727272727273
"Connecticut","train",10,4,24,0.485879873551106,0.0714285714285714
"Connecticut","train",10,5,25,0.468354430379747,0
"Connecticut","train",10,6,24,0.467741935483871,0
"Connecticut","train",10,7,24,0.448996655518395,0
"Connecticut","train",10,8,25,0.475,0
"Connecticut","train",10,9,24,0.3953125,0
"Connecticut","train",10,10,25,0.25,0
"Delaware","holdout",5,1,1,0,0
"Delaware","holdout",5,2,2,0.75,0.75
"Delaware","holdout",5,3,2,0.9,1
"Delaware","holdout",5,4,2,0.583333333333333,0.583333333333333
"Delaware","holdout",5,5,2,0.75,0.666666666666667
"Delaware","holdout",5,6,2,0.25,0.5
"Delaware","holdout",5,7,2,0.333333333333333,0.375
"Delaware","holdout",5,8,2,0.25,0.25
"Delaware","holdout",5,9,2,0.535714285714286,0.416666666666667
"Delaware","holdout",5,10,2,0.25,0.25
"Delaware","holdout",10,1,2,0.25,0.25
"Delaware","holdout",10,2,3,1,1
"Delaware","holdout",10,3,3,0.666666666666667,0.666666666666667
"Delaware","holdout",10,4,3,0.5,0.333333333333333
"Delaware","holdout",10,5,3,0,0
"Delaware","holdout",10,6,2,0.472222222222222,0.535714285714286
"Delaware","holdout",10,7,3,0.5,0.5
"Delaware","holdout",10,8,3,0,0
"Delaware","holdout",10,9,3,0.333333333333333,0.333333333333333
"Delaware","holdout",10,10,3,0,0
"Delaware","train",5,1,7,1,1
"Delaware","train",5,2,7,0.666666666666667,0.5
"Delaware","train",5,3,8,0.669642857142857,0.666666666666667
"Delaware","train",5,4,7,0.571428571428571,0
"Delaware","train",5,5,8,0.513804713804714,0.366666666666667
"Delaware","train",5,6,7,0.5,0
"Delaware","train",5,7,7,0.6,0
"Delaware","train",5,8,8,0.5,0
"Delaware","train",5,9,7,0.142857142857143,0
"Delaware","train",5,10,8,0.5,0.5
"Delaware","train",10,1,15,0.666666666666667,1
"Delaware","train",10,2,16,0.601973684210526,0.539473684210526
"Delaware","train",10,3,15,0.509090909090909,0
"Delaware","train",10,4,16,0.5,0
"Delaware","train",10,5,15,0.454545454545455,0
"Delaware","train",10,6,16,0.25,0
"Delaware","train",10,7,15,0.333333333333333,0
"Delaware","train",10,8,16,0.384057971014493,0
"Delaware","train",10,9,15,0.428571428571429,0
"Delaware","train",10,10,16,0.33879781420765,0
"District of Columbia","holdout",5,2,1,0.633333333333333,0.633333333333333
"District of Columbia","holdout",5,4,1,0.586206896551724,0.714285714285714
"District of Columbia","holdout",5,5,1,0.615384615384615,0.5
"District of Columbia","holdout",5,7,1,0.606060606060606,0
"District of Columbia","holdout",5,9,1,0.630434782608696,0.75
"District of Columbia","holdout",5,10,1,1,1
"District of Columbia","holdout",10,1,1,0.633333333333333,0.633333333333333
"District of Columbia","holdout",10,2,2,0.60079575596817,0.607142857142857
"District of Columbia","holdout",10,3,2,0.611853832442068,0.25
"District of Columbia","holdout",10,4,2,0.589285714285714,0.464285714285714
"District of Columbia","holdout",10,5,2,0.565217391304348,0.5
"District of Columbia","holdout",10,6,2,0.769230769230769,0.5
"District of Columbia","holdout",10,7,2,0.575510204081633,0.25
"District of Columbia","holdout",10,8,2,0.477541371158392,0
"District of Columbia","holdout",10,9,2,0.532051282051282,0
"District of Columbia","holdout",10,10,2,0.45,0
"District of Columbia","train",5,1,5,0.806451612903226,0.636363636363636
"District of Columbia","train",5,2,5,0.76,0.526315789473684
"District of Columbia","train",5,3,5,0.740740740740741,0.5
"District of Columbia","train",5,4,5,0.74468085106383,0.333333333333333
"District of Columbia","train",5,5,5,0.738095238095238,0
"District of Columbia","train",5,6,5,0.706896551724138,0.4
"District of Columbia","train",5,7,5,0.717391304347826,0
"District of Columbia","train",5,8,5,0.705882352941177,0.4
"District of Columbia","train",5,9,5,0.695652173913043,0.444444444444444
"District of Columbia","train",5,10,5,0.68,0
"District of Columbia","train",10,1,12,0.765971316818775,0.58133971291866
"District of Columbia","train",10,2,13,0.74468085106383,0.333333333333333
"District of Columbia","train",10,3,13,0.708333333333333,0
"District of Columbia","train",10,4,13,0.686274509803922,0
"District of Columbia","train",10,5,13,0.660377358490566,0
"District of Columbia","train",10,6,13,0.659574468085106,0
"District of Columbia","train",10,7,13,0.61038961038961,0
"District of Columbia","train",10,8,13,0.6,0
"District of Columbia","train",10,9,13,0.615384615384615,0
"District of Columbia","train",10,10,13,0.573770491803279,0
"Florida","holdout",5,1,1,1,1
"Florida","holdout",5,2,2,0.4,0.25
"Florida","holdout",5,3,2,0.7,0.75
"Florida","holdout",5,4,1,1,1
"Florida","holdout",5,5,2,0.583333333333333,0.583333333333333
"Florida","holdout",5,6,2,0.452991452991453,0.291666666666667
"Florida","holdout",5,7,1,0,0
"Florida","holdout",5,8,2,0,0
"Florida","holdout",5,9,2,0.366666666666667,0.2
"Florida","holdout",5,10,2,0.625,0.5
"Florida","holdout",10,1,2,0.8,0.75
"Florida","holdout",10,2,2,0.3,0.25
"Florida","holdout",10,3,2,1,1
"Florida","holdout",10,4,2,0.583333333333333,0.583333333333333
"Florida","holdout",10,5,2,0.452991452991453,0.291666666666667
"Florida","holdout",10,6,2,0,0
"Florida","holdout",10,7,2,0.322751322751323,0.27037037037037
"Florida","holdout",10,8,2,0.0833333333333333,0
"Florida","holdout",10,9,2,0.366666666666667,0.5
"Florida","holdout",10,10,2,0.625,0.75
"Florida","train",5,1,10,0.816666666666667,0.625
"Florida","train",5,2,10,0.675,0.583333333333333
"Florida","train",5,3,10,0.721153846153846,0.476190476190476
"Florida","train",5,4,10,0.366666666666667,0
"Florida","train",5,5,10,0.51530612244898,0.352272727272727
"Florida","train",5,6,10,0.383333333333333,0.0625
"Florida","train",5,7,10,0.5,0
"Florida","train",5,8,10,0.485050654806029,0
"Florida","train",5,9,10,0.487704918032787,0
"Florida","train",5,10,11,0.5,0
"Florida","train",10,1,19,0.75,0.5
"Florida","train",10,2,19,0.5,0.285714285714286
"Florida","train",10,3,19,0.434782608695652,0.125
"Florida","train",10,4,20,0.48943661971831,0.0714285714285714
"Florida","train",10,5,19,0.5,0
"Florida","train",10,6,19,0.5,0
"Florida","train",10,7,20,0.442586399108138,0
"Florida","train",10,8,19,0.4,0
"Florida","train",10,9,19,0.408602150537634,0
"Florida","train",10,10,20,0.444444444444444,0.0666666666666667
