"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","engine","param","setting"
0.75,1,7,0.000196309383588536,0.571428571428571,0.00133600534402138,0.00206137687793718,0.00206137687793718,"xgboost","subsample","subsample=0.75"
0.8,1,7,0.000196309383588536,0.571428571428571,0.00133600534402138,0.00206137687793718,0.00206137687793718,"xgboost","subsample","subsample=0.75"
0.05,6132,35640,0.999495204442201,0.084006734006734,1,1,1,"ranger","num_trees","num_trees=250"
0.1,4686,26600,0.745975657636435,0.105112781954887,0.933867735470942,0.937096599204,0.937096599204,"ranger","num_trees","num_trees=250"
0.15,2605,15428,0.432665881429132,0.137931034482759,0.710754843019372,0.743884867438049,0.743884867438049,"ranger","num_trees","num_trees=250"
0.2,827,7235,0.202899770037579,0.168762957843815,0.407815631262525,0.455855509472246,0.455855509472246,"ranger","num_trees","num_trees=250"
0.25,286,2233,0.0626226933647428,0.211822660098522,0.157982631930528,0.17427104726701,0.17427104726701,"ranger","num_trees","num_trees=250"
0.3,131,732,0.0205283526838297,0.245901639344262,0.0601202404809619,0.0702999940994752,0.0702999940994752,"ranger","num_trees","num_trees=250"
0.35,54,367,0.0102922205395704,0.288828337874659,0.0354041416165665,0.0404185946472723,0.0404185946472723,"ranger","num_trees","num_trees=250"
0.4,35,229,0.00642212126311066,0.279475982532751,0.021376085504342,0.0226161404096487,0.0226161404096487,"ranger","num_trees","num_trees=250"
0.45,18,121,0.00339334791631611,0.272727272727273,0.0110220440881764,0.011033981312467,0.011033981312467,"ranger","num_trees","num_trees=250"
0.5,11,84,0.00235571260306243,0.321428571428571,0.00901803607214429,0.00910013190527945,0.00910013190527945,"ranger","num_trees","num_trees=250"
0.55,5,42,0.00117785630153121,0.261904761904762,0.00367401469605878,0.00421411671999345,0.00421411671999345,"ranger","num_trees","num_trees=250"
0.6,1,5,0.000140220988277525,0.4,0.000668002672010688,0.000394002782763615,0.000394002782763615,"ranger","num_trees","num_trees=250"
0.05,11539,35658,1,0.0839643277805822,1,1,1,"ranger","min_node_size","min_node_size=20 (base)"
0.1,8863,27831,0.780498064950362,0.101936689303295,0.947561790247161,0.946996157045322,0.946996157045322,"ranger","min_node_size","min_node_size=20 (base)"
0.15,4864,16267,0.456194963262101,0.136349664965882,0.740814963259853,0.775949461053681,0.775949461053681,"ranger","min_node_size","min_node_size=20 (base)"
0.2,1580,7912,0.221885691850356,0.167846309403438,0.443553774215097,0.491245334302796,0.491245334302796,"ranger","min_node_size","min_node_size=20 (base)"
0.25,541,2833,0.0794492119580459,0.210730674196964,0.19939879759519,0.214541177097589,0.214541177097589,"ranger","min_node_size","min_node_size=20 (base)"
0.3,244,1212,0.0339895675584721,0.245874587458746,0.0995323981295925,0.115168726457382,0.115168726457382,"ranger","min_node_size","min_node_size=20 (base)"
0.35,109,661,0.0185372146502889,0.281391830559758,0.062124248496994,0.069696617857272,0.069696617857272,"ranger","min_node_size","min_node_size=20 (base)"
0.4,63,304,0.00852543608727354,0.282894736842105,0.0287241148964596,0.0302202037774779,0.0302202037774779,"ranger","min_node_size","min_node_size=20 (base)"
0.45,34,192,0.00538448594985697,0.270833333333333,0.0173680694722779,0.017377997133487,0.017377997133487,"ranger","min_node_size","min_node_size=20 (base)"
0.5,16,118,0.0033092153233496,0.288135593220339,0.0113560454241817,0.011650681320271,0.011650681320271,"ranger","min_node_size","min_node_size=20 (base)"
0.55,7,58,0.00162656346401929,0.224137931034483,0.00434201736806947,0.00563785624418275,0.00563785624418275,"ranger","min_node_size","min_node_size=20 (base)"
0.6,1,5,0.000140220988277525,0.4,0.000668002672010688,0.000394002782763615,0.000394002782763615,"ranger","min_node_size","min_node_size=20 (base)"
0.05,20809,35658,1,0.0839643277805822,1,1,1,"ranger","num_trees","num_trees=1000"
0.1,16061,28220,0.791407257838353,0.100885896527286,0.950901803607214,0.949162220652979,0.949162220652979,"ranger","num_trees","num_trees=1000"
0.15,9032,16651,0.466963935161815,0.134826737132905,0.749832999331997,0.786045068588842,0.786045068588842,"ranger","num_trees","num_trees=1000"
0.2,3009,8842,0.247966795669976,0.163990047500565,0.484301937207749,0.524293983177794,0.524293983177794,"ranger","num_trees","num_trees=1000"
0.25,1045,3831,0.10743732121824,0.199164708953276,0.254843019372077,0.281774801713817,0.281774801713817,"ranger","num_trees","num_trees=1000"
0.3,450,1580,0.044309832295698,0.235443037974684,0.124248496993988,0.138272136008999,0.138272136008999,"ranger","num_trees","num_trees=1000"
0.35,209,904,0.0253519546805766,0.26216814159292,0.0791583166332665,0.0899810992867979,0.0899810992867979,"ranger","num_trees","num_trees=1000"
0.4,122,449,0.0125918447473218,0.262806236080178,0.0394121576486306,0.0451504348306074,0.0451504348306074,"ranger","num_trees","num_trees=1000"
0.45,64,280,0.00785237534354142,0.267857142857143,0.0250501002004008,0.0280351062189628,0.0280351062189628,"ranger","num_trees","num_trees=1000"
0.5,32,158,0.0044309832295698,0.291139240506329,0.0153640614562458,0.0167346495944817,0.0167346495944817,"ranger","num_trees","num_trees=1000"
0.55,15,79,0.0022154916147849,0.20253164556962,0.0053440213760855,0.00669614391189565,0.00669614391189565,"ranger","num_trees","num_trees=1000"
0.6,6,41,0.00114981210387571,0.24390243902439,0.00334001336005344,0.00384485807334543,0.00384485807334543,"ranger","num_trees","num_trees=1000"
