"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","n_pool","subsample","setting"
0.25,561,4410,0.123674911660777,0.196598639455782,0.289579158316633,0.328602127615027,0.328602127615027,10332,0.25,"subsample=0.25"
0.3,204,1735,0.0486566829323013,0.222478386167147,0.128924515698063,0.140929275548796,0.140929275548796,10332,0.25,"subsample=0.25"
0.35,74,661,0.0185372146502889,0.291981845688351,0.0644622578490314,0.0703418687913632,0.0703418687913632,10332,0.25,"subsample=0.25"
0.4,23,301,0.00844130349430703,0.295681063122924,0.0297261189044756,0.0313336899026794,0.0313336899026794,10332,0.25,"subsample=0.25"
0.45,9,79,0.0022154916147849,0.329113924050633,0.00868403473613895,0.0113575584770555,0.0113575584770555,10332,0.25,"subsample=0.25"
0.5,2,19,0.000532839755454596,0.263157894736842,0.00167000668002672,0.00239256762286891,0.00239256762286891,10332,0.25,"subsample=0.25"
0.55,2,19,0.000532839755454596,0.263157894736842,0.00167000668002672,0.00239256762286891,0.00239256762286891,10332,0.25,"subsample=0.25"
0.6,2,19,0.000532839755454596,0.263157894736842,0.00167000668002672,0.00239256762286891,0.00239256762286891,10332,0.25,"subsample=0.25"
0.05,10388,35658,1,0.0839643277805822,1,1,1,10527,0.3,"subsample=0.30"
0.1,8115,29620,0.83066913455606,0.0972653612424038,0.962257849031396,0.961182160619898,0.961182160619898,10527,0.3,"subsample=0.30"
0.15,4776,19595,0.549526053059622,0.126664965552437,0.828991315965264,0.845455739402372,0.845455739402372,10527,0.3,"subsample=0.30"
0.2,1690,10234,0.287004318806439,0.1593707250342,0.544756179024716,0.580546921543958,0.580546921543958,10527,0.3,"subsample=0.30"
0.25,624,4772,0.13382691121207,0.200544844928751,0.319639278557114,0.348741951018031,0.348741951018031,10527,0.3,"subsample=0.30"
0.3,249,2085,0.0584721521117281,0.222541966426859,0.15497661990648,0.165498299316491,0.165498299316491,10527,0.3,"subsample=0.30"
0.35,93,839,0.0235290818329688,0.262216924910608,0.0734802939211757,0.0783228043861836,0.0783228043861836,10527,0.3,"subsample=0.30"
0.4,37,370,0.0103763531325369,0.289189189189189,0.0357381429525718,0.0372113739276748,0.0372113739276748,10527,0.3,"subsample=0.30"
0.45,13,145,0.00406640866004824,0.324137931034483,0.0156980627922512,0.0168203023733433,0.0168203023733433,10527,0.3,"subsample=0.30"
0.5,5,57,0.00159851926636379,0.280701754385965,0.0053440213760855,0.00649248063771349,0.00649248063771349,10527,0.3,"subsample=0.30"
0.55,1,13,0.000364574569521566,0.230769230769231,0.00100200400801603,0.000814653096728635,0.000814653096728635,10527,0.3,"subsample=0.30"
0.6,1,13,0.000364574569521566,0.230769230769231,0.00100200400801603,0.000814653096728635,0.000814653096728635,10527,0.3,"subsample=0.30"
0.65,1,13,0.000364574569521566,0.230769230769231,0.00100200400801603,0.000814653096728635,0.000814653096728635,10527,0.3,"subsample=0.30"
0.05,9787,35658,1,0.0839643277805822,1,1,1,9964,0.6,"subsample=0.60"
0.1,7889,29073,0.815328958438499,0.0986482303167888,0.957915831663327,0.95818431335974,0.95818431335974,9964,0.6,"subsample=0.60"
0.15,5063,19903,0.558163665937518,0.125106767823946,0.831663326653307,0.849911587298264,0.849911587298264,9964,0.6,"subsample=0.60"
0.2,2278,11628,0.326097930338213,0.156432748538012,0.607548430193721,0.636440118238903,0.636440118238903,9964,0.6,"subsample=0.60"
0.25,1076,5842,0.163834202703461,0.187949332420404,0.366733466933868,0.405767667789035,0.405767667789035,9964,0.6,"subsample=0.60"
0.3,512,2944,0.0825621178978069,0.207880434782609,0.204408817635271,0.219227335798864,0.219227335798864,9964,0.6,"subsample=0.60"
0.35,258,1442,0.0404397330192383,0.245492371705964,0.118236472945892,0.137588817173192,0.137588817173192,9964,0.6,"subsample=0.60"
0.4,143,830,0.0232766840540692,0.266265060240964,0.073814295257181,0.0862789958448885,0.0862789958448885,9964,0.6,"subsample=0.60"
0.45,66,363,0.0101800437489483,0.267217630853994,0.0323981295925184,0.0425446869581272,0.0425446869581272,9964,0.6,"subsample=0.60"
0.5,35,224,0.00628190027483314,0.236607142857143,0.0177020708082832,0.0226618218917082,0.0226618218917082,9964,0.6,"subsample=0.60"
0.55,22,152,0.00426271804363677,0.25,0.0126920507682031,0.0156116464938511,0.0156116464938511,9964,0.6,"subsample=0.60"
0.6,8,66,0.00185091704526334,0.212121212121212,0.00467601870407482,0.00638398711782206,0.00638398711782206,9964,0.6,"subsample=0.60"
0.65,2,27,0.000757193336698637,0.185185185185185,0.00167000668002672,0.00191291206124364,0.00191291206124364,9964,0.6,"subsample=0.60"
0.7,2,27,0.000757193336698637,0.185185185185185,0.00167000668002672,0.00191291206124364,0.00191291206124364,9964,0.6,"subsample=0.60"
0.75,1,7,0.000196309383588536,0.428571428571429,0.00100200400801603,0.000772778404840714,0.000772778404840714,9964,0.6,"subsample=0.60"
0.05,9538,35658,1,0.0839643277805822,1,1,1,9681,0.65,"subsample=0.65"
0.1,7701,29143,0.817292052274384,0.0986171636413547,0.959919839679359,0.960371314313341,0.960371314313341,9681,0.65,"subsample=0.65"
0.15,5059,19909,0.558331931123451,0.125269978401728,0.832999331997328,0.852243246278387,0.852243246278387,9681,0.65,"subsample=0.65"
0.2,2342,11821,0.331510460485726,0.157093308518738,0.620240480961924,0.6515759159613,0.6515759159613,9681,0.65,"subsample=0.65"
0.25,1141,6071,0.170256323966571,0.186954373249876,0.379091516366065,0.413527809553901,0.413527809553901,9681,0.65,"subsample=0.65"
0.3,569,3046,0.0854226260586685,0.20682862770847,0.210420841683367,0.227134038985338,0.227134038985338,9681,0.65,"subsample=0.65"
0.35,293,1607,0.0450670256323967,0.23397635345364,0.125584502338009,0.141945688524621,0.141945688524621,9681,0.65,"subsample=0.65"
0.4,165,1017,0.0285209490156487,0.263520157325467,0.0895123580494322,0.104068126316911,0.104068126316911,9681,0.65,"subsample=0.65"
0.45,75,385,0.0107970160973695,0.285714285714286,0.0367401469605878,0.0462696311410663,0.0462696311410663,9681,0.65,"subsample=0.65"
0.5,39,228,0.00639407706545516,0.258771929824561,0.0197060788243153,0.0234840885687801,0.0234840885687801,9681,0.65,"subsample=0.65"
0.55,22,110,0.00308486174210556,0.272727272727273,0.0100200400801603,0.0121722115737842,0.0121722115737842,9681,0.65,"subsample=0.65"
0.6,10,36,0.00100959111559818,0.277777777777778,0.00334001336005344,0.00425028122662393,0.00425028122662393,9681,0.65,"subsample=0.65"
0.65,5,22,0.000616972348421112,0.409090909090909,0.0030060120240481,0.00391909048169219,0.00391909048169219,9681,0.65,"subsample=0.65"
0.7,2,17,0.000476751360143586,0.411764705882353,0.00233800935203741,0.00283415528277789,0.00283415528277789,9681,0.65,"subsample=0.65"
0.75,2,17,0.000476751360143586,0.411764705882353,0.00233800935203741,0.00283415528277789,0.00283415528277789,9681,0.65,"subsample=0.65"
0.05,9278,35658,1,0.0839643277805822,1,1,1,9448,0.7,"subsample=0.70"
0.1,7543,29302,0.82175107970161,0.0984233158146202,0.963259853039412,0.962908539962732,0.962908539962732,9448,0.7,"subsample=0.70"
0.15,4950,19817,0.555751864939144,0.12549830953222,0.830661322645291,0.849327245006919,0.849327245006919,9448,0.7,"subsample=0.70"
0.2,2305,11308,0.317123787088451,0.159090909090909,0.600868403473614,0.633143437950272,0.633143437950272,9448,0.7,"subsample=0.70"
0.25,1190,6066,0.170116102978294,0.187932739861523,0.380761523046092,0.413008182695474,0.413008182695474,9448,0.7,"subsample=0.70"
0.3,625,3108,0.0871613663133098,0.206241956241956,0.214094856379426,0.237971970603966,0.237971970603966,9448,0.7,"subsample=0.70"
0.35,334,1676,0.0470020752706265,0.236873508353222,0.132598530394122,0.150684175363596,0.150684175363596,9448,0.7,"subsample=0.70"
0.4,177,1000,0.0280441976555051,0.268,0.0895123580494322,0.0990469700805326,0.0990469700805326,9448,0.7,"subsample=0.70"
0.45,84,448,0.0125638005496663,0.261160714285714,0.0390781563126252,0.0463628975002712,0.0463628975002712,9448,0.7,"subsample=0.70"
