"target","arm","seed","budget","n_te","n_err_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","artifact_share_flagged","n_rules_deployed","n_rules_deployed_newfeat","n_rules_deployed_slt","slack"
"Arizona","base",20260805,0.1,863,97,86,30,0.3488,0.1124,0.3253,0.0233,184,0,0,0
"Arizona","base",31415,0.05,863,97,43,12,0.2791,0.1124,0.1171,0,86,0,0,0
"Arizona","base",31415,0.1,863,97,86,32,0.3721,0.1124,0.4002,0.0233,181,0,0,0
"Arizona","cand",117,0.05,863,97,43,14,0.3256,0.1124,0.1507,0.0465,101,85,0,0
"Arizona","cand",117,0.1,863,97,86,29,0.3372,0.1124,0.3356,0.0233,235,202,0,0
"Arizona","cand",20260805,0.05,863,97,43,12,0.2791,0.1124,0.1044,0.0465,105,89,0,0
"Arizona","cand",20260805,0.1,863,97,86,31,0.3605,0.1124,0.3932,0.0233,235,196,0,0
"Arizona","cand",31415,0.05,863,97,43,13,0.3023,0.1124,0.1096,0.0465,99,83,0,0
"Arizona","cand",31415,0.1,863,97,86,30,0.3488,0.1124,0.3949,0.0233,214,178,0,0
"Arizona","base_slt",117,0.05,863,97,43,11,0.2558,0.1124,0.1335,0,90,23,23,0
"Arizona","base_slt",117,0.1,863,97,86,24,0.2791,0.1124,0.2456,0.0233,202,52,52,0
"Arizona","base_slt",20260805,0.05,863,97,43,13,0.3023,0.1124,0.1472,0.0233,84,17,17,0
"Arizona","base_slt",20260805,0.1,863,97,86,31,0.3605,0.1124,0.3397,0.0233,189,44,44,0
"Arizona","base_slt",31415,0.05,863,97,43,13,0.3023,0.1124,0.1714,0.0233,87,15,15,0
"Arizona","base_slt",31415,0.1,863,97,86,29,0.3372,0.1124,0.3337,0.0116,184,38,38,0
"Arizona","cand_slt",117,0.05,863,97,43,12,0.2791,0.1124,0.1055,0.0465,102,90,13,0
"Arizona","cand_slt",117,0.1,863,97,86,29,0.3372,0.1124,0.2901,0.0233,223,193,27,0
"Arizona","cand_slt",20260805,0.05,863,97,43,13,0.3023,0.1124,0.1595,0.0465,104,85,11,0
"Arizona","cand_slt",20260805,0.1,863,97,86,28,0.3256,0.1124,0.3634,0.0233,221,184,26,0
"Arizona","cand_slt",31415,0.05,863,97,43,11,0.2558,0.1124,0.1009,0.0233,109,92,14,0
"Arizona","cand_slt",31415,0.1,863,97,86,29,0.3372,0.1124,0.3775,0.0233,221,188,28,0
"Washington","base",117,0.05,678,61,33,12,0.3636,0.09,0.1768,0,91,0,0,0
"Washington","base",117,0.1,678,61,67,22,0.3284,0.09,0.3988,0,203,0,0,0
"Washington","base",20260805,0.05,678,61,33,10,0.303,0.09,0.1798,0.0303,108,0,0,0
"Washington","base",20260805,0.1,678,61,67,19,0.2836,0.09,0.3656,0.0149,206,0,0,0
"Washington","base",31415,0.05,678,61,33,11,0.3333,0.09,0.2344,0.0303,108,0,0,0
"Washington","base",31415,0.1,678,61,67,18,0.2687,0.09,0.343,0.0149,208,0,0,0
"Washington","cand",117,0.05,678,61,33,11,0.3333,0.09,0.1941,0,112,99,0,0
"Washington","cand",117,0.1,678,61,67,20,0.2985,0.09,0.3799,0.0149,232,206,0,0
"Washington","cand",20260805,0.05,678,61,33,13,0.3939,0.09,0.2133,0.0303,111,99,0,0
"Washington","cand",20260805,0.1,678,61,67,23,0.3433,0.09,0.4176,0.0149,244,208,0,0
"Washington","cand",31415,0.05,678,61,33,9,0.2727,0.09,0.1913,0.0303,98,86,0,0
"Washington","cand",31415,0.1,678,61,67,18,0.2687,0.09,0.3109,0.0149,235,209,0,0
"Washington","base_slt",117,0.05,678,61,33,11,0.3333,0.09,0.1545,0,88,22,22,0
"Washington","base_slt",117,0.1,678,61,67,18,0.2687,0.09,0.3306,0.0149,213,65,65,0
"Washington","base_slt",20260805,0.05,678,61,33,8,0.2424,0.09,0.1271,0.0303,106,33,33,0
"Washington","base_slt",20260805,0.1,678,61,67,19,0.2836,0.09,0.3749,0.0149,224,61,61,0
"Washington","base_slt",31415,0.05,678,61,33,8,0.2424,0.09,0.1154,0,98,20,20,0
"Washington","base_slt",31415,0.1,678,61,67,20,0.2985,0.09,0.3678,0,198,52,52,0
"Washington","cand_slt",117,0.05,678,61,33,9,0.2727,0.09,0.1547,0.0303,115,100,10,0
"Washington","cand_slt",117,0.1,678,61,67,18,0.2687,0.09,0.3194,0.0149,231,199,27,0
"Washington","cand_slt",20260805,0.05,678,61,33,14,0.4242,0.09,0.2347,0.0303,110,94,10,0
