"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_cut_pct","n_excluded","n_retained","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","retained_precision","base_precision","precision_gain","recall_retained","err_dollars_lost","mean_dollars_excluded","retained_dollar_density","base_dollar_density","dollar_density_gain","dollar_recall_retained"
"2","rule17393","shelter_expenses < 1462 & months_since_cert_n < 4.5 & n_income_types < 1.5 & expedited_i %in% c(""FALSE"")",4,"EXCLUDE",-6.305,2.722,24.7,71,217,68,3,0.958,22.7,0.138,0.115,0.024,0.909,299,4.21,28.79,22.73,6.06,0.954
"2","rule2337","rawearn < 2236 & total_deductions >= 772.8",2,"EXCLUDE",-0.701,0.28,19.8,57,231,55,2,0.965,27.5,0.134,0.115,0.02,0.939,181,3.18,27.55,22.73,4.82,0.972
"2","rule13256","months_since_cert_n >= 0.5 & shelter_expenses >= 165 & expedited_i %in% c(""TRUE"")",3,"EXCLUDE",-9.998,3.853,18.1,52,236,50,2,0.962,25,0.131,0.115,0.017,0.939,199,3.83,26.89,22.73,4.16,0.97
"2","rule13944","expedited_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.032 & shelter_to_gross_ratio < 0.6486 & months_since_cert_n < 6.5",4,"EXCLUDE",-2.344,0.903,18.1,52,236,50,2,0.962,25,0.131,0.115,0.017,0.939,155,2.98,27.08,22.73,4.35,0.976
"2","rule732","months_since_cert_n < 3.5 & shelter_expenses < 1446 & cat_elig < 1.5 & n_income_types < 1.5",4,"EXCLUDE",-4.635,1.716,16.3,47,241,45,2,0.957,22.5,0.129,0.115,0.014,0.939,242,5.15,26.16,22.73,3.43,0.963
"2","rule8398","months_since_cert_n >= 0.5 & total_deductions < 1022 & total_deductions >= 130.2 & expedited_i %in% c(""TRUE"")",4,"EXCLUDE",-5.366,1.934,15.3,44,244,43,1,0.977,43,0.131,0.115,0.017,0.97,91,2.07,26.45,22.73,3.73,0.986
"2","rule4407","total_deductions < 629.5 & unc_rawben_rel_max < 1.125 & elderly_disabled_i %in% c(""FALSE"")",3,"EXCLUDE",-1.285,0.445,13.9,40,248,37,3,0.925,12.3,0.121,0.115,0.006,0.909,184,4.6,25.65,22.73,2.92,0.972
"2","rule15918","rawearn >= 748 & n_deduction_types >= 2.5 & rawearn >= 983 & shelter_expenses >= 1152",4,"EXCLUDE",-26.876,9.112,13.2,38,250,36,2,0.947,18,0.124,0.115,0.009,0.939,273,7.18,25.09,22.73,2.36,0.958
"2","rule2159","shelter_expenses >= 1323 & total_deductions >= 753.1 & rawearn < 2224",3,"EXCLUDE",-14.399,4.827,12.8,37,251,35,2,0.946,17.5,0.124,0.115,0.009,0.939,181,4.89,25.36,22.73,2.63,0.972
"2","rule11040","shelter_expenses < 1790 & unc_rawben_rel_max >= 1.185 & shelter_expenses >= 685 & total_deductions >= 646.3",4,"EXCLUDE",-3.81,1.113,9.4,27,261,27,0,1,Inf,0.126,0.115,0.012,1,0,0,25.08,22.73,2.35,1
"2","rule13755","unc_rawben_rel_max >= -0.3077 & utilities < 589.5 & shelter_expenses < 1334 & rawearn >= 17.5",4,"EXCLUDE",-0.575,0.162,8.7,25,263,24,1,0.96,24,0.122,0.115,0.007,0.97,48,1.92,24.71,22.73,1.98,0.993
"5+","rule2644","shelter_expenses < 1638 & shelter_expenses < 1466 & n_income_types < 1.5 & shelter_to_gross_ratio >= 0.2648",4,"EXCLUDE",-8.147,3.865,33.6,40,79,38,2,0.95,19,0.329,0.235,0.094,0.929,265,6.62,92.67,63.75,28.92,0.965
"5+","rule4433","shelter_to_gross_ratio < 1.266 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 3820 & n_deduction_types >= 2.5",4,"EXCLUDE",-41.143,18.665,28.6,34,85,32,2,0.941,16,0.306,0.235,0.071,0.929,342,10.06,85.22,63.75,21.48,0.955
"5+","rule7918","total_deductions < 994.4 & shelter_to_gross_ratio < 1.11 & months_since_cert_n >= 4.5",3,"EXCLUDE",-2.586,1.088,22.7,27,92,23,4,0.852,5.8,0.261,0.235,0.026,0.857,358,13.26,78.57,63.75,14.82,0.953
"5+","rule2677","shelter_to_gross_ratio < 1.367 & shelter_expenses >= 1638",2,"EXCLUDE",-27.422,11.05,20.2,24,95,21,3,0.875,7,0.263,0.235,0.028,0.893,294,12.25,76.76,63.75,13.01,0.961
"5+","rule4609","shelter_expenses < 1631 & rawunearn < 206.5 & shelter_to_gross_ratio >= 0.7336",3,"EXCLUDE",-2.659,1.071,20.2,24,95,22,2,0.917,11,0.274,0.235,0.038,0.929,265,11.04,77.06,63.75,13.32,0.965
"5+","rule8390","shelter_to_gross_ratio < 1.548 & n_deduction_types >= 2.5 & months_since_cert_n >= 4.5",3,"EXCLUDE",-41.749,15.677,16.8,20,99,18,2,0.9,9,0.263,0.235,0.027,0.929,222,11.1,74.38,63.75,10.64,0.971
"5+","rule5294","shelter_expenses < 1648 & shelter_expenses < 1552 & rawunearn < 261.5 & months_since_cert_n >= 4.5",4,"EXCLUDE",-27.418,10.296,16.8,20,99,18,2,0.9,9,0.263,0.235,0.027,0.929,176,8.8,74.85,63.75,11.1,0.977
"5+","rule2111","expedited_i %in% c(""FALSE"") & rawben_rel_max < 0.7981 & months_since_cert_n >= 6",3,"EXCLUDE",-0.044,0.016,16.8,20,99,18,2,0.9,9,0.263,0.235,0.027,0.929,109,5.45,75.53,63.75,11.78,0.986
"5+","rule27","married >= 0.5 & n_income_types < 1.5 & months_since_cert_n < 3.5",3,"EXCLUDE",-15.071,5.423,15.1,18,101,18,0,1,Inf,0.277,0.235,0.042,1,0,0,75.11,63.75,11.36,1
"5+","rule8879","shelter_to_gross_ratio < 1.548 & utilities >= 589.5 & rawben_rel_max >= 0.8037",3,"EXCLUDE",-10.024,3.434,13.4,16,103,14,2,0.875,7,0.252,0.235,0.017,0.929,342,21.38,70.33,63.75,6.58,0.955
"5+","rule3142","shelter_to_gross_ratio < 1.367 & rawearn < 2174 & total_deductions >= 821.5",3,"EXCLUDE",-40.236,13.018,11.8,14,105,12,2,0.857,6,0.248,0.235,0.012,0.929,342,24.43,68.99,63.75,5.24,0.955
"5+","rule3893","shelter_to_gross_ratio < 1.548 & n_deduction_types >= 2.5 & shelter_to_gross_ratio >= 0.7336",3,"EXCLUDE",-0.794,0.257,11.8,14,105,13,1,0.929,13,0.257,0.235,0.022,0.964,95,6.79,71.34,63.75,7.59,0.987
"5+","rule3919","shelter_to_gross_ratio < 1.27 & total_deductions >= 698.9 & shelter_to_gross_ratio >= 0.7446",3,"EXCLUDE",-120.656,36.485,10.1,12,107,11,1,0.917,11,0.252,0.235,0.017,0.964,95,7.92,70.01,63.75,6.26,0.987
"5+","rule9880","total_deductions < 1053 & shelter_expenses >= 1107 & rawben_rel_max < 0.9419 & months_since_cert_n >= 5.5",4,"EXCLUDE",-35.548,10.34,9.2,11,108,10,1,0.909,10,0.25,0.235,0.015,0.964,95,8.64,69.36,63.75,5.61,0.987
"5+","rule3480","total_deductions >= 912.6 & shelter_to_gross_ratio >= 0.7446",2,"EXCLUDE",-1.712,0.498,9.2,11,108,10,1,0.909,10,0.25,0.235,0.015,0.964,95,8.64,69.36,63.75,5.61,0.987
