"rule_id","rule","n_conditions","role","coefficient","importance","workload_cut_pct","n_excluded","n_retained","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","retained_precision","base_precision","precision_gain","recall_retained","err_dollars_lost","mean_dollars_excluded","retained_dollar_density","base_dollar_density","dollar_density_gain","dollar_recall_retained"
"rule13009","utilities >= 397 & shelter_exp_by_hh_size >= 167.6 & gross_by_hh_size >= 1.875",3,"EXCLUDE",-9.796,4.273,74.5,389,133,326,63,0.838,5.2,0.195,0.17,0.025,0.292,11710,30.1,43.73,33.57,10.15,0.332
"rule13544","expedited_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.237 & gross_by_hh_size >= 264.8",3,"EXCLUDE",8.753,3.873,73.4,383,139,313,70,0.817,4.5,0.137,0.17,-0.034,0.213,12451,32.51,36.51,33.57,2.94,0.29
"rule19043","unc_rawben_rel_max < 1.241 & shelter_to_gross_ratio < 1.411 & rawben_rel_max < 0.9145",3,"EXCLUDE",-0.884,0.391,73.4,383,139,312,71,0.815,4.4,0.129,0.17,-0.041,0.202,12166,31.77,38.56,33.57,4.99,0.306
"rule11632","gross_by_hh_size < 1032 & shelter_exp_by_hh_size < 634.2 & shelter_exp_by_hh_size >= 181",3,"EXCLUDE",1.083,0.481,73,381,141,322,59,0.845,5.5,0.213,0.17,0.042,0.337,12680,33.28,34.37,33.57,0.79,0.277
"rule4023","shelter_exp_by_hh_size < 434.9 & utilities >= 29",2,"EXCLUDE",-1.394,0.625,72.2,377,145,317,60,0.841,5.3,0.2,0.17,0.03,0.326,11307,29.99,42.89,33.57,9.31,0.355
"rule17804","gross_by_hh_size >= 1.875 & unearned_by_hh_size < 114.3",2,"EXCLUDE",-1.659,0.753,71.1,371,151,315,56,0.849,5.6,0.219,0.17,0.048,0.371,11002,29.65,43.21,33.57,9.63,0.372
"rule964","cert_HH_size_FS_n < 7.5 & rawben_rel_max < 0.9225 & shelter_to_gross_ratio < 1.339",3,"EXCLUDE",-13.807,6.291,70.7,369,153,303,66,0.821,4.6,0.15,0.17,-0.02,0.258,11014,29.85,42.56,33.57,8.99,0.372
"rule1447","cert_HH_size_FS_n < 7.5 & shelter_exp_by_hh_size >= 208.8",2,"EXCLUDE",7.422,3.382,70.7,369,153,313,56,0.848,5.6,0.216,0.17,0.045,0.371,10669,28.91,44.82,33.57,11.24,0.391
"rule5993","rawben_rel_max < 0.9194 & shelter_to_gross_ratio < 1.235 & utilities >= 402",3,"EXCLUDE",-14.685,6.753,69.7,364,158,302,62,0.83,4.9,0.171,0.17,0,0.303,10012,27.51,47.56,33.57,13.98,0.429
"rule18415","n_income_types >= 0.5 & shelter_to_gross_ratio < 1.359 & gross_by_hh_size >= 332.7",3,"EXCLUDE",-1.363,0.629,69.3,362,160,303,59,0.837,5.1,0.188,0.17,0.017,0.337,9043,24.98,53.02,33.57,19.44,0.484
"rule8625","cert_HH_size_FS_n < 7.5 & rawben_rel_max < 0.9253 & gross_by_hh_size >= 268.1",3,"EXCLUDE",-6.251,2.914,68.2,356,166,293,63,0.823,4.7,0.157,0.17,-0.014,0.292,10182,28.6,44.24,33.57,10.67,0.419
"rule19550","shelter_exp_by_hh_size < 423.4 & shelter_exp_by_hh_size >= 66.35 & cert_HH_size_FS_n < 7.5",3,"EXCLUDE",6.188,2.924,66.5,347,175,288,59,0.83,4.9,0.171,0.17,0.001,0.337,10589,30.52,39.64,33.57,6.07,0.396
"rule14529","n_deduction_types >= 2.5 & earned_by_hh_size >= 74.22 & shelter_to_gross_ratio >= 0.3616",3,"EXCLUDE",-17.575,8.394,64.9,339,183,292,47,0.861,6.2,0.23,0.17,0.059,0.472,8938,26.37,46.93,33.57,13.35,0.49
"rule18688","n_deduction_types >= 2.5 & earned_by_hh_size >= 74.22 & shelter_to_gross_ratio >= 0.3627",3,"EXCLUDE",-4.654,2.225,64.8,338,184,291,47,0.861,6.2,0.228,0.17,0.058,0.472,8938,26.44,46.67,33.57,13.1,0.49
"rule9210","unearned_by_hh_size < 211.2 & shelter_to_gross_ratio < 0.9986",2,"EXCLUDE",0.365,0.175,64,334,188,276,58,0.826,4.8,0.165,0.17,-0.006,0.348,10142,30.37,39.28,33.57,5.7,0.421
"rule15811","expedited_i %in% c(""FALSE"") & earned_by_hh_size >= 265.5",2,"EXCLUDE",11.67,5.614,63.8,333,189,277,56,0.832,4.9,0.175,0.17,0.004,0.371,9933,29.83,40.17,33.57,6.6,0.433
"rule11971","gross_by_hh_size < 1032 & gross_by_hh_size >= 333.6 & count_divisible_by_100 < 0.5",3,"EXCLUDE",-3.154,1.517,63.8,333,189,281,52,0.844,5.4,0.196,0.17,0.025,0.416,8133,24.42,49.7,33.57,16.12,0.536
"rule12126","gross_by_hh_size >= 14.31 & gross_by_hh_size >= 364.8 & gross_by_hh_size >= 377.6",3,"EXCLUDE",-0.679,0.327,63.8,333,189,276,57,0.829,4.8,0.169,0.17,-0.001,0.36,8809,26.45,46.12,33.57,12.55,0.497
"rule14204","cert_HH_size_FS_n < 5.5 & n_deduction_types >= 2.5",2,"EXCLUDE",2.845,1.376,62.8,328,194,275,53,0.838,5.2,0.186,0.17,0.015,0.404,10354,31.57,36.97,33.57,3.39,0.409
"rule1463","shelter_to_gross_ratio < 0.821 & gross_by_hh_size < 912.5",2,"EXCLUDE",-0.318,0.156,60.2,314,208,270,44,0.86,6.1,0.216,0.17,0.046,0.506,6305,20.08,53.95,33.57,20.37,0.64
"rule20037","earned_by_hh_size >= 318.1 & earned_by_hh_size >= 337",2,"EXCLUDE",0.926,0.455,59.2,309,213,259,50,0.838,5.2,0.183,0.17,0.013,0.438,8145,26.36,44.04,33.57,10.47,0.535
"rule1434","shelter_to_gross_ratio < 0.821 & unearned_by_hh_size < 410 & gross_by_hh_size < 994.6",3,"EXCLUDE",-8.84,4.361,58.4,305,217,263,42,0.862,6.3,0.217,0.17,0.046,0.528,5863,19.22,53.75,33.57,20.17,0.665
"rule20249","cert_HH_size_FS_n < 7.5 & shelter_to_gross_ratio < 0.7424",2,"EXCLUDE",8.019,3.959,58.2,304,218,256,48,0.842,5.3,0.188,0.17,0.018,0.461,6871,22.6,48.88,33.57,15.3,0.608
"rule11776","married < 0.5 & shelter_exp_by_hh_size >= 64.86 & shelter_to_gross_ratio >= 0.3461",3,"EXCLUDE",-1.855,0.916,58.2,304,218,254,50,0.836,5.1,0.179,0.17,0.008,0.438,8786,28.9,40.09,33.57,6.52,0.499
"rule7707","cert_HH_size_FS_n < 5.5 & utilities >= 28.5 & shelter_to_gross_ratio < 0.9047",3,"EXCLUDE",-1.075,0.531,58.2,304,218,258,46,0.849,5.6,0.197,0.17,0.027,0.483,6497,21.37,50.59,33.57,17.02,0.629
"rule9631","gross_by_hh_size < 929.7 & shelter_to_gross_ratio < 0.8639 & count_divisible_by_100 < 0.5",3,"EXCLUDE",-8.448,4.178,57.7,301,221,256,45,0.85,5.7,0.199,0.17,0.029,0.494,7386,24.54,45.88,33.57,12.31,0.579
"rule15207","cert_HH_size_FS_n < 6.5 & gross_by_hh_size < 966.3 & unearned_by_hh_size < 1.833",3,"EXCLUDE",1.775,0.879,57.3,299,223,254,45,0.849,5.6,0.197,0.17,0.027,0.494,9880,33.04,34.29,33.57,0.71,0.436
"rule12885","married < 0.5 & gross_by_hh_size >= 96.25 & shelter_exp_by_hh_size < 590.7",3,"EXCLUDE",0.517,0.256,57.1,298,224,242,56,0.812,4.3,0.147,0.17,-0.023,0.371,8984,30.15,38.13,33.57,4.56,0.487
"rule8041","cert_HH_size_FS_n < 7.5 & n_deduction_types < 3.5 & earned_by_hh_size >= 253.5",3,"EXCLUDE",-11.061,5.483,56.9,297,225,253,44,0.852,5.8,0.2,0.17,0.03,0.506,7203,24.25,45.88,33.57,12.31,0.589
"rule10958","shelter_exp_by_hh_size < 562.8 & shelter_to_gross_ratio < 0.7875 & unearned_by_hh_size < 382",3,"EXCLUDE",-0.007,0.004,56.5,295,227,253,42,0.858,6,0.207,0.17,0.037,0.528,5684,19.27,52.17,33.57,18.59,0.676
"rule6440","rawben_rel_max < 0.8597 & gross_by_hh_size >= 333.6 & shelter_to_gross_ratio < 0.9317",3,"EXCLUDE",-1.028,0.511,56.1,293,229,248,45,0.846,5.5,0.192,0.17,0.022,0.494,6323,21.58,48.92,33.57,15.35,0.639
"rule16971","gross_by_hh_size >= 1 & shelter_to_gross_ratio < 0.7423 & shelter_exp_by_hh_size >= 96.44",3,"EXCLUDE",17.814,8.853,55.9,292,230,244,48,0.836,5.1,0.178,0.17,0.008,0.461,6784,23.23,46.7,33.57,13.13,0.613
"rule774","shelter_exp_by_hh_size < 527.4 & utilities >= 29.5 & cert_HH_size_FS_n >= 3.5",3,"EXCLUDE",-9.157,4.55,55.9,292,230,247,45,0.846,5.5,0.191,0.17,0.021,0.494,8958,30.68,37.25,33.57,3.68,0.489
"rule19378","cert_HH_size_FS_n < 7.5 & rawben_rel_max < 0.891 & shelter_exp_by_hh_size >= 188.6",3,"EXCLUDE",-19.673,9.797,55,287,235,241,46,0.84,5.2,0.183,0.17,0.012,0.483,7578,26.4,42.33,33.57,8.76,0.568
"rule9881","cert_HH_size_FS_n < 7.5 & shelter_to_gross_ratio >= 0.4559 & n_income_types < 1.5",3,"EXCLUDE",-12.487,6.221,54.8,286,236,248,38,0.867,6.5,0.216,0.17,0.046,0.573,8229,28.77,39.39,33.57,5.82,0.53
"rule19334","shelter_exp_by_hh_size < 575.4 & married < 0.5 & unearned_by_hh_size < 264.8",3,"EXCLUDE",2.421,1.207,54.6,285,237,233,52,0.818,4.5,0.156,0.17,-0.014,0.416,9332,32.74,34.57,33.57,1,0.468
"rule12085","gross_by_hh_size >= 365.6 & gross_by_hh_size >= 384.1 & shelter_exp_by_hh_size >= 201.3",3,"EXCLUDE",-7.461,3.721,54.2,283,239,242,41,0.855,5.9,0.201,0.17,0.03,0.539,6341,22.41,46.8,33.57,13.22,0.638
"rule13173","gross_by_hh_size >= 1.875 & utilities >= 402 & cert_HH_size_FS_n >= 3.5",3,"EXCLUDE",-35.119,17.539,53.3,278,244,234,44,0.842,5.3,0.184,0.17,0.014,0.506,7940,28.56,39.29,33.57,5.71,0.547
"rule19693","shelter_exp_by_hh_size < 471.3 & earned_by_hh_size < 821.2 & shelter_to_gross_ratio < 0.8013",3,"EXCLUDE",-4.971,2.484,52.7,275,247,236,39,0.858,6.1,0.202,0.17,0.032,0.562,5397,19.63,49.11,33.57,15.53,0.692
"rule8478","shelter_to_gross_ratio < 0.821 & earned_by_hh_size < 723",2,"EXCLUDE",-1.443,0.722,51.7,270,252,231,39,0.856,5.9,0.198,0.17,0.028,0.562,5575,20.65,47.42,33.57,13.85,0.682
"rule4742","n_income_types >= 0.5 & gross_by_hh_size >= 84.75 & rawben_rel_max < 0.7151",3,"EXCLUDE",-5.069,2.537,50.8,265,257,222,43,0.838,5.2,0.179,0.17,0.008,0.517,6786,25.61,41.79,33.57,8.22,0.613
"rule11429","earned_by_hh_size >= 289.9 & gross_by_hh_size >= 319.8 & unearned_by_hh_size < 25.17",3,"EXCLUDE",-4.004,2.004,50.8,265,257,227,38,0.857,6,0.198,0.17,0.028,0.573,6200,23.4,44.07,33.57,10.5,0.646
"rule2067","earned_by_hh_size >= 74 & shelter_exp_by_hh_size < 411.2",2,"EXCLUDE",-0.331,0.166,48.7,254,268,214,40,0.843,5.3,0.183,0.17,0.012,0.551,7803,30.72,36.28,33.57,2.71,0.555
"rule12120","gross_by_hh_size >= 1 & cert_HH_size_FS_n < 4.5 & n_income_types < 1.5",3,"EXCLUDE",-0.48,0.24,47.9,250,272,214,36,0.856,5.9,0.195,0.17,0.024,0.596,6316,25.26,41.21,33.57,7.64,0.64
"rule14712","unearned_by_hh_size < 41.5 & shelter_to_gross_ratio < 0.8206",2,"EXCLUDE",1.375,0.687,46.7,244,278,212,32,0.869,6.6,0.205,0.17,0.035,0.64,4643,19.03,46.34,33.57,12.77,0.735
"rule14661","cert_HH_size_FS_n < 7.5 & cert_HH_size_FS_n < 4.5 & gross_by_hh_size >= 405.3",3,"EXCLUDE",-6.502,3.246,46.6,243,279,204,39,0.84,5.2,0.179,0.17,0.009,0.562,6547,26.94,39.35,33.57,5.78,0.626
"rule7248","shelter_exp_by_hh_size < 496.5 & cert_HH_size_FS_n < 7.5 & shelter_to_gross_ratio >= 0.5505",3,"EXCLUDE",-20.107,10.036,46.4,242,280,207,35,0.855,5.9,0.193,0.17,0.022,0.607,7186,29.69,36.93,33.57,3.35,0.59
"rule12893","earned_by_hh_size >= 227.3 & shelter_to_gross_ratio < 0.7111 & gross_by_hh_size < 991.5",3,"EXCLUDE",-4.106,2.048,46,240,282,211,29,0.879,7.3,0.213,0.17,0.042,0.674,3631,15.13,49.27,33.57,15.7,0.793
"rule19572","shelter_exp_by_hh_size < 554.6 & shelter_exp_by_hh_size < 527.4 & rawben_rel_max >= 0.6856",3,"EXCLUDE",-41.278,20.564,45.2,236,286,199,37,0.843,5.4,0.182,0.17,0.011,0.584,7622,32.3,34.63,33.57,1.05,0.565
"rule9158","earned_by_hh_size >= 163.4 & shelter_to_gross_ratio < 0.7096 & earned_by_hh_size < 890.8",3,"EXCLUDE",-7.432,3.703,45.2,236,286,207,29,0.877,7.1,0.21,0.17,0.039,0.674,4246,17.99,46.43,33.57,12.86,0.758
"rule12046","utilities >= 444.5 & shelter_to_gross_ratio < 1.203 & cert_HH_size_FS_n < 6.5",3,"EXCLUDE",-5.704,2.84,44.8,234,288,198,36,0.846,5.5,0.184,0.17,0.014,0.596,5879,25.12,40.44,33.57,6.87,0.665
"rule19053","unearned_by_hh_size < 77.5 & earned_by_hh_size >= 375.4 & shelter_to_gross_ratio < 0.9959",3,"EXCLUDE",-25.63,12.753,44.6,233,289,200,33,0.858,6.1,0.194,0.17,0.023,0.629,4599,19.74,44.73,33.57,11.16,0.738
"rule10889","rawben_rel_max < 0.9758 & shelter_to_gross_ratio < 1.235 & shelter_exp_by_hh_size >= 267.2",3,"EXCLUDE",-5.654,2.81,44.1,230,292,194,36,0.843,5.4,0.182,0.17,0.011,0.596,5082,22.1,42.62,33.57,9.04,0.71
"rule15019","unearned_by_hh_size < 141 & unearned_by_hh_size < 114.3 & shelter_to_gross_ratio < 0.7066",3,"EXCLUDE",-1.474,0.732,43.9,229,293,200,29,0.873,6.9,0.205,0.17,0.034,0.674,3810,16.64,46.81,33.57,13.24,0.783
"rule21014","cert_HH_size_FS_n < 5.5 & shelter_exp_by_hh_size >= 213.6 & n_income_types < 1.5",3,"EXCLUDE",-3.244,1.61,43.7,228,294,201,27,0.882,7.4,0.211,0.17,0.04,0.697,5556,24.37,40.71,33.57,7.14,0.683
"rule10424","shelter_exp_by_hh_size < 356.5 & unearned_by_hh_size < 110",2,"EXCLUDE",-4.081,2.025,43.5,227,295,194,33,0.855,5.9,0.19,0.17,0.019,0.629,7102,31.29,35.34,33.57,1.76,0.595
"rule5665","cert_HH_size_FS_n < 5.5 & shelter_exp_by_hh_size >= 219.7 & unearned_by_hh_size < 12.25",3,"EXCLUDE",-2.685,1.331,43.1,225,297,199,26,0.884,7.7,0.212,0.17,0.042,0.708,5521,24.54,40.42,33.57,6.85,0.685
"rule20055","rawben_rel_max < 0.9316 & rawben_rel_max < 0.8918 & shelter_exp_by_hh_size >= 266.9",3,"EXCLUDE",-6.617,3.276,42.7,223,299,184,39,0.825,4.7,0.167,0.17,-0.003,0.562,5709,25.6,39.52,33.57,5.95,0.674
"rule10585","utilities < 460.5 & shelter_exp_by_hh_size >= 212.6",2,"EXCLUDE",-0.51,0.252,42.5,222,300,188,34,0.847,5.5,0.183,0.17,0.013,0.618,6511,29.33,36.72,33.57,3.14,0.628
"rule12785","earned_by_hh_size >= 239.3 & shelter_to_gross_ratio < 0.7111 & gross_by_hh_size < 886.8",3,"EXCLUDE",-13.401,6.623,42.1,220,302,195,25,0.886,7.8,0.212,0.17,0.041,0.719,3335,15.16,46.99,33.57,13.42,0.81
"rule6766","gross_by_hh_size >= 132.2 & shelter_to_gross_ratio < 0.8078 & n_income_types < 1.5",3,"EXCLUDE",-0.544,0.269,42.1,220,302,192,28,0.873,6.9,0.202,0.17,0.031,0.685,3562,16.19,46.24,33.57,12.66,0.797
"rule17736","cert_HH_size_FS_n < 4.5 & shelter_exp_by_hh_size >= 200.5 & n_income_types < 1.5",3,"EXCLUDE",-12.584,6.195,41,214,308,191,23,0.893,8.3,0.214,0.17,0.044,0.742,4287,20.03,42.98,33.57,9.41,0.755
"rule14024","shelter_to_gross_ratio < 0.821 & shelter_to_gross_ratio >= 0.4564 & count_divisible_by_100 < 0.5",3,"EXCLUDE",-2.759,1.356,40.6,212,310,186,26,0.877,7.2,0.203,0.17,0.033,0.708,3416,16.11,45.52,33.57,11.94,0.805
"rule6518","cert_HH_size_FS_n < 4.5 & rawben_rel_max < 0.8245 & shelter_to_gross_ratio < 0.984",3,"EXCLUDE",-7.07,3.462,39.7,207,315,175,32,0.845,5.5,0.181,0.17,0.01,0.64,5256,25.39,38.95,33.57,5.38,0.7
"rule2003","gross_by_hh_size >= 1 & utilities >= 402 & shelter_exp_by_hh_size >= 360",3,"EXCLUDE",-0.014,0.007,38.9,203,319,168,35,0.828,4.8,0.169,0.17,-0.001,0.607,6319,31.13,35.13,33.57,1.56,0.639
"rule20844","shelter_exp_by_hh_size < 386.1 & cert_HH_size_FS_n < 7.5 & unearned_by_hh_size < 25.31",3,"EXCLUDE",-8.092,3.945,38.7,202,320,173,29,0.856,6,0.188,0.17,0.017,0.674,6050,29.95,35.86,33.57,2.29,0.655
"rule11684","gross_by_hh_size < 958.8 & utilities >= 444.5 & utilities >= 460.5",3,"EXCLUDE",1.152,0.559,37.9,198,324,169,29,0.854,5.8,0.185,0.17,0.015,0.674,6328,31.96,34.56,33.57,0.99,0.639
"rule12662","n_income_types >= 0.5 & gross_by_hh_size >= 46.58 & earned_by_hh_size < 370.1",3,"EXCLUDE",-28.605,13.879,37.7,197,325,164,33,0.832,5,0.172,0.17,0.002,0.629,6458,32.78,34.06,33.57,0.48,0.632
"rule17501","n_income_types >= 0.5 & gross_by_hh_size >= 52.07 & earned_by_hh_size < 370.7",3,"EXCLUDE",0,0,37.5,196,326,163,33,0.832,4.9,0.172,0.17,0.001,0.629,6458,32.95,33.95,33.57,0.38,0.632
"rule15819","unc_rawben_rel_max < 1.2 & utilities >= 402 & unearned_by_hh_size >= 0.1",3,"EXCLUDE",-5.638,2.73,37.4,195,327,160,35,0.821,4.6,0.165,0.17,-0.005,0.607,5570,28.56,36.56,33.57,2.99,0.682
"rule15358","n_income_types >= 0.5 & gross_by_hh_size >= 73.75 & earned_by_hh_size < 370.8",3,"EXCLUDE",-7.572,3.663,37.2,194,328,161,33,0.83,4.9,0.171,0.17,0,0.629,6458,33.29,33.74,33.57,0.17,0.632
"rule7466","shelter_exp_by_hh_size < 532.2 & rawben_rel_max >= 0.7872",2,"EXCLUDE",-11.471,5.543,37,193,329,163,30,0.845,5.4,0.179,0.17,0.009,0.663,6191,32.08,34.45,33.57,0.88,0.647
"rule11538","earned_by_hh_size >= 370.8 & shelter_to_gross_ratio < 1.038 & n_income_types < 1.5",3,"EXCLUDE",-0.475,0.229,36.4,190,332,164,26,0.863,6.3,0.19,0.17,0.019,0.708,3713,19.54,41.61,33.57,8.03,0.788
"rule18852","gross_by_hh_size >= 1 & rawben_rel_max >= 0.7453 & unearned_by_hh_size < 204.1",3,"EXCLUDE",-18.547,8.891,35.6,186,336,156,30,0.839,5.2,0.176,0.17,0.005,0.663,6197,33.32,33.72,33.57,0.14,0.646
"rule16497","unearned_by_hh_size < 209.5 & shelter_to_gross_ratio < 0.6773 & shelter_exp_by_hh_size >= 165",3,"EXCLUDE",-5.261,2.519,35.4,185,337,161,24,0.87,6.7,0.193,0.17,0.022,0.73,3359,18.16,42.04,33.57,8.46,0.808
"rule16816","unc_rawben_rel_max < 1.241 & utilities >= 460.5 & n_deduction_types < 3.5",3,"EXCLUDE",-2.125,1.016,35.2,184,338,157,27,0.853,5.8,0.183,0.17,0.013,0.697,5587,30.36,35.32,33.57,1.75,0.681
"rule5214","earned_by_hh_size >= 406.5 & shelter_to_gross_ratio >= 0.4577",2,"EXCLUDE",-0.673,0.322,35.2,184,338,161,23,0.875,7,0.195,0.17,0.025,0.742,3753,20.4,40.75,33.57,7.17,0.786
"rule3520","shelter_to_gross_ratio < 0.821 & rawben_rel_max < 0.5761 & gross_by_hh_size >= 386.1",3,"EXCLUDE",-4,1.898,34.1,178,344,150,28,0.843,5.4,0.177,0.17,0.007,0.685,3443,19.34,40.94,33.57,7.36,0.804
"rule5925","utilities >= 29 & shelter_exp_by_hh_size >= 373.2 & n_deduction_types < 3.5",3,"EXCLUDE",4.966,2.35,33.7,176,346,145,31,0.824,4.7,0.168,0.17,-0.003,0.652,5717,32.48,34.13,33.57,0.56,0.674
"rule15330","utilities >= 444.5 & gross_by_hh_size >= 333.8 & rawben_rel_max >= 0.3426",3,"EXCLUDE",-2.221,1.051,33.7,176,346,151,25,0.858,6,0.185,0.17,0.014,0.719,4337,24.64,38.12,33.57,4.54,0.753
"rule19805","unc_rawben_rel_max < 1.176 & shelter_exp_by_hh_size >= 390",2,"EXCLUDE",-1.348,0.635,33.1,173,349,141,32,0.815,4.4,0.163,0.17,-0.007,0.64,5615,32.46,34.13,33.57,0.55,0.68
"rule7602","utilities >= 444.5 & cert_HH_size_FS_n < 6.5 & shelter_exp_by_hh_size < 385.6",3,"EXCLUDE",-3.643,1.714,33,172,350,147,25,0.855,5.9,0.183,0.17,0.012,0.719,5266,30.62,35.03,33.57,1.45,0.7
"rule20182","n_income_types >= 0.5 & gross_by_hh_size >= 80.12 & shelter_exp_by_hh_size < 251.8",3,"EXCLUDE",-25.72,12.065,32.6,170,352,137,33,0.806,4.2,0.159,0.17,-0.011,0.629,5415,31.85,34.41,33.57,0.83,0.691
"rule7929","cert_HH_size_FS_n < 7.5 & unearned_by_hh_size < 198 & shelter_exp_by_hh_size >= 390",3,"EXCLUDE",-27.298,12.785,32.4,169,353,144,25,0.852,5.8,0.181,0.17,0.011,0.719,5225,30.92,34.85,33.57,1.27,0.702
"rule15206","cert_HH_size_FS_n < 6.5 & gross_by_hh_size < 966.3 & unearned_by_hh_size >= 1.833",3,"EXCLUDE",-18.035,8.447,32.4,169,353,140,29,0.828,4.8,0.17,0.17,-0.001,0.674,4414,26.12,37.14,33.57,3.57,0.748
"rule94","earned_by_hh_size >= 510.3 & unearned_by_hh_size < 25.31",2,"EXCLUDE",-9.293,4.346,32.2,168,354,152,16,0.905,9.5,0.206,0.17,0.036,0.82,2178,12.96,43.36,33.57,9.78,0.876
"rule18729","shelter_exp_by_hh_size >= 225.5 & gross_by_hh_size < 1032 & cert_HH_size_FS_n < 3.5",3,"EXCLUDE",1.199,0.561,32.2,168,354,144,24,0.857,6,0.184,0.17,0.013,0.73,4230,25.18,37.56,33.57,3.98,0.759
"rule20460","shelter_exp_by_hh_size < 526 & n_income_types >= 0.5 & unearned_by_hh_size >= 1.833",3,"EXCLUDE",-0.658,0.307,32,167,355,137,30,0.82,4.6,0.166,0.17,-0.004,0.663,4387,26.27,37.01,33.57,3.44,0.75
"rule7736","gross_by_hh_size >= 14.31 & rawben_rel_max >= 0.7886 & gross_by_hh_size < 607.5",3,"EXCLUDE",-1.703,0.793,31.6,165,357,138,27,0.836,5.1,0.174,0.17,0.003,0.697,4726,28.64,35.85,33.57,2.28,0.73
"rule20129","utilities >= 444.5 & gross_by_hh_size >= 327.1 & earned_by_hh_size < 723",3,"EXCLUDE",-0.001,0.001,31.2,163,359,138,25,0.847,5.5,0.178,0.17,0.008,0.719,4356,26.72,36.69,33.57,3.11,0.751
"rule13102","utilities >= 444.5 & cert_HH_size_FS_n < 4.5 & n_income_types < 1.5",3,"EXCLUDE",-1.702,0.788,31,162,360,142,20,0.877,7.1,0.192,0.17,0.021,0.775,3944,24.35,37.73,33.57,4.15,0.775
"rule6524","shelter_to_gross_ratio < 0.8224 & rawben_rel_max < 0.5761 & gross_by_hh_size >= 469.7",3,"EXCLUDE",-3.407,1.572,30.7,160,362,137,23,0.856,6,0.182,0.17,0.012,0.742,2780,17.38,40.73,33.57,7.16,0.841
"rule14934","n_income_types < 1.5 & earned_by_hh_size >= 403.1 & earned_by_hh_size >= 474.5",3,"EXCLUDE",-2.58,1.189,30.5,159,363,141,18,0.887,7.8,0.196,0.17,0.025,0.798,2516,15.82,41.35,33.57,7.78,0.856
"rule9967","gross_by_hh_size >= 1 & gross_by_hh_size < 428.4 & rawben_rel_max >= 0.6865",3,"EXCLUDE",-0.573,0.264,30.5,159,363,133,26,0.836,5.1,0.174,0.17,0.003,0.708,5079,31.94,34.29,33.57,0.71,0.71
