"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Michigan","other_error","2-3","cat_elig > 0.500 & married > 0.500 & rawben_rel_max <= 0.995 & unc_rawben_rel_max > 0.994","cat_elig > 0.450 & married > 0.450 & rawben_rel_max <= 1.094 & unc_rawben_rel_max > 0.994",FALSE,14,2,0.143,0.061,8,0.125,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 502.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8964 & shelter_expenses_by_hh_size > 552.2000",FALSE,6,2,0.333,0.148,2,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 938.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.9980 & shelter_expenses_by_hh_size > 703.5000",FALSE,8,3,0.375,0.195,4,0,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & HH_size_n <= 2.500 & unc_rawben_rel_max > 0.992 & unc_rawben_rel_max <= 0.998","children_i <= 0.450 & HH_size_n <= 2.250 & unc_rawben_rel_max > 0.992 & unc_rawben_rel_max <= 1.098",FALSE,5,2,0.4,0.18,1,0,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & rawben_rel_max > 0.993 & rawben_rel_max <= 0.996","children_i <= 0.375 & rawben_rel_max > 0.993 & rawben_rel_max <= 1.096",FALSE,27,5,0.185,0.108,18,0.167,0,NA
"Michigan","other_error","2-3","count_divisible_by_100 <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 353.000 & unc_rawben_rel_max >   0.993","count_divisible_by_100 <=   0.4500 & rawben_rel_max <=   0.9980 & total_deductions_by_hh_size > 317.7000 & unc_rawben_rel_max >   0.8937",FALSE,7,1,0.143,0.044,5,0,0,NA
"Michigan","other_error","2-3","cat_elig >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 554.000","cat_elig >   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9970 & shelter_expenses_by_hh_size > 498.6000",FALSE,9,2,0.222,0.096,5,0,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & rawben_rel_max <=   0.997 & unc_rawben_rel_max >   0.993 & utilities > 284.000","children_i <=   0.450 & rawben_rel_max <=   1.097 & unc_rawben_rel_max >   0.993 & utilities > 255.600",FALSE,20,3,0.15,0.075,15,0.133,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & percent_abawd <= 0.583 & rawben_rel_max > 0.992 & rawben_rel_max <= 0.997","children_i <= 0.4500 & percent_abawd <= 0.5247 & rawben_rel_max > 0.9920 & rawben_rel_max <= 1.0970",FALSE,20,5,0.25,0.148,16,0.188,0,NA
"Michigan","other_error","1","total_deductions_by_hh_size > 1290.000 & unc_rawben_rel_max >    0.987 & unc_rawben_rel_max <=    0.991","total_deductions_by_hh_size > 967.500 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   1.239",FALSE,12,2,0.167,0.071,7,0.143,0,NA
"Michigan","other_error","2-3","rawben_rel_max >    0.979 & shelter_expenses_by_hh_size <= 1430.000 & total_deductions_by_hh_size >  500.000 & unc_rawben_rel_max <=    0.997","rawben_rel_max >    0.8811 & shelter_expenses_by_hh_size <= 1287.0000 & total_deductions_by_hh_size >  450.0000 & unc_rawben_rel_max <=    0.9970",FALSE,5,0,0,0,2,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 556.000 & unc_rawben_rel_max <=   0.997 & utilities > 478.000","rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 500.400 & unc_rawben_rel_max <=   1.097 & utilities > 430.200",FALSE,6,2,0.333,0.148,5,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 630.000 & unc_rawben_rel_max >   0.961","rawben_rel_max <=   0.9970 & total_deductions_by_hh_size > 472.5000 & unc_rawben_rel_max >   0.8649",FALSE,5,0,0,0,2,0,0,NA
"Michigan","other_error","2-3","cat_elig > 0.500 & elderly_disabled_i > 0.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","cat_elig > 0.450 & elderly_disabled_i > 0.450 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 1.096",FALSE,6,2,0.333,0.148,4,0,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.992 & unc_rawben_rel_max <= 0.996","children_i <= 0.4500 & expedited_i <= 0.4500 & rawben_rel_max > 0.8928 & unc_rawben_rel_max <= 1.0960",FALSE,9,2,0.222,0.096,4,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 352.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8982 & total_deductions_by_hh_size > 352.0000",FALSE,6,2,0.333,0.148,3,0,0,NA
