"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Connecticut","earned_income","4+","months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 262.0 & total_deductions_by_hh_size <= 269.0 & utilities > 902.0","months_since_cert_n >   6.05 & shelter_expenses_by_hh_size > 235.80 & total_deductions_by_hh_size <= 269.00 & utilities > 811.80",FALSE,8,6,0.75,0.524,25,0.24,24,0.292
"Connecticut","earned_income","4+","HH_size_n >   4.5 & months_since_cert_n >   5.5 & utilities > 902.0","HH_size_n >   4.5 & months_since_cert_n >   5.5 & utilities > 902.0",TRUE,12,7,0.583,0.402,18,0.333,18,0.333
"Connecticut","earned_income","4+","months_since_cert_n >   6.500 & rawben_rel_max <=   0.952 & utilities > 902.000","months_since_cert_n >   6.500 & rawben_rel_max <=   0.952 & utilities > 902.000",TRUE,18,12,0.667,0.516,22,0.273,22,0.273
"Connecticut","earned_income","1","elderly_disabled_i <=   0.500 & months_since_cert_n >   8.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 671.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   9.350 & rawben_rel_max <=   1.074 & total_deductions_by_hh_size > 671.000",FALSE,20,1,0.05,0.015,2,0.5,1,0
"Connecticut","earned_income","4+","rawben_rel_max >=   0.784 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 370.000","rawben_rel_max >=   0.7056 & rawben_rel_max <   0.8496 & shelter_expenses_by_hh_size >= 292.5000 & shelter_expenses_by_hh_size < 407.0000",FALSE,5,3,0.6,0.33,3,0.667,1,0
"Connecticut","unearned_income","1","total_deductions_by_hh_size <= 1590.00 & unc_rawben_rel_max >    2.67 & utilities >  598.00","total_deductions_by_hh_size <= 1749.000 & unc_rawben_rel_max >    2.403 & utilities >  448.500",FALSE,5,3,0.6,0.33,2,1,0,NA
"Connecticut","unearned_income","2-3","shelter_expenses_by_hh_size <= 1100.00 & unc_rawben_rel_max >    1.78 & utilities >  628.00","shelter_expenses_by_hh_size <= 825.000 & unc_rawben_rel_max >   1.335 & utilities > 471.000",FALSE,45,6,0.133,0.081,10,0.2,0,NA
"Connecticut","unearned_income","1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 863.500 & unc_rawben_rel_max >   1.462 & unc_rawben_rel_max <=   2.178",FALSE,40,0,0,0,3,0.333,0,NA
"Connecticut","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 858.00 & unc_rawben_rel_max >   1.47 & unc_rawben_rel_max <=   1.98",FALSE,129,3,0.023,0.011,60,0.067,1,1
"Connecticut","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 734.800 & unc_rawben_rel_max >   1.350",FALSE,28,4,0.143,0.078,7,0.143,0,NA
"Connecticut","unearned_income","2-3","percent_abawd <=   0.25 & unc_rawben_rel_max >   1.77 & utilities > 590.00","percent_abawd <=   0.1875 & unc_rawben_rel_max >   1.3280 & utilities > 442.5000",FALSE,46,6,0.13,0.079,20,0.2,0,NA
"Connecticut","unearned_income","2-3","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52","elderly_disabled_i > 0.375 & HH_size_n > 1.875 & unc_rawben_rel_max > 1.368",FALSE,6,1,0.167,0.051,2,0.5,0,NA
"Connecticut","unearned_income","2-3","unc_rawben_rel_max >   2.00 & unc_rawben_rel_max <=   2.54 & utilities > 462.00","unc_rawben_rel_max >   1.500 & unc_rawben_rel_max <=   1.905 & utilities > 346.500",FALSE,13,2,0.154,0.066,1,0,0,NA
"Connecticut","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 802.500 & unc_rawben_rel_max >   1.448 & unc_rawben_rel_max <=   1.980",FALSE,36,0,0,0,4,0.25,0,NA
"Connecticut","unearned_income","2-3","married >   0.50 & unc_rawben_rel_max >   1.76 & utilities > 590.00","married >   0.375 & unc_rawben_rel_max >   1.320 & utilities > 442.500",FALSE,8,1,0.125,0.038,2,0,0,NA
"Connecticut","unearned_income","2-3","unc_rawben_rel_max >   1.98 & unc_rawben_rel_max <=   2.30 & utilities > 462.00","unc_rawben_rel_max >   1.485 & unc_rawben_rel_max <=   1.725 & utilities > 346.500",FALSE,23,3,0.13,0.065,1,0,0,NA
"Connecticut","unearned_income","2-3","unc_rawben_rel_max >   1.98 & utilities > 590.00","unc_rawben_rel_max >   1.485 & utilities > 442.500",FALSE,25,3,0.12,0.059,1,0,0,NA
"Connecticut","unearned_income","1","count_divisible_by_100 <   1.00 & months_since_cert_n >=  13.00 & unc_rawben_rel_max >=   2.45 & utilities >= 676.00","count_divisible_by_100 <   0.900 & months_since_cert_n >=  11.700 & unc_rawben_rel_max >=   2.205 & utilities >= 608.400",FALSE,6,3,0.5,0.268,3,0.333,2,0.5
"Connecticut","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 802.500 & total_deductions_by_hh_size <= 758.000 & unc_rawben_rel_max >   1.448",FALSE,34,0,0,0,4,0.25,0,NA
"Connecticut","unearned_income","2-3","count_divisible_by_100 <=   1.00 & unc_rawben_rel_max >   2.02 & utilities > 472.00","count_divisible_by_100 <=   0.750 & unc_rawben_rel_max >   1.515 & utilities > 354.000",FALSE,7,1,0.143,0.044,1,0,0,NA
"Connecticut","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 4.125 & unc_rawben_rel_max > 1.350",FALSE,24,3,0.125,0.062,5,0.4,0,NA
"Connecticut","unearned_income","1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","expedited_i <=   0.450 & total_deductions_by_hh_size <= 702.900 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.871",FALSE,56,1,0.018,0.005,29,0.103,0,NA
"Connecticut","other_error","2-3","medical_deductions <= 747.000 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000 & unc_rawben_rel_max >   0.993","medical_deductions <= 672.3000 & rawben_rel_max <=   0.9960 & total_deductions_by_hh_size > 512.6000 & unc_rawben_rel_max >   0.8937",FALSE,6,3,0.5,0.268,3,0.333,0,NA
"Connecticut","other_error","2-3","months_since_cert_n <=  36.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 468.000","months_since_cert_n <=  32.8500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9960 & total_deductions_by_hh_size > 514.8000",FALSE,5,3,0.6,0.33,3,0.333,0,NA
"Connecticut","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000","children_i <=   0.4500 & rawben_rel_max >   0.8946 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 512.6000",FALSE,7,2,0.286,0.125,5,0.2,0,NA
"Connecticut","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000","rawben_rel_max >   0.8937 & rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 524.0000",FALSE,6,3,0.5,0.268,3,0.333,0,NA
