"state","budget","f_min","n_rules_core","n_rules_total","used_completion","window_redone","walk_depth","base_precision","rewalk_precision","precision_diff","base_errors","rewalk_errors","base_dollar_recall_unw","rewalk_dollar_recall_unw","dollar_recall_unw_diff","base_dollar_recall_wtd","rewalk_dollar_recall_wtd","dollar_recall_wtd_diff","base_flagged_share","rewalk_flagged_share","fill_rate"
"Alabama",10,0.55,82,194,FALSE,TRUE,12664,0.327102803738318,0.31404958677686,-0.0130532169614582,35,38,0.253244937896881,0.310475657973561,0.0572307200766804,0.247385566524338,0.292482478066507,0.045096911542169,0.102983638113571,0.116458132820019,1.16458132820019
"Alabama",10,0.6,82,191,FALSE,FALSE,10588,0.327102803738318,0.31404958677686,-0.0130532169614582,35,38,0.253244937896881,0.310475657973561,0.0572307200766804,0.247385566524338,0.292482478066507,0.045096911542169,0.102983638113571,0.116458132820019,1.16458132820019
"Alabama",10,0.65,79,216,FALSE,TRUE,15115,0.327102803738318,0.363636363636364,0.0365335598980459,35,32,0.253244937896881,0.23679060665362,-0.0164543312432605,0.247385566524338,0.236816260042866,-0.0105693064814718,0.102983638113571,0.0846968238691049,0.846968238691049
"Alabama",10,0.7,78,225,FALSE,TRUE,17928,0.327102803738318,0.318181818181818,-0.00892098555649956,35,42,0.253244937896881,0.3317624505771,0.0785175126802189,0.247385566524338,0.317587091342526,0.0702015248181878,0.102983638113571,0.127045235803657,1.27045235803657
"Alabama",10,0.75,89,237,FALSE,TRUE,19292,0.327102803738318,0.327868852459016,0.000766048720698631,35,40,0.253244937896881,0.321418587004273,0.0681736491073925,0.247385566524338,0.303543131566746,0.0561575650424086,0.102983638113571,0.117420596727623,1.17420596727623
"Arizona",5,0.25,16,46,FALSE,FALSE,878,0.272727272727273,0.288888888888889,0.0161616161616162,12,13,0.22357882398906,0.233834733346357,0.0102559093572963,0.225977092365645,0.235513879332431,0.00953678696678575,0.0508083140877598,0.0519630484988453,1.03926096997691
"Arizona",5,0.4,16,36,FALSE,FALSE,792,0.272727272727273,0.285714285714286,0.012987012987013,12,14,0.22357882398906,0.234274272318812,0.0106954483297519,0.225977092365645,0.249986949520498,0.0240098571548533,0.0508083140877598,0.0565819861431871,1.13163972286374
"Arizona",5,0.5,15,44,FALSE,FALSE,1340,0.272727272727273,0.325,0.0522727272727273,12,13,0.22357882398906,0.175034186364524,-0.0485446376245361,0.225977092365645,0.191978994661964,-0.0339980977036805,0.0508083140877598,0.046189376443418,0.92378752886836
"Arizona",5,0.55,14,41,FALSE,FALSE,1641,0.272727272727273,0.325,0.0522727272727273,12,13,0.22357882398906,0.175034186364524,-0.0485446376245361,0.225977092365645,0.191978994661964,-0.0339980977036805,0.0508083140877598,0.046189376443418,0.92378752886836
"Arizona",5,0.6,14,32,FALSE,FALSE,1369,0.272727272727273,0.325,0.0522727272727273,12,13,0.22357882398906,0.175034186364524,-0.0485446376245361,0.225977092365645,0.191978994661964,-0.0339980977036805,0.0508083140877598,0.046189376443418,0.92378752886836
"Arizona",5,0.65,12,43,FALSE,FALSE,1641,0.272727272727273,0.4,0.127272727272727,12,14,0.22357882398906,0.174887673373706,-0.0486911506153546,0.225977092365645,0.17912039442858,-0.0468566979370654,0.0508083140877598,0.0404157043879908,0.808314087759815
"Arizona",5,0.7,13,64,FALSE,FALSE,3435,0.272727272727273,0.368421052631579,0.0956937799043062,12,14,0.22357882398906,0.174887673373706,-0.0486911506153546,0.225977092365645,0.17912039442858,-0.0468566979370654,0.0508083140877598,0.0438799076212471,0.877598152424942
"Arizona",5,0.75,21,56,FALSE,FALSE,3058,0.272727272727273,0.295454545454545,0.0227272727272728,12,13,0.22357882398906,0.170541121312756,-0.053037702676304,0.225977092365645,0.205522614223044,-0.0204544781426007,0.0508083140877598,0.0508083140877598,1.0161662817552
"Arizona",10,0.25,35,91,FALSE,FALSE,2975,0.30379746835443,0.285714285714286,-0.0180831826401447,24,24,0.340789216643876,0.342742723188123,0.00195350654424692,0.360179287867747,0.362581591375207,0.00240230350746035,0.0912240184757506,0.0969976905311778,0.969976905311778
"Arizona",10,0.4,23,91,FALSE,FALSE,4197,0.30379746835443,0.352112676056338,0.0483152077019076,24,25,0.340789216643876,0.36218011330338,0.0213908966595038,0.360179287867747,0.375147264713216,0.0149679768454689,0.0912240184757506,0.081986143187067,0.81986143187067
"Arizona",10,0.5,30,108,FALSE,FALSE,5666,0.30379746835443,0.324675324675325,0.0208778563208943,24,25,0.340789216643876,0.308116819691346,-0.0326723969525298,0.360179287867747,0.324026256051656,-0.036153031816091,0.0912240184757506,0.0889145496535797,0.889145496535797
"Arizona",10,0.55,27,109,FALSE,FALSE,9362,0.30379746835443,0.333333333333333,0.0295358649789029,24,25,0.340789216643876,0.306602852119555,-0.0341863645243211,0.360179287867747,0.32143478571028,-0.0387445021574672,0.0912240184757506,0.0866050808314088,0.866050808314088
"Arizona",10,0.6,30,112,FALSE,FALSE,8240,0.30379746835443,0.358208955223881,0.0544114868694502,24,24,0.340789216643876,0.303135378003516,-0.0376538386403594,0.360179287867747,0.318635001804955,-0.0415442860627919,0.0912240184757506,0.0773672055427252,0.773672055427252
"Arizona",10,0.65,30,147,FALSE,TRUE,15033,0.30379746835443,0.358208955223881,0.0544114868694502,24,24,0.340789216643876,0.303135378003516,-0.0376538386403594,0.360179287867747,0.318635001804955,-0.0415442860627919,0.0912240184757506,0.0773672055427252,0.773672055427252
"Arizona",10,0.7,30,151,FALSE,TRUE,17164,0.30379746835443,0.363636363636364,0.0598388952819333,24,24,0.340789216643876,0.303135378003516,-0.0376538386403594,0.360179287867747,0.318635001804955,-0.0415442860627919,0.0912240184757506,0.0762124711316397,0.762124711316397
"Arizona",10,0.75,20,140,FALSE,TRUE,17846,0.30379746835443,0.319444444444444,0.015646976090014,24,23,0.340789216643876,0.297030670052745,-0.043758546591131,0.360179287867747,0.312984070942147,-0.0471952169255998,0.0912240184757506,0.0831408775981524,0.831408775981524
"Arkansas",5,0.25,40,98,FALSE,FALSE,2545,0.219512195121951,0.219512195121951,0,9,9,0.163647404108896,0.163647404108896,0,0.174113954019554,0.174113954019554,0,0.047953216374269,0.047953216374269,0.95906432748538
"Arkansas",5,0.4,40,100,FALSE,FALSE,3245,0.219512195121951,0.228571428571429,0.00905923344947734,9,8,0.163647404108896,0.153729379617448,-0.00991802449144824,0.174113954019554,0.163724187314828,-0.0103897667047259,0.047953216374269,0.0409356725146199,0.818713450292398
"Arkansas",5,0.5,39,103,FALSE,FALSE,4257,0.219512195121951,0.228571428571429,0.00905923344947734,9,8,0.163647404108896,0.153729379617448,-0.00991802449144824,0.174113954019554,0.163724187314828,-0.0103897667047259,0.047953216374269,0.0409356725146199,0.818713450292398
"Arkansas",5,0.55,36,87,FALSE,FALSE,4257,0.219512195121951,0.225,0.00548780487804879,9,9,0.163647404108896,0.1712377289748,0.00759032486590427,0.174113954019554,0.177988345897008,0.00387439187745423,0.047953216374269,0.0467836257309941,0.935672514619883
"Arkansas",5,0.6,36,88,FALSE,FALSE,4691,0.219512195121951,0.225,0.00548780487804879,9,9,0.163647404108896,0.1712377289748,0.00759032486590427,0.174113954019554,0.177988345897008,0.00387439187745423,0.047953216374269,0.0467836257309941,0.935672514619883
"Arkansas",5,0.65,38,89,FALSE,FALSE,4927,0.219512195121951,0.258064516129032,0.038552321007081,9,8,0.163647404108896,0.153425766622811,-0.0102216374860844,0.174113954019554,0.159646918662395,-0.0144670353571588,0.047953216374269,0.0362573099415205,0.725146198830409
"Arkansas",5,0.7,40,91,FALSE,FALSE,6080,0.219512195121951,0.25,0.0304878048780488,9,7,0.163647404108896,0.138852342880275,-0.0247950612286206,0.174113954019554,0.141869572082921,-0.0322443819366336,0.047953216374269,0.0327485380116959,0.654970760233918
