"idx","var","lo","hi","width","rel_width","state","rank","rule"
1386,"earned_by_hh_size",580,630,50,0.0793650793650794,"Missouri",16,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
1649,"earned_by_hh_size",580,630,50,0.0793650793650794,"Nevada",13,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
1749,"earned_by_hh_size",580,630,50,0.0793650793650794,"New Hampshire",14,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & unc_rawben_rel_max >= 1.32"
2301,"earned_by_hh_size",580,630,50,0.0793650793650794,"Pennsylvania",14,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
2823,"earned_by_hh_size",580,630,50,0.0793650793650794,"Virginia",16,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
2944,"earned_by_hh_size",580,630,50,0.0793650793650794,"West Virginia",7,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
264,"utilities",524,578,54,0.0934256055363322,"California",48,"earned_by_hh_size > 0.1 & rawben_rel_max > 0.502 & utilities > 524 & utilities <= 578"
200,"unearned_by_hh_size",135,192,57,0.296875,"Arkansas",74,"HH_size_n > 6.5 & rawben_rel_max <= 0.946 & unearned_by_hh_size > 135 & unearned_by_hh_size <= 192"
3028,"unearned_by_hh_size",135,192,57,0.296875,"West Virginia",91,"HH_size_n > 6.5 & rawben_rel_max <= 0.946 & unearned_by_hh_size > 135 & unearned_by_hh_size <= 192"
10,"earned_by_hh_size",125,190,65,0.342105263157895,"Alabama",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
106,"earned_by_hh_size",125,190,65,0.342105263157895,"Arizona",15,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
226,"earned_by_hh_size",125,190,65,0.342105263157895,"California",10,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
288,"earned_by_hh_size",125,190,65,0.342105263157895,"Colorado",11,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
366,"earned_by_hh_size",125,190,65,0.342105263157895,"Connecticut",11,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
412,"earned_by_hh_size",125,190,65,0.342105263157895,"Delaware",8,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
466,"earned_by_hh_size",125,190,65,0.342105263157895,"Florida",13,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
516,"earned_by_hh_size",125,190,65,0.342105263157895,"Idaho",8,"earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08"
