"state","rank","rule","hh","drift"
"Alabama",89,"earned_by_hh_size >= 548 & gross_by_hh_size < 629 & months_since_cert_n < 15 & utilities >= 450","1",TRUE
"Alabama",91,"medical_deductions > 138 & unc_rawben_rel_max > 0.356 & unearned_by_hh_size > 1220 & utilities <= 392","1",TRUE
"Arizona",3,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Arizona",5,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"Arizona",6,"earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Arizona",10,"gross_by_hh_size > 810 & rawben_rel_max > 0.864 & utilities <= 5","1",FALSE
"Arizona",14,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",FALSE
"Arizona",16,"earned_by_hh_size <= 19 & gross_by_hh_size > 370 & rawben_rel_max > 0.997 & utilities <= 293","1",FALSE
"Arizona",18,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities < 318","1",FALSE
"Arizona",19,"gross_by_hh_size > 300 & months_since_cert_n > 5.5 & total_deductions_by_hh_size > 250 & utilities <= 303","2-3",TRUE
"Arizona",23,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1",FALSE
"Arizona",26,"rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1650 & unc_rawben_rel_max <= 1.05 & utilities <= 997","1",TRUE
"Arizona",29,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"Arizona",33,"rawben_rel_max >= 0.193 & shelter_expenses_by_hh_size >= 578 & unearned_by_hh_size >= 946 & utilities < 511","2-3",TRUE
"Arizona",34,"earned_by_hh_size > 324 & percent_abawd <= 0.5 & unc_rawben_rel_max > 1.27 & utilities <= 5","1",FALSE
"Arkansas",2,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Arkansas",4,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"Arkansas",8,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities < 318","1",TRUE
"Arkansas",10,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",FALSE
"Arkansas",11,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"Arkansas",12,"elderly_disabled_i >= 1 & gross_by_hh_size > 334 & rawben_rel_max > 0.998 & utilities <= 349","1",TRUE
"Arkansas",14,"elderly_disabled_i >= 1 & months_since_cert_n > 10.5 & shelter_expenses_by_hh_size > 906 & utilities <= 5","1",FALSE
"Arkansas",16,"months_since_cert_n > 12.5 & total_deductions_by_hh_size > 110 & unc_rawben_rel_max > 0.761 & utilities <= 8","1",FALSE
"Arkansas",22,"earned_by_hh_size < 613 & shelter_expenses_by_hh_size >= 1030 & unc_rawben_rel_max < 1.02 & utilities < 284","1",TRUE
"Arkansas",29,"HH_size_n < 3 & rawben_rel_max >= 0.624 & unearned_by_hh_size >= 668 & utilities < 452","2-3",TRUE
"Arkansas",33,"months_since_cert_n >= 12 & total_deductions_by_hh_size >= 458 & utilities < 91","1",TRUE
"Arkansas",36,"earned_by_hh_size >= 303 & unc_rawben_rel_max >= 1.16 & utilities < 680","2-3",TRUE
"Arkansas",38,"gross_by_hh_size >= 518 & shelter_expenses_by_hh_size >= 732 & total_deductions_by_hh_size >= 362 & utilities < 361","2-3",TRUE
"Arkansas",39,"unc_rawben_rel_max > 0.673 & unearned_by_hh_size > 667 & utilities <= 12.5","1",FALSE
"Arkansas",46,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 360","1",TRUE
"Arkansas",48,"months_since_cert_n >= 7 & shelter_expenses_by_hh_size >= 521 & unc_rawben_rel_max < 1 & utilities < 364","2-3",TRUE
"Arkansas",51,"months_since_cert_n >= 6 & shelter_expenses_by_hh_size >= 157 & total_deductions_by_hh_size < 55.2 & utilities < 424","4+",TRUE
"Arkansas",52,"months_since_cert_n >= 3 & total_deductions_by_hh_size >= 130 & unearned_by_hh_size >= 326 & utilities < 441","4+",TRUE
"Arkansas",55,"earned_by_hh_size >= 32.5 & months_since_cert_n >= 6 & shelter_expenses_by_hh_size >= 459 & utilities < 366","2-3",TRUE
"Arkansas",60,"earned_by_hh_size > 78.8 & earned_by_hh_size <= 417 & total_deductions_by_hh_size > 232 & utilities > 30.5","4+",FALSE
"Arkansas",63,"months_since_cert_n > 5.5 & shelter_expenses_by_hh_size > 120 & unc_rawben_rel_max <= 1 & utilities <= 300","4+",TRUE
"Arkansas",64,"children_i >= 1 & earned_by_hh_size <= 500 & gross_by_hh_size > 590 & utilities <= 425","1",TRUE
"Arkansas",65,"shelter_expenses_by_hh_size >= 233 & total_deductions_by_hh_size >= 61.8 & total_deductions_by_hh_size < 83 & utilities < 559","4+",TRUE
"Arkansas",66,"gross_by_hh_size > 196 & total_deductions_by_hh_size > 520 & utilities <= 578","2-3",TRUE
"Arkansas",68,"earned_by_hh_size > 0.167 & gross_by_hh_size <= 691 & unearned_by_hh_size > 102 & utilities <= 360","2-3",TRUE
"Arkansas",69,"earned_by_hh_size < 301 & gross_by_hh_size >= 275 & months_since_cert_n >= 4 & utilities < 376","4+",TRUE
"Arkansas",70,"gross_by_hh_size >= 317 & shelter_expenses_by_hh_size >= 484 & total_deductions_by_hh_size >= 312 & utilities < 364","2-3",TRUE
"Arkansas",86,"elderly_disabled_i >= 1 & unc_rawben_rel_max > 0.312 & unearned_by_hh_size > 1050 & utilities <= 97","1",TRUE
"Arkansas",88,"medical_deductions >= 129 & months_since_cert_n >= 3 & unc_rawben_rel_max >= 0.159 & utilities < 714","2-3",TRUE
"Arkansas",90,"earned_by_hh_size >= 346 & earned_by_hh_size < 387 & months_since_cert_n < 2 & utilities < 426","4+",TRUE
"California",3,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"California",4,"earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"California",5,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1",TRUE
"California",6,"total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3",TRUE
"California",8,"gross_by_hh_size > 810 & rawben_rel_max > 0.864 & utilities <= 5","1",FALSE
"California",15,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities < 318","1",TRUE
"California",17,"earned_by_hh_size > 444 & unc_rawben_rel_max > 1.34 & utilities <= 42","1",TRUE
"California",18,"elderly_disabled_i >= 1 & medical_deductions > 134 & shelter_expenses_by_hh_size > 855 & utilities <= 724","2-3",TRUE
"California",21,"rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1650 & unc_rawben_rel_max <= 1.05 & utilities <= 997","1",TRUE
"California",24,"earned_by_hh_size >= 528 & unc_rawben_rel_max >= 1.44 & utilities < 580","1",TRUE
"California",25,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",TRUE
"California",26,"elderly_disabled_i >= 1 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.03 & utilities < 571","1",TRUE
"California",29,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"California",33,"gross_by_hh_size > 1600 & shelter_expenses_by_hh_size > 2080 & utilities <= 664","1",TRUE
"California",41,"earned_by_hh_size > 324 & percent_abawd <= 0.5 & unc_rawben_rel_max > 1.27 & utilities <= 5","1",FALSE
"California",46,"rawben_rel_max >= 0.116 & shelter_expenses_by_hh_size >= 851 & unearned_by_hh_size >= 957 & utilities < 892","2-3",TRUE
"California",48,"earned_by_hh_size > 0.1 & rawben_rel_max > 0.502 & utilities > 524 & utilities <= 578","4+",TRUE
"California",53,"rawben_rel_max < 0.794 & shelter_expenses_by_hh_size < 482 & total_deductions_by_hh_size >= 315 & utilities >= 441","4+",TRUE
"California",54,"earned_by_hh_size <= 0.167 & shelter_expenses_by_hh_size > 858 & unc_rawben_rel_max <= 1 & utilities <= 540","2-3",TRUE
"California",60,"gross_by_hh_size > 1290 & medical_deductions > 140 & rawben_rel_max > 0.997 & utilities <= 598","1",TRUE
"Colorado",4,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Colorado",6,"earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Colorado",8,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",TRUE
"Colorado",9,"earned_by_hh_size >= 772 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Colorado",10,"gross_by_hh_size > 810 & rawben_rel_max > 0.864 & utilities <= 5","1",FALSE
"Colorado",17,"earned_by_hh_size > 444 & unc_rawben_rel_max > 1.34 & utilities <= 42","1",FALSE
"Colorado",21,"rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1650 & unc_rawben_rel_max <= 1.05 & utilities <= 997","1",TRUE
"Colorado",26,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",FALSE
"Colorado",28,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"Colorado",31,"gross_by_hh_size > 1600 & shelter_expenses_by_hh_size > 2080 & utilities <= 664","1",TRUE
"Colorado",33,"rawben_rel_max >= 0.193 & shelter_expenses_by_hh_size >= 578 & unearned_by_hh_size >= 946 & utilities < 511","2-3",TRUE
"Colorado",34,"elderly_disabled_i >= 1 & months_since_cert_n > 10.5 & shelter_expenses_by_hh_size > 906 & utilities <= 5","1",FALSE
"Colorado",37,"rawben_rel_max >= 0.993 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 222 & utilities < 612","1",TRUE
"Colorado",38,"months_since_cert_n > 12.5 & total_deductions_by_hh_size > 110 & unc_rawben_rel_max > 0.761 & utilities <= 8","1",FALSE
"Colorado",45,"gross_by_hh_size >= 922 & total_deductions_by_hh_size >= 575 & utilities < 551","2-3",TRUE
"Colorado",48,"earned_by_hh_size <= 0.167 & shelter_expenses_by_hh_size > 858 & unc_rawben_rel_max <= 1 & utilities <= 540","2-3",TRUE
"Colorado",49,"gross_by_hh_size >= 298 & rawben_rel_max >= 0.481 & utilities >= 353 & utilities < 361","2-3",TRUE
"Colorado",51,"earned_by_hh_size < 613 & shelter_expenses_by_hh_size >= 1030 & unc_rawben_rel_max < 1.02 & utilities < 284","1",TRUE
"Colorado",55,"rawben_rel_max >= 0.0819 & shelter_expenses_by_hh_size >= 880 & unc_rawben_rel_max < 1.02 & utilities < 75","1",FALSE
"Colorado",56,"rawben_rel_max > 0.155 & rawben_rel_max <= 0.984 & unearned_by_hh_size > 967 & utilities <= 530","2-3",TRUE
"Colorado",57,"gross_by_hh_size > 1290 & medical_deductions > 140 & rawben_rel_max > 0.997 & utilities <= 598","1",TRUE
"Colorado",60,"earned_by_hh_size < 823 & rawben_rel_max >= 0.0446 & total_deductions_by_hh_size >= 954 & utilities < 735","2-3",TRUE
"Colorado",61,"percent_abawd > 0.125 & rawben_rel_max <= 0.914 & total_deductions_by_hh_size > 550 & utilities <= 823","2-3",TRUE
"Colorado",64,"married >= 1 & shelter_expenses_by_hh_size > 968 & unc_rawben_rel_max <= 1 & utilities <= 922","2-3",TRUE
"Colorado",67,"gross_by_hh_size >= 271 & rawben_rel_max >= 0.539 & utilities >= 531","4+",TRUE
"Colorado",71,"homeless >= 1 & months_since_cert_n >= 10 & shelter_expenses_by_hh_size >= 895 & utilities < 1010","1",TRUE
"Colorado",73,"earned_by_hh_size >= 303 & unc_rawben_rel_max >= 1.16 & utilities < 680","2-3",TRUE
"Colorado",75,"homeless >= 1 & total_deductions_by_hh_size > 450 & unc_rawben_rel_max <= 1.08 & utilities <= 793","1",TRUE
"Colorado",78,"bbce_state_i >= 1 & months_since_cert_n >= 10 & total_deductions_by_hh_size >= 554 & utilities < 860","2-3",TRUE
"Connecticut",4,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Connecticut",6,"earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Connecticut",8,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1",TRUE
"Connecticut",10,"gross_by_hh_size > 810 & rawben_rel_max > 0.864 & utilities <= 5","1",FALSE
"Connecticut",17,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities < 318","1",TRUE
"Connecticut",19,"rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1650 & unc_rawben_rel_max <= 1.05 & utilities <= 997","1",TRUE
"Connecticut",20,"gross_by_hh_size > 347 & shelter_expenses_by_hh_size > 353 & unearned_by_hh_size <= 289 & utilities <= 916","4+",TRUE
"Connecticut",26,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",TRUE
"Connecticut",28,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"Connecticut",30,"months_since_cert_n >= 17 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.02 & utilities < 797","1",TRUE
"Connecticut",36,"months_since_cert_n > 12.5 & total_deductions_by_hh_size > 110 & unc_rawben_rel_max > 0.761 & utilities <= 8","1",FALSE
"Connecticut",39,"rawben_rel_max >= 0.116 & shelter_expenses_by_hh_size >= 851 & unearned_by_hh_size >= 957 & utilities < 892","2-3",TRUE
"Connecticut",45,"earned_by_hh_size < 613 & shelter_expenses_by_hh_size >= 1030 & unc_rawben_rel_max < 1.02 & utilities < 284","1",TRUE
"Delaware",2,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",FALSE
"Delaware",5,"earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Delaware",6,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",TRUE
"Delaware",7,"total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3",TRUE
"Delaware",10,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",FALSE
"Delaware",13,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1",FALSE
"Delaware",14,"expedited_i <= 0 & rawben_rel_max > 0.997 & unearned_by_hh_size > 308 & utilities <= 293","1",FALSE
"Delaware",15,"rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1650 & unc_rawben_rel_max <= 1.05 & utilities <= 997","1",TRUE
"Delaware",18,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",FALSE
"Delaware",19,"elderly_disabled_i >= 1 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.03 & utilities < 571","1",TRUE
"Delaware",20,"bbce_state_i >= 1 & medical_deductions > 636 & unc_rawben_rel_max > 1.11 & utilities <= 636","1",TRUE
"Delaware",22,"HH_size_n > 4.5 & rawben_rel_max > 0.295 & rawben_rel_max <= 0.885 & utilities <= 540","4+",TRUE
"Delaware",27,"gross_by_hh_size >= 1130 & medical_deductions >= 310 & rawben_rel_max >= 0.972 & utilities < 550","1",TRUE
"Delaware",28,"elderly_disabled_i >= 1 & total_deductions_by_hh_size > 504 & unc_rawben_rel_max <= 1.09 & utilities <= 29.5","1",FALSE
"Delaware",31,"rawben_rel_max < 0.794 & shelter_expenses_by_hh_size < 482 & total_deductions_by_hh_size >= 315 & utilities >= 441","4+",TRUE
"Delaware",32,"total_deductions_by_hh_size > 110 & unc_rawben_rel_max > 0.558 & unearned_by_hh_size > 964 & utilities <= 8","1",FALSE
"Delaware",33,"elderly_disabled_i >= 1 & shelter_expenses_by_hh_size > 952 & utilities <= 8","1",FALSE
"District of Columbia",7,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"District of Columbia",9,"total_deductions_by_hh_size > 523 & unc_rawben_rel_max > 0.975 & unc_rawben_rel_max <= 1 & utilities > 27.5","2-3",FALSE
"District of Columbia",10,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",TRUE
"District of Columbia",11,"gross_by_hh_size > 1600 & shelter_expenses_by_hh_size > 2080 & utilities <= 664","1",TRUE
"Florida",4,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Florida",7,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1",TRUE
"Florida",8,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",TRUE
"Florida",9,"total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3",TRUE
"Florida",10,"earned_by_hh_size >= 772 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Florida",11,"gross_by_hh_size > 810 & rawben_rel_max > 0.864 & utilities <= 5","1",FALSE
"Florida",17,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.916 & unc_rawben_rel_max < 1.01 & utilities < 318","1",TRUE
"Florida",18,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1",FALSE
"Florida",23,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",FALSE
"Florida",26,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"Florida",27,"bbce_state_i >= 1 & medical_deductions > 636 & unc_rawben_rel_max > 1.11 & utilities <= 636","1",TRUE
"Florida",30,"rawben_rel_max <= 0.971 & unc_rawben_rel_max > 0.161 & unearned_by_hh_size > 1010 & utilities <= 472","2-3",TRUE
"Florida",31,"gross_by_hh_size > 1600 & shelter_expenses_by_hh_size > 2080 & utilities <= 664","1",TRUE
"Florida",34,"HH_size_n <= 4.5 & shelter_expenses_by_hh_size > 405 & utilities > 322","4+",TRUE
"Florida",36,"earned_by_hh_size > 324 & percent_abawd <= 0.5 & unc_rawben_rel_max > 1.27 & utilities <= 5","1",FALSE
"Georgia",6,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Georgia",10,"gross_by_hh_size > 190 & HH_size_n > 5.5 & utilities > 23","4+",FALSE
"Georgia",13,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"Georgia",16,"total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3",TRUE
"Idaho",5,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"Idaho",6,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1",TRUE
"Idaho",7,"gross_by_hh_size > 810 & rawben_rel_max > 0.864 & utilities <= 5","1",FALSE
"Idaho",13,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1",FALSE
"Idaho",18,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",TRUE
"Idaho",20,"rawben_rel_max >= 0.193 & shelter_expenses_by_hh_size >= 578 & unearned_by_hh_size >= 946 & utilities < 511","2-3",TRUE
"Idaho",22,"earned_by_hh_size < 68.7 & total_deductions_by_hh_size >= 421 & unc_rawben_rel_max < 1.03 & utilities < 442","2-3",TRUE
"Idaho",24,"gross_by_hh_size > 451 & percent_abawd <= 0.5 & rawben_rel_max > 0.993 & utilities <= 8","1",FALSE
"Idaho",27,"gross_by_hh_size > 1180 & total_deductions_by_hh_size > 110 & unc_rawben_rel_max > 0.402 & utilities <= 30.5","1",TRUE
"Idaho",29,"elderly_disabled_i >= 1 & shelter_expenses_by_hh_size > 952 & utilities <= 8","1",FALSE
"Idaho",32,"gross_by_hh_size >= 643 & shelter_expenses_by_hh_size >= 830 & total_deductions_by_hh_size >= 490 & utilities < 46","1",TRUE
"Idaho",38,"expedited_i <= 0 & gross_by_hh_size > 334 & rawben_rel_max > 0.997 & utilities <= 18.5","1",FALSE
"Idaho",41,"rawben_rel_max >= 0.752 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size >= 1510 & utilities < 679","1",TRUE
"Idaho",43,"earned_by_hh_size <= 322 & homeless >= 1 & shelter_expenses_by_hh_size > 1030 & utilities <= 798","1",TRUE
"Idaho",44,"earned_by_hh_size >= 303 & unc_rawben_rel_max >= 1.16 & utilities < 680","2-3",TRUE
"Idaho",48,"homeless >= 1 & total_deductions_by_hh_size > 450 & unc_rawben_rel_max <= 1.08 & utilities <= 793","1",TRUE
"Idaho",51,"unc_rawben_rel_max > 0.673 & unearned_by_hh_size > 667 & utilities <= 12.5","1",FALSE
"Idaho",57,"earned_by_hh_size < 462 & gross_by_hh_size >= 229 & total_deductions_by_hh_size >= 495 & utilities < 431","2-3",TRUE
"Idaho",59,"gross_by_hh_size >= 162 & total_deductions_by_hh_size >= 575 & unc_rawben_rel_max < 1.02 & utilities < 724","2-3",TRUE
"Idaho",64,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 360","1",TRUE
"Idaho",66,"children_i >= 1 & gross_by_hh_size >= 217 & unc_rawben_rel_max >= 1.1 & utilities < 347","2-3",TRUE
"Idaho",67,"rawben_rel_max <= 0.962 & shelter_expenses_by_hh_size > 958 & total_deductions_by_hh_size > 339 & utilities <= 560","2-3",TRUE
"Idaho",73,"earned_by_hh_size > 303 & unc_rawben_rel_max > 1.29 & utilities <= 30.5","1",TRUE
"Idaho",74,"HH_size_n > 5.5 & total_deductions_by_hh_size > 219 & utilities > 362","4+",TRUE
"Illinois",2,"earned_by_hh_size <= 642 & medical_deductions > 152 & unc_rawben_rel_max > 0.268 & utilities > 22","1",FALSE
"Illinois",3,"elderly_disabled_i >= 1 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1 & utilities > 477","2-3",TRUE
"Illinois",4,"gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1",TRUE
"Illinois",6,"medical_deductions >= 115 & rawben_rel_max >= 0.238 & shelter_expenses_by_hh_size < 1630 & utilities >= 44","1",TRUE
"Illinois",8,"earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
"Illinois",9,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1",TRUE
"Illinois",10,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",TRUE
"Illinois",11,"total_deductions_by_hh_size >= 554 & unearned_by_hh_size >= 915 & utilities < 571","2-3",FALSE
"Illinois",12,"earned_by_hh_size >= 772 & unc_rawben_rel_max >= 1.4 & utilities < 580","1",TRUE
