"state","fy","n","mx","md","mode_share","n_distinct","tiered"
"New York","2024",587,1325,992,0.558773424190801,10,TRUE
"North Carolina","2017",700,576,374,0.381428571428571,14,FALSE
"North Carolina","2018",733,760,400,0.371077762619372,13,FALSE
"North Carolina","2019",678,628,437,0.41740412979351,11,FALSE
"North Carolina","2022",600,796,550,0.451666666666667,9,TRUE
"North Carolina","2023",773,798,557,0.434670116429495,10,TRUE
"North Carolina","2024",657,839,585,0.429223744292237,11,FALSE
"North Dakota","2017",346,596,596,0.88728323699422,4,TRUE
"North Dakota","2018",320,610,610,0.86875,5,TRUE
"North Dakota","2019",333,615,615,0.876876876876877,6,TRUE
"North Dakota","2022",321,645,645,0.881619937694704,4,TRUE
"North Dakota","2023",295,711,711,0.874576271186441,5,TRUE
"North Dakota","2024",331,735,735,0.83987915407855,5,TRUE
"Ohio","2017",695,530,513,0.910791366906475,7,TRUE
"Ohio","2018",690,530,530,0.931884057971014,6,TRUE
"Ohio","2019",624,3544,544,0.905448717948718,7,TRUE
"Ohio","2022",616,678,580,0.915584415584416,7,TRUE
"Ohio","2023",575,646,646,0.907826086956522,8,TRUE
"Ohio","2024",610,724,724,0.908196721311475,6,TRUE
"Oklahoma","2017",686,338,338,0.908163265306122,5,TRUE
"Oklahoma","2018",660,362,330,0.898484848484848,5,TRUE
"Oklahoma","2019",662,414,362,0.894259818731118,5,TRUE
"Oklahoma","2022",631,391,340,0.882725832012678,4,TRUE
"Oklahoma","2023",680,462,391,0.875,7,TRUE
"Oklahoma","2024",575,391,388,0.890434782608696,5,TRUE
"Oregon","2017",682,449,449,0.894428152492669,5,TRUE
"Oregon","2018",637,587,454,0.90894819466248,10,TRUE
"Oregon","2019",624,436,436,0.942307692307692,5,TRUE
"Oregon","2022",559,452,450,0.910554561717352,6,TRUE
"Oregon","2023",552,469,452,0.914855072463768,6,TRUE
"Oregon","2024",615,529,469,0.931707317073171,6,TRUE
"Pennsylvania","2017",709,580,570,0.981664315937941,6,TRUE
"Pennsylvania","2018",670,588,580,0.977611940298508,7,TRUE
"Pennsylvania","2019",669,588,588,0.938714499252616,4,TRUE
"Pennsylvania","2022",685,612,612,0.978102189781022,3,TRUE
"Pennsylvania","2023",667,750,679,0.599700149925038,6,TRUE
"Pennsylvania","2024",670,750,750,0.986567164179105,4,TRUE
"Rhode Island","2017",580,605,605,1,1,TRUE
"Rhode Island","2018",336,628,628,0.982142857142857,3,TRUE
"Rhode Island","2019",762,635,635,0.993438320209974,3,TRUE
"Rhode Island","2022",621,676,676,1,1,TRUE
"Rhode Island","2023",906,800,797,0.573951434878587,6,TRUE
"Rhode Island","2024",894,789,789,0.998881431767338,2,TRUE
"South Carolina","2017",522,299,299,0.988505747126437,4,TRUE
"South Carolina","2018",560,302,302,0.991071428571429,5,TRUE
"South Carolina","2019",617,340,302,0.987034035656402,4,TRUE
"South Carolina","2022",484,313,313,0.989669421487603,4,TRUE
"South Carolina","2023",406,347,342,0.982758620689655,4,TRUE
"South Carolina","2024",516,369,369,0.967054263565892,3,TRUE
"South Dakota","2017",443,705,705,0.952595936794582,4,TRUE
"South Dakota","2018",416,721,721,0.951923076923077,6,TRUE
"South Dakota","2019",414,732,732,0.939613526570048,5,TRUE
"South Dakota","2022",364,784,784,0.956043956043956,4,TRUE
"South Dakota","2023",370,850,850,0.951351351351351,4,TRUE
"South Dakota","2024",387,892,892,0.953488372093023,7,TRUE
"Tennessee","2017",570,411,308,0.46140350877193,12,FALSE
"Tennessee","2018",555,405,311,0.495495495495495,15,FALSE
"Tennessee","2019",584,423,317,0.49486301369863,15,FALSE
"Tennessee","2022",506,417,320,0.515810276679842,14,FALSE
"Tennessee","2023",517,525,403,0.502901353965184,18,FALSE
"Tennessee","2024",525,574,430,0.474285714285714,15,FALSE
"Texas","2017",669,381,338,0.863976083707025,6,TRUE
"Texas","2018",595,357,342,0.857142857142857,6,TRUE
"Texas","2019",562,357,357,0.825622775800712,4,TRUE
"Texas","2022",573,408,367,0.823734729493892,5,TRUE
"Texas","2023",555,1775,408,0.809009009009009,8,TRUE
"Texas","2024",612,575,424,0.821895424836601,6,TRUE
"Utah","2017",553,365,347,0.819168173598553,5,TRUE
"Utah","2018",556,365,365,0.809352517985611,5,TRUE
"Utah","2019",594,360,360,0.760942760942761,8,TRUE
"Utah","2022",596,400,376,0.706375838926175,8,TRUE
"Utah","2023",620,400,400,0.72741935483871,7,TRUE
"Utah","2024",559,503,503,0.76386404293381,6,TRUE
"Vermont","2017",659,782,776,0.993930197268589,5,TRUE
"Vermont","2018",651,3808,808,0.992319508448541,5,TRUE
"Vermont","2019",606,822,822,1,1,TRUE
"Vermont","2022",692,1030,875,0.992774566473988,3,TRUE
"Vermont","2023",669,1030,1030,0.992526158445441,4,TRUE
"Vermont","2024",628,1030,1020,0.995222929936306,3,TRUE
"Virginia","2017",509,733,287,0.50098231827112,49,FALSE
"Virginia","2018",523,509,306,0.502868068833652,34,FALSE
"Virginia","2019",416,662,311,0.550480769230769,39,FALSE
"Virginia","2022",493,784,322,0.525354969574036,43,FALSE
"Virginia","2023",516,670,374,0.538759689922481,54,FALSE
"Virginia","2024",489,747,414,0.496932515337423,48,FALSE
"Washington","2017",605,421,411,0.966942148760331,5,TRUE
"Washington","2018",506,421,421,0.962450592885375,4,TRUE
"Washington","2019",500,430,430,0.966,5,TRUE
"Washington","2022",514,459,459,0.945525291828794,4,TRUE
"Washington","2023",544,462,462,0.955882352941177,3,TRUE
"Washington","2024",538,483,483,0.95910780669145,5,TRUE
"West Virginia","2017",541,455,455,0.946395563770795,3,TRUE
"West Virginia","2018",565,462,462,0.943362831858407,5,TRUE
"West Virginia","2019",561,421,421,0.96078431372549,3,TRUE
"West Virginia","2022",560,436,436,0.951785714285714,4,TRUE
"West Virginia","2023",514,435,435,0.943579766536965,4,TRUE
"West Virginia","2024",495,496,496,0.917171717171717,5,TRUE
"Wisconsin","2017",734,474,457,0.821525885558583,8,TRUE
"Wisconsin","2018",702,457,448,0.794871794871795,9,TRUE
"Wisconsin","2019",778,452,452,0.766066838046273,8,TRUE
"Wisconsin","2022",746,462,462,0.75201072386059,8,TRUE
"Wisconsin","2023",816,512,471,0.727941176470588,10,TRUE
"Wisconsin","2024",752,502,502,0.738031914893617,6,TRUE
"Wyoming","2017",209,380,380,0.861244019138756,3,TRUE
"Wyoming","2018",199,386,386,0.874371859296482,3,TRUE
"Wyoming","2019",203,587,393,0.817733990147783,7,TRUE
"Wyoming","2022",191,417,417,0.816753926701571,5,TRUE
"Wyoming","2023",180,456,456,0.866666666666667,4,TRUE
"Wyoming","2024",187,478,478,0.812834224598931,6,TRUE
