"state","rank","rule","hh","smd_min","smd_max","in_training_smd_range"
"Kentucky",13,"bbce_state_i >= 1 & medical_deductions > 636 & unc_rawben_rel_max > 1.11 & utilities <= 636","1",0,137,FALSE
"Kentucky",69,"medical_deductions > 144 & unc_rawben_rel_max > 0.15 & unearned_by_hh_size > 115 & utilities <= 564","2-3",0,137,FALSE
"Kentucky",77,"medical_deductions > 138 & unc_rawben_rel_max > 0.356 & unearned_by_hh_size > 1220 & utilities <= 392","1",0,137,FALSE
"Kentucky",78,"medical_deductions >= 136 & unc_rawben_rel_max >= 0.709 & utilities >= 379 & utilities < 723","2-3",0,137,TRUE
"Kentucky",85,"HH_size_n <= 2.5 & medical_deductions > 126 & rawben_rel_max > 0.17 & unc_rawben_rel_max > 0.625","2-3",0,137,TRUE
"Kentucky",90,"bbce_state_i >= 1 & medical_deductions > 128 & rawben_rel_max > 0.156 & unc_rawben_rel_max <= 1","2-3",0,137,TRUE
"Louisiana",13,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",0,161,FALSE
"Louisiana",14,"children_i <= 0 & medical_deductions > 138 & total_deductions_by_hh_size > 542 & utilities <= 504","2-3",0,161,TRUE
"Louisiana",23,"medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3",0,161,FALSE
"Louisiana",30,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",0,161,FALSE
"Louisiana",38,"married >= 1 & medical_deductions > 144 & total_deductions_by_hh_size > 340 & utilities <= 434","2-3",0,161,TRUE
"Louisiana",49,"medical_deductions >= 145 & rawben_rel_max >= 0.851 & utilities < 714","2-3",0,161,TRUE
"Louisiana",50,"earned_by_hh_size < 0.5 & gross_by_hh_size >= 204 & medical_deductions >= 301 & rawben_rel_max >= 0.56","2-3",0,161,FALSE
"Louisiana",66,"medical_deductions >= 202 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.2 & unearned_by_hh_size < 1120","1",0,161,FALSE
"Louisiana",71,"earned_by_hh_size > 0.312 & medical_deductions <= 135 & months_since_cert_n > 10.5 & shelter_expenses_by_hh_size > 346","4+",0,161,TRUE
"Louisiana",80,"gross_by_hh_size < 964 & medical_deductions >= 347 & months_since_cert_n < 11","2-3",0,161,FALSE
