hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule,original_rule
1,rule10094,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.125,0.295,unc_rawben_rel_max >= 2.05 & utilities < 925 & months_since_cert_n < 24,unc_rawben_rel_max >= 1.673 & utilities < 606.5 & months_since_cert_n < 10.5
1,rule361,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.051,0.35,unc_rawben_rel_max >= 2.05 & months_since_cert_n >= 0 & months_since_cert_n < 24,unc_rawben_rel_max >= 1.624 & months_since_cert_n >= 4.5 & months_since_cert_n < 8.5
1,rule3982,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.171,0.248,rawgross >= 0 & unc_rawben_rel_max >= 2.05 & months_since_cert_n < 24,rawgross >= 1348 & unc_rawben_rel_max >= -0.003498 & months_since_cert_n < 7.5
1,rule2416,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.09,0.3,unc_rawben_rel_max >= 2.05 & months_since_cert_n >= 0 & rawgross < 450,unc_rawben_rel_max >= 1.466 & months_since_cert_n >= 5.5 & rawgross < 488.5
1,rule2181,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.076,0.285,unc_rawben_rel_max >= 2.05 & utilities >= 0 & rawunearn < 400,unc_rawben_rel_max >= 1.234 & utilities >= 28 & rawunearn < 4.5
1,rule7445,recall,30,4,4,31,8,23,1.75,0.258,0.075,0.085,4.28,NA,0.386,unc_rawben_rel_max >= 2.05 & months_since_cert_n < 26 & utilities < 925 & utilities >= 0,unc_rawben_rel_max >= 1.723 & months_since_cert_n < 10.5 & utilities < 490.5 & utilities >= 413
1,rule22951,recall,30,3,3,31,8,23,1.75,0.258,0.075,0.051,4.28,0.2,0.254,rawgross >= 1400 & total_deductions < 1350 & unc_rawben_rel_max >= 0.6,rawgross >= 1067 & total_deductions < 545 & unc_rawben_rel_max >= -0.008873
1,rule11475,recall,30,3,3,43,11,32,2.42,0.256,0.103,0.068,4.24,0.15,0.317,rawgross >= 1409 & cat_elig < 1.5 & unc_rawben_rel_max >= 0.45,rawgross >= 1409 & cat_elig < 1.5 & unc_rawben_rel_max >= -0.01646
1,rule2922,recall,30,3,3,59,15,44,3.33,0.254,0.14,0.119,4.22,0.071,0.238,unc_rawben_rel_max < 1.15 & count_divisible_by_100 >= 0 & total_deductions >= 1100,unc_rawben_rel_max < 1.93 & count_divisible_by_100 >= 0.5 & total_deductions >= 494
1,rule6019,recall,30,4,3,44,11,33,2.48,0.25,0.103,0.084,4.14,NA,0.865,"rawgross < 2050 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 1 & total_deductions >= 1050","rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21"
1,rule3217,recall,30,4,4,36,9,27,2.03,0.25,0.084,0.078,4.14,0.167,0.418,shelter_expenses < 1600 & rawearn >= 1250 & rawben_rel_max < 0.85 & rawben_rel_max >= 0.05,shelter_expenses < 1906 & rawearn >= 1.5 & rawben_rel_max < 0.97 & rawben_rel_max >= 0.5326
1,rule1531,recall,30,3,2,40,10,30,2.25,0.25,0.093,0.083,4.14,0.133,0.249,"shelter_expenses < 1450 & rawearn >= 1100 & homeless %in% c(""FALSE"")","shelter_expenses < 2227 & rawearn >= 737 & homeless %in% c(""FALSE"")"
1,rule9923,recall,30,3,3,32,8,24,1.8,0.25,0.075,0.085,4.14,0.114,0.468,unc_rawben_rel_max >= 2.05 & shelter_expenses >= 837 & total_deductions >= 0,unc_rawben_rel_max >= 1.872 & shelter_expenses >= 837 & total_deductions >= 634.5
1,rule5684,recall,30,2,2,36,9,27,2.03,0.25,0.084,0.069,4.14,0.167,0.315,unc_rawben_rel_max < 0.85 & shelter_expenses >= 1800,unc_rawben_rel_max < 1.912 & shelter_expenses >= 1888
1,rule2943,recall,30,3,3,60,15,45,3.38,0.25,0.14,0.11,4.14,1,0.205,unc_rawben_rel_max < 1 & total_deductions >= 1050 & utilities < 925,unc_rawben_rel_max < 1.217 & total_deductions >= 897.1 & utilities < 679.5
1,rule871,recall,30,4,4,44,11,33,2.48,0.25,0.103,0.081,4.14,0.044,0.204,rawearn < 250 & unc_rawben_rel_max >= -0.05 & shelter_expenses >= 1800 & unc_rawben_rel_max < 1.4,rawearn < 2004 & unc_rawben_rel_max >= 1.804 & shelter_expenses >= 670 & unc_rawben_rel_max < 2.49
1,rule7736,recall,30,3,3,32,8,24,1.8,0.25,0.075,0.085,4.14,0.125,0.229,unc_rawben_rel_max >= 2.05 & utilities < 925 & total_deductions >= 800,unc_rawben_rel_max >= 1.627 & utilities < 604.5 & total_deductions >= 438.5
1,rule920,recall,30,4,4,36,9,27,2.03,0.25,0.084,0.078,4.14,0.273,0.356,rawgross < 2887 & unc_rawben_rel_max < 1 & rawearn >= 1250 & shelter_expenses < 1600,rawgross < 2887 & unc_rawben_rel_max < 1.85 & rawearn >= 331.5 & shelter_expenses < 72
2,rule410,recall,30,4,3,48,13,35,14.04,0.271,0.277,0.243,1.97,0.1,0.269,"rawearn < 2400 & shelter_expenses < 2100 & unc_rawben_rel_max < 0.8108 & elderly_disabled_i %in% c(""FALSE"")","rawearn < 835.5 & shelter_expenses < 1999 & unc_rawben_rel_max < 0.8108 & elderly_disabled_i %in% c(""FALSE"")"
2,rule8840,recall,30,4,3,37,10,27,10.82,0.27,0.213,0.192,1.97,0.206,0.29,"months_since_cert_n >= 6 & months_since_cert_n < 15 & unc_rawben_rel_max < 0.95 & elderly_disabled_i %in% c(""FALSE"")","months_since_cert_n >= 4.5 & months_since_cert_n < 11.5 & unc_rawben_rel_max < 0.8583 & elderly_disabled_i %in% c(""FALSE"")"
2,rule9504,recall,30,3,3,37,10,27,10.82,0.27,0.213,0.302,1.97,1,0.225,utilities < 925 & shelter_expenses >= 1700 & rawunearn < 400,utilities < 363.5 & shelter_expenses >= 886.5 & rawunearn < 841.5
2,rule4025,recall,30,3,2,56,15,41,16.37,0.268,0.319,0.322,1.95,0.1,0.28,"rawearn < 2400 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.85","rawearn < 706.5 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.7859"
2,rule318,recall,30,3,2,56,15,41,16.37,0.268,0.319,0.322,1.95,0.071,0.238,"rawearn < 2400 & rawben_rel_max < 0.85 & elderly_disabled_i %in% c(""FALSE"")","rawearn < 700.5 & rawben_rel_max < 0.8876 & elderly_disabled_i %in% c(""FALSE"")"
2,rule2748,recall,30,4,4,86,23,63,25.15,0.267,0.489,0.425,1.95,0.273,0.243,rawunearn < 2200 & months_since_cert_n >= 0 & rawben_rel_max >= 0.4 & rawben_rel_max < 0.85,rawunearn < 802.5 & months_since_cert_n >= 3.5 & rawben_rel_max >= 0.3168 & rawben_rel_max < 0.6212
2,rule5028,recall,30,4,4,64,17,47,18.71,0.266,0.362,0.28,1.93,0.286,0.23,unc_rawben_rel_max >= 0.5 & rawben_rel_max < 0.85 & cat_elig >= 0.5 & shelter_expenses < 2250,unc_rawben_rel_max >= 0.1769 & rawben_rel_max < 0.6483 & cat_elig >= 0.5 & shelter_expenses < 368.5
2,rule1918,recall,30,3,2,57,15,42,16.67,0.263,0.319,0.322,1.91,0.19,0.273,"unc_rawben_rel_max < 0.85 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 2500","unc_rawben_rel_max < 0.4564 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 2504"
2,rule9311,recall,30,4,4,65,17,48,19.01,0.262,0.362,0.348,1.9,0.303,0.235,months_since_cert_n >= 0 & rawgross < 2482 & rawearn >= 750 & utilities >= 0,months_since_cert_n >= 1.5 & rawgross < 2482 & rawearn >= 1346 & utilities >= 420.5
2,rule2129,recall,30,3,2,73,19,54,21.35,0.26,0.404,0.35,1.89,0.296,0.242,"rawgross >= 1100 & rawgross < 2500 & children_i %in% c(""TRUE"")","rawgross >= 1614 & rawgross < 2106 & children_i %in% c(""TRUE"")"
2,rule3805,recall,30,4,3,62,16,46,18.13,0.258,0.34,0.334,1.88,0.184,0.245,"unc_rawben_rel_max >= 0.2 & rawben_rel_max < 0.85 & elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n < 13","unc_rawben_rel_max >= -0.005206 & rawben_rel_max < 0.757 & elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n < 9.5"
2,rule1062,recall,30,3,2,31,8,23,9.06,0.258,0.17,0.134,1.88,0.333,0.339,"rawben_rel_max < 0.85 & shelter_expenses < 1450 & elderly_disabled_i %in% c(""FALSE"")","rawben_rel_max < 0.8725 & shelter_expenses < 15.5 & elderly_disabled_i %in% c(""FALSE"")"
