hh_size,rule_id,rule,n_conditions,workload_pct,n_flagged,errors_caught,clean_flagged,precision,recall,dollar_recall,error_tag
2-3,rule1506,"rawunearn >= 431 & rawearn >= 0.5 & rawearn < 123 & elderly_disabled_i %in% c(""TRUE"")",4,0.3,48,15,33,0.312,0.015,0.011,earned_overissuance
2-3,rule1656,rawearn >= 3 & unc_rawben_rel_max < 0.993 & rawearn < 198,3,0.6,90,26,64,0.289,0.027,0.019,earned_overissuance
2-3,rule857,unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 8.5,2,0.5,71,20,51,0.282,0.02,0.029,earned_overissuance
2-3,rule841,total_deductions >= 269.1 & rawgross < 0.5 & unc_rawben_rel_max < 1.233,3,0.3,49,13,36,0.265,0.013,0.019,earned_overissuance
2-3,rule1774,shelter_expenses >= 2336 & rawben_rel_max >= 0.8097,2,0.7,109,28,81,0.257,0.029,0.035,earned_overissuance
2-3,rule642,rawearn >= 1026 & utilities >= 645.5 & rawben_rel_max >= 0.7437,3,1.3,198,50,148,0.253,0.051,0.05,earned_overissuance
2-3,rule2164,rawunearn < 834.5 & rawunearn >= 829.5,2,0.2,24,6,18,0.25,0.006,0.008,earned_overissuance
2-3,rule1995,unc_rawben_rel_max >= 1.335 & utilities < 339.5,2,1.3,184,44,140,0.239,0.045,0.068,earned_overissuance
2-3,rule1064,total_deductions >= 1730 & total_deductions < 1861,2,0.3,39,9,30,0.231,0.009,0.007,earned_overissuance
2-3,rule1398,rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606,3,0.7,98,22,76,0.224,0.022,0.03,earned_overissuance
2-3,rule510,rawearn >= 963.5 & shelter_expenses < 1902 & rawearn < 1148 & rawben_rel_max < 0.5265,4,0.4,54,11,43,0.204,0.011,0.007,earned_overissuance
2-3,rule1303,shelter_expenses < 1836 & unc_rawben_rel_max >= 1.47 & utilities < 485,3,1.8,270,54,216,0.2,0.055,0.073,earned_overissuance
4+,rule336,rawearn >= 1054 & rawgross < 1173 & rawben_rel_max < 0.8216,3,0.2,22,11,11,0.5,0.014,0.017,earned_overissuance
4+,rule42,rawearn >= 1018 & utilities >= 851 & months_since_cert_n >= 8.5 & rawearn < 2364,4,0.3,34,17,17,0.5,0.022,0.024,earned_overissuance
4+,rule1069,rawearn >= 1041 & rawgross < 1194 & total_deductions < 345,3,0.3,32,14,18,0.438,0.018,0.02,earned_overissuance
4+,rule104,rawearn >= 801.5 & months_since_cert_n >= 10.5 & utilities >= 851,3,0.3,31,13,18,0.419,0.017,0.014,earned_overissuance
4+,rule785,rawearn >= 641 & rawearn < 723.5 & rawben_rel_max < 0.8643,3,0.2,25,10,15,0.4,0.013,0.013,earned_overissuance
4+,rule818,total_deductions >= 446.3 & total_deductions < 447.1,2,0.1,15,6,9,0.4,0.008,0.008,earned_overissuance
4+,rule955,shelter_expenses >= 1252 & unc_rawben_rel_max >= 0.7847 & rawearn >= 1110 & total_deductions < 860.4,4,0.3,31,12,19,0.387,0.015,0.018,earned_overissuance
4+,rule722,shelter_expenses >= 1377 & rawgross < 1800 & rawearn >= 1713,3,0.2,28,10,18,0.357,0.013,0.009,earned_overissuance
4+,rule382,rawearn >= 1044 & rawben_rel_max >= 0.7618 & months_since_cert_n >= 6.5 & shelter_expenses >= 1585,4,0.7,76,27,49,0.355,0.035,0.044,earned_overissuance
4+,rule994,rawearn >= 243 & rawben_rel_max < 0.6066 & rawgross >= 3146 & rawgross < 3158,4,0.2,23,8,15,0.348,0.01,0.007,earned_overissuance
4+,rule873,rawearn >= 1016 & rawgross < 1912 & months_since_cert_n >= 10.5,3,0.5,58,20,38,0.345,0.026,0.03,earned_overissuance
4+,rule608,rawearn >= 1018 & rawben_rel_max >= 0.7619 & rawben_rel_max < 0.7643,3,0.2,18,6,12,0.333,0.008,0.007,earned_overissuance
4+,rule436,rawearn >= 644.5 & rawearn < 725 & rawben_rel_max < 0.8857,3,0.3,33,11,22,0.333,0.014,0.014,earned_overissuance
4+,rule239,rawearn >= 774 & total_deductions < 274.5 & rawgross < 1165,3,0.6,67,21,46,0.313,0.027,0.029,earned_overissuance
4+,rule907,unc_rawben_rel_max < 1.26 & rawearn >= 1048 & rawearn < 1073,3,0.2,29,9,20,0.31,0.012,0.009,earned_overissuance
4+,rule749,rawearn >= 1048 & months_since_cert_n >= 6.5 & utilities >= 902,3,0.8,89,27,62,0.303,0.035,0.034,earned_overissuance
4+,rule869,shelter_expenses >= 1302 & rawben_rel_max >= 0.7989 & rawgross >= 1116 & rawgross < 1194,4,0.4,41,12,29,0.293,0.015,0.025,earned_overissuance
4+,rule1056,shelter_expenses >= 975.5 & rawgross < 10 & months_since_cert_n < 0.5,3,0.4,41,12,29,0.293,0.015,0.013,earned_overissuance
4+,rule939,shelter_expenses >= 1252 & unc_rawben_rel_max >= 1.159 & months_since_cert_n < 0.5,3,0.3,38,11,27,0.289,0.014,0.014,earned_overissuance
4+,rule1064,rawearn >= 151.5 & utilities < 304.5 & utilities >= 286.5 & married < 0.5,4,0.8,90,25,65,0.278,0.032,0.017,earned_overissuance
4+,rule699,rawearn >= 797.5 & total_deductions < 179.7,2,0.3,36,10,26,0.278,0.013,0.018,earned_overissuance
4+,rule644,rawearn >= 242 & total_deductions < 76.4,2,0.2,22,6,16,0.273,0.008,0.011,earned_overissuance
4+,rule914,total_deductions >= 1826 & months_since_cert_n >= 4.5,2,0.4,41,11,30,0.268,0.014,0.015,earned_overissuance
4+,rule430,shelter_expenses >= 1302 & rawben_rel_max >= 0.5961 & rawben_rel_max < 0.6088,3,0.3,38,10,28,0.263,0.013,0.011,earned_overissuance
4+,rule827,months_since_cert_n >= 10.5 & rawearn >= 1280 & rawearn < 2066,3,0.7,80,21,59,0.262,0.027,0.027,earned_overissuance
4+,rule1040,unc_rawben_rel_max < 1.38 & rawgross >= 1122 & rawgross < 1154,3,0.5,58,15,43,0.259,0.019,0.032,earned_overissuance
4+,rule397,shelter_expenses >= 1278 & unc_rawben_rel_max >= 1.267 & utilities >= 517.5,3,0.4,47,12,35,0.255,0.015,0.018,earned_overissuance
4+,rule515,rawearn >= 121 & rawgross < 1892 & rawben_rel_max < 0.9931 & shelter_expenses >= 1687,4,1.4,163,41,122,0.252,0.053,0.071,earned_overissuance
4+,rule556,total_deductions >= 668.9 & rawgross < 210 & shelter_expenses >= 1652,3,0.6,65,16,49,0.246,0.021,0.022,earned_overissuance
4+,rule328,shelter_expenses >= 1698 & utilities >= 851 & rawearn < 3420 & rawearn >= 1389,4,1.3,155,38,117,0.245,0.049,0.045,earned_overissuance
4+,rule406,rawearn >= 604.5 & total_deductions < 233.4 & shelter_expenses < 275,3,0.7,87,21,66,0.241,0.027,0.031,earned_overissuance
4+,rule1062,rawearn >= 151.5 & utilities < 304.5 & utilities >= 286.5,3,1,121,29,92,0.24,0.037,0.019,earned_overissuance
4+,rule691,rawearn >= 1012 & rawearn < 1152 & utilities < 457.5,3,1,118,27,91,0.229,0.035,0.038,earned_overissuance
4+,rule299,rawearn >= 775 & utilities >= 867.5 & rawearn < 2426,3,1.3,156,35,121,0.224,0.045,0.043,earned_overissuance
4+,rule454,total_deductions >= 939.9 & months_since_cert_n >= 6.5 & rawgross < 1926,3,1.1,132,28,104,0.212,0.036,0.048,earned_overissuance
4+,rule666,rawearn >= 1006 & months_since_cert_n >= 11.5 & shelter_expenses < 1186,3,0.5,57,12,45,0.211,0.015,0.013,earned_overissuance
4+,rule583,rawearn >= 4237 & rawgross < 4398,2,0.4,49,10,39,0.204,0.013,0.008,earned_overissuance
4+,rule892,total_deductions >= 1732 & cat_elig >= 1.5,2,0.5,54,11,43,0.204,0.014,0.019,earned_overissuance
4+,rule520,rawearn >= 1035 & months_since_cert_n >= 6.5 & rawben_rel_max >= 0.69,3,3.2,377,76,301,0.202,0.098,0.107,earned_overissuance
1,rule2541,"unc_rawben_rel_max >= 1.473 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 60.5 & shelter_expenses < 950.5",4,2.3,195,144,51,0.738,0.256,0.279,unearned_overissuance
1,rule5435,"count_divisible_by_100 < 0.5 & total_deductions >= 2.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")",4,3.5,297,212,85,0.714,0.377,0.425,unearned_overissuance
1,rule1143,"unc_rawben_rel_max >= 1.522 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5 & months_since_cert_n >= 1.5",4,3.2,271,191,80,0.705,0.34,0.379,unearned_overissuance
1,rule6940,count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.473 & utilities < 449.5 & months_since_cert_n >= 7.5,4,1.4,115,77,38,0.67,0.137,0.151,unearned_overissuance
1,rule2553,unc_rawben_rel_max >= 1.788 & utilities < 606 & utilities >= 554.5,3,0.7,56,31,25,0.554,0.055,0.067,unearned_overissuance
1,rule10781,"elderly_disabled_i %in% c(""TRUE"") & rawgross < 582.5 & total_deductions >= 31",3,5.5,465,247,218,0.531,0.44,0.495,unearned_overissuance
1,rule5510,count_divisible_by_100 >= 0.5 & rawgross >= 966 & rawben_rel_max >= 0.3746 & rawben_rel_max < 0.7987,4,0.4,36,19,17,0.528,0.034,0.028,unearned_overissuance
1,rule6109,"rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & expedited_i %in% c(""FALSE"")",3,5,421,219,202,0.52,0.39,0.446,unearned_overissuance
1,rule3243,unc_rawben_rel_max >= 1.435 & rawunearn < 0.5 & months_since_cert_n >= 6.5,3,3.5,296,153,143,0.517,0.272,0.298,unearned_overissuance
1,rule9962,unc_rawben_rel_max >= 1.817 & months_since_cert_n >= 6.5,2,2.6,217,111,106,0.512,0.198,0.205,unearned_overissuance
1,rule11730,count_divisible_by_100 < 0.5 & total_deductions >= 18.8 & rawgross < 0.5 & utilities < 44.5,4,1.5,124,61,63,0.492,0.109,0.127,unearned_overissuance
