"state","arm","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","n_rules_deployed","n_rules_deployed_p","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Missouri","persize",0.05,2529,756,37,11,0.2973,0.0899,0.2371,5,0,207,0,0,207
"Missouri","persize",0.1,2529,756,75,16,0.2133,0.0899,0.3411,8,0,415,0,0,415
"Missouri","benp",0.05,2467,756,36,12,0.3333,0.0899,0.2771,4,3,189,0,0,207
"Missouri","benp",0.1,2467,756,75,19,0.2533,0.0899,0.378,7,4,415,0,0,415
"Montana","persize",0.05,1194,575,24,3,0.125,0.1113,0.0344,3,0,169,0,0,169
"Montana","persize",0.1,1194,575,57,10,0.1754,0.1113,0.1209,7,0,339,0,0,339
"Montana","benp",0.05,1096,575,27,3,0.1111,0.1113,0.0384,3,3,168,0,1,169
"Montana","benp",0.1,1096,575,56,9,0.1607,0.1113,0.1652,6,4,339,0,0,339
"Nebraska","persize",0.05,998,881,37,7,0.1892,0.0613,0.1863,6,0,256,0,0,258
"Nebraska","persize",0.1,998,881,86,13,0.1512,0.0613,0.2679,9,0,514,0,0,516
"Nebraska","benp",0.05,1079,881,44,6,0.1364,0.0613,0.1656,4,3,258,0,0,258
"Nebraska","benp",0.1,1079,881,87,13,0.1494,0.0613,0.3747,6,4,515,1,0,516
"Nevada","persize",0.05,8791,911,44,6,0.1364,0.0911,0.079,5,0,288,0,0,288
"Nevada","persize",0.1,8791,911,90,20,0.2222,0.0911,0.2431,9,0,576,0,0,576
"Nevada","benp",0.05,9513,911,40,5,0.125,0.0911,0.0812,6,4,288,0,0,288
"Nevada","benp",0.1,9513,911,91,20,0.2198,0.0911,0.2567,9,5,576,0,0,576
"New Hampshire","persize",0.05,3890,620,29,6,0.2069,0.1113,0.0989,3,0,166,0,0,166
"New Hampshire","persize",0.1,3890,620,62,11,0.1774,0.1113,0.2123,6,0,332,0,0,332
"New Hampshire","benp",0.05,3368,620,30,5,0.1667,0.1113,0.0905,4,4,166,0,0,166
"New Hampshire","benp",0.1,3368,620,59,9,0.1525,0.1113,0.2049,5,4,332,0,0,332
"New Jersey","persize",0.05,3955,621,20,3,0.15,0.095,0.0314,1,0,173,0,0,173
"New Jersey","persize",0.1,3955,621,61,14,0.2295,0.095,0.174,6,0,347,0,0,347
"New Jersey","benp",0.05,4392,621,31,3,0.0968,0.095,0.0314,2,1,173,0,0,173
"New Jersey","benp",0.1,4392,621,62,11,0.1774,0.095,0.2552,3,2,347,0,0,347
"New Mexico","persize",0.05,11241,959,45,15,0.3333,0.1575,0.0919,6,0,282,1,0,282
"New Mexico","persize",0.1,11241,959,95,34,0.3579,0.1575,0.2075,12,0,565,0,0,565
"New Mexico","benp",0.05,12015,959,45,17,0.3778,0.1575,0.1142,2,2,282,0,0,282
"New Mexico","benp",0.1,12015,959,91,29,0.3187,0.1575,0.1974,5,4,565,0,0,565
"New York","persize",0.05,5474,673,27,8,0.2963,0.1456,0.0676,2,0,199,0,0,199
"New York","persize",0.1,5474,673,66,18,0.2727,0.1456,0.2292,9,0,398,1,0,398
"New York","benp",0.05,5244,673,32,10,0.3125,0.1456,0.0986,4,4,199,0,0,199
"New York","benp",0.1,5244,673,67,18,0.2687,0.1456,0.1589,9,6,398,0,0,398
"North Carolina","persize",0.05,5986,878,43,14,0.3256,0.131,0.165,6,0,281,0,0,281
"North Carolina","persize",0.1,5986,878,84,25,0.2976,0.131,0.2374,10,0,563,0,0,563
"North Carolina","benp",0.05,6274,878,41,13,0.3171,0.131,0.1714,5,4,281,0,0,281
"North Carolina","benp",0.1,6274,878,87,24,0.2759,0.131,0.2763,10,8,563,0,0,563
"North Dakota","persize",0.05,1781,434,21,3,0.1429,0.0968,0.0709,4,0,121,0,0,121
"North Dakota","persize",0.1,1781,434,42,4,0.0952,0.0968,0.0786,7,0,243,0,0,243
"North Dakota","benp",0.05,2263,434,18,3,0.1667,0.0968,0.0634,2,2,119,0,2,121
"North Dakota","benp",0.1,2263,434,42,4,0.0952,0.0968,0.0729,4,4,243,0,0,243
"Ohio","persize",0.05,3344,895,44,1,0.0227,0.1017,0.0038,2,0,265,0,0,265
"Ohio","persize",0.1,3344,895,83,11,0.1325,0.1017,0.0721,4,0,531,0,0,531
"Ohio","benp",0.05,3113,895,40,4,0.1,0.1017,0.0365,3,0,265,0,0,265
"Ohio","benp",0.1,3113,895,88,15,0.1705,0.1017,0.1971,6,2,531,0,0,531
"Oklahoma","persize",0.05,10851,873,43,12,0.2791,0.1592,0.0792,5,0,283,0,0,283
"Oklahoma","persize",0.1,10851,873,87,30,0.3448,0.1592,0.2271,8,0,566,0,0,566
"Oklahoma","benp",0.05,11164,873,43,12,0.2791,0.1592,0.0765,5,3,283,0,0,283
"Oklahoma","benp",0.1,11164,873,87,27,0.3103,0.1592,0.1945,8,6,566,0,0,566
"Oregon","persize",0.05,9825,823,41,15,0.3659,0.1507,0.1001,3,0,219,0,0,219
"Oregon","persize",0.1,9825,823,81,28,0.3457,0.1507,0.2416,7,0,439,0,0,439
"Oregon","benp",0.05,10184,823,41,18,0.439,0.1507,0.209,2,1,219,0,0,219
"Oregon","benp",0.1,10184,823,82,28,0.3415,0.1507,0.2816,5,3,439,0,0,439
"Pennsylvania","persize",0.05,2334,760,36,16,0.4444,0.1434,0.1694,4,0,230,1,0,230
"Pennsylvania","persize",0.1,2334,760,75,25,0.3333,0.1434,0.2391,6,0,460,0,0,460
"Pennsylvania","benp",0.05,2726,760,35,14,0.4,0.1434,0.2112,2,2,230,0,0,230
"Pennsylvania","benp",0.1,2726,760,76,23,0.3026,0.1434,0.2896,5,4,460,0,0,460
