"state","budget","var","n_rules_using_var","share_flagged_gt90","share_caseload_gt90","share_errors_gt90","share_flagged_gt99","share_caseload_gt99","share_errors_gt99","share_flagged_p0","share_caseload_p0","share_benponly_err_gt90","share_shared_err_gt90"
"Georgia",0.05,"rawunearn_p",2,0.0286,0.0719,0.0632,0,0.0087,0.0057,0.2286,0.3562,0,0
"Georgia",0.05,"rawmedded_p",0,NA,0.0054,0.0115,NA,0.0011,0.0057,NA,0.9129,0,0
"Georgia",0.05,"rawdepded_p",0,NA,0.0033,0.0115,NA,0,0,NA,0.9837,0,0
"Georgia",0.05,"rawcsded_p",0,NA,0.0022,0.0057,NA,0.0022,0.0057,NA,0.9913,0,0.0714
"Georgia",0.05,"rawrent_p",0,NA,0.0861,0.1552,NA,0.0131,0.0345,NA,0.3595,0.1667,0.2857
"Georgia",0.1,"rawgrinc_p",1,0.2667,0.11,0.1552,0.0667,0.012,0.0402,0,0.1721,0.1,0.25
"Georgia",0.1,"rawearn_p",1,0.2667,0.0403,0.1092,0.0667,0.0054,0.0172,0,0.7277,0.1,0.2083
"Georgia",0.1,"rawunearn_p",1,0.0526,0.0719,0.0632,0,0.0087,0.0057,0,0.3562,0.1,0.0417
"Georgia",0.1,"rawmedded_p",0,NA,0.0054,0.0115,NA,0.0011,0.0057,NA,0.9129,0,0
"Georgia",0.1,"rawdepded_p",0,NA,0.0033,0.0115,NA,0,0,NA,0.9837,0,0
"Georgia",0.1,"rawcsded_p",0,NA,0.0022,0.0057,NA,0.0022,0.0057,NA,0.9913,0,0.0417
"Georgia",0.1,"rawrent_p",1,1,0.0861,0.1552,0.1429,0.0131,0.0345,0,0.3595,0.2,0.1667
"Idaho",0.05,"rawgrinc_p",0,NA,0.0748,0.1064,NA,0.0085,0.0213,NA,0.1603,0,0
"Idaho",0.05,"rawearn_p",0,NA,0.0288,0.0213,NA,0.0011,0,NA,0.7126,0,0
"Idaho",0.05,"rawunearn_p",3,0,0.0673,0.0426,0,0.0064,0,0.3902,0.3408,0,0
"Idaho",0.05,"rawmedded_p",0,NA,0.0032,0,NA,0,0,NA,0.9669,0,0
"Idaho",0.05,"rawdepded_p",0,NA,0.0043,0,NA,0.0021,0,NA,0.9722,0,0
"Idaho",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.984,0,0
"Idaho",0.05,"rawrent_p",2,0.037,0.0962,0.1702,0.037,0.0118,0.0426,0,0.3002,0,0
"Idaho",0.1,"rawgrinc_p",2,0,0.0748,0.1064,0,0.0085,0.0213,0,0.1603,0,0
"Idaho",0.1,"rawearn_p",1,0,0.0288,0.0213,0,0.0011,0,1,0.7126,0,0
