"gross_by_hh_size","unc_rawben_rel_max","shelter_expenses","n_flagged","workload_pct","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","err_dollars_caught"
50,1.3,1500,36,6.7797,927,-891,25.75,0.0698,0.0713,1.029,36137
650,0.55,2100,75,14.1243,1931,-1856,25.7467,0.1453,0.1022,1.0289,51747
50,1.3,1450,35,6.5913,901,-866,25.7429,0.0678,0.0713,1.0287,36137
650,0.35,2250,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.35,2300,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.35,2350,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.35,2400,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.35,2450,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.35,2500,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.35,2550,23,4.3315,592,-569,25.7391,0.0446,0.0286,1.0286,14495
650,0.55,2000,72,13.5593,1853,-1781,25.7361,0.1394,0.0986,1.0284,49943
650,0.55,2600,79,14.8776,2033,-1954,25.7342,0.153,0.1098,1.0284,55600
650,0.55,2650,79,14.8776,2033,-1954,25.7342,0.153,0.1098,1.0284,55600
950,0.7,800,48,9.0395,1235,-1187,25.7292,0.0929,0.0796,1.0282,40294
1000,0.7,800,48,9.0395,1235,-1187,25.7292,0.0929,0.0796,1.0282,40294
1050,0.7,800,48,9.0395,1235,-1187,25.7292,0.0929,0.0796,1.0282,40294
50,1.3,1300,33,6.2147,849,-816,25.7273,0.0639,0.0713,1.0281,36137
50,1.3,1350,33,6.2147,849,-816,25.7273,0.0639,0.0713,1.0281,36137
50,1.3,1400,33,6.2147,849,-816,25.7273,0.0639,0.0713,1.0281,36137
600,0.7,2200,110,20.7156,2830,-2720,25.7273,0.213,0.2551,1.0281,129207
600,0.7,2250,110,20.7156,2830,-2720,25.7273,0.213,0.2551,1.0281,129207
600,0.7,2300,110,20.7156,2830,-2720,25.7273,0.213,0.2551,1.0281,129207
600,0.7,2350,110,20.7156,2830,-2720,25.7273,0.213,0.2551,1.0281,129207
50,1.3,1800,40,7.533,1029,-989,25.725,0.0774,0.0713,1.028,36137
50,1.3,1850,40,7.533,1029,-989,25.725,0.0774,0.0713,1.028,36137
50,1.3,1900,40,7.533,1029,-989,25.725,0.0774,0.0713,1.028,36137
50,1.3,1950,40,7.533,1029,-989,25.725,0.0774,0.0713,1.028,36137
600,0.8,2200,154,29.0019,3961,-3807,25.7208,0.2981,0.3759,1.0278,190365
600,0.8,2250,154,29.0019,3961,-3807,25.7208,0.2981,0.3759,1.0278,190365
600,0.8,2300,154,29.0019,3961,-3807,25.7208,0.2981,0.3759,1.0278,190365
600,0.8,2350,154,29.0019,3961,-3807,25.7208,0.2981,0.3759,1.0278,190365
600,0.55,2050,57,10.7345,1466,-1409,25.7193,0.1103,0.0805,1.0278,40788
600,0.55,2100,57,10.7345,1466,-1409,25.7193,0.1103,0.0805,1.0278,40788
