hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
4+,months_since_cert_n > 3.500 & percent_abawd <= 0.208 & unc_rawben_rel_max > 0.313 & unc_rawben_rel_max <= 0.853,train_2022_23,national,2784,703,1096,311.0,0.32755474452554745,38.0,0.17974452554744524,640,413,3,38,0,2,93,571,430,0,503,325,3,284,664,0.583941605839416,0.2591240875912409,0.6058394160583942,215842.0,129210.0,171,0.15602189781021897,post_authorization
4+,months_since_cert_n > 3.500 & percent_abawd <= 0.208 & unc_rawben_rel_max > 0.313 & unc_rawben_rel_max <= 0.853,test_2024,national,1444,387,597,311.0,0.35510887772194305,38.0,0.15912897822445563,306,240,2,8,41,0,46,296,246,1,305,146,2,174,342,0.5125628140703518,0.2914572864321608,0.5728643216080402,128917.0,75542.0,89,0.1490787269681742,post_authorization
4+,months_since_cert_n > 3.500 & percent_abawd <= 0.208 & unc_rawben_rel_max > 0.313 & unc_rawben_rel_max <= 0.853,test_2024,deployed,33,8,8,311.0,0.75,35.0,0.25,2,5,0,0,1,0,2,2,4,0,7,1,0,1,4,0.25,0.125,0.5,3370.0,3370.0,0,0.0,post_authorization
4+,homeless <= 0.500 & months_since_cert_n > 2.500 & rawben_rel_max > 0.312 & rawben_rel_max <= 0.851,train_2022_23,national,3560,884,1361,311.0,0.32770022042615726,38.0,0.1792799412196914,803,509,3,44,0,2,123,739,497,0,625,396,3,346,862,0.5900073475385745,0.2542248346803821,0.633357825128582,266702.0,166706.0,225,0.16531961792799413,post_authorization
4+,homeless <= 0.500 & months_since_cert_n > 2.500 & rawben_rel_max > 0.312 & rawben_rel_max <= 0.851,test_2024,national,1859,489,751,311.0,0.3488681757656458,38.0,0.15712383488681758,385,300,3,12,51,0,65,398,279,1,367,210,3,220,463,0.5126498002663116,0.2929427430093209,0.6165113182423435,168752.0,101950.0,117,0.15579227696404793,post_authorization
4+,homeless <= 0.500 & months_since_cert_n > 2.500 & rawben_rel_max > 0.312 & rawben_rel_max <= 0.851,test_2024,deployed,38,8,8,311.0,0.75,35.0,0.25,2,5,0,0,1,0,2,2,4,0,7,1,0,1,4,0.25,0.125,0.5,3370.0,3370.0,0,0.0,post_authorization
4+,months_since_cert_n >   4.500 & rawben_rel_max <=   0.853 & total_deductions_by_hh_size >  56.600 & utilities > 980.000,train_2022_23,national,71,32,32,311.0,0.5,38.0,0.3125,14,17,0,1,0,0,4,19,9,0,23,9,0,4,23,0.4375,0.125,0.71875,6233.0,5074.0,3,0.09375,post_authorization
4+,months_since_cert_n >   4.500 & rawben_rel_max <=   0.853 & total_deductions_by_hh_size >  56.600 & utilities > 980.000,test_2024,national,63,16,16,311.0,0.625,38.0,0.25,8,6,0,0,2,0,1,5,10,0,13,3,0,2,6,0.5,0.125,0.375,5400.0,5015.0,0,0.0,post_authorization
4+,months_since_cert_n >   4.500 & rawben_rel_max <=   0.853 & total_deductions_by_hh_size >  56.600 & utilities > 980.000,test_2024,deployed,31,10,10,311.0,0.7,41.0,0.2,3,5,0,0,2,0,1,3,6,0,8,2,0,2,4,0.3,0.2,0.4,3328.0,3328.0,0,0.0,post_authorization
2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63,train_2022_23,national,111,55,74,331.0,0.22972972972972974,38.0,0.25675675675675674,42,27,0,5,0,0,7,39,28,0,60,1,0,20,46,0.5675675675675675,0.2702702702702703,0.6216216216216216,18619.0,16772.0,14,0.1891891891891892,post_authorization
2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63,test_2024,national,57,23,39,331.0,0.2564102564102564,37.0,0.28205128205128205,16,17,0,0,6,0,3,19,17,0,24,2,0,7,22,0.41025641025641024,0.1794871794871795,0.5641025641025641,15469.0,7994.0,2,0.05128205128205128,post_authorization
2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63,test_2024,deployed,9,4,4,331.0,0.75,37.0,0.5,1,1,0,0,2,0,1,3,0,0,4,0,0,0,4,0.25,0.0,1.0,1732.0,1732.0,0,0.0,insufficient
4+,HH_size_n >   4.500 & months_since_cert_n >   3.500 & rawben_rel_max >   0.332 & shelter_expenses_by_hh_size > 192.000,train_2022_23,national,985,262,410,311.0,0.3170731707317073,38.0,0.1975609756097561,243,148,2,17,0,0,31,220,159,0,206,112,0,121,251,0.5926829268292683,0.2951219512195122,0.6121951219512195,91800.0,56897.0,78,0.1902439024390244,post_authorization
4+,HH_size_n >   4.500 & months_since_cert_n >   3.500 & rawben_rel_max >   0.332 & shelter_expenses_by_hh_size > 192.000,test_2024,national,653,189,284,311.0,0.38028169014084506,38.0,0.2007042253521127,139,126,0,1,18,0,11,137,129,1,155,58,0,75,148,0.4894366197183099,0.2640845070422535,0.5211267605633803,78014.0,42012.0,29,0.10211267605633803,post_authorization
4+,HH_size_n >   4.500 & months_since_cert_n >   3.500 & rawben_rel_max >   0.332 & shelter_expenses_by_hh_size > 192.000,test_2024,deployed,17,7,7,311.0,0.5714285714285714,35.0,0.42857142857142855,2,4,0,0,1,0,1,2,4,0,6,1,0,0,3,0.2857142857142857,0.0,0.42857142857142855,2742.0,2742.0,0,0.0,post_authorization
4+,HH_size_n > 4.5 & HH_size_n <= 6.5 & months_since_cert_n > 4.5,train_2022_23,national,1764,426,655,311.0,0.3251908396946565,38.0,0.183206106870229,392,243,1,19,0,0,50,338,267,0,316,166,0,196,388,0.5984732824427481,0.29923664122137406,0.5923664122137404,149159.0,85395.0,105,0.16030534351145037,post_authorization
4+,HH_size_n > 4.5 & HH_size_n <= 6.5 & months_since_cert_n > 4.5,test_2024,national,862,217,342,311.0,0.3684210526315789,38.0,0.16666666666666666,174,144,0,3,21,0,25,154,158,1,192,73,0,99,179,0.5087719298245614,0.2894736842105263,0.5233918128654971,94825.0,54396.0,33,0.09649122807017543,post_authorization
4+,HH_size_n > 4.5 & HH_size_n <= 6.5 & months_since_cert_n > 4.5,test_2024,deployed,19,9,9,311.0,0.5555555555555556,41.0,0.2222222222222222,4,4,0,0,1,0,1,3,5,0,6,3,0,0,4,0.4444444444444444,0.0,0.4444444444444444,2913.0,2913.0,0,0.0,post_authorization
4+,HH_size_n <=  6.500 & months_since_cert_n >  4.500 & rawben_rel_max <=  0.853 & total_deductions_by_hh_size > 73.400,train_2022_23,national,1820,474,734,311.0,0.35149863760217986,38.0,0.19482288828337874,399,301,1,31,0,2,61,376,295,0,355,201,2,187,437,0.5435967302452316,0.2547683923705722,0.5953678474114441,148187.0,96526.0,105,0.14305177111716622,post_authorization
4+,HH_size_n <=  6.500 & months_since_cert_n >  4.500 & rawben_rel_max <=  0.853 & total_deductions_by_hh_size > 73.400,test_2024,national,907,249,388,311.0,0.38144329896907214,38.0,0.15463917525773196,194,159,2,4,29,0,27,171,184,1,207,90,1,96,198,0.5,0.24742268041237114,0.5103092783505154,89506.0,53865.0,43,0.11082474226804123,post_authorization
4+,HH_size_n <=  6.500 & months_since_cert_n >  4.500 & rawben_rel_max <=  0.853 & total_deductions_by_hh_size > 73.400,test_2024,deployed,34,11,11,311.0,0.6363636363636364,41.0,0.18181818181818182,4,5,0,0,2,0,1,4,6,0,8,3,0,2,5,0.36363636363636365,0.18181818181818182,0.45454545454545453,3485.0,3485.0,0,0.0,post_authorization
4+,months_since_cert_n >   4.500 & shelter_expenses_by_hh_size > 192.000 & total_deductions_by_hh_size >  73.400 & unc_rawben_rel_max >   0.336,train_2022_23,national,1912,464,697,311.0,0.3285509325681492,38.0,0.18507890961262555,379,292,1,23,0,2,56,363,276,0,377,162,2,177,419,0.5437589670014347,0.2539454806312769,0.6011477761836442,145391.0,95907.0,94,0.13486370157819225,post_authorization
4+,months_since_cert_n >   4.500 & shelter_expenses_by_hh_size > 192.000 & total_deductions_by_hh_size >  73.400 & unc_rawben_rel_max >   0.336,test_2024,national,1030,286,438,311.0,0.3561643835616438,38.0,0.1552511415525114,207,196,2,5,28,0,26,184,219,1,249,90,1,105,210,0.4726027397260274,0.23972602739726026,0.4794520547945205,107414.0,62193.0,40,0.091324200913242,post_authorization
4+,months_since_cert_n >   4.500 & shelter_expenses_by_hh_size > 192.000 & total_deductions_by_hh_size >  73.400 & unc_rawben_rel_max >   0.336,test_2024,deployed,35,12,12,311.0,0.4166666666666667,7.0,0.25,3,7,0,0,2,0,1,3,8,0,11,1,0,2,4,0.25,0.16666666666666666,0.3333333333333333,3980.0,3980.0,0,0.0,post_authorization
4+,HH_size_n > 4.500 & married <= 0.500 & rawben_rel_max <= 0.928,train_2022_23,national,1885,486,745,311.0,0.3073825503355705,38.0,0.17583892617449665,452,267,1,24,0,1,58,489,197,0,338,190,0,201,547,0.6067114093959731,0.2697986577181208,0.7342281879194631,152459.0,88152.0,140,0.18791946308724833,post_authorization
4+,HH_size_n > 4.500 & married <= 0.500 & rawben_rel_max <= 0.928,test_2024,national,1064,292,467,311.0,0.3533190578158458,38.0,0.15417558886509636,255,174,0,10,28,0,16,301,145,0,203,124,1,130,317,0.5460385438972163,0.278372591006424,0.6788008565310493,112590.0,62252.0,74,0.15845824411134904,post_authorization
4+,HH_size_n > 4.500 & married <= 0.500 & rawben_rel_max <= 0.928,test_2024,deployed,12,4,4,311.0,0.5,41.0,0.5,3,1,0,0,0,0,0,1,3,0,1,3,0,0,1,0.75,0.0,0.25,613.0,613.0,0,0.0,insufficient
4+,HH_size_n >  4.500 & rawben_rel_max >  0.312 & rawben_rel_max <=  0.852 & total_deductions_by_hh_size > 10.500,train_2022_23,national,2489,630,966,311.0,0.34886128364389235,38.0,0.18633540372670807,600,337,2,27,0,0,73,620,273,0,444,240,1,264,693,0.6211180124223602,0.2732919254658385,0.717391304347826,200867.0,126024.0,195,0.20186335403726707,post_authorization
4+,HH_size_n >  4.500 & rawben_rel_max >  0.312 & rawben_rel_max <=  0.852 & total_deductions_by_hh_size > 10.500,test_2024,national,1410,392,601,311.0,0.3610648918469218,38.0,0.18469217970049917,322,219,2,10,48,0,30,388,175,1,285,146,1,169,418,0.5357737104825291,0.281198003327787,0.6955074875207987,135434.0,75169.0,95,0.15806988352745424,post_authorization
4+,HH_size_n >  4.500 & rawben_rel_max >  0.312 & rawben_rel_max <=  0.852 & total_deductions_by_hh_size > 10.500,test_2024,deployed,23,6,6,311.0,0.8333333333333334,35.0,0.3333333333333333,3,3,0,0,0,0,1,2,3,0,5,1,0,0,3,0.5,0.0,0.5,2448.0,2448.0,0,0.0,post_authorization
4+,HH_size_n > 4.500 & HH_size_n <= 6.500 & rawben_rel_max > 0.415 & rawben_rel_max <= 0.928,train_2022_23,national,2233,566,869,311.0,0.3187571921749137,38.0,0.18181818181818182,536,305,2,26,0,0,67,564,238,0,395,233,0,257,631,0.616800920598389,0.2957422324510932,0.7261219792865362,179657.0,107453.0,179,0.20598388952819333,post_authorization
4+,HH_size_n > 4.500 & HH_size_n <= 6.500 & rawben_rel_max > 0.415 & rawben_rel_max <= 0.928,test_2024,national,1256,342,529,311.0,0.33081285444234404,38.0,0.17958412098298676,304,177,1,9,38,0,25,350,146,1,248,134,0,147,375,0.5746691871455577,0.277882797731569,0.7088846880907372,123622.0,68561.0,85,0.16068052930056712,post_authorization
4+,HH_size_n > 4.500 & HH_size_n <= 6.500 & rawben_rel_max > 0.415 & rawben_rel_max <= 0.928,test_2024,deployed,21,7,7,311.0,0.5714285714285714,35.0,0.2857142857142857,3,3,0,0,1,0,1,3,3,0,6,1,0,0,4,0.42857142857142855,0.0,0.5714285714285714,2480.0,2480.0,0,0.0,post_authorization
4+,rawben_rel_max >   0.331 & shelter_expenses_by_hh_size >  82.500 & shelter_expenses_by_hh_size <= 484.000 & unc_rawben_rel_max <=   0.852,train_2022_23,national,4344,1020,1560,311.0,0.3153846153846154,38.0,0.1762820512820513,937,567,3,51,0,2,131,988,439,0,690,429,0,426,1119,0.6006410256410256,0.27307692307692305,0.7173076923076923,290675.0,176838.0,305,0.1955128205128205,post_authorization
4+,rawben_rel_max >   0.331 & shelter_expenses_by_hh_size >  82.500 & shelter_expenses_by_hh_size <= 484.000 & unc_rawben_rel_max <=   0.852,test_2024,national,2288,590,912,311.0,0.3333333333333333,38.0,0.16666666666666666,484,337,5,13,73,0,63,573,264,2,413,247,1,254,636,0.5307017543859649,0.27850877192982454,0.6973684210526315,190638.0,106293.0,143,0.15679824561403508,post_authorization
4+,rawben_rel_max >   0.331 & shelter_expenses_by_hh_size >  82.500 & shelter_expenses_by_hh_size <= 484.000 & unc_rawben_rel_max <=   0.852,test_2024,deployed,35,7,7,311.0,0.8571428571428571,38.0,0.2857142857142857,2,5,0,0,0,0,2,2,3,0,6,1,0,0,4,0.2857142857142857,0.0,0.5714285714285714,2353.0,2353.0,0,0.0,post_authorization
4+,months_since_cert_n >   2.500 & unc_rawben_rel_max <=   0.851 & utilities > 331.000,train_2022_23,national,3280,773,1230,311.0,0.3178861788617886,38.0,0.18699186991869918,725,452,2,49,0,2,115,677,436,0,553,357,2,325,792,0.5894308943089431,0.26422764227642276,0.6439024390243903,243539.0,155418.0,204,0.16585365853658537,post_authorization
4+,months_since_cert_n >   2.500 & unc_rawben_rel_max <=   0.851 & utilities > 331.000,test_2024,national,1773,464,739,311.0,0.35182679296346414,38.0,0.15426251691474965,386,299,2,6,46,0,56,406,270,1,377,180,2,218,462,0.5223274695534507,0.29499323410013534,0.625169147496617,181939.0,106173.0,120,0.16238159675236807,post_authorization
4+,months_since_cert_n >   2.500 & unc_rawben_rel_max <=   0.851 & utilities > 331.000,test_2024,deployed,49,12,12,311.0,0.6666666666666666,41.0,0.16666666666666666,4,6,0,0,2,0,2,4,6,0,9,3,0,2,6,0.3333333333333333,0.16666666666666666,0.5,3913.0,3913.0,0,0.0,post_authorization
4+,rawben_rel_max >   0.123 & total_deductions_by_hh_size >  65.600 & total_deductions_by_hh_size <= 182.000 & unc_rawben_rel_max <=   0.970,train_2022_23,national,3538,768,1149,311.0,0.3577023498694517,38.0,0.1906005221932115,700,417,2,27,0,3,108,710,328,0,512,316,4,305,818,0.6092254134029591,0.2654482158398607,0.7119234116623151,233327.0,143355.0,218,0.18973020017406442,post_authorization
4+,rawben_rel_max >   0.123 & total_deductions_by_hh_size >  65.600 & total_deductions_by_hh_size <= 182.000 & unc_rawben_rel_max <=   0.970,test_2024,national,1742,443,655,311.0,0.3450381679389313,38.0,0.15877862595419848,343,244,4,9,54,1,64,403,179,0,305,205,1,172,467,0.5236641221374045,0.26259541984732826,0.7129770992366412,143077.0,80526.0,91,0.13893129770992366,post_authorization
4+,rawben_rel_max >   0.123 & total_deductions_by_hh_size >  65.600 & total_deductions_by_hh_size <= 182.000 & unc_rawben_rel_max <=   0.970,test_2024,deployed,28,12,14,363.0,0.2857142857142857,52.0,0.2857142857142857,9,4,0,0,1,0,3,11,0,0,6,8,0,5,14,0.6428571428571429,0.35714285714285715,1.0,2272.0,2272.0,3,0.21428571428571427,post_authorization
2-3,children_i >  0.500 & rawben_rel_max >  0.495 & rawben_rel_max <=  0.872 & total_deductions_by_hh_size > 56.300,train_2022_23,national,3387,709,1089,311.0,0.3241505968778696,38.0,0.18365472910927455,617,430,1,37,0,4,102,663,319,1,512,291,1,295,765,0.566574839302112,0.27089072543618,0.7024793388429752,175426.0,105001.0,183,0.16804407713498623,post_authorization
2-3,children_i >  0.500 & rawben_rel_max >  0.495 & rawben_rel_max <=  0.872 & total_deductions_by_hh_size > 56.300,test_2024,national,1778,396,567,311.0,0.35802469135802467,38.0,0.1710758377425044,265,233,3,15,51,0,42,360,158,0,277,147,0,114,402,0.4673721340388007,0.20105820105820105,0.708994708994709,96095.0,60231.0,66,0.1164021164021164,post_authorization
2-3,children_i >  0.500 & rawben_rel_max >  0.495 & rawben_rel_max <=  0.872 & total_deductions_by_hh_size > 56.300,test_2024,deployed,28,10,12,363.0,0.4166666666666667,52.0,0.25,8,3,0,1,0,0,1,8,3,0,5,7,0,5,9,0.6666666666666666,0.4166666666666667,0.75,2162.0,2162.0,4,0.3333333333333333,mixed
2-3,elderly_disabled_i <= 0.500 & unc_rawben_rel_max > 0.495 & unc_rawben_rel_max <= 0.719,train_2022_23,national,1777,399,622,311.0,0.39228295819935693,38.0,0.19292604501607716,337,262,1,22,0,0,54,355,213,0,280,189,0,156,409,0.5418006430868167,0.2508038585209003,0.657556270096463,108187.0,62831.0,89,0.14308681672025725,post_authorization
2-3,elderly_disabled_i <= 0.500 & unc_rawben_rel_max > 0.495 & unc_rawben_rel_max <= 0.719,test_2024,national,951,222,315,311.0,0.4031746031746032,38.0,0.1619047619047619,157,118,1,10,29,0,25,204,81,1,163,80,0,77,229,0.4984126984126984,0.24444444444444444,0.726984126984127,55492.0,38089.0,47,0.1492063492063492,post_authorization
2-3,elderly_disabled_i <= 0.500 & unc_rawben_rel_max > 0.495 & unc_rawben_rel_max <= 0.719,test_2024,deployed,14,5,7,363.0,0.5714285714285714,52.0,0.42857142857142855,7,0,0,0,0,0,1,6,0,0,1,6,0,4,7,1.0,0.5714285714285714,1.0,873.0,873.0,4,0.5714285714285714,pre_authorization
4+,shelter_expenses_by_hh_size <= 176.0 & total_deductions_by_hh_size >  15.8 & utilities <= 468.0,train_2022_23,national,2458,502,763,311.0,0.3905635648754915,38.0,0.15727391874180865,447,285,2,28,0,1,71,446,244,1,334,190,1,208,517,0.5858453473132372,0.272608125819135,0.6775884665792923,172656.0,92231.0,119,0.1559633027522936,post_authorization
4+,shelter_expenses_by_hh_size <= 176.0 & total_deductions_by_hh_size >  15.8 & utilities <= 468.0,test_2024,national,907,185,292,311.0,0.3253424657534247,38.0,0.14726027397260275,147,117,1,6,20,1,38,183,68,1,137,73,0,73,221,0.5034246575342466,0.25,0.7568493150684932,66502.0,35778.0,41,0.1404109589041096,post_authorization
4+,shelter_expenses_by_hh_size <= 176.0 & total_deductions_by_hh_size >  15.8 & utilities <= 468.0,test_2024,deployed,6,2,2,350.0,0.5,111.0,0.5,1,1,0,0,0,0,0,2,0,0,2,0,0,1,2,0.5,0.5,1.0,1130.0,1130.0,1,0.5,insufficient
4+,rawben_rel_max >   0.174 & total_deductions_by_hh_size >  15.300 & total_deductions_by_hh_size <= 177.000 & utilities <= 468.000,train_2022_23,national,4034,796,1225,311.0,0.34775510204081633,38.0,0.17795918367346938,739,443,2,40,0,1,125,743,355,1,544,279,1,335,868,0.603265306122449,0.27346938775510204,0.7085714285714285,259173.0,137128.0,212,0.1730612244897959,post_authorization
4+,rawben_rel_max >   0.174 & total_deductions_by_hh_size >  15.300 & total_deductions_by_hh_size <= 177.000 & utilities <= 468.000,test_2024,national,1466,337,513,311.0,0.3216374269005848,38.0,0.15984405458089668,252,218,3,8,31,1,58,317,134,1,236,127,0,129,375,0.49122807017543857,0.25146198830409355,0.7309941520467836,111463.0,54639.0,66,0.1286549707602339,post_authorization
4+,rawben_rel_max >   0.174 & total_deductions_by_hh_size >  15.300 & total_deductions_by_hh_size <= 177.000 & utilities <= 468.000,test_2024,deployed,9,3,3,350.0,0.3333333333333333,111.0,0.3333333333333333,2,1,0,0,0,0,1,2,0,0,2,1,0,1,3,0.6666666666666666,0.3333333333333333,1.0,631.0,631.0,1,0.3333333333333333,insufficient
4+,total_deductions_by_hh_size >   2.860 & total_deductions_by_hh_size <= 201.000 & unc_rawben_rel_max >   0.129 & utilities <= 468.000,train_2022_23,national,4619,912,1407,311.0,0.3326226012793177,38.0,0.1791044776119403,835,524,3,44,0,1,142,864,399,1,628,315,1,366,1006,0.5934612651030562,0.2601279317697228,0.7149964463397299,301279.0,159429.0,233,0.1656005685856432,post_authorization
4+,total_deductions_by_hh_size >   2.860 & total_deductions_by_hh_size <= 201.000 & unc_rawben_rel_max >   0.129 & utilities <= 468.000,test_2024,national,1669,387,583,311.0,0.3293310463121784,38.0,0.1646655231560892,285,248,3,9,37,1,62,366,151,1,274,135,0,146,428,0.4888507718696398,0.2504288164665523,0.7341337907375644,135777.0,62944.0,72,0.1234991423670669,post_authorization
4+,total_deductions_by_hh_size >   2.860 & total_deductions_by_hh_size <= 201.000 & unc_rawben_rel_max >   0.129 & utilities <= 468.000,test_2024,deployed,10,3,3,350.0,0.3333333333333333,111.0,0.3333333333333333,2,1,0,0,0,0,1,2,0,0,2,1,0,1,3,0.6666666666666666,0.3333333333333333,1.0,631.0,631.0,1,0.3333333333333333,insufficient
2-3,count_divisible_by_100 <=   0.5 & HH_size_n <=   2.5 & medical_deductions > 366.0 & total_deductions_by_hh_size > 519.0,train_2022_23,national,38,22,40,365.0,0.525,53.0,0.525,25,15,0,0,0,0,11,24,5,0,34,1,0,15,35,0.625,0.375,0.875,6372.0,3712.0,12,0.3,mixed
2-3,count_divisible_by_100 <=   0.5 & HH_size_n <=   2.5 & medical_deductions > 366.0 & total_deductions_by_hh_size > 519.0,test_2024,national,18,6,7,365.0,0.8571428571428571,56.0,0.42857142857142855,5,1,0,0,1,0,1,4,2,0,6,1,0,5,5,0.7142857142857143,0.7142857142857143,0.7142857142857143,1811.0,680.0,2,0.2857142857142857,mixed
2-3,count_divisible_by_100 <=   0.5 & HH_size_n <=   2.5 & medical_deductions > 366.0 & total_deductions_by_hh_size > 519.0,test_2024,deployed,2,1,1,365.0,1.0,56.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,68.0,68.0,1,1.0,insufficient
1,cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991,train_2022_23,national,34,20,30,365.0,0.6,53.0,0.6666666666666666,22,5,2,1,0,0,5,19,6,0,17,1,0,9,24,0.7333333333333333,0.3,0.8,5732.0,2927.0,4,0.13333333333333333,post_authorization
1,cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991,test_2024,national,23,12,22,365.0,0.5454545454545454,56.0,0.3181818181818182,14,5,0,2,1,0,0,16,6,0,14,4,0,10,16,0.6363636363636364,0.45454545454545453,0.7272727272727273,3707.0,2008.0,5,0.22727272727272727,post_authorization
1,cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991,test_2024,deployed,10,3,6,365.0,0.5,57.0,0.5,4,2,0,0,0,0,0,1,5,0,3,3,0,2,1,0.6666666666666666,0.3333333333333333,0.16666666666666666,579.0,207.0,0,0.0,post_authorization
2-3,married <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 411.0,train_2022_23,national,36,19,36,365.0,0.3055555555555556,53.0,0.4166666666666667,21,14,0,1,0,0,6,24,6,0,23,5,0,11,30,0.5833333333333334,0.3055555555555556,0.8333333333333334,6180.0,4218.0,8,0.2222222222222222,post_authorization
2-3,married <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 411.0,test_2024,national,20,7,12,363.0,0.4166666666666667,56.0,0.3333333333333333,6,4,0,0,2,0,0,6,6,0,5,0,0,1,6,0.5,0.08333333333333333,0.5,2849.0,1124.0,0,0.0,post_authorization
2-3,married <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 411.0,test_2024,deployed,6,2,2,363.0,0.5,56.0,0.5,0,2,0,0,0,0,0,1,1,0,2,0,0,0,1,0.0,0.0,0.5,626.0,626.0,0,0.0,insufficient
2-3,medical_deductions > 143 & total_deductions_by_hh_size > 503,train_2022_23,national,107,48,84,365.0,0.39285714285714285,53.0,0.4880952380952381,50,34,0,0,0,0,16,52,16,0,65,8,0,26,68,0.5952380952380952,0.30952380952380953,0.8095238095238095,13478.0,8590.0,20,0.23809523809523808,post_authorization
2-3,medical_deductions > 143 & total_deductions_by_hh_size > 503,test_2024,national,61,28,39,365.0,0.3076923076923077,56.0,0.3333333333333333,19,14,1,0,5,0,3,22,14,0,27,2,0,13,25,0.48717948717948717,0.3333333333333333,0.6410256410256411,7922.0,4743.0,5,0.1282051282051282,post_authorization
2-3,medical_deductions > 143 & total_deductions_by_hh_size > 503,test_2024,deployed,25,9,11,331.0,0.2727272727272727,35.0,0.2727272727272727,5,5,0,0,1,0,1,5,5,0,9,2,0,3,6,0.45454545454545453,0.2727272727272727,0.5454545454545454,2959.0,1889.0,1,0.09090909090909091,post_authorization
1,cat_elig >   0.500 & medical_deductions > 498.000 & months_since_cert_n <=  10.500 & unc_rawben_rel_max <=   0.998,train_2022_23,national,40,20,30,365.0,0.5666666666666667,53.0,0.6666666666666666,21,7,2,0,0,0,4,21,5,0,18,1,0,8,25,0.7,0.26666666666666666,0.8333333333333334,5171.0,2819.0,4,0.13333333333333333,post_authorization
1,cat_elig >   0.500 & medical_deductions > 498.000 & months_since_cert_n <=  10.500 & unc_rawben_rel_max <=   0.998,test_2024,national,29,7,13,365.0,0.5384615384615384,53.0,0.38461538461538464,9,2,0,2,0,0,1,10,2,0,7,2,0,8,11,0.6923076923076923,0.6153846153846154,0.8461538461538461,2114.0,1230.0,4,0.3076923076923077,mixed
1,cat_elig >   0.500 & medical_deductions > 498.000 & months_since_cert_n <=  10.500 & unc_rawben_rel_max <=   0.998,test_2024,deployed,8,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
1,medical_deductions >   2.500 & medical_deductions <= 203.000 & rawben_rel_max >   0.565 & rawben_rel_max <=   0.973,train_2022_23,national,765,169,226,365.0,0.5088495575221239,53.0,0.5265486725663717,163,53,2,8,0,0,30,141,54,1,159,22,0,86,171,0.7212389380530974,0.3805309734513274,0.7566371681415929,22070.0,14844.0,55,0.24336283185840707,post_authorization
1,medical_deductions >   2.500 & medical_deductions <= 203.000 & rawben_rel_max >   0.565 & rawben_rel_max <=   0.973,test_2024,national,388,80,116,365.0,0.4224137931034483,53.0,0.4396551724137931,76,34,0,0,6,0,8,83,25,0,77,9,0,36,91,0.6551724137931034,0.3103448275862069,0.7844827586206896,12215.0,7232.0,25,0.21551724137931033,post_authorization
1,medical_deductions >   2.500 & medical_deductions <= 203.000 & rawben_rel_max >   0.565 & rawben_rel_max <=   0.973,test_2024,deployed,21,4,6,363.0,0.3333333333333333,53.0,0.6666666666666666,1,3,0,0,2,0,0,4,2,0,6,0,0,0,4,0.16666666666666666,0.0,0.6666666666666666,669.0,669.0,0,0.0,post_authorization
1,elderly_disabled_i >=   1.00 & expedited_i <   1.00 & shelter_expenses_by_hh_size < 922.00 & unc_rawben_rel_max >=   1.82,train_2022_23,national,204,81,118,331.0,0.5169491525423728,37.0,0.2711864406779661,85,26,3,4,0,0,12,40,66,0,95,1,0,46,52,0.7203389830508474,0.3898305084745763,0.4406779661016949,16917.0,11282.0,17,0.1440677966101695,post_authorization
1,elderly_disabled_i >=   1.00 & expedited_i <   1.00 & shelter_expenses_by_hh_size < 922.00 & unc_rawben_rel_max >=   1.82,test_2024,national,83,35,54,331.0,0.3888888888888889,37.0,0.2777777777777778,30,18,1,0,5,0,6,25,23,0,38,0,0,15,31,0.5555555555555556,0.2777777777777778,0.5740740740740741,9027.0,6218.0,9,0.16666666666666666,post_authorization
1,elderly_disabled_i >=   1.00 & expedited_i <   1.00 & shelter_expenses_by_hh_size < 922.00 & unc_rawben_rel_max >=   1.82,test_2024,deployed,9,3,3,346.0,1.0,35.0,1.0,0,3,0,0,0,0,2,1,0,0,3,0,0,0,3,0.0,0.0,1.0,804.0,804.0,0,0.0,insufficient
