hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
2-3,shelter_expenses_by_hh_size < 650 & total_deductions_by_hh_size >= 625,test_2024,national,54,22,34,323.0,0.29411764705882354,56.0,0.17647058823529413,14,13,1,1,5,0,4,21,9,0,19,7,0,11,25,0.4117647058823529,0.3235294117647059,0.7352941176470589,10018.0,3582.0,7,0.20588235294117646,post_authorization
2-3,shelter_expenses_by_hh_size < 650 & total_deductions_by_hh_size >= 625,test_2024,deployed,13,3,5,323.0,0.4,56.0,0.4,1,1,0,0,3,0,1,3,1,0,1,0,0,2,4,0.2,0.4,0.8,1453.0,125.0,0,0.0,post_authorization
1,rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 220.000 & unc_rawben_rel_max >=   0.986 & utilities < 688.000,train_2022_23,national,330,127,171,363.0,0.7192982456140351,53.0,0.6666666666666666,80,89,1,1,0,0,26,115,30,0,125,2,0,20,141,0.4678362573099415,0.11695906432748537,0.8245614035087719,24433.0,13865.0,14,0.08187134502923976,post_authorization
1,rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 220.000 & unc_rawben_rel_max >=   0.986 & utilities < 688.000,test_2024,national,186,79,112,363.0,0.6875,56.0,0.4017857142857143,56,54,0,2,0,0,8,72,32,0,87,0,0,15,80,0.5,0.13392857142857142,0.7142857142857143,17554.0,12639.0,8,0.07142857142857142,post_authorization
1,rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 220.000 & unc_rawben_rel_max >=   0.986 & utilities < 688.000,test_2024,deployed,19,9,13,363.0,0.6923076923076923,53.0,0.38461538461538464,8,5,0,0,0,0,1,11,1,0,11,0,0,1,12,0.6153846153846154,0.07692307692307693,0.9230769230769231,2096.0,2010.0,1,0.07692307692307693,post_authorization
4+,months_since_cert_n >= 10.000 & rawben_rel_max >=  0.683 & rawben_rel_max <  0.820 & total_deductions_by_hh_size >= 27.000,train_2022_23,national,173,69,110,311.0,0.35454545454545455,38.0,0.17272727272727273,62,45,0,3,0,0,11,43,56,0,51,29,0,26,54,0.5636363636363636,0.23636363636363636,0.4909090909090909,22543.0,12941.0,12,0.10909090909090909,post_authorization
4+,months_since_cert_n >= 10.000 & rawben_rel_max >=  0.683 & rawben_rel_max <  0.820 & total_deductions_by_hh_size >= 27.000,test_2024,national,60,19,38,311.0,0.2631578947368421,38.0,0.18421052631578946,21,12,1,1,3,0,2,10,26,0,22,4,0,10,12,0.5526315789473685,0.2631578947368421,0.3157894736842105,8158.0,3946.0,1,0.02631578947368421,post_authorization
4+,months_since_cert_n >= 10.000 & rawben_rel_max >=  0.683 & rawben_rel_max <  0.820 & total_deductions_by_hh_size >= 27.000,test_2024,deployed,32,9,17,311.0,0.35294117647058826,38.0,0.23529411764705882,9,5,0,0,3,0,0,6,11,0,9,1,0,4,6,0.5294117647058824,0.23529411764705882,0.35294117647058826,2709.0,1196.0,0,0.0,post_authorization
2-3,elderly_disabled_i >= 1.000 & rawben_rel_max >= 0.993 & rawben_rel_max < 0.996,train_2022_23,national,54,25,32,363.0,0.75,53.0,0.65625,12,20,0,0,0,0,4,26,2,0,26,0,0,0,30,0.375,0.0,0.9375,6614.0,4018.0,0,0.0,post_authorization
2-3,elderly_disabled_i >= 1.000 & rawben_rel_max >= 0.993 & rawben_rel_max < 0.996,test_2024,national,32,22,26,363.0,0.8461538461538461,56.0,0.7307692307692307,9,12,0,0,5,0,3,20,3,0,24,0,0,5,23,0.34615384615384615,0.19230769230769232,0.8846153846153846,4978.0,4324.0,1,0.038461538461538464,post_authorization
