state,budget,rank,role,hh,rule,n_flagged_state_2024
Arizona,10,5,core,4+,HH_size_n <=   6.500 & shelter_expenses_by_hh_size <= 461.000 & total_deductions_by_hh_size > 221.000 & unc_rawben_rel_max <=   0.831,16
Arizona,10,6,core,4+,rawben_rel_max <=   0.983 & shelter_expenses_by_hh_size > 260.000 & total_deductions_by_hh_size > 244.000,22
Arizona,10,8,core,4+,percent_abawd <=   0.183 & shelter_expenses_by_hh_size > 260.000 & total_deductions_by_hh_size > 244.000,23
Arizona,10,9,core,4+,elderly_disabled_i <=   0.5 & HH_size_n <=   5.5 & total_deductions_by_hh_size > 236.0,21
Arizona,10,10,core,4+,elderly_disabled_i <=   0.5 & HH_size_n <=   5.5 & total_deductions_by_hh_size > 229.0,24
Arizona,10,16,core,1,months_since_cert_n >=   8.00 & unc_rawben_rel_max >=   1.93 & utilities < 366.00,1
Arizona,10,17,core,4+,elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 163.0 & total_deductions_by_hh_size > 221.0,29
Arizona,10,21,core,4+,HH_size_n <=   5.5 & months_since_cert_n >   2.5 & shelter_expenses_by_hh_size > 338.0 & total_deductions_by_hh_size > 153.0,17
Arizona,10,22,core,2-3,married <= 0.500 & months_since_cert_n > 1.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.520,1
Arizona,10,24,core,4+,HH_size_n <=   6.50 & rawben_rel_max <=   0.91 & shelter_expenses_by_hh_size > 338.00 & total_deductions_by_hh_size > 197.00,22
Arizona,10,25,core,4+,HH_size_n <=   6 & shelter_expenses_by_hh_size > 338 & shelter_expenses_by_hh_size <= 459 & total_deductions_by_hh_size > 165,18
Arizona,10,26,core,4+,HH_size_n <   5 & months_since_cert_n >=   5 & total_deductions_by_hh_size >= 150,17
Arizona,10,29,core,1,elderly_disabled_i >=   1.00 & rawben_rel_max >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 313.00,5
Arizona,10,32,core,4+,months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 156.000 & total_deductions_by_hh_size >   1.380 & unc_rawben_rel_max <=   0.834,17
Arizona,10,33,core,1,elderly_disabled_i >   0.500 & rawben_rel_max >   0.881 & shelter_expenses_by_hh_size > 474.000 & utilities <=  28.500,2
Arizona,10,34,core,1,elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.93 & utilities <= 365.00,5
