"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","unearned_income","1","elderly_disabled_i >   0.5 & total_deductions_by_hh_size <= 440.0 & unc_rawben_rel_max >   1.5 & utilities <=  27.5","elderly_disabled_i >   0.5 & total_deductions_by_hh_size <= 440.0 & unc_rawben_rel_max >   1.5 & utilities <=  27.5",TRUE,FALSE,2,2,1,536,0,NA,0,NA
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 706.200 & unc_rawben_rel_max >   1.448 & unc_rawben_rel_max <=   1.980",FALSE,TRUE,30,9,0.3,2079,12,0.25,0,NA
"Arizona","unearned_income","2-3","count_divisible_by_100 <=   0.50 & HH_size_n >   2.50 & total_deductions_by_hh_size <= 580.00 & unc_rawben_rel_max >   1.53","count_divisible_by_100 <=   0.50 & HH_size_n >   2.50 & total_deductions_by_hh_size <= 580.00 & unc_rawben_rel_max >   1.53",TRUE,FALSE,2,2,1,460,0,NA,0,NA
"Arizona","unearned_income","2-3","count_divisible_by_100 <= 0.50 & elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.55","count_divisible_by_100 <= 0.450 & elderly_disabled_i > 0.450 & HH_size_n > 2.250 & unc_rawben_rel_max > 1.395",FALSE,FALSE,3,2,0.667,764,0,NA,0,NA
"Arizona","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.97 & utilities <= 606.00","expedited_i <=   0.45 & months_since_cert_n >   5.85 & unc_rawben_rel_max >   1.97 & utilities <= 545.40",FALSE,FALSE,1,1,1,230,1,0,1,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 1170.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.98 & utilities <=  286.00","shelter_expenses_by_hh_size <= 1170.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.682 & utilities <=  314.600",FALSE,TRUE,20,6,0.3,1298,3,0,0,NA
"Arizona","unearned_income","2-3","elderly_disabled_i > 0.500 & expedited_i <= 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.760","elderly_disabled_i > 0.4500 & expedited_i <= 0.4500 & percent_abawd <= 0.1503 & unc_rawben_rel_max > 1.5840",FALSE,FALSE,2,1,0.5,399,1,1,1,1
"Arizona","unearned_income","1","months_since_cert_n >   7.50 & percent_abawd <=   0.25 & unc_rawben_rel_max >   1.93 & utilities <= 430.00","months_since_cert_n >   6.750 & percent_abawd <=   0.225 & unc_rawben_rel_max >   1.737 & utilities <= 387.000",FALSE,FALSE,7,5,0.714,1111,7,0.429,1,0
"Arizona","unearned_income","2-3","children_i <= 0.50 & count_divisible_by_100 <= 0.50 & months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.74","children_i <= 0.450 & count_divisible_by_100 <= 0.450 & months_since_cert_n > 5.850 & unc_rawben_rel_max > 1.566",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","unearned_income","2-3","unc_rawben_rel_max >   1.98 & unc_rawben_rel_max <=   2.30 & utilities > 462.00","unc_rawben_rel_max >   1.485 & unc_rawben_rel_max <=   1.725 & utilities > 346.500",FALSE,FALSE,1,1,1,399,0,NA,0,NA
"Arizona","unearned_income","1","homeless <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.96 & utilities <= 302.00","homeless <=   0.450 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.664 & utilities <= 332.200",FALSE,TRUE,36,8,0.222,1801,17,0.235,1,0
"Arizona","unearned_income","1","months_since_cert_n >   6.50 & percent_abawd <=   0.50 & unc_rawben_rel_max >   1.95 & utilities <= 606.00","months_since_cert_n >   6.500 & percent_abawd <=   0.450 & unc_rawben_rel_max >   1.755 & utilities <= 545.400",FALSE,FALSE,7,5,0.714,1111,7,0.429,1,0
"Arizona","unearned_income","1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","months_since_cert_n >    6.750 & shelter_expenses_by_hh_size <= 1197.000 & unc_rawben_rel_max >    1.737 & utilities <=  610.200",FALSE,FALSE,7,4,0.571,843,2,1,0,NA
"Arizona","unearned_income","1","married <=   0.50 & unc_rawben_rel_max >   1.93 & utilities >  14.50 & utilities <= 302.00","married <=   0.450 & unc_rawben_rel_max >   1.737 & utilities >  13.050 & utilities <= 302.000",FALSE,TRUE,20,4,0.2,838,2,0,1,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 706.200 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.448",FALSE,TRUE,30,9,0.3,2079,11,0.273,0,NA
"Arizona","unearned_income","2-3","count_divisible_by_100 <=   1.00 & unc_rawben_rel_max >   2.02 & utilities > 472.00","count_divisible_by_100 <=   0.750 & unc_rawben_rel_max >   1.515 & utilities > 354.000",FALSE,FALSE,1,1,1,399,0,NA,0,NA
"Arizona","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 4.125 & unc_rawben_rel_max > 1.620",FALSE,FALSE,2,1,0.5,61,1,1,0,NA
"Arizona","unearned_income","2-3","cat_elig > 0.50 & expedited_i <= 0.50 & months_since_cert_n > 2.00 & unc_rawben_rel_max > 1.77","cat_elig > 0.450 & expedited_i <= 0.450 & months_since_cert_n > 1.800 & unc_rawben_rel_max > 1.593",FALSE,FALSE,3,2,0.667,460,2,1,1,1
"Arizona","unearned_income","1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","count_divisible_by_100 <=   0.450 & months_since_cert_n >   6.500 & unc_rawben_rel_max >   1.737 & utilities <= 597.600",FALSE,FALSE,9,5,0.556,1111,7,0.429,1,0
