"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"2","rule23648","rawgross < 1270 & rawben_rel_max < 0.8922 & elderly_disabled_i %in% c(""FALSE"")",3,"INCLUDE",-0.847,0.23,8,215,59,156,0.274,0.33,0.265,4.12,0.067,"underissuance"
"2","rule164","rawearn < 666 & unc_rawben_rel_max < 0.8932 & elderly_disabled_i %in% c(""FALSE"")",3,"INCLUDE",-0.185,0.048,7.1,191,49,142,0.257,0.274,0.291,3.85,0.067,"underissuance"
"2","rule24524","total_deductions < 1111 & months_since_cert_n >= 7.5 & rawearn >= 213",3,"INCLUDE",-0.09,0.02,5,133,34,99,0.256,0.19,0.193,3.83,0.067,"underissuance"
"2","rule514","rawben_rel_max < 0.8922 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 1855",3,"INCLUDE",-0.377,0.145,18,482,122,360,0.253,0.682,0.656,3.8,0.067,"underissuance"
"2","rule25044","rawgross < 2000 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 761",3,"INCLUDE",-0.228,0.049,4.8,130,32,98,0.246,0.179,0.221,3.69,0.067,"underissuance"
"2","rule14634","rawearn >= 1198 & utilities < 466.5 & rawben_rel_max >= 0.1211",3,"INCLUDE",-0.107,0.027,6.6,178,43,135,0.242,0.24,0.231,3.62,0.067,"underissuance"
"2","rule31479","rawgross < 1672 & rawben_rel_max < 0.8922 & rawunearn < 826.5",3,"INCLUDE",-0.19,0.064,12.9,347,83,264,0.239,0.464,0.376,3.59,0.067,"underissuance"
"2","rule3467","rawearn >= 238 & total_deductions < 709.5 & shelter_expenses >= 728.5",3,"INCLUDE",-0.002,0,4.4,117,28,89,0.239,0.156,0.203,3.59,0.067,"underissuance"
"2","rule6369","rawben_rel_max < 0.8932 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 880.6",3,"INCLUDE",-0.012,0.005,19.1,512,121,391,0.236,0.676,0.699,3.54,0.067,"underissuance"
"2","rule25664","total_deductions < 1162 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.8911",3,"INCLUDE",-0.001,0,23.8,639,142,497,0.222,0.793,0.791,3.33,0.067,"underissuance"
"2","rule18446","rawearn < 1710 & rawben_rel_max < 0.8551 & rawunearn < 930.5",3,"INCLUDE",-0.032,0.012,15.8,425,92,333,0.216,0.514,0.483,3.25,0.067,"underissuance"
"2","rule19473","rawben_rel_max < 0.431 & unc_rawben_rel_max >= -0.01409 & rawgross >= 1944",3,"INCLUDE",-0.004,0.001,6.5,175,37,138,0.211,0.207,0.266,3.17,0.067,"underissuance"
"2","rule3995","rawben_rel_max < 0.8858 & utilities >= 648.5 & utilities < 856",3,"INCLUDE",-0.208,0.049,6,160,33,127,0.206,0.184,0.234,3.09,0.067,"underissuance"
"2","rule11600","utilities >= 625 & unc_rawben_rel_max < 0.772 & utilities < 872",3,"INCLUDE",-0.065,0.015,6,161,33,128,0.205,0.184,0.249,3.07,0.067,"underissuance"
"3","rule13044","rawearn >= 47.5 & rawearn < 921 & rawben_rel_max < 0.9186",3,"INCLUDE",-0.222,0.044,4.1,135,37,98,0.274,0.167,0.149,4.11,0.067,"underissuance"
"3","rule6230","rawgross >= 1318 & utilities < 369.5 & cat_elig < 0.5",3,"INCLUDE",-0.059,0.01,2.9,96,26,70,0.271,0.117,0.13,4.06,0.067,"underissuance"
"3","rule9758","months_since_cert_n < 9.5 & shelter_expenses < 17.5 & rawgross >= 446",3,"INCLUDE",-0.136,0.027,4.2,141,31,110,0.22,0.14,0.138,3.3,0.067,"underissuance"
"3","rule17509","rawunearn >= 102 & rawearn >= 27 & rawben_rel_max >= 0.4602",3,"INCLUDE",-0.093,0.023,6.8,226,48,178,0.212,0.216,0.197,3.19,0.067,"underissuance"
"3","rule20833","rawgross >= 1013 & cat_elig < 0.5 & months_since_cert_n < 5.5",3,"INCLUDE",-0.18,0.041,5.6,185,39,146,0.211,0.176,0.183,3.16,0.067,"underissuance"
"3","rule12548","rawunearn >= 55 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.8313",3,"INCLUDE",-0.141,0.046,11.8,392,82,310,0.209,0.369,0.39,3.14,0.067,"underissuance"
"4","rule3661","rawgross >= 1188 & utilities < 292.5 & utilities >= 50.5",3,"INCLUDE",-0.126,0.022,3.3,90,21,69,0.233,0.114,0.124,3.5,0.067,"underissuance"
"4","rule8622","rawunearn >= 200.5 & rawgross >= 765.5 & shelter_expenses < 337",3,"INCLUDE",-0.126,0.023,3.6,98,22,76,0.224,0.12,0.104,3.37,0.067,"underissuance"
"4","rule7256","unc_rawben_rel_max < 0.9389 & utilities < 303.5 & utilities >= 67.5",3,"INCLUDE",-0.152,0.029,3.8,106,23,83,0.217,0.125,0.126,3.25,0.067,"underissuance"
"4","rule25351","utilities < 298.5 & utilities >= 275.5",2,"INCLUDE",-0.012,0.002,3.4,95,19,76,0.2,0.103,0.095,3,0.067,"underissuance"
