"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R234","total_deductions <= 616 & cat_elig > 0 & rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.752 & medical_deductions <= 0 & shelter_expenses > 697 & utilities <= 395 & rawgross > 845 & months_since_cert_n > 1 & months_since_cert_n <= 24",10,"INCLUDE",0.635,0.635,2,70,10,60,0.143,0.042,0.041,2.14,0.067,"underissuance"
"1","R321","utilities <= 992 & rawunearn > 1460 & rawgross <= 1525 & unc_rawben_rel_max > -0.003436426",4,"INCLUDE",0.634,0.634,0.4,14,2,12,0.143,0.008,0.006,2.14,0.067,"underissuance"
"1","R1204","total_deductions > 139 & rawben_rel_max > 0.08934708 & shelter_expenses > 483 & shelter_expenses <= 560 & rawgross > 877 & months_since_cert_n > 0",6,"INCLUDE",0.62,0.62,0.8,28,4,24,0.143,0.017,0.015,2.14,0.067,"underissuance"
"1","R483","rawben_rel_max <= 0.8007118 & utilities <= 819 & rawunearn <= 1245 & months_since_cert_n > 24 & months_since_cert_n <= 29",5,"INCLUDE",0.602,0.602,1,35,5,30,0.143,0.021,0.026,2.14,0.067,"underissuance"
"1","R1550","rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.09965636 & percent_abawd <= 0",3,"INCLUDE",0.585,0.585,0.8,28,4,24,0.143,0.017,0.017,2.14,0.067,"underissuance"
"1","R825","elderly_disabled_i > 0 & rawben_rel_max > 0.1786942 & rawben_rel_max <= 0.7010676 & medical_deductions <= 0 & shelter_expenses > 1000 & rawgross <= 1525 & months_since_cert_n > 0",7,"INCLUDE",0.519,0.519,2.4,85,12,73,0.141,0.05,0.045,2.12,0.067,"underissuance"
"1","R1043","expedited_i <= 0 & cat_elig > 0 & rawben_rel_max <= 0.5704467 & medical_deductions <= 0 & unc_rawben_rel_max > -0.01030928 & months_since_cert_n > 24 & months_since_cert_n <= 34",7,"INCLUDE",0.646,0.646,1,37,5,32,0.135,0.021,0.025,2.03,0.067,"underissuance"
"1","R104","elderly_disabled_i > 0 & cat_elig > 0 & rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.5910653 & medical_deductions <= 0 & utilities > 329 & utilities <= 391 & rawgross > 816 & rawgross <= 1105 & months_since_cert_n > 0 & months_since_cert_n <= 31 & count_divisible_by_100 <= 0",12,"INCLUDE",0.63,0.63,1.9,67,9,58,0.134,0.038,0.037,2.01,0.067,"underissuance"
"1","R1575","total_deductions <= 258 & cat_elig <= 1 & utilities > 478 & homeless == FALSE & rawunearn <= 1054 & months_since_cert_n <= 20 & count_divisible_by_100 <= 0",7,"INCLUDE",0.849,0.849,0.8,30,4,26,0.133,0.017,0.013,2,0.067,"underissuance"
"1","R1399","rawben_rel_max > 0.3736655 & rawben_rel_max <= 0.752 & medical_deductions <= 0 & rawunearn > 816 & rawgross <= 1525 & months_since_cert_n > 0 & months_since_cert_n <= 3 & count_divisible_by_100 <= 0",8,"INCLUDE",0.678,0.678,2.3,83,11,72,0.133,0.046,0.036,1.99,0.067,"underissuance"
"1","R1095","rawben_rel_max > 0.137457 & rawben_rel_max <= 0.752 & medical_deductions <= 0 & rawunearn > 882 & rawunearn <= 911",5,"INCLUDE",0.645,0.645,1.3,45,6,39,0.133,0.025,0.022,2,0.067,"underissuance"
"1","R236","total_deductions <= 616 & rawben_rel_max > 0.1477663 & rawben_rel_max <= 0.8007118 & utilities <= 395 & months_since_cert_n > 24",5,"INCLUDE",0.583,0.583,0.8,30,4,26,0.133,0.017,0.019,2,0.067,"underissuance"
"1","R966","elderly_disabled_i > 0 & rawben_rel_max > 0.161512 & rawben_rel_max <= 0.7216495 & shelter_expenses > 299 & homeless == FALSE & rawgross > 816 & rawgross <= 1837 & months_since_cert_n > 19",8,"INCLUDE",0.563,0.563,2.9,105,14,91,0.133,0.059,0.047,2,0.067,"underissuance"
"1","R1547","total_deductions <= 620 & rawben_rel_max > 0.144 & rawben_rel_max <= 0.8007118 & shelter_expenses <= 1083 & percent_abawd <= 0 & months_since_cert_n > 26",6,"INCLUDE",0.665,0.665,1.1,38,5,33,0.132,0.021,0.019,1.97,0.067,"underissuance"
"1","R233","elderly_disabled_i > 0 & total_deductions <= 720 & cat_elig > 0 & rawben_rel_max > 0.08934708 & rawunearn > 1275 & months_since_cert_n > 0",6,"INCLUDE",0.639,0.639,1.9,68,9,59,0.132,0.038,0.04,1.99,0.067,"underissuance"
"1","R1346","elderly_disabled_i > 0 & cat_elig <= 1 & rawben_rel_max > 0.148 & rawben_rel_max <= 0.2542955 & medical_deductions <= 0 & homeless == FALSE & rawgross > 943 & percent_abawd <= 0",8,"INCLUDE",0.627,0.627,1.9,68,9,59,0.132,0.038,0.037,1.99,0.067,"underissuance"
"1","R484","children_i <= 0 & elderly_disabled_i > 0 & rawben_rel_max <= 0.556 & utilities <= 819 & homeless == FALSE & rawunearn <= 1245 & rawgross > 907 & unc_rawben_rel_max > -0.003436426 & months_since_cert_n > 0 & months_since_cert_n <= 3",10,"INCLUDE",0.575,0.575,2.5,91,12,79,0.132,0.05,0.044,1.98,0.067,"underissuance"
"1","R1234","rawben_rel_max > 0.08934708 & shelter_expenses <= 80 & rawunearn > 816",3,"INCLUDE",0.584,0.584,1.7,61,8,53,0.131,0.033,0.039,1.97,0.067,"underissuance"
