hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule,original_rule
2,rule10893,recall,10,3,3,23,6,17,5.93,0.261,0.176,0.118,2.98,0,0.241,rawben_rel_max >= 0.7 & unc_rawben_rel_max < 0.95 & rawearn >= 2.5,rawben_rel_max >= 0.8823 & unc_rawben_rel_max < 0.9826 & rawearn >= 2.5
2,rule6490,recall,10,3,3,24,6,18,6.19,0.25,0.176,0.139,2.85,0.125,0.269,total_deductions >= 700 & rawearn < 300 & shelter_expenses >= 800,total_deductions >= 996.9 & rawearn < 1685 & shelter_expenses >= 1534
1,rule3928,recall,10,4,4,16,5,11,1.13,0.312,0.096,0.065,8.53,0.069,0.304,rawearn >= 450 & utilities >= 0 & rawearn < 950 & rawgross >= 852.5,rawearn >= 532.5 & utilities >= 14.5 & rawearn < 1523 & rawgross >= 852.5
1,rule5633,recall,10,4,4,17,5,12,1.2,0.294,0.096,0.056,8.03,0.065,0.218,rawearn < 950 & total_deductions < 550 & rawearn >= 522.5 & shelter_expenses >= 0,rawearn < 1928 & total_deductions < 1764 & rawearn >= 522.5 & shelter_expenses >= 60
1,rule920,recall,10,4,4,18,5,13,1.27,0.278,0.096,0.103,7.59,0.25,0.356,rawgross < 1550 & unc_rawben_rel_max < 0.4 & rawearn >= 250 & shelter_expenses < 1150,rawgross < 2887 & unc_rawben_rel_max < 1.85 & rawearn >= 331.5 & shelter_expenses < 72
2,rule9311,recall,10,4,4,20,5,15,5.15,0.25,0.147,0.066,2.85,0.263,0.235,months_since_cert_n >= 1.5 & rawgross < 2482 & rawearn >= 1346 & utilities >= 325,months_since_cert_n >= 1.5 & rawgross < 2482 & rawearn >= 1346 & utilities >= 420.5
3,rule17870,recall,10,3,3,19,5,14,9.09,0.263,0.217,0.191,2.39,0.2,0.212,shelter_expenses < 619.5 & rawben_rel_max < 0.8 & total_deductions < 345.8,shelter_expenses < 619.5 & rawben_rel_max < 0.6155 & total_deductions < 345.8
1,rule4127,recall,10,4,4,12,4,8,0.85,0.333,0.077,0.121,9.1,0.143,0.371,rawgross < 0.5 & utilities < 575 & shelter_expenses >= 800 & months_since_cert_n >= 4.5,rawgross < 0.5 & utilities < 793 & shelter_expenses >= 27 & months_since_cert_n >= 4.5
1,rule7338,recall,10,4,4,14,4,10,0.99,0.286,0.077,0.066,7.8,0,0.438,rawgross >= 0 & unc_rawben_rel_max < 0.4 & rawben_rel_max >= 0.2 & rawearn >= 2.5,rawgross >= 17 & unc_rawben_rel_max < 0.974 & rawben_rel_max >= 0.7966 & rawearn >= 2.5
1,rule230,recall,10,4,4,14,4,10,0.99,0.286,0.077,0.066,7.8,0.171,0.505,unc_rawben_rel_max >= -0.75 & rawearn >= 250 & rawben_rel_max < 0.45 & rawben_rel_max >= 0.2,unc_rawben_rel_max >= 0.008958 & rawearn >= 461 & rawben_rel_max < 0.8316 & rawben_rel_max >= 0.3329
1,rule6692,recall,10,4,4,14,4,10,0.99,0.286,0.077,0.066,7.8,0,0.484,months_since_cert_n >= 0 & rawearn >= 250 & rawben_rel_max < 0.45 & rawben_rel_max >= 0.2,months_since_cert_n >= 4.5 & rawearn >= 50.5 & rawben_rel_max < 0.9737 & rawben_rel_max >= 0.4124
1,rule1843,recall,10,4,3,14,4,10,0.99,0.286,0.077,0.089,7.8,0.2,0.373,rawunearn < 30 & cat_elig >= 0.5 & unc_rawben_rel_max < 0.8 & utilities < 25,rawunearn < 30 & cat_elig >= 0.5 & unc_rawben_rel_max < 0.96 & utilities < 48.5
1,rule1531,recall,10,3,2,15,4,11,1.06,0.267,0.077,0.093,7.28,0.068,0.249,"shelter_expenses < 100 & rawearn >= 450 & homeless %in% c(""FALSE"")","shelter_expenses < 2227 & rawearn >= 737 & homeless %in% c(""FALSE"")"
