"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule1230","unc_rawben_rel_max < 1.705 & rawgross < 740.5 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses >= 225",4,"INCLUDE",5.618,1.061,3.7,312,81,231,0.26,0.144,0.164,3.89,0.067,"unearned_overissuance"
"1","rule5383","rawben_rel_max < 0.9982 & rawgross < 746 & utilities >= 48",3,"INCLUDE",0.394,0.049,1.6,134,34,100,0.254,0.06,0.055,3.81,0.067,"unearned_overissuance"
"1","rule13087","shelter_expenses >= 1527 & utilities < 766.5 & utilities >= 406",3,"INCLUDE",1.222,0.16,1.7,147,36,111,0.245,0.064,0.083,3.67,0.067,"unearned_overissuance"
"1","rule13544","unc_rawben_rel_max < 2.612 & unc_rawben_rel_max >= 1.89 & shelter_expenses < 1494 & total_deductions < 871",4,"INCLUDE",-5.803,0.953,2.8,234,57,177,0.244,0.101,0.092,3.65,0.067,"unearned_overissuance"
"1","rule2922","unc_rawben_rel_max < 1.93 & count_divisible_by_100 >= 0.5 & total_deductions >= 494",3,"INCLUDE",8.355,0.998,1.4,122,29,93,0.238,0.052,0.059,3.57,0.067,"unearned_overissuance"
"1","rule2932","unc_rawben_rel_max < 2.331 & rawunearn < 801.5 & elderly_disabled_i %in% c(""TRUE"") & total_deductions < 406.1",4,"INCLUDE",0.37,0.098,7.6,641,148,493,0.231,0.263,0.294,3.46,0.067,"unearned_overissuance"
"1","rule7449","rawearn < 19 & rawben_rel_max >= 0.5435 & unc_rawben_rel_max < 0.9718 & rawunearn < 737",4,"INCLUDE",1.888,0.31,2.8,234,53,181,0.226,0.094,0.086,3.4,0.067,"unearned_overissuance"
"1","rule8227","rawearn < 823 & months_since_cert_n >= 4.5 & rawunearn < 781.5 & unc_rawben_rel_max < 0.965",4,"INCLUDE",4.086,0.661,2.7,227,51,176,0.225,0.091,0.077,3.37,0.067,"unearned_overissuance"
"1","rule2936","unc_rawben_rel_max >= 1.622 & count_divisible_by_100 < 0.5 & unc_rawben_rel_max < 2.301",3,"INCLUDE",-1.946,0.523,7.9,662,148,514,0.224,0.263,0.276,3.35,0.067,"unearned_overissuance"
"1","rule5075","unc_rawben_rel_max < 2.642 & shelter_expenses >= 3 & rawgross < 642.5 & total_deductions < 358.5",4,"INCLUDE",3.763,0.755,4.2,354,77,277,0.218,0.137,0.156,3.26,0.067,"unearned_overissuance"
"1","rule9548","medical_deductions >= 124 & rawben_rel_max >= 0.3409",2,"INCLUDE",8.402,1.487,3.2,273,58,215,0.212,0.103,0.095,3.19,0.067,"unearned_overissuance"
"1","rule3296","unc_rawben_rel_max >= 1.872 & shelter_expenses < 1693 & months_since_cert_n < 8.5 & unc_rawben_rel_max < 2.527",4,"INCLUDE",-0.877,0.146,2.8,240,48,192,0.2,0.085,0.081,3,0.067,"unearned_overissuance"
"2","rule11691","utilities >= 408.5 & unc_rawben_rel_max >= 1.679",2,"INCLUDE",12.355,0.995,0.7,27,21,6,0.778,0.076,0.119,11.67,0.067,"unearned_overissuance"
"2","rule14516","utilities >= 443.5 & unc_rawben_rel_max >= 1.534",2,"INCLUDE",25.156,2.551,1,43,25,18,0.581,0.091,0.156,8.72,0.067,"unearned_overissuance"
"2","rule12841","unc_rawben_rel_max >= 1.135 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"")",3,"INCLUDE",53.979,6.762,1.6,66,38,28,0.576,0.138,0.204,8.64,0.067,"unearned_overissuance"
"2","rule8332","shelter_expenses >= 1685 & rawgross < 172",2,"INCLUDE",9.884,0.943,0.9,38,15,23,0.395,0.054,0.092,5.92,0.067,"unearned_overissuance"
"2","rule12855","unc_rawben_rel_max >= 1.491 & utilities >= 451",2,"INCLUDE",7.055,0.989,2,83,31,52,0.373,0.112,0.182,5.6,0.067,"unearned_overissuance"
"2","rule12767","elderly_disabled_i %in% c(""TRUE"") & rawben_rel_max >= 0.7241 & married < 0.5 & rawgross < 690.5",4,"INCLUDE",15.114,1.85,1.5,63,23,40,0.365,0.083,0.12,5.48,0.067,"unearned_overissuance"
"2","rule6492","total_deductions >= 996.9 & rawearn < 1685 & shelter_expenses >= 1534 & rawunearn < 1326",4,"INCLUDE",5.724,0.587,1.1,44,16,28,0.364,0.058,0.1,5.45,0.067,"unearned_overissuance"
