"hh_size","rule_id","optimize_for","min_flagged_req","n_conditions","n_optimized","n_flagged","errors_caught","clean_flagged","workload_pct","precision","recall","dollar_recall","lift","precision_state_orig","precision_national_csv","optimized_rule","original_rule","rule_text","imp","rule"
"1","rule4912","recall",10,4,3,40,10,30,2.86,0.25,0.081,0.111,2.84,0.185,0.57,"elderly_disabled_i %in% c(""TRUE"") & rawgross < 350 & shelter_expenses < 1000 & total_deductions >= 0","elderly_disabled_i %in% c(""TRUE"") & rawgross < 598.5 & shelter_expenses < 969.5 & total_deductions >= 26","elderly_disabled_i %in% c(""TRUE"") & rawgross < 350 & shelter_expenses < 1000 & total_deductions >= 0",0,"elderly_disabled_i %in% c(""TRUE"") & rawgross < 350 & shelter_expenses < 1000 & total_deductions >= 0"
"1","rule5075","recall",10,4,4,32,8,24,2.29,0.25,0.065,0.076,2.84,0.125,0.218,"unc_rawben_rel_max < 1.95 & shelter_expenses >= 1450 & rawgross < 2100 & total_deductions < 1050","unc_rawben_rel_max < 2.642 & shelter_expenses >= 3 & rawgross < 642.5 & total_deductions < 358.5","unc_rawben_rel_max < 1.95 & shelter_expenses >= 1450 & rawgross < 2100 & total_deductions < 1050",0,"unc_rawben_rel_max < 1.95 & shelter_expenses >= 1450 & rawgross < 2100 & total_deductions < 1050"
"1","rule1030","recall",10,3,3,12,3,9,0.86,0.25,0.024,0.022,2.84,0.119,0.221,"rawearn >= 1000 & utilities >= 75 & months_since_cert_n < 2","rawearn >= 1058 & utilities >= 24.5 & months_since_cert_n < 7.5","rawearn >= 1000 & utilities >= 75 & months_since_cert_n < 2",0,"rawearn >= 1000 & utilities >= 75 & months_since_cert_n < 2"
"1","rule7999","recall",10,4,4,44,11,33,3.15,0.25,0.089,0.1,2.84,0.143,0.333,"total_deductions < 700 & unc_rawben_rel_max >= -0.65 & rawearn < 1700 & rawearn >= 450","total_deductions < 1145 & unc_rawben_rel_max >= -0.001718 & rawearn < 1190 & rawearn >= 497","total_deductions < 700 & unc_rawben_rel_max >= -0.65 & rawearn < 1700 & rawearn >= 450",0,"total_deductions < 700 & unc_rawben_rel_max >= -0.65 & rawearn < 1700 & rawearn >= 450"
"1","rule1531","recall",10,3,2,36,9,27,2.58,0.25,0.073,0.078,2.84,0.128,0.249,"shelter_expenses < 650 & rawearn >= 450 & homeless %in% c(""FALSE"")","shelter_expenses < 2227 & rawearn >= 737 & homeless %in% c(""FALSE"")","shelter_expenses < 650 & rawearn >= 450 & homeless %in% c(""FALSE"")",0,"shelter_expenses < 650 & rawearn >= 450 & homeless %in% c(""FALSE"")"
"1","rule2532","recall",10,4,3,48,12,36,3.43,0.25,0.098,0.13,2.84,0.667,0.742,"rawgross < 741 & elderly_disabled_i %in% c(""TRUE"") & utilities < 600 & unc_rawben_rel_max >= 0.6","rawgross < 741 & elderly_disabled_i %in% c(""TRUE"") & utilities < 503.5 & unc_rawben_rel_max >= 1.23","rawgross < 741 & elderly_disabled_i %in% c(""TRUE"") & utilities < 600 & unc_rawben_rel_max >= 0.6",0,"rawgross < 741 & elderly_disabled_i %in% c(""TRUE"") & utilities < 600 & unc_rawben_rel_max >= 0.6"
"1","rule3928","recall",10,4,4,12,3,9,0.86,0.25,0.024,0.034,2.84,0.114,0.304,"rawearn >= 700 & utilities >= 0 & rawearn < 1000 & rawgross >= 900","rawearn >= 532.5 & utilities >= 14.5 & rawearn < 1523 & rawgross >= 852.5","rawearn >= 700 & utilities >= 0 & rawearn < 1000 & rawgross >= 900",0,"rawearn >= 700 & utilities >= 0 & rawearn < 1000 & rawgross >= 900"
"1","rule9923","recall",10,3,3,44,11,33,3.15,0.25,0.089,0.099,2.84,0.233,0.468,"unc_rawben_rel_max >= -0.4 & shelter_expenses >= 1500 & total_deductions >= 700","unc_rawben_rel_max >= 1.872 & shelter_expenses >= 837 & total_deductions >= 634.5","unc_rawben_rel_max >= -0.4 & shelter_expenses >= 1500 & total_deductions >= 700",0,"unc_rawben_rel_max >= -0.4 & shelter_expenses >= 1500 & total_deductions >= 700"
"1","rule5633","recall",10,4,4,40,10,30,2.86,0.25,0.081,0.096,2.84,0.115,0.218,"rawearn < 1700 & total_deductions < 700 & rawearn >= 522.5 & shelter_expenses >= 0","rawearn < 1928 & total_deductions < 1764 & rawearn >= 522.5 & shelter_expenses >= 60","rawearn < 1700 & total_deductions < 700 & rawearn >= 522.5 & shelter_expenses >= 0",0,"rawearn < 1700 & total_deductions < 700 & rawearn >= 522.5 & shelter_expenses >= 0"
"1","rule22951","recall",10,3,3,56,14,42,4.01,0.25,0.114,0.111,2.84,0.131,0.254,"rawgross >= 1000 & total_deductions < 350 & unc_rawben_rel_max >= -0.008873","rawgross >= 1067 & total_deductions < 545 & unc_rawben_rel_max >= -0.008873","rawgross >= 1000 & total_deductions < 350 & unc_rawben_rel_max >= -0.008873",0,"rawgross >= 1000 & total_deductions < 350 & unc_rawben_rel_max >= -0.008873"
