hh_size,rule_id,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule (state),original_rule (national)
2-3,rule7749,10,3,3,10,4,6,2.14,0.4,0.1,0.062,4.68,0.2,0.204,rawben_rel_max < 0.45 & rawben_rel_max >= 0.4 & rawgross >= 1400,rawben_rel_max < 0.8178 & rawben_rel_max >= 0.6819 & rawgross >= 1082
2-3,rule1932,10,3,3,10,4,6,2.14,0.4,0.1,0.172,4.68,0.6,0.328,shelter_expenses >= 1350 & rawgross < 1868 & rawearn >= 500,shelter_expenses >= 1540 & rawgross < 1868 & rawearn >= 1088
2-3,rule1760,10,2,2,10,4,6,2.14,0.4,0.1,0.184,4.68,0.172,0.202,unc_rawben_rel_max >= 1.5 & utilities < 500,unc_rawben_rel_max >= 1.387 & utilities < 506.5
2-3,rule3638,10,3,3,10,4,6,2.14,0.4,0.1,0.075,4.68,0.25,0.225,rawearn >= 35.5 & rawunearn >= 400 & rawgross < 1900,rawearn >= 35.5 & rawunearn >= 145 & rawgross < 2134
2-3,rule4569,10,3,3,10,4,6,2.14,0.4,0.1,0.076,4.68,0,0.235,months_since_cert_n < 7 & rawben_rel_max < 0.45 & rawben_rel_max >= 0.4,months_since_cert_n < 2.5 & rawben_rel_max < 0.9727 & rawben_rel_max >= 0.936
2-3,rule857,10,2,2,10,4,6,2.14,0.4,0.1,0.184,4.68,0,0.282,unc_rawben_rel_max >= 1.5 & months_since_cert_n >= 0,unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 8.5
2-3,rule14129,10,3,3,10,4,6,2.14,0.4,0.1,0.184,4.68,0,0.247,rawgross >= 0 & unc_rawben_rel_max >= 1.5 & rawearn < 1600,rawgross >= 2916 & unc_rawben_rel_max >= -0.03169 & rawearn < 3203
2-3,rule234,10,3,3,13,5,8,2.78,0.385,0.125,0.208,4.5,NA,0.357,rawearn >= 1450 & utilities >= 0 & rawben_rel_max >= 0.7,rawearn >= 711.5 & utilities >= 902 & rawben_rel_max >= 0.642
2-3,rule2551,10,3,3,13,5,8,2.78,0.385,0.125,0.189,4.5,0.25,0.276,shelter_expenses >= 1350 & rawgross < 1900 & rawgross >= 1400,shelter_expenses >= 1606 & rawgross < 2402 & rawgross >= 2038
2-3,rule363,10,4,4,16,6,10,3.42,0.375,0.15,0.216,4.39,0.333,0.411,rawearn >= 0 & shelter_expenses >= 1350 & rawgross < 1900 & rawben_rel_max < 1,rawearn >= 711.5 & shelter_expenses >= 1842 & rawgross < 1968 & rawben_rel_max < 0.9204
2-3,rule5783,10,3,3,12,4,8,2.56,0.333,0.1,0.14,3.9,0.3,0.204,rawearn >= 1450 & rawben_rel_max < 1 & unc_rawben_rel_max >= 0.7,rawearn >= 0.5 & rawben_rel_max < 0.9247 & unc_rawben_rel_max >= 0.844
2-3,rule3433,10,3,3,12,4,8,2.56,0.333,0.1,0.125,3.9,0.333,0.35,total_deductions >= 1000 & months_since_cert_n < 3.5 & total_deductions < 1300,total_deductions >= 1203 & months_since_cert_n < 3.5 & total_deductions < 1464
2-3,rule6940,10,3,3,12,4,8,2.56,0.333,0.1,0.134,3.9,0.333,0.233,unc_rawben_rel_max < 0.9 & rawunearn < 750 & rawunearn >= 333.5,unc_rawben_rel_max < 0.9164 & rawunearn < 581.5 & rawunearn >= 333.5
