"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",4,"unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5",297,3.5231,0.771,0.4625,0.4075,0.4625,229,"unearned_overissuance"
"1",5,"unc_rawben_rel_max < 2.891 & shelter_expenses >= 229.5 & rawgross < 607.5 & rawben_rel_max < 0.9758",348,4.1281,0.7213,0.5034,0.4466,0.5034,251,"unearned_overissuance"
"2",1,"utilities >= 408.5 & unc_rawben_rel_max >= 1.679",27,0.6522,0.7778,0.1193,0.0761,0.1193,21,"unearned_overissuance"
"2",2,"unc_rawben_rel_max >= 1.135 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"")",71,1.715,0.5352,0.2038,0.1377,0.2038,38,"unearned_overissuance"
"2",3,"shelter_expenses >= 1685 & rawgross < 172",100,2.4155,0.45,0.2412,0.163,0.2412,45,"unearned_overissuance"
"2",4,"shelter_expenses >= 1694 & utilities < 606.5",181,4.372,0.3536,0.3197,0.2319,0.3197,64,"unearned_overissuance"
"2",5,"unc_rawben_rel_max < 1.607 & utilities < 377.5 & rawunearn >= 708 & rawben_rel_max >= 0.7473",266,6.4251,0.2932,0.3989,0.2826,0.3989,78,"unearned_overissuance"
"2",6,"elderly_disabled_i %in% c(""TRUE"") & rawben_rel_max >= 0.7241 & married < 0.5 & rawgross < 690.5",304,7.343,0.2763,0.4305,0.3043,0.4305,84,"unearned_overissuance"
"2",7,"unc_rawben_rel_max < 1.561 & married < 0.5 & count_divisible_by_100 >= 0.5 & rawunearn < 258",423,10.2174,0.2577,0.5102,0.3949,0.5102,109,"unearned_overissuance"
"3",1,"shelter_expenses < 2074 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 193",26,0.9576,0.5769,0.1309,0.0829,0.1309,15,"unearned_overissuance"
"3",2,"count_divisible_by_100 >= 0.5 & rawearn < 1317 & rawunearn < 100",86,3.1676,0.407,0.2751,0.1934,0.2751,35,"unearned_overissuance"
"3",3,"total_deductions >= 692.6 & rawearn < 763.5 & shelter_expenses >= 1631",135,4.9724,0.3185,0.3495,0.2376,0.3495,43,"unearned_overissuance"
"3",4,"shelter_expenses < 583 & rawunearn >= 510 & rawben_rel_max >= 0.6547 & utilities >= 163.5",218,8.0295,0.2706,0.4672,0.326,0.4672,59,"unearned_overissuance"
"3",5,"utilities < 368 & rawunearn >= 852 & rawben_rel_max >= 0.6421",287,10.5709,0.2334,0.5191,0.3702,0.5191,67,"unearned_overissuance"
