"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"3","rule1338","rawunearn < 0.5 & rawearn < 1914 & unc_rawben_rel_max >= 0.9704",3,"INCLUDE",-0.002,0.001,29.2,2005,123,1882,0.061,0.269,0.37,0.92,0.067,"earned_overissuance"
"3","rule3892","cat_elig < 1.5 & rawearn >= 888.5 & rawgross >= 1144",3,"SKIP",-0.805,0.33,21.4,1468,138,1330,0.094,0.302,0.191,1.41,0.067,"earned_overissuance"
"3","rule9198","total_deductions >= 895.4 & utilities >= 320 & unc_rawben_rel_max < 1.168 & shelter_expenses < 2249",4,"SKIP",-3.285,1.043,11.4,779,69,710,0.089,0.151,0.106,1.33,0.067,"earned_overissuance"
"3","rule3318","rawunearn < 18.5 & married >= 0.5",2,"SKIP",-3.068,0.871,8.8,606,47,559,0.078,0.103,0.076,1.16,0.067,"earned_overissuance"
"3","rule5790","count_divisible_by_100 < 0.5 & rawgross >= 550.5",2,"SKIP",1.677,0.83,57.2,3918,277,3641,0.071,0.606,0.506,1.06,0.067,"earned_overissuance"
"3","rule40","months_since_cert_n >= 6.5 & unc_rawben_rel_max < 1.064",2,"SKIP",-0.284,0.104,15.8,1085,77,1008,0.071,0.168,0.108,1.06,0.067,"earned_overissuance"
"3","rule11282","unc_rawben_rel_max < 1.286 & rawearn >= 1357 & rawben_rel_max < 0.4986",3,"SKIP",-2.126,0.702,12.4,853,56,797,0.066,0.123,0.063,0.98,0.067,"earned_overissuance"
"3","rule3336","shelter_expenses < 2043 & utilities >= 434",2,"SKIP",-0.057,0.028,38.8,2657,169,2488,0.064,0.37,0.344,0.95,0.067,"earned_overissuance"
"3","rule5432","shelter_expenses < 2262 & rawgross >= 182",2,"SKIP",-1.941,0.876,71.5,4903,307,4596,0.063,0.672,0.543,0.94,0.067,"earned_overissuance"
"3","rule855","rawunearn < 380 & unc_rawben_rel_max < 1.33 & utilities < 593 & shelter_expenses < 1858",4,"SKIP",-0.717,0.359,49,3361,205,3156,0.061,0.449,0.436,0.91,0.067,"earned_overissuance"
"3","rule7887","expedited_i %in% c(""FALSE"") & months_since_cert_n < 3.5",2,"SKIP",-0.406,0.201,42.2,2893,177,2716,0.061,0.387,0.35,0.92,0.067,"earned_overissuance"
"3","rule2379","unc_rawben_rel_max >= 0.8127 & rawben_rel_max >= 0.8182 & utilities >= 365 & utilities < 669.5",4,"SKIP",-1.793,0.725,20.6,1410,85,1325,0.06,0.186,0.202,0.9,0.067,"earned_overissuance"
"3","rule11016","unc_rawben_rel_max < 1.34 & months_since_cert_n >= 0.5 & percent_abawd < 0.1667",3,"SKIP",-0.355,0.14,80.8,5540,332,5208,0.06,0.726,0.705,0.9,0.067,"earned_overissuance"
"3","rule1471","rawgross >= 48 & utilities < 889",2,"SKIP",-4.124,1.836,72.7,4987,293,4694,0.059,0.641,0.542,0.88,0.067,"earned_overissuance"
"3","rule10865","unc_rawben_rel_max < 1.302 & utilities < 916.5 & utilities >= 448.5",3,"SKIP",-0.018,0.008,31.4,2152,127,2025,0.059,0.278,0.248,0.89,0.067,"earned_overissuance"
"3","rule1888","shelter_expenses < 2388 & rawgross >= 0.5 & utilities < 889",3,"SKIP",-2.361,1.05,72.8,4993,288,4705,0.058,0.63,0.53,0.87,0.067,"earned_overissuance"
"3","rule6695","shelter_expenses < 2320 & unc_rawben_rel_max < 1.194",2,"SKIP",-1.923,0.7,84.2,5775,329,5446,0.057,0.72,0.634,0.85,0.067,"earned_overissuance"
"3","rule1793","shelter_expenses < 1883 & expedited_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.209",3,"SKIP",-0.005,0.002,73,5006,278,4728,0.056,0.608,0.531,0.83,0.067,"earned_overissuance"
"3","rule1117","shelter_expenses < 1564 & rawgross >= 0.5",2,"SKIP",-0.386,0.182,66.7,4572,250,4322,0.055,0.547,0.449,0.82,0.067,"earned_overissuance"
"3","rule8261","shelter_expenses < 2316 & total_deductions < 983.8 & unc_rawben_rel_max < 1.211",3,"SKIP",-2.279,0.965,76.6,5251,279,4972,0.053,0.611,0.553,0.8,0.067,"earned_overissuance"
"3","rule11264","unc_rawben_rel_max < 1.195 & shelter_expenses < 1836",2,"SKIP",-2.124,0.847,80.2,5496,291,5205,0.053,0.637,0.566,0.79,0.067,"earned_overissuance"
"3","rule3142","utilities >= 448.5 & rawearn < 938.5",2,"SKIP",-0.802,0.344,24.4,1671,88,1583,0.053,0.193,0.227,0.79,0.067,"earned_overissuance"
"3","rule1802","utilities < 591 & unc_rawben_rel_max < 1.271 & months_since_cert_n >= 0.5",3,"SKIP",-1.623,0.768,66.1,4529,236,4293,0.052,0.516,0.488,0.78,0.067,"earned_overissuance"
"3","rule1868","cat_elig < 1.5 & months_since_cert_n < 2.5 & unc_rawben_rel_max < 1.229",3,"SKIP",-1.637,0.695,23.5,1614,84,1530,0.052,0.184,0.153,0.78,0.067,"earned_overissuance"
"3","rule7649","shelter_expenses < 1074 & utilities >= 346",2,"SKIP",-0.758,0.346,29.6,2030,105,1925,0.052,0.23,0.226,0.78,0.067,"earned_overissuance"
"3","rule6591","utilities < 495 & unc_rawben_rel_max < 1.273 & shelter_expenses < 1580",3,"SKIP",-0.14,0.068,60.8,4166,216,3950,0.052,0.473,0.456,0.78,0.067,"earned_overissuance"
"3","rule10385","shelter_expenses < 1584 & months_since_cert_n >= 7.5 & unc_rawben_rel_max < 1.194",3,"SKIP",-0.346,0.124,15.1,1032,53,979,0.051,0.116,0.094,0.77,0.067,"earned_overissuance"
"3","rule8732","unc_rawben_rel_max < 1.211 & shelter_expenses < 1432",2,"SKIP",-0.235,0.104,73.3,5027,257,4770,0.051,0.562,0.501,0.77,0.067,"earned_overissuance"
"3","rule1784","months_since_cert_n < 1.5 & shelter_expenses < 1583 & total_deductions >= 646.8",3,"SKIP",-1.954,0.438,5.3,363,18,345,0.05,0.039,0.023,0.74,0.067,"earned_overissuance"
"3","rule10543","shelter_expenses < 2323 & rawearn < 1672 & unc_rawben_rel_max < 1.273",3,"SKIP",-0.893,0.408,70.4,4823,242,4581,0.05,0.53,0.578,0.75,0.067,"earned_overissuance"
"3","rule280","cat_elig >= 1.5 & unc_rawben_rel_max < 1.209 & shelter_expenses < 1398",3,"SKIP",-0.738,0.283,17.9,1224,58,1166,0.047,0.127,0.132,0.71,0.067,"earned_overissuance"
"3","rule10038","unc_rawben_rel_max >= 1.308 & months_since_cert_n < 6.5 & shelter_expenses < 831.5",3,"SKIP",-0.521,0.065,1.6,109,5,104,0.046,0.011,0.016,0.69,0.067,"earned_overissuance"
"3","rule2022","months_since_cert_n >= 0.5 & rawunearn >= 178 & married < 0.5",3,"SKIP",-0.261,0.121,31.9,2187,96,2091,0.044,0.21,0.198,0.66,0.067,"earned_overissuance"
"3","rule10057","unc_rawben_rel_max < 1.336 & rawearn < 1050 & months_since_cert_n >= 0.5",3,"SKIP",-1.675,0.822,59.6,4087,175,3912,0.043,0.383,0.482,0.64,0.067,"earned_overissuance"
"3","rule2884","months_since_cert_n >= 5.5 & count_divisible_by_100 < 0.5 & total_deductions < 456",3,"SKIP",-1.151,0.374,12,823,33,790,0.04,0.072,0.079,0.6,0.067,"earned_overissuance"
"3","rule10329","unc_rawben_rel_max < 1.261 & rawgross < 647.5 & elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n < 7.5",4,"SKIP",-0.838,0.359,24.2,1660,63,1597,0.038,0.138,0.188,0.57,0.067,"earned_overissuance"
"3","rule6305","unc_rawben_rel_max < 1.421 & rawgross >= 0.5 & unc_rawben_rel_max >= 0.9909",3,"SKIP",-0.29,0.118,20.7,1420,53,1367,0.037,0.116,0.145,0.56,0.067,"earned_overissuance"
"3","rule7747","shelter_expenses < 2592 & unc_rawben_rel_max < 1.081 & rawunearn >= 239",3,"SKIP",-0.1,0.047,33.3,2284,84,2200,0.037,0.184,0.166,0.55,0.067,"earned_overissuance"
"3","rule6669","percent_abawd < 0.5 & unc_rawben_rel_max >= 1.08 & utilities < 303.5 & shelter_expenses < 856",4,"SKIP",-6.078,1.53,6.8,466,17,449,0.036,0.037,0.05,0.55,0.067,"earned_overissuance"
"3","rule11500","unc_rawben_rel_max < 1.209 & unc_rawben_rel_max >= 1.077 & shelter_expenses < 1556",3,"SKIP",-1.275,0.512,20.2,1383,50,1333,0.036,0.109,0.15,0.54,0.067,"earned_overissuance"
"3","rule1302","utilities >= 606.5 & rawearn < 1050 & unc_rawben_rel_max < 1.168",3,"SKIP",-1.179,0.317,7.8,538,19,519,0.035,0.042,0.054,0.53,0.067,"earned_overissuance"
"3","rule2741","months_since_cert_n >= 6.5 & rawunearn >= 300.5",2,"SKIP",-0.066,0.02,10,687,24,663,0.035,0.053,0.05,0.52,0.067,"earned_overissuance"
"3","rule7493","rawben_rel_max < 0.9005 & rawearn < 40.5",2,"SKIP",-3.71,1.401,17.2,1180,16,1164,0.014,0.035,0.041,0.2,0.067,"earned_overissuance"
"4","rule7113","rawgross < 144 & cat_elig >= 0.5 & total_deductions >= 613.5 & utilities < 545",4,"INCLUDE",6.249,0.855,1.9,101,23,78,0.228,0.065,0.089,3.42,0.067,"earned_overissuance"
"4","rule10939","unc_rawben_rel_max < 0.9374 & rawgross < 1158 & rawearn >= 3",3,"INCLUDE",7.359,1.012,1.9,102,23,79,0.225,0.065,0.094,3.38,0.067,"earned_overissuance"
"4","rule8619","total_deductions < 1027 & months_since_cert_n >= 5.5 & rawearn >= 1000 & rawben_rel_max >= 0.6007",4,"INCLUDE",7.387,1.388,3.7,194,39,155,0.201,0.11,0.121,3.02,0.067,"earned_overissuance"
"4","rule1081","total_deductions < 836.3 & shelter_expenses < 411.5 & rawearn >= 151 & rawben_rel_max >= 0.754",4,"INCLUDE",3.229,0.444,1.9,102,20,82,0.196,0.057,0.084,2.94,0.067,"earned_overissuance"
"4","rule6063","rawgross >= 1062 & rawgross < 1184",2,"INCLUDE",4.311,0.724,2.9,154,27,127,0.175,0.076,0.107,2.63,0.067,"earned_overissuance"
"4","rule33","percent_abawd < 0.375 & rawben_rel_max < 0.9792 & rawgross < 1252 & rawearn >= 7.5",4,"INCLUDE",16.541,3.265,4.1,215,37,178,0.172,0.105,0.147,2.58,0.067,"earned_overissuance"
"4","rule2259","rawunearn < 12.5 & rawben_rel_max >= 0.5858 & total_deductions >= 933",3,"INCLUDE",6.559,1.66,6.9,364,62,302,0.17,0.176,0.173,2.55,0.067,"earned_overissuance"
