"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"4+","rule3248","rawben_rel_max < 0.1883 & months_since_cert_n < 3.5 & rawgross < 4898",3,"INCLUDE",-0.134,0.016,1.4,82,15,67,0.183,0.038,0.04,2.74,0.067,"underissuance"
"4+","rule4204","rawearn >= 335 & months_since_cert_n < 5.5 & total_deductions < 355.9",3,"INCLUDE",-0.037,0.007,4.2,246,45,201,0.183,0.114,0.108,2.74,0.067,"underissuance"
"4+","rule1786","rawben_rel_max < 0.9562 & utilities < 36.5 & cat_elig < 0.5",3,"INCLUDE",-0.094,0.014,2.2,128,23,105,0.18,0.058,0.051,2.7,0.067,"underissuance"
"4+","rule5943","rawben_rel_max < 0.9568 & rawunearn >= 149.5 & shelter_expenses >= 1824",3,"INCLUDE",-0.071,0.013,3.6,211,38,173,0.18,0.096,0.083,2.7,0.067,"underissuance"
"4+","rule4034","rawgross >= 2565 & rawunearn >= 148.5 & rawben_rel_max >= 0.3715",3,"INCLUDE",-0.183,0.038,4.5,267,47,220,0.176,0.119,0.128,2.64,0.067,"underissuance"
"4+","rule7309","rawearn >= 3508 & utilities >= 559.5",2,"INCLUDE",-0.152,0.025,2.7,158,26,132,0.165,0.066,0.087,2.47,0.067,"underissuance"
"4+","rule3529","rawearn >= 323.5 & rawunearn >= 454.5 & utilities >= 342.5",3,"INCLUDE",-0.223,0.063,8.8,519,84,435,0.162,0.213,0.221,2.43,0.067,"underissuance"
"4+","rule8246","rawearn >= 1088 & rawearn < 2681 & rawgross >= 2582",3,"INCLUDE",-0.094,0.022,5.8,342,55,287,0.161,0.14,0.145,2.41,0.067,"underissuance"
"4+","rule8267","rawgross >= 2096 & rawben_rel_max >= 0.6714 & rawben_rel_max < 0.742",3,"INCLUDE",-0.266,0.041,2.5,147,23,124,0.156,0.058,0.064,2.35,0.067,"underissuance"
"4+","rule4719","rawgross >= 1076 & rawben_rel_max >= 0.7542 & shelter_expenses < 927",3,"INCLUDE",-0.12,0.022,3.6,212,33,179,0.156,0.084,0.066,2.33,0.067,"underissuance"
"4+","rule1805","rawearn >= 1246 & rawunearn >= 136.5",2,"INCLUDE",-0.014,0.004,10.9,642,100,542,0.156,0.254,0.252,2.34,0.067,"underissuance"
"4+","rule7864","months_since_cert_n >= 7.5 & rawearn >= 672.5 & rawben_rel_max >= 0.5732",3,"INCLUDE",-0.206,0.042,4.4,258,40,218,0.155,0.102,0.075,2.33,0.067,"underissuance"
"4+","rule4169","unc_rawben_rel_max < 0.7558 & utilities >= 600.5 & total_deductions >= 745.6",3,"INCLUDE",-0.193,0.047,6.3,375,57,318,0.152,0.145,0.162,2.28,0.067,"underissuance"
"4+","rule6920","utilities >= 727 & rawben_rel_max < 0.7717 & rawunearn < 1562",3,"INCLUDE",-0.133,0.031,5.6,330,50,280,0.152,0.127,0.15,2.27,0.067,"underissuance"
"4+","rule3909","rawgross >= 3164 & shelter_expenses < 1014",2,"INCLUDE",-0.204,0.036,3.2,188,28,160,0.149,0.071,0.084,2.23,0.067,"underissuance"
"4+","rule278","rawben_rel_max < 0.9157 & months_since_cert_n >= 2.5 & utilities < 293",3,"INCLUDE",-0.025,0.007,7.5,446,66,380,0.148,0.168,0.166,2.22,0.067,"underissuance"
