"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",13,"utilities <= 580 & unc_rawben_rel_max > 2.104 & unc_rawben_rel_max <= 2.264 & months_since_cert_n > 2",92,0.7734,0.9457,0.1061,0.1097,0.1061,87,"earned_overissuance"
"1",14,"children_i <= 0 & total_deductions > 107 & cat_elig > 0 & rawben_rel_max > 0.2846975 & shelter_expenses <= 27 & rawunearn <= 11 & months_since_cert_n > 2",117,0.9836,0.906,0.1311,0.1337,0.1311,106,"earned_overissuance"
"1",15,"rawben_rel_max > 0.2646048 & rawben_rel_max <= 0.927835 & medical_deductions <= 198 & rawearn > 3 & months_since_cert_n > 15",128,1.0761,0.9062,0.14,0.1463,0.14,116,"earned_overissuance"
"1",16,"elderly_disabled_i <= 0 & total_deductions > 682 & cat_elig > 0 & rawgross <= 25",135,1.1349,0.9037,0.1468,0.1538,0.1468,122,"earned_overissuance"
"1",17,"elderly_disabled_i <= 0 & expedited_i <= 0 & rawearn > 1270 & rawearn <= 1280",138,1.1602,0.9058,0.1499,0.1576,0.1499,125,"earned_overissuance"
"1",18,"shelter_expenses > 1585 & shelter_expenses <= 1789 & utilities <= 601 & rawunearn <= 364 & months_since_cert_n > 4 & months_since_cert_n <= 20",145,1.219,0.8966,0.1581,0.1639,0.1581,130,"earned_overissuance"
"1",19,"total_deductions > 556 & rawgross <= 2 & unc_rawben_rel_max > 1.824 & unc_rawben_rel_max <= 1.869416 & months_since_cert_n > 2",152,1.2778,0.8882,0.1662,0.1702,0.1662,135,"earned_overissuance"
"1",20,"total_deductions > 1324.2 & total_deductions <= 1724 & cat_elig > 0 & utilities <= 459 & rawunearn <= 500 & count_divisible_by_100 <= 0",156,1.3115,0.8846,0.1714,0.174,0.1714,138,"earned_overissuance"
"1",21,"children_i <= 0 & rawben_rel_max > 0.9217082 & rawben_rel_max <= 0.927835 & rawearn > 3",158,1.3283,0.8861,0.1739,0.1765,0.1739,140,"earned_overissuance"
"1",22,"total_deductions <= 603 & shelter_expenses > 953 & shelter_expenses <= 1204 & utilities <= 792 & rawunearn <= 717 & months_since_cert_n > 2",176,1.4796,0.8636,0.1909,0.1917,0.1909,152,"earned_overissuance"
"1",23,"shelter_expenses > 2252 & shelter_expenses <= 2355 & rawunearn <= 183 & months_since_cert_n > 0",178,1.4964,0.8652,0.1932,0.1942,0.1932,154,"earned_overissuance"
"1",24,"rawben_rel_max > 0.8694158 & rawben_rel_max <= 0.8728522 & rawearn > 3",182,1.5301,0.8626,0.1977,0.198,0.1977,157,"earned_overissuance"
"1",25,"expedited_i <= 0 & rawearn <= 0 & rawunearn <= 491 & unc_rawben_rel_max > 1.484 & unc_rawben_rel_max <= 1.488",188,1.5805,0.8564,0.2044,0.203,0.2044,161,"earned_overissuance"
"1",26,"children_i <= 0 & total_deductions > 143 & cat_elig > 0 & rawben_rel_max > 0.2882562 & shelter_expenses <= 48 & rawunearn <= 364 & months_since_cert_n > 4",190,1.5973,0.8579,0.2066,0.2055,0.2066,163,"earned_overissuance"
"1",27,"children_i <= 0 & cat_elig > 0 & utilities > 735 & utilities <= 757 & rawunearn <= 11 & months_since_cert_n > 2 & count_divisible_by_100 <= 1",196,1.6478,0.852,0.2131,0.2106,0.2131,167,"earned_overissuance"
"1",28,"expedited_i > 0 & cat_elig > 0 & rawben_rel_max <= 0.9608541 & shelter_expenses <= 954 & utilities <= 600 & rawearn > 3 & rawunearn <= 841",224,1.8831,0.8259,0.2344,0.2333,0.2344,185,"earned_overissuance"
"1",29,"total_deductions <= 1043 & cat_elig > 0 & rawben_rel_max > 0.2775801 & utilities <= 624 & rawearn > 1400 & rawearn <= 1517 & months_since_cert_n <= 5 & count_divisible_by_100 <= 0",227,1.9084,0.8282,0.2362,0.2371,0.2362,188,"earned_overissuance"
"1",30,"cat_elig > 0 & shelter_expenses <= 527 & unc_rawben_rel_max > 1.854092",228,1.9168,0.8289,0.238,0.2383,0.238,189,"earned_overissuance"
"1",31,"shelter_expenses <= 1038 & rawunearn > 182 & rawunearn <= 183 & months_since_cert_n > 2",235,1.9756,0.8213,0.2447,0.2434,0.2447,193,"earned_overissuance"
"1",32,"total_deductions <= 1124 & rawben_rel_max > 0.956 & shelter_expenses > 2852",236,1.984,0.822,0.2464,0.2446,0.2464,194,"earned_overissuance"
"1",33,"total_deductions <= 686.2 & cat_elig > 0 & rawben_rel_max > 0.08 & shelter_expenses > 948 & shelter_expenses <= 1267 & utilities <= 580 & rawunearn <= 183 & months_since_cert_n > 4 & months_since_cert_n <= 20",252,2.1185,0.8056,0.2596,0.256,0.2596,203,"earned_overissuance"
"1",34,"total_deductions > 864 & total_deductions <= 908 & cat_elig > 0 & utilities <= 624 & rawearn <= 1344 & rawunearn <= 11 & unc_rawben_rel_max <= 2.075601 & count_divisible_by_100 <= 0",262,2.2026,0.7977,0.2678,0.2636,0.2678,209,"earned_overissuance"
"1",35,"expedited_i <= 0 & rawunearn <= 893 & rawgross <= 2673.67 & unc_rawben_rel_max <= -0.9484536 & months_since_cert_n <= 21",269,2.2615,0.7918,0.2743,0.2686,0.2743,213,"earned_overissuance"
"1",36,"children_i <= 0 & total_deductions > 446 & total_deductions <= 455 & cat_elig > 0 & rawunearn <= 11 & months_since_cert_n > 2",279,2.3455,0.7849,0.2818,0.2762,0.2818,219,"earned_overissuance"
"1",37,"total_deductions > 4.2 & cat_elig > 0 & shelter_expenses <= 294 & rawearn <= 0 & rawunearn <= 25 & months_since_cert_n > 5",306,2.5725,0.7647,0.3009,0.2951,0.3009,234,"earned_overissuance"
"1",38,"expedited_i <= 0 & shelter_expenses > 1746 & percent_abawd > 0",326,2.7406,0.7485,0.315,0.3077,0.315,244,"earned_overissuance"
"1",39,"total_deductions > 1490 & cat_elig > 0 & shelter_expenses <= 1662 & rawunearn <= 499 & months_since_cert_n <= 5",329,2.7659,0.7477,0.3175,0.3102,0.3175,246,"earned_overissuance"
