"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size >= 1350.00 & unc_rawben_rel_max >=    1.55 & utilities >=  679.00",245,0.0531,0.0284
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 456.00",378,0.3307,0.2771
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   4.00 & unc_rawben_rel_max >=   1.52 & utilities < 456.00",119,0.2101,0.1368
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   4.00 & unc_rawben_rel_max >=   1.52 & utilities < 456.00",259,0.3861,0.3188
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.63 & unc_rawben_rel_max <   2.49 & utilities < 827.00",595,0.2252,0.188
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   2.49 & utilities < 827.00",129,0.3411,0.2522
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 968.00 & unc_rawben_rel_max >=   1.67",402,0.2935,0.2437
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size >= 484.00 & shelter_expenses_by_hh_size < 968.00 & unc_rawben_rel_max >=   1.67",347,0.3055,0.2513
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size >= 968.00 & unc_rawben_rel_max >=   2.49",168,0.2798,0.207
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   5.00 & unc_rawben_rel_max >=   1.52 & utilities < 366.00",117,0.5128,0.4072
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.76 & utilities >= 366.00",647,0.1716,0.1398
"1","unc_rawben_rel_max >=   1.52 & utilities < 366.00",859,0.1083,0.086
"1","unc_rawben_rel_max >=   2.49 & utilities >= 366.00",159,0.2767,0.2026
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.52 & utilities < 366.00",144,0.4653,0.3716
"1","total_deductions_by_hh_size < 1520.00 & unc_rawben_rel_max >=    2.49 & utilities >=  366.00",79,0.3038,0.1993
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.46 & utilities < 471.00",421,0.3064,0.2569
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 791.00 & unc_rawben_rel_max >=   1.46 & utilities < 471.00",245,0.3633,0.2955
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 791.00 & unc_rawben_rel_max >=   1.46 & utilities < 471.00",176,0.2273,0.1626
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 650.00 & unc_rawben_rel_max >=   1.46",258,0.2984,0.2369
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 650.00 & unc_rawben_rel_max >=   1.46",1083,0.1182,0.0972
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   9.00 & total_deductions_by_hh_size < 650.00 & unc_rawben_rel_max >=   1.46",148,0.1959,0.1314
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   9.00 & total_deductions_by_hh_size < 650.00 & unc_rawben_rel_max >=   1.46",110,0.4364,0.3319
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 650.00 & unc_rawben_rel_max >=   1.87",606,0.2096,0.1738
"1","unc_rawben_rel_max >=   1.60 & unc_rawben_rel_max <   2.23 & utilities < 620.00",1944,0.0664,0.0544
