"target","rep","arm","variant","budget","n_admitted","n_scanned","base_rate","n_deployed","workload","precision","dollar_recall","n_core","n_buffer","slack"
"Arizona",5,"outoffold","own",0.05,37278,20000,0.112,21,0.0497,0.3256,0.187,21,36,0
"Arizona",5,"outoffold","own",0.1,37278,20000,0.112,27,0.0993,0.2326,0.2305,34,101,0
"Arizona",5,"selfscored","own",0.05,41403,20000,0.112,17,0.0497,0.3256,0.2427,32,58,0
"Arizona",5,"selfscored","own",0.1,41403,20000,0.112,36,0.0993,0.3023,0.3644,65,107,0
"Arkansas",1,"outoffold","common",0.05,36875,20000,0.0795,18,0.0491,0.2143,0.1398,31,45,0
"Arkansas",1,"outoffold","common",0.1,36875,20000,0.0795,31,0.0994,0.2,0.2947,49,105,0
"Arkansas",1,"selfscored","common",0.05,36875,20000,0.0795,18,0.0491,0.0952,0.0678,33,52,0
"Arkansas",1,"selfscored","common",0.1,36875,20000,0.0795,27,0.0994,0.1765,0.2432,55,126,0
"Arkansas",1,"outoffold","own",0.05,36875,20000,0.0795,18,0.0491,0.2143,0.1398,31,45,0
"Arkansas",1,"outoffold","own",0.1,36875,20000,0.0795,31,0.0994,0.2,0.2947,49,105,0
"Arkansas",1,"selfscored","own",0.05,41541,20000,0.0795,20,0.0491,0.0952,0.0719,35,65,0
"Arkansas",1,"selfscored","own",0.1,41541,20000,0.0795,36,0.0994,0.1647,0.2407,66,133,0
"Arkansas",2,"outoffold","common",0.05,36511,20000,0.0795,15,0.0491,0.1905,0.1246,28,52,0
"Arkansas",2,"outoffold","common",0.1,36511,20000,0.0795,31,0.0994,0.1765,0.2468,50,130,0
"Arkansas",2,"selfscored","common",0.05,36511,20000,0.0795,16,0.0491,0.2381,0.1606,32,59,0
"Arkansas",2,"selfscored","common",0.1,36511,20000,0.0795,33,0.0994,0.1765,0.2529,61,123,0
"Arkansas",2,"outoffold","own",0.05,36511,20000,0.0795,15,0.0491,0.1905,0.1246,28,52,0
"Arkansas",2,"outoffold","own",0.1,36511,20000,0.0795,31,0.0994,0.1765,0.2468,50,130,0
"Arkansas",2,"selfscored","own",0.05,41821,20000,0.0795,17,0.0491,0.2381,0.1443,35,57,0
"Arkansas",2,"selfscored","own",0.1,41821,20000,0.0795,36,0.0994,0.2118,0.2594,53,138,0
"Arkansas",3,"outoffold","common",0.05,38402,20000,0.0795,21,0.0491,0.1667,0.1095,38,38,0
"Arkansas",3,"outoffold","common",0.1,38402,20000,0.0795,27,0.0994,0.1647,0.2197,52,115,0
