"rule_id","hh","rule"
52,"1","medical_deductions >  92.900 & rawben_rel_max >   0.460 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 544.000"
53,"1","medical_deductions > 132.00 & unc_rawben_rel_max >   2.03 & utilities >  29.50"
54,"1","medical_deductions > 200.000 & rawben_rel_max >   0.473 & rawben_rel_max <=   0.991 & utilities <= 392.000"
55,"1","medical_deductions > 506.000 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 282.000 & unc_rawben_rel_max >   0.761"
56,"1","medical_deductions > 610.00 & total_deductions_by_hh_size >   8.80 & unc_rawben_rel_max <=   1.05 & utilities <= 636.00"
57,"1","medical_deductions > 83.900 & unc_rawben_rel_max >  0.452 & unc_rawben_rel_max <=  1.010 & utilities > 22.000"
58,"1","medical_deductions > 93.000 & rawben_rel_max >  0.307 & utilities > 22.000"
59,"1","medical_deductions > 96.200 & rawben_rel_max >  0.885 & rawben_rel_max <=  0.998 & unc_rawben_rel_max >  0.279"
60,"1","medical_deductions >=  117.0000 & rawben_rel_max >=    0.0996 & shelter_expenses_by_hh_size < 1530.0000 & unc_rawben_rel_max <    1.2500"
61,"1","medical_deductions >= 111.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.274 & shelter_expenses_by_hh_size < 868.000"
62,"1","medical_deductions >= 117.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.498"
63,"1","medical_deductions >= 171.000 & rawben_rel_max >=   0.904 & rawben_rel_max <   0.957 & unc_rawben_rel_max >=   0.808"
64,"1","medical_deductions >= 18.000 & rawben_rel_max >=  0.747 & rawben_rel_max <  0.993"
65,"1","medical_deductions >= 201.000 & rawben_rel_max >=   0.762 & rawben_rel_max <   0.936 & total_deductions_by_hh_size >= 784.000"
66,"1","medical_deductions >= 358.000 & rawben_rel_max >=   0.833 & rawben_rel_max <   0.916 & unc_rawben_rel_max <   1.520"
67,"1","medical_deductions >= 5.000 & medical_deductions < 9.000 & rawben_rel_max < 0.488"
68,"1","months_since_cert_n <=    5.500 & rawben_rel_max <=    0.998 & total_deductions_by_hh_size > 1330.000"
69,"1","months_since_cert_n >   2.50 & total_deductions_by_hh_size <= 919.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.23"
70,"1","months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00"
71,"1","months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 408.0 & total_deductions_by_hh_size > 647.0 & utilities <=  28.5"
72,"1","months_since_cert_n >   5.50 & shelter_expenses_by_hh_size <= 652.00 & unc_rawben_rel_max >   1.87 & utilities <= 508.00"
73,"1","months_since_cert_n >=   5.00 & percent_abawd <   0.50 & unc_rawben_rel_max >=   1.82 & utilities < 366.00"
74,"1","months_since_cert_n >=   5.00 & total_deductions_by_hh_size < 946.00 & unc_rawben_rel_max >=   1.77 & utilities < 471.00"
75,"1","months_since_cert_n >=   5.00 & unc_rawben_rel_max >=   1.82 & utilities < 366.00"
76,"1","months_since_cert_n >=   5.000 & rawben_rel_max >=   0.381 & total_deductions_by_hh_size >= 395.000 & utilities <  27.000"
77,"1","months_since_cert_n >=   6 & total_deductions_by_hh_size >= 501 & utilities < 249"
78,"1","months_since_cert_n >=   6.00 & rawben_rel_max >=   1.00 & unc_rawben_rel_max >=   1.48 & utilities < 340.00"
79,"1","months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size >= 462.00 & unc_rawben_rel_max >=   1.67 & utilities < 462.00"
80,"1","months_since_cert_n >=   7.000 & rawben_rel_max >=   0.992 & unc_rawben_rel_max >=   1.550 & utilities < 392.000"
81,"1","months_since_cert_n >=   7.00000 & shelter_expenses_by_hh_size >= 405.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00356"
82,"1","months_since_cert_n >=   8.00 & shelter_expenses_by_hh_size < 648.00 & unc_rawben_rel_max >=   1.82 & utilities < 493.00"
83,"1","months_since_cert_n >=   8.00 & unc_rawben_rel_max >=   1.93 & utilities < 366.00"
84,"1","percent_abawd <=    0.750 & rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 1700.000 & total_deductions_by_hh_size > 1130.000"
85,"1","rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1180.000 & unc_rawben_rel_max >=    0.986 & utilities <  645.000"
86,"1","rawben_rel_max <   0.968 & shelter_expenses_by_hh_size < 595.000 & utilities >= 149.000"
87,"1","rawben_rel_max <   0.988 & total_deductions_by_hh_size >= 495.000 & utilities < 281.000"
88,"1","rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000"
89,"1","rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 220.000 & unc_rawben_rel_max >=   0.986 & utilities < 688.000"
90,"1","rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 535.000 & unc_rawben_rel_max >=   0.964 & utilities < 645.000"
91,"1","rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277"
92,"1","rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 425.000 & unc_rawben_rel_max >=   0.986 & utilities < 800.000"
93,"1","rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 968.000 & unc_rawben_rel_max >=   0.304 & utilities < 511.000"
94,"1","rawben_rel_max <=    0.994 & shelter_expenses_by_hh_size > 1300.000 & unc_rawben_rel_max >    0.987"
95,"1","rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 2260.000"
96,"1","rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 272.000 & unc_rawben_rel_max >   0.913 & utilities <= 346.000"
97,"1","rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 604.000 & unc_rawben_rel_max >   0.985 & utilities <= 368.000"
98,"1","rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 800.000 & unc_rawben_rel_max >   0.985"
99,"1","rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 906.000 & unc_rawben_rel_max >   0.557 & utilities <=  29.500"
100,"1","rawben_rel_max <=   0.994 & total_deductions_by_hh_size > 534.000 & unc_rawben_rel_max >   0.987 & utilities <= 466.000"
101,"1","rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 588.000 & unc_rawben_rel_max >   0.322 & utilities <= 344.000"
102,"1","rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 602.000 & utilities <= 272.000"
103,"1","rawben_rel_max >   0.112 & shelter_expenses_by_hh_size <= 592.000 & unc_rawben_rel_max <=   0.978 & utilities >  55.500"
104,"1","rawben_rel_max >   0.345 & shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max <=   0.991 & utilities <=  14.500"
105,"1","rawben_rel_max >   0.397 & rawben_rel_max <=   0.995 & shelter_expenses_by_hh_size > 934.000 & total_deductions_by_hh_size > 639.000"
106,"1","rawben_rel_max >   0.727 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 413.000 & utilities <=  28.500"
107,"1","rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500"
108,"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 938.000"
109,"1","rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 942.000 & unc_rawben_rel_max >   1.930 & utilities <= 680.000"
110,"1","rawben_rel_max >=    0.236 & shelter_expenses_by_hh_size < 1680.000 & total_deductions_by_hh_size >= 1280.000 & unc_rawben_rel_max >=    2.490"
111,"1","rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000"
112,"1","rawben_rel_max >=   0.280 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 471.000 & utilities < 347.000"
113,"1","rawben_rel_max >=   0.484 & rawben_rel_max <   0.989 & shelter_expenses_by_hh_size >= 879.000 & utilities <  31.000"
114,"1","rawben_rel_max >=   0.484 & shelter_expenses_by_hh_size >= 879.000 & utilities <  31.000"
115,"1","rawben_rel_max >=   0.594 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 925.000 & utilities < 379.000"
116,"1","rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 198.000 & utilities < 452.000"
117,"1","rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 495.000 & utilities < 850.000"
118,"1","rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 692.000 & utilities < 580.000"
119,"1","rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 580.000"
120,"1","shelter_expenses_by_hh_size < 601 & total_deductions_by_hh_size < 199 & utilities >= 240"
121,"1","shelter_expenses_by_hh_size < 961.00 & total_deductions_by_hh_size >=   5.00 & unc_rawben_rel_max >=   2.01 & utilities < 681.00"
122,"1","shelter_expenses_by_hh_size > 1990.000 & total_deductions_by_hh_size >  828.000 & unc_rawben_rel_max <=    0.998"
123,"1","shelter_expenses_by_hh_size > 2070.000 & unc_rawben_rel_max <=    0.991"
124,"1","shelter_expenses_by_hh_size > 504.0 & total_deductions_by_hh_size > 647.0 & utilities <=  29.5"
125,"1","shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500"
126,"1","shelter_expenses_by_hh_size > 929.000 & total_deductions_by_hh_size > 341.000 & unc_rawben_rel_max <=   0.995 & utilities <=  29.500"
127,"1","total_deductions_by_hh_size <= 209.0000 & unc_rawben_rel_max >  -0.0302 & utilities > 222.0000"
128,"1","total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00"
129,"1","total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500"
130,"1","total_deductions_by_hh_size > 628.00 & unc_rawben_rel_max >   0.75 & unc_rawben_rel_max <=   1.01"
131,"1","total_deductions_by_hh_size > 647 & utilities <= 276"
132,"1","unc_rawben_rel_max >=   2.49 & utilities < 827.00"
133,"2-3","HH_size_n <   3 & months_since_cert_n >=   3 & shelter_expenses_by_hh_size >= 706 & utilities < 347"
134,"2-3","HH_size_n <=   2.5 & medical_deductions > 179.0 & total_deductions_by_hh_size > 441.0"
135,"2-3","HH_size_n >   2.5 & medical_deductions > 131.0 & months_since_cert_n <=   7.5 & shelter_expenses_by_hh_size > 298.0"
136,"2-3","HH_size_n >   2.5 & months_since_cert_n <=  10.5 & shelter_expenses_by_hh_size > 279.0 & total_deductions_by_hh_size > 402.0"
137,"2-3","HH_size_n >   2.5 & shelter_expenses_by_hh_size <= 592.0 & total_deductions_by_hh_size > 522.0 & utilities >  37.5"
138,"2-3","HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & utilities <= 722.0"
139,"2-3","HH_size_n >   2.5 & total_deductions_by_hh_size > 516.0"
140,"2-3","HH_size_n >   2.500 & rawben_rel_max >   0.457 & shelter_expenses_by_hh_size > 456.000 & total_deductions_by_hh_size > 387.000"
141,"2-3","HH_size_n >   2.500 & rawben_rel_max >   0.581 & total_deductions_by_hh_size > 338.000 & utilities >  29.500"
142,"2-3","HH_size_n >   2.500 & total_deductions_by_hh_size > 440.000 & unc_rawben_rel_max >   0.640 & unc_rawben_rel_max <=   0.996"
143,"2-3","HH_size_n > 2.500 & rawben_rel_max > 0.986 & unc_rawben_rel_max > 1.440"
144,"2-3","HH_size_n >=   3 & shelter_expenses_by_hh_size < 635 & total_deductions_by_hh_size >= 602"
145,"2-3","HH_size_n >=   3 & shelter_expenses_by_hh_size < 655 & total_deductions_by_hh_size >= 466"
146,"2-3","HH_size_n >=   3 & shelter_expenses_by_hh_size < 700 & total_deductions_by_hh_size >= 510"
147,"2-3","HH_size_n >=   3.000 & months_since_cert_n <   7.000 & total_deductions_by_hh_size >= 432.000 & unc_rawben_rel_max <   0.997"
148,"2-3","HH_size_n >=   3.000 & rawben_rel_max >=   0.663 & total_deductions_by_hh_size >= 501.000"
149,"2-3","HH_size_n >=   3.000 & rawben_rel_max >=   0.705 & total_deductions_by_hh_size >= 347.000 & utilities >= 361.000"
150,"2-3","HH_size_n >= 3.000 & percent_abawd >= 0.250 & rawben_rel_max >= 0.288 & rawben_rel_max < 0.711"
151,"2-3","cat_elig <=   1.5 & shelter_expenses_by_hh_size > 234.0 & shelter_expenses_by_hh_size <= 565.0 & total_deductions_by_hh_size >  33.2"
152,"2-3","cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & unc_rawben_rel_max <=   1.0"
153,"2-3","cat_elig >   0.5 & HH_size_n >   2.5 & total_deductions_by_hh_size > 642.0"
154,"2-3","cat_elig >   0.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 546.0 & utilities <= 560.0"
155,"2-3","cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63"
156,"2-3","cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00"
157,"2-3","cat_elig >   0.50 & unc_rawben_rel_max >   1.63 & utilities <= 873.00"
158,"2-3","cat_elig >   0.500 & medical_deductions > 131.000 & rawben_rel_max >   0.222 & rawben_rel_max <=   0.988"
159,"2-3","cat_elig >  0.50 & count_divisible_by_100 >  0.50 & months_since_cert_n <= 26.50 & unc_rawben_rel_max >  1.46"
160,"2-3","cat_elig >  0.50 & unc_rawben_rel_max >  1.52 & utilities > 39.00"
161,"2-3","cat_elig > 0.50 & children_i > 0.50 & unc_rawben_rel_max > 1.57"
162,"2-3","cat_elig > 0.50 & months_since_cert_n > 1.50 & unc_rawben_rel_max > 1.69"
163,"2-3","cat_elig > 0.500 & children_i > 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.690"
164,"2-3","cat_elig > 0.500 & percent_abawd > 0.125 & unc_rawben_rel_max > 0.673 & unc_rawben_rel_max <= 0.710"
165,"2-3","cat_elig >=   1.000 & medical_deductions >= 179.000 & rawben_rel_max >=   0.137"
166,"2-3","cat_elig >=   1.000 & medical_deductions >= 179.000 & rawben_rel_max >=   0.137 & total_deductions_by_hh_size >= 242.000"
167,"2-3","cat_elig >=   1.000 & medical_deductions >= 190.000 & rawben_rel_max >=   0.321 & total_deductions_by_hh_size >=  34.000"
168,"2-3","children_i <   1 & total_deductions_by_hh_size >= 570 & utilities < 553"
169,"2-3","children_i <=   0.5 & months_since_cert_n <=  16.5 & total_deductions_by_hh_size > 200.0 & utilities <= 524.0"
170,"2-3","children_i <=   0.5 & months_since_cert_n <=  20.5 & total_deductions_by_hh_size > 312.0"
171,"2-3","children_i >   0.500 & elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.967 & shelter_expenses_by_hh_size > 490.000"
172,"2-3","children_i >  0.500 & rawben_rel_max >  0.495 & rawben_rel_max <=  0.872 & total_deductions_by_hh_size > 56.300"
173,"2-3","children_i > 0.500 & months_since_cert_n > 4.500 & months_since_cert_n <= 6.500 & rawben_rel_max <= 0.931"
174,"2-3","count_divisible_by_100 <=   0.5 & HH_size_n <=   2.5 & medical_deductions > 366.0 & total_deductions_by_hh_size > 519.0"
175,"2-3","count_divisible_by_100 <=   0.500 & medical_deductions > 144.000 & unc_rawben_rel_max >   0.131"
176,"2-3","count_divisible_by_100 <=   2.5 & HH_size_n >   2.5 & shelter_expenses_by_hh_size <= 730.0 & total_deductions_by_hh_size > 436.0"
177,"2-3","elderly_disabled_i <=   0.5 & expedited_i <=   0.5 & shelter_expenses_by_hh_size > 457.0"
178,"2-3","elderly_disabled_i <=   0.500 & medical_deductions <=  22.500 & rawben_rel_max <=   0.907 & shelter_expenses_by_hh_size > 490.000"
179,"2-3","elderly_disabled_i <=   0.500 & shelter_expenses_by_hh_size > 456.000 & shelter_expenses_by_hh_size <= 613.000 & unc_rawben_rel_max >   0.168"
180,"2-3","elderly_disabled_i <=   0.500 & total_deductions_by_hh_size <= 378.000 & unc_rawben_rel_max <=   0.892 & utilities <= 798.000"
181,"2-3","elderly_disabled_i <=  0.500 & months_since_cert_n > 13.500 & percent_abawd <=  0.583 & rawben_rel_max <=  0.971"
182,"2-3","elderly_disabled_i <= 0.500 & unc_rawben_rel_max > 0.495 & unc_rawben_rel_max <= 0.719"
183,"2-3","elderly_disabled_i >    0.50 & shelter_expenses_by_hh_size <= 1150.00 & unc_rawben_rel_max >    1.39"
184,"2-3","elderly_disabled_i >    0.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1100.000 & total_deductions_by_hh_size >  103.000"
185,"2-3","elderly_disabled_i >   0.5 & married <=   0.5 & total_deductions_by_hh_size > 724.0"
186,"2-3","elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 676.00 & unc_rawben_rel_max >   1.59"
187,"2-3","elderly_disabled_i >   0.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 955.000 & utilities <= 584.000"
188,"2-3","elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.550"
189,"2-3","elderly_disabled_i >=   1 & shelter_expenses_by_hh_size < 640 & total_deductions_by_hh_size >= 493"
190,"2-3","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 455.00 & unc_rawben_rel_max >=   1.25 & utilities < 447.00"
191,"2-3","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 680.00 & unc_rawben_rel_max >=   1.34"
192,"2-3","elderly_disabled_i >=   1.000 & HH_size_n >=   3.000 & total_deductions_by_hh_size >= 290.000 & unc_rawben_rel_max <   0.976"
193,"2-3","elderly_disabled_i >=   1.000 & medical_deductions >= 500.000 & rawben_rel_max >=   0.234 & unc_rawben_rel_max >=   0.198"
194,"2-3","elderly_disabled_i >=   1.000 & total_deductions_by_hh_size >= 524.000 & unc_rawben_rel_max <   0.943"
195,"2-3","elderly_disabled_i >= 1.00 & married < 1.00 & unc_rawben_rel_max >= 1.42"
196,"2-3","elderly_disabled_i >= 1.000 & married < 1.000 & rawben_rel_max >= 0.901 & unc_rawben_rel_max >= 1.350"
197,"2-3","elderly_disabled_i >= 1.000 & rawben_rel_max >= 0.993 & rawben_rel_max < 0.996"
198,"2-3","expedited_i <  1.000 & married <  1.000 & rawben_rel_max <  0.836 & total_deductions_by_hh_size >= 32.500"
199,"2-3","expedited_i <=    0.5 & medical_deductions >  104.0 & total_deductions_by_hh_size >  493.0 & total_deductions_by_hh_size <= 1440.0"
200,"2-3","expedited_i <=   0.500 & married <=   0.500 & shelter_expenses_by_hh_size > 247.000 & unc_rawben_rel_max >   0.129"
201,"2-3","expedited_i <=   0.500 & married <=   0.500 & shelter_expenses_by_hh_size > 277.000 & unc_rawben_rel_max >   0.217"
202,"2-3","expedited_i <=   0.500 & medical_deductions > 128.000 & rawben_rel_max >   0.803 & unc_rawben_rel_max >   0.324"
203,"2-3","expedited_i <=   0.500 & percent_abawd >   0.583 & rawben_rel_max <=   0.711 & shelter_expenses_by_hh_size <= 278.000"
204,"2-3","expedited_i <=  0.500 & married <=  0.500 & total_deductions_by_hh_size > 64.100 & unc_rawben_rel_max <=  0.806"
205,"2-3","expedited_i <=  0.500 & rawben_rel_max <=  0.804 & total_deductions_by_hh_size > 56.100 & unc_rawben_rel_max >  0.144"
206,"2-3","expedited_i >=   1.000 & rawben_rel_max <   0.909 & total_deductions_by_hh_size >=  23.500 & utilities < 285.000"
207,"2-3","expedited_i >= 1.000 & months_since_cert_n < 2.000 & rawben_rel_max >= 0.649 & rawben_rel_max < 0.901"
208,"2-3","homeless <=   0.500 & rawben_rel_max <=   0.688 & total_deductions_by_hh_size > 249.000"
209,"2-3","married <   1.00 & total_deductions_by_hh_size >= 392.00 & unc_rawben_rel_max >=   1.42"
210,"2-3","married <   1.000 & months_since_cert_n >=   5.000 & total_deductions_by_hh_size >= 654.000 & unc_rawben_rel_max >=   0.274"
211,"2-3","married <   1.000 & rawben_rel_max >=   0.933 & total_deductions_by_hh_size >= 308.000 & unc_rawben_rel_max >=   1.510"
212,"2-3","married <=   0.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 411.0"
213,"2-3","married <=   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size > 637.0 & utilities <= 756.0"
214,"2-3","married <=   0.500 & percent_abawd <=   0.125 & shelter_expenses_by_hh_size > 351.000 & unc_rawben_rel_max >   1.630"
215,"2-3","married <=   0.500 & percent_abawd <=   0.417 & rawben_rel_max <=   0.711 & total_deductions_by_hh_size > 218.000"
216,"2-3","married <=   0.500 & rawben_rel_max >   0.181 & shelter_expenses_by_hh_size > 176.000 & unc_rawben_rel_max <=   0.804"
