"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"months_since_cert_n >=  15.500 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 344.000 & utilities < 360.000","1","national","xgboost","any_error",149,0.4295,0.3393,76.04,1,1,69,"buffer"
"medical_deductions >= 174.000 & rawben_rel_max >=   0.746 & utilities < 997.000","2-3","national","xgboost","any_error",78,0.4615,0.337,99.83,6,4,70,"buffer"
"elderly_disabled_i >  0.50 & shelter_expenses_by_hh_size > 18.80 & total_deductions_by_hh_size >  1.30 & unc_rawben_rel_max <=  0.84","4+","state","ranger","any_error",39,0.5128,0.3368,101.13,39,8,71,"buffer"
"married <=   0.5 & months_since_cert_n <=   1.5 & total_deductions_by_hh_size >  21.1 & total_deductions_by_hh_size <= 143.0","4+","state","ranger","any_error",39,0.5128,0.3368,125.69,39,3,72,"buffer"
"HH_size_n >= 4.500 & rawben_rel_max >= 0.875 & rawben_rel_max < 0.881","4+","national","xgboost","any_error",61,0.4754,0.3349,77.23,3,2,73,"buffer"
"cat_elig > 1.500 & months_since_cert_n <= 2.500 & unc_rawben_rel_max <= 0.975","4+","state","ranger","any_error",71,0.4648,0.3345,99.94,71,1,74,"buffer"
"months_since_cert_n <   2.5 & shelter_expenses_by_hh_size >= 180.0 & total_deductions_by_hh_size < 171.0","4+","state","xgboost","any_error",37,0.5135,0.3333,95.73,37,2,75,"buffer"
"cat_elig > 1.500 & months_since_cert_n <= 1.500 & rawben_rel_max > 0.515","4+","state","ranger","any_error",49,0.4898,0.3332,111.1,49,6,76,"buffer"
"HH_size_n <=  6.5 & total_deductions_by_hh_size >  1.4 & total_deductions_by_hh_size <= 49.4","4+","state","ranger","any_error",42,0.5,0.3311,116.52,42,1,77,"buffer"
"count_divisible_by_100 <=  0.500 & total_deductions_by_hh_size >  0.125 & total_deductions_by_hh_size <= 49.400 & unc_rawben_rel_max <=  0.928","4+","state","ranger","any_error",42,0.5,0.3311,120.48,42,1,78,"buffer"
"medical_deductions >= 178.000 & rawben_rel_max >=   0.151 & total_deductions_by_hh_size >=  39.700 & utilities < 451.000","2-3","national","xgboost","any_error",114,0.4298,0.3276,55.36,4,1,79,"buffer"
"medical_deductions >= 4.500 & medical_deductions < 8.500 & rawben_rel_max < 0.563","1","national","xgboost","any_error",70,0.4571,0.3267,32.11,1,1,80,"buffer"
"elderly_disabled_i >=   0.500 & rawben_rel_max >=   0.991 & unc_rawben_rel_max >=   1.500 & utilities < 438.000","1","national","xgboost","any_error",504,0.375,0.3264,67.69,12,2,81,"buffer"
"married <=   0.500 & rawben_rel_max <=   0.835 & unc_rawben_rel_max >   0.328 & utilities > 356.000","4+","state","ranger","any_error",45,0.4889,0.3263,95.78,45,3,82,"buffer"
"months_since_cert_n <   2.500 & rawben_rel_max >=   0.596 & rawben_rel_max <   0.918 & total_deductions_by_hh_size < 135.000","4+","state","xgboost","any_error",45,0.4889,0.3263,86.98,45,2,83,"buffer"
"HH_size_n <=  6.500 & total_deductions_by_hh_size >  0.125 & total_deductions_by_hh_size <= 61.300","4+","state","ranger","any_error",60,0.4667,0.3259,98,60,4,84,"buffer"
