"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,79.1,3,2,13,"core"
"cat_elig >    0.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1410.000","2-3","national","ranger","any_error",30,0.6333,0.4235,191,8,8,14,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national","ranger","any_error",114,0.5263,0.4188,96.17,5,2,15,"core"
"rawben_rel_max <   0.991 & total_deductions_by_hh_size >= 977.000 & utilities <  48.500","1","national","xgboost","any_error",56,0.5714,0.4181,112.95,2,1,16,"core"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national","ranger","any_error",110,0.5273,0.4179,96.39,3,1,17,"core"
"shelter_expenses_by_hh_size <= 1010.00 & total_deductions_by_hh_size >  471.00 & unc_rawben_rel_max >    1.72 & utilities >  490.00","2-3","national","ranger","any_error",65,0.5538,0.4119,158.82,10,1,18,"core"
"cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size >   5.500","1","national","ranger","any_error",51,0.5686,0.4085,101.78,1,1,19,"core"
"rawben_rel_max <   0.789 & shelter_expenses_by_hh_size < 456.000 & total_deductions_by_hh_size >= 429.000","4+","national","xgboost","any_error",45,0.5778,0.4074,160.02,1,1,20,"core"
"medical_deductions >= 132.00 & total_deductions_by_hh_size >=   2.70 & unc_rawben_rel_max >=   2.55","1","national","xgboost","any_error",33,0.6061,0.4071,124.61,3,3,21,"core"
"medical_deductions > 102.000 & months_since_cert_n <=   6.500 & shelter_expenses_by_hh_size > 968.000 & unc_rawben_rel_max >   0.156","2-3","national","ranger","any_error",37,0.5946,0.4068,103.84,3,2,22,"core"
"married <=  0.500 & rawben_rel_max <=  0.949 & utilities > 30.500 & utilities <= 36.000","4+","national","ranger","any_error",39,0.5897,0.4068,81.13,6,6,23,"core"
"months_since_cert_n >=   2.500 & rawben_rel_max >=   0.972 & unc_rawben_rel_max >=   1.690 & utilities >= 411.000","2-3","national","xgboost","any_error",101,0.5149,0.4014,156.93,16,1,24,"core"
"rawben_rel_max >    0.0441 & total_deductions_by_hh_size >  468.0000 & total_deductions_by_hh_size <= 1340.0000 & unc_rawben_rel_max >    1.9600","2-3","national","ranger","any_error",54,0.5556,0.4005,155.91,10,1,25,"core"
"children_i <=   0.500 & medical_deductions <= 300.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 685.000","2-3","national","ranger","any_error",71,0.5352,0.4,115.34,11,6,26,"core"
"cat_elig >   0.50 & percent_abawd <=   1.75 & shelter_expenses_by_hh_size > 406.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",143,0.4895,0.3944,143.93,19,1,27,"core"
"children_i <=   0.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",112,0.5,0.3927,97.72,12,1,28,"core"
"rawben_rel_max <   0.796 & total_deductions_by_hh_size >= 941.000 & utilities >= 888.000","1","state","xgboost","any_error",30,0.6,0.3926,95.57,30,25,29,"core"
"elderly_disabled_i >  0.50 & expedited_i <=  0.50 & unc_rawben_rel_max >  1.45 & utilities <= 30.50","1","national","ranger","any_error",106,0.5,0.3898,90.32,4,1,30,"core"
"rawben_rel_max >=   0.844 & rawben_rel_max <   0.993 & total_deductions_by_hh_size >= 321.000 & utilities < 272.000","1","national","xgboost","any_error",299,0.4548,0.3893,76.3,1,1,31,"core"
"elderly_disabled_i >=  0.500 & rawben_rel_max >=  0.919 & rawben_rel_max <  0.998 & utilities < 39.000","1","national","xgboost","any_error",145,0.4828,0.3886,83.12,1,1,32,"core"
"medical_deductions >= 176.00 & rawben_rel_max >=   0.41 & total_deductions_by_hh_size >= 515.00","2-3","national","xgboost","any_error",91,0.5055,0.3867,106.71,6,2,33,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national","ranger","any_error",209,0.4641,0.3858,81.88,4,1,34,"core"
"medical_deductions > 105.00 & months_since_cert_n >   0.50 & unc_rawben_rel_max >   2.58","1","national","ranger","any_error",39,0.5641,0.383,116.54,5,2,35,"core"
"count_divisible_by_100 <  0.5 & months_since_cert_n >= 10.5 & unc_rawben_rel_max >=  1.6","2-3","national","xgboost","any_error",37,0.5676,0.3818,191.49,7,1,36,"core"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",106,0.4906,0.3809,108.19,9,1,37,"core"
"HH_size_n >=   2.500 & rawben_rel_max >=   0.997 & shelter_expenses_by_hh_size < 588.000 & unc_rawben_rel_max >=   1.520","2-3","national","xgboost","any_error",35,0.5714,0.3805,143.66,2,2,38,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national","ranger","any_error",35,0.5714,0.3805,155.46,2,2,39,"core"
"medical_deductions > 116.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max >   0.128","2-3","national","ranger","any_error",134,0.4776,0.3801,73.36,8,1,40,"core"
"months_since_cert_n <=  10.500 & percent_abawd >   0.125 & total_deductions_by_hh_size > 647.000","2-3","national","ranger","any_error",33,0.5758,0.3793,116.97,5,1,41,"core"
"elderly_disabled_i >    0.5 & shelter_expenses_by_hh_size > 1030.0 & total_deductions_by_hh_size >  494.0 & utilities <=    8.0","1","national","ranger","any_error",132,0.4773,0.3791,85.78,3,1,42,"core"
"months_since_cert_n >  14.5 & total_deductions_by_hh_size > 534.0 & utilities <=  10.5","1","national","ranger","any_error",86,0.5,0.3784,86.99,5,1,43,"core"
"HH_size_n >   2.500 & percent_abawd <=   0.167 & shelter_expenses_by_hh_size > 472.000 & utilities > 888.000","2-3","state","ranger","any_error",31,0.5806,0.3781,139.77,31,30,44,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size <= 167.000","4+","national","ranger","any_error",31,0.5806,0.3781,107.58,1,1,45,"core"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 622.000 & unc_rawben_rel_max >   0.776 & utilities <=  32.500","1","national","ranger","any_error",175,0.4629,0.3776,85.33,5,2,46,"core"
"cat_elig >   0.500 & rawben_rel_max >   0.996 & shelter_expenses_by_hh_size > 522.000 & unc_rawben_rel_max >   1.650","2-3","national","ranger","any_error",135,0.4741,0.3771,145.92,21,1,47,"core"
