"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"expedited_i <=   0.500 & shelter_expenses_by_hh_size > 898.000 & total_deductions_by_hh_size > 602.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",226,0.4204,0.3467,5,1,84,"buffer"
"elderly_disabled_i <=   0.500 & shelter_expenses_by_hh_size <= 451.000 & total_deductions_by_hh_size > 221.000 & unc_rawben_rel_max >   0.203","4+","state","ranger","underissuance",45,0.5111,0.3462,45,14,85,"buffer"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national","ranger","any_error",450,0.3978,0.3456,22,3,86,"buffer"
"rawben_rel_max >   0.987 & shelter_expenses_by_hh_size > 616.000 & unc_rawben_rel_max <=   1.020 & utilities <= 451.000","1","national","ranger","other_error",346,0.4046,0.3452,8,1,87,"buffer"
"HH_size_n >   5.5 & months_since_cert_n <=  33.5 & shelter_expenses_by_hh_size <= 255.0 & total_deductions_by_hh_size > 191.0","4+","national","ranger","earned_overissuance",57,0.4912,0.3448,1,1,88,"buffer"
"cat_elig >   0.5 & elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 922.0 & utilities <=   8.0","1","national","ranger","other_error",222,0.4189,0.3447,6,1,89,"buffer"
"elderly_disabled_i >   0.50 & months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.79 & utilities <= 678.00","1","national","ranger","unearned_overissuance",534,0.3914,0.3436,6,3,90,"buffer"
"HH_size_n > 4.500 & percent_abawd > 0.050 & rawben_rel_max > 0.851 & unc_rawben_rel_max <= 0.982","4+","national","ranger","any_error",43,0.5116,0.3432,2,2,91,"buffer"
"children_i <=   0.500 & total_deductions_by_hh_size > 471.000 & unc_rawben_rel_max <=   0.863 & utilities <= 490.000","2-3","national","ranger","any_error",135,0.437,0.3421,2,2,92,"buffer"
"rawben_rel_max >   0.987 & unc_rawben_rel_max >   0.323 & unc_rawben_rel_max <=   0.991 & utilities <= 392.000","1","national","ranger","any_error",261,0.41,0.3417,12,4,93,"buffer"
"rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 931.000 & utilities < 800.000","1","national","xgboost","other_error",529,0.3894,0.3415,10,3,94,"buffer"
"rawben_rel_max <   0.975 & shelter_expenses_by_hh_size >= 850.000 & total_deductions_by_hh_size >= 576.000 & utilities < 860.000","2-3","national","xgboost","unearned_overissuance",211,0.4171,0.3411,12,1,95,"buffer"
"elderly_disabled_i >   0.5 & months_since_cert_n <=   2.5 & shelter_expenses_by_hh_size > 973.0","2-3","national","ranger","other_error",65,0.4769,0.3402,1,1,96,"buffer"
"rawben_rel_max <    0.68 & shelter_expenses_by_hh_size >= 2290.00 & total_deductions_by_hh_size >=  772.00","1","national","xgboost","other_error",53,0.4906,0.3393,4,1,97,"buffer"
"rawben_rel_max <    1 & total_deductions_by_hh_size >= 1330 & utilities <  703","1","national","xgboost","any_error",118,0.4407,0.3393,8,2,98,"buffer"
"rawben_rel_max >=   0.986 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 414.000 & utilities < 645.000","1","national","xgboost","other_error",528,0.3864,0.3385,19,1,99,"buffer"
"HH_size_n <=   2.5 & medical_deductions > 140.0 & total_deductions_by_hh_size > 367.0 & utilities <= 584.0","2-3","national","ranger","other_error",126,0.4365,0.3385,3,1,100,"buffer"
"shelter_expenses_by_hh_size > 317.000 & unc_rawben_rel_max >   0.501 & unc_rawben_rel_max <=   1.100 & utilities > 512.000","4+","state","ranger","any_error",39,0.5128,0.3368,39,22,101,"buffer"
"shelter_expenses_by_hh_size <= 446 & total_deductions_by_hh_size > 219","4+","state","ranger","any_error",51,0.4902,0.3363,51,2,102,"buffer"
"elderly_disabled_i >=   1.0 & months_since_cert_n >=   5.0 & unc_rawben_rel_max >=   1.6 & utilities < 552.0","1","national","xgboost","earned_overissuance",416,0.3894,0.3356,7,1,103,"buffer"
"elderly_disabled_i >   0.50 & expedited_i <=   0.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.67","1","national","ranger","unearned_overissuance",320,0.3969,0.3355,9,1,104,"buffer"
"HH_size_n >= 5.000 & rawben_rel_max >= 0.871 & rawben_rel_max < 0.882","4+","national","xgboost","any_error",91,0.4505,0.3354,3,2,105,"buffer"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 970.000 & total_deductions_by_hh_size >= 535.000 & utilities < 921.000","2-3","national","xgboost","any_error",196,0.4133,0.3349,8,1,106,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national","ranger","any_error",415,0.388,0.3341,9,1,107,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,9,1,108,"buffer"
"children_i <=   0.500 & medical_deductions > 144.000 & rawben_rel_max >   0.653","2-3","national","ranger","other_error",107,0.4393,0.3333,2,1,109,"buffer"
"percent_abawd <   0.5 & shelter_expenses_by_hh_size >= 756.0 & total_deductions_by_hh_size >= 649.0 & utilities <  27.0","1","national","xgboost","earned_overissuance",216,0.4074,0.3328,9,4,110,"buffer"
"months_since_cert_n >   4.5 & total_deductions_by_hh_size > 647.0 & utilities <=  32.5","1","national","ranger","any_error",208,0.4087,0.3327,4,1,111,"buffer"
"total_deductions_by_hh_size > 523.000 & unc_rawben_rel_max <=   0.996 & utilities <= 548.000","2-3","national","ranger","other_error",409,0.3863,0.3321,13,2,112,"buffer"
"elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 339.00 & unc_rawben_rel_max >=   1.46","1","national","xgboost","unearned_overissuance",59,0.4746,0.332,4,2,113,"buffer"
"elderly_disabled_i >=   1.000 & rawben_rel_max <   0.595 & shelter_expenses_by_hh_size >= 425.000 & utilities < 600.000","4+","national","xgboost","any_error",42,0.5,0.3311,2,1,114,"buffer"
"months_since_cert_n >=   4 & total_deductions_by_hh_size >= 417 & utilities >=  54 & utilities < 347","2-3","national","xgboost","earned_overissuance",87,0.4483,0.3309,2,1,115,"buffer"
"shelter_expenses_by_hh_size <= 1660.00 & total_deductions_by_hh_size > 1320.00 & unc_rawben_rel_max >    2.58","1","national","ranger","unearned_overissuance",113,0.4336,0.3307,1,1,116,"buffer"
"medical_deductions >=  130.000 & rawben_rel_max >=    0.868 & rawben_rel_max <    0.979 & shelter_expenses_by_hh_size < 1040.000","1","national","xgboost","other_error",153,0.4183,0.3299,5,2,117,"buffer"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.775 & total_deductions_by_hh_size > 128.000 & utilities <=  16.000","1","national","ranger","unearned_overissuance",502,0.3785,0.3297,11,1,118,"buffer"
"children_i <=   0.5 & count_divisible_by_100 >   0.5 & elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 842.0","2-3","national","ranger","unearned_overissuance",35,0.5143,0.3295,4,1,119,"buffer"
"months_since_cert_n >    4.50 & shelter_expenses_by_hh_size <= 1190.00 & unc_rawben_rel_max >    1.82 & utilities <=   78.00","1","national","ranger","earned_overissuance",103,0.4369,0.3292,2,2,120,"buffer"
"elderly_disabled_i <=   0.5 & months_since_cert_n >   3.5 & total_deductions_by_hh_size > 374.0","4+","national","ranger","other_error",103,0.4369,0.3292,4,2,121,"buffer"
"elderly_disabled_i >   0.50 & total_deductions_by_hh_size <= 829.00 & unc_rawben_rel_max >   1.75","1","national","ranger","unearned_overissuance",332,0.3886,0.3286,9,1,122,"buffer"
"months_since_cert_n >   4.50 & unc_rawben_rel_max >   1.81 & utilities <= 354.00","1","national","ranger","earned_overissuance",219,0.4018,0.328,10,5,123,"buffer"
"cat_elig >=   1.00 & medical_deductions >= 144.00 & rawben_rel_max >=   0.32 & utilities < 551.00","2-3","national","xgboost","other_error",154,0.4156,0.3276,3,2,124,"buffer"
"rawben_rel_max >=   0.313 & shelter_expenses_by_hh_size >= 425.000 & total_deductions_by_hh_size >= 244.000 & total_deductions_by_hh_size < 261.000","4+","national","xgboost","any_error",114,0.4298,0.3276,10,2,125,"buffer"
"HH_size_n >=   5 & shelter_expenses_by_hh_size >= 163 & shelter_expenses_by_hh_size < 310 & total_deductions_by_hh_size >= 200","4+","national","xgboost","any_error",262,0.3931,0.3258,10,4,126,"buffer"
"elderly_disabled_i <   1 & HH_size_n >=   5 & total_deductions_by_hh_size >= 319","4+","national","xgboost","other_error",91,0.4396,0.3253,5,1,127,"buffer"
"months_since_cert_n >  10.5 & total_deductions_by_hh_size > 424.0 & utilities <=  29.5","1","national","ranger","any_error",205,0.4,0.324,6,1,128,"buffer"
"cat_elig > 1.500 & percent_abawd <= 0.167 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.997","2-3","national","ranger","any_error",58,0.4655,0.3227,2,1,129,"buffer"
"elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 732.00 & unc_rawben_rel_max >=   1.52 & utilities < 545.00","1","national","xgboost","unearned_overissuance",355,0.3803,0.3226,11,2,130,"buffer"
"HH_size_n <   6.000 & rawben_rel_max >=   0.854 & rawben_rel_max <   0.938 & shelter_expenses_by_hh_size >= 488.000","4+","national","xgboost","earned_overissuance",48,0.4792,0.3223,3,2,131,"buffer"
"percent_abawd <   0.0769 & rawben_rel_max <   0.9140 & shelter_expenses_by_hh_size < 476.0000 & total_deductions_by_hh_size >= 305.0000","4+","national","xgboost","any_error",307,0.3844,0.3223,9,2,132,"buffer"
"medical_deductions >= 183.000 & rawben_rel_max >=   0.868 & rawben_rel_max <   0.990","1","national","xgboost","any_error",154,0.4091,0.3215,5,1,133,"buffer"
"married >   0.500 & rawben_rel_max >   0.457 & total_deductions_by_hh_size > 219.000","4+","state","ranger","any_error",31,0.5161,0.3211,31,2,134,"buffer"
"HH_size_n >=   8.00 & shelter_expenses_by_hh_size < 106.00 & total_deductions_by_hh_size >=  44.50 & unc_rawben_rel_max <   0.78","4+","national","xgboost","any_error",66,0.4545,0.3209,1,1,135,"buffer"
"children_i <=   0.500 & months_since_cert_n <=  22.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 940.000","2-3","national","ranger","other_error",233,0.3906,0.3195,9,2,136,"buffer"
"elderly_disabled_i >   0.5 & rawben_rel_max >   0.9 & shelter_expenses_by_hh_size <= 554.0 & total_deductions_by_hh_size > 465.0","2-3","national","ranger","underissuance",56,0.4643,0.3194,6,1,137,"buffer"
