"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >=   0.987 & rawben_rel_max <   0.991 & total_deductions_by_hh_size >=   2.800 & utilities < 574.000","1","national","xgboost","any_error",432,0.412,0.3584,59.67,15,2,69,"buffer"
"HH_size_n >=   2.500 & rawben_rel_max <   0.719 & total_deductions_by_hh_size >= 234.000 & unc_rawben_rel_max <   1.230","2-3","state","xgboost","any_error",46,0.5217,0.3574,73.76,46,2,70,"buffer"
"children_i >  0.500 & elderly_disabled_i >  0.500 & unc_rawben_rel_max > -0.447","1","national","ranger","any_error",37,0.5405,0.3573,105.03,2,2,71,"buffer"
"HH_size_n >=   4.5 & shelter_expenses_by_hh_size < 274.0 & total_deductions_by_hh_size >= 219.0","4+","national","xgboost","any_error",123,0.4553,0.3549,91.93,6,4,72,"buffer"
"cat_elig >   1.500 & HH_size_n >   2.500 & shelter_expenses_by_hh_size > 280.000 & unc_rawben_rel_max >   0.496","2-3","state","ranger","any_error",35,0.5429,0.3548,102.4,35,3,73,"buffer"
"count_divisible_by_100 <=   2.50 & months_since_cert_n >  13.50 & percent_abawd <=   0.75 & total_deductions_by_hh_size > 230.00","2-3","state","ranger","any_error",35,0.5429,0.3548,109.77,35,1,74,"buffer"
"medical_deductions > 216.000 & rawben_rel_max >   0.315 & rawben_rel_max <=   0.997 & utilities <= 414.000","1","national","ranger","any_error",143,0.4476,0.3545,66.15,2,1,75,"buffer"
"medical_deductions >=   3.500 & medical_deductions <   7.500 & rawben_rel_max <   0.712 & shelter_expenses_by_hh_size >= 678.000","1","national","xgboost","any_error",58,0.5,0.354,35.05,1,1,76,"buffer"
"months_since_cert_n >=   6.50 & total_deductions_by_hh_size >= 418.00 & unc_rawben_rel_max >=   1.64 & utilities < 416.00","1","national","xgboost","any_error",320,0.4156,0.3535,79.38,45,6,77,"buffer"
"married >   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 208.000","2-3","state","ranger","any_error",63,0.4921,0.3521,95.51,63,1,78,"buffer"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 684.00 & unc_rawben_rel_max >=   1.53 & utilities < 454.00","1","national","xgboost","any_error",259,0.4208,0.3518,77.03,21,9,79,"buffer"
"cat_elig >   1.500 & elderly_disabled_i <=   0.500 & rawben_rel_max >   0.443 & shelter_expenses_by_hh_size > 297.000","2-3","state","ranger","any_error",56,0.5,0.3516,101.32,56,2,80,"buffer"
"homeless <=   0.5 & married >   0.5 & total_deductions_by_hh_size > 257.0 & unc_rawben_rel_max <=   1.1","2-3","state","ranger","any_error",56,0.5,0.3516,94.43,56,5,81,"buffer"
"cat_elig <   1.50 & months_since_cert_n >=  18.50 & shelter_expenses_by_hh_size < 670.00 & unc_rawben_rel_max >=   1.52","1","national","xgboost","any_error",61,0.4918,0.3498,86.56,4,1,82,"buffer"
"rawben_rel_max <   0.995 & total_deductions_by_hh_size >= 640.000 & utilities < 282.000","1","national","xgboost","any_error",374,0.4064,0.3491,68.9,14,4,83,"buffer"
"elderly_disabled_i >   0.5 & homeless >   0.5 & shelter_expenses_by_hh_size > 620.0 & utilities <= 428.0","1","national","ranger","any_error",47,0.5106,0.3489,75.87,3,3,84,"buffer"
"count_divisible_by_100 <=   0.5 & married >   0.5 & total_deductions_by_hh_size > 239.0 & utilities >  23.0","2-3","state","ranger","any_error",59,0.4915,0.3473,92.34,59,4,85,"buffer"
"HH_size_n >   2.5 & total_deductions_by_hh_size > 220.0 & utilities > 402.0","2-3","state","ranger","any_error",38,0.5263,0.3467,97.18,38,1,86,"buffer"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national","ranger","any_error",450,0.3978,0.3456,62.67,12,1,87,"buffer"
