"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"HH_size_n > 4.500 & rawben_rel_max <= 0.604 & unc_rawben_rel_max > 0.379 & unc_rawben_rel_max <= 0.523","4+","state","ranger","any_error",34,0.5294,0.3404,74.65,34,3,69,"buffer"
"HH_size_n >=   4.5 & married <   0.5 & shelter_expenses_by_hh_size >= 193.0 & shelter_expenses_by_hh_size < 311.0","4+","state","xgboost","any_error",34,0.5294,0.3404,85.85,34,9,70,"buffer"
"months_since_cert_n >=   5.500 & rawben_rel_max <   0.971 & total_deductions_by_hh_size >= 218.000 & utilities < 474.000","4+","national","xgboost","any_error",246,0.4106,0.3403,98.54,19,10,71,"buffer"
"HH_size_n >= 4.500 & months_since_cert_n >= 1.500 & rawben_rel_max < 0.655","4+","state","xgboost","any_error",70,0.4714,0.3398,91.13,70,4,72,"buffer"
"medical_deductions >= 122.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.382","1","national","xgboost","any_error",85,0.4588,0.3394,36.74,2,1,73,"buffer"
"months_since_cert_n >=  15.500 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 344.000 & utilities < 360.000","1","national","xgboost","any_error",149,0.4295,0.3393,76.04,5,1,74,"buffer"
"HH_size_n >   4.500 & percent_abawd <=   0.100 & rawben_rel_max <=   0.523 & shelter_expenses_by_hh_size > 160.000","4+","state","ranger","any_error",53,0.4906,0.3393,69.11,53,4,75,"buffer"
"months_since_cert_n >=   6.500 & rawben_rel_max >=   0.996 & unc_rawben_rel_max >=   1.630 & utilities < 411.000","1","national","xgboost","any_error",341,0.3988,0.3392,75.58,14,1,76,"buffer"
"expedited_i <=   0.500 & rawben_rel_max >   0.127 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 624.000","2-3","national","ranger","any_error",333,0.3994,0.3391,69.82,4,1,77,"buffer"
"HH_size_n <=   2.500 & medical_deductions > 128.000 & total_deductions_by_hh_size > 489.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",168,0.4226,0.3377,61.97,2,1,78,"buffer"
"shelter_expenses_by_hh_size >= 481 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 260","4+","national","xgboost","any_error",91,0.4505,0.3354,114.93,1,1,79,"buffer"
"HH_size_n >= 4.500 & rawben_rel_max >= 0.875 & rawben_rel_max < 0.881","4+","national","xgboost","any_error",61,0.4754,0.3349,77.23,2,2,80,"buffer"
"medical_deductions >= 196.000 & rawben_rel_max >=   0.684 & rawben_rel_max <   0.961 & shelter_expenses_by_hh_size < 738.000","1","national","xgboost","any_error",82,0.4512,0.3304,77.44,1,1,81,"buffer"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 182.000 & utilities <= 278.000","4+","national","ranger","any_error",82,0.4512,0.3304,85.67,3,1,82,"buffer"
"elderly_disabled_i <   0.5 & shelter_expenses_by_hh_size < 454.0 & total_deductions_by_hh_size >= 312.0","4+","national","xgboost","any_error",264,0.3939,0.3268,83.98,14,3,83,"buffer"
"elderly_disabled_i >=   0.500 & rawben_rel_max <   0.996 & total_deductions_by_hh_size >= 444.000 & utilities < 436.000","2-3","national","xgboost","any_error",109,0.4312,0.3267,77.86,8,3,84,"buffer"
"total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",306,0.3889,0.3265,82.6,6,1,85,"buffer"
"HH_size_n >   5.500 & unc_rawben_rel_max <=   0.759 & utilities > 184.000","4+","state","ranger","any_error",45,0.4889,0.3263,88.24,45,2,86,"buffer"
"HH_size_n > 5.50 & rawben_rel_max <= 0.73","4+","state","ranger","any_error",45,0.4889,0.3263,88.24,45,1,87,"buffer"
"shelter_expenses_by_hh_size > 207 & total_deductions_by_hh_size > 120 & total_deductions_by_hh_size <= 169","4+","state","ranger","any_error",60,0.4667,0.3259,72.75,60,33,88,"buffer"
"HH_size_n >=   4.500 & rawben_rel_max >=   0.312 & rawben_rel_max <   0.639 & shelter_expenses_by_hh_size >= 168.000","4+","state","xgboost","any_error",50,0.48,0.3258,85.94,50,4,89,"buffer"
"HH_size_n > 4.500 & married <= 0.500 & months_since_cert_n <= 6.500 & rawben_rel_max <= 0.582","4+","state","ranger","any_error",33,0.5152,0.3254,106.3,33,1,90,"buffer"
"months_since_cert_n >=   1.5 & months_since_cert_n <   4.5 & shelter_expenses_by_hh_size < 308.0 & total_deductions_by_hh_size >= 159.0","4+","state","xgboost","any_error",33,0.5152,0.3254,96.73,33,9,91,"buffer"
"months_since_cert_n >  10.5 & total_deductions_by_hh_size > 424.0 & utilities <=  29.5","1","national","ranger","any_error",205,0.4,0.324,67.07,10,3,92,"buffer"
"HH_size_n >=   4.500 & married <   0.500 & rawben_rel_max <   0.793 & shelter_expenses_by_hh_size >= 173.000","4+","state","xgboost","any_error",38,0.5,0.3235,85.32,38,2,93,"buffer"
"count_divisible_by_100 <=   1.5 & elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 392.0 & utilities <= 428.0","4+","national","ranger","any_error",63,0.4603,0.3233,96.02,2,1,94,"buffer"
"cat_elig > 1.500 & percent_abawd <= 0.167 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.997","2-3","national","ranger","any_error",58,0.4655,0.3227,82.02,1,1,95,"buffer"
"cat_elig <=   1.5 & months_since_cert_n >   0.5 & shelter_expenses_by_hh_size > 234.0 & utilities > 370.0","4+","state","ranger","any_error",43,0.4884,0.3226,79.86,43,11,96,"buffer"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 843.000 & unc_rawben_rel_max <   1.680 & utilities < 552.000","2-3","national","xgboost","any_error",288,0.3854,0.3214,89.09,12,8,97,"buffer"
"months_since_cert_n >=   2.500 & rawben_rel_max >=   0.237 & shelter_expenses_by_hh_size >= 254.000 & total_deductions_by_hh_size < 189.000","4+","state","xgboost","any_error",31,0.5161,0.3211,87.65,31,6,98,"buffer"
"cat_elig >=   1.5 & months_since_cert_n >=   2.5 & total_deductions_by_hh_size >= 302.0 & utilities < 884.0","4+","national","xgboost","any_error",160,0.4062,0.3204,108.76,4,1,99,"buffer"
"shelter_expenses_by_hh_size < 374 & total_deductions_by_hh_size >= 283 & utilities >= 373","4+","national","xgboost","any_error",210,0.3952,0.3203,89.06,10,1,100,"buffer"
"shelter_expenses_by_hh_size > 218 & utilities > 370 & utilities <= 416","4+","state","ranger","any_error",56,0.4643,0.3194,73.66,56,3,101,"buffer"
"months_since_cert_n <=    5.500 & total_deductions_by_hh_size > 1330.000 & unc_rawben_rel_max <=    0.991 & utilities >   30.500","1","national","ranger","any_error",90,0.4333,0.3191,66.54,1,1,102,"buffer"
"months_since_cert_n >  5.50 & unc_rawben_rel_max <=  1.04 & utilities > 30.50 & utilities <= 44.50","4+","national","ranger","any_error",41,0.4878,0.3186,72.32,6,3,103,"buffer"
"medical_deductions >= 4.500 & medical_deductions < 9.500 & rawben_rel_max < 0.578","1","national","xgboost","any_error",88,0.4318,0.3165,30.7,3,3,104,"buffer"
"HH_size_n > 4.500 & rawben_rel_max <= 0.581 & unc_rawben_rel_max > 0.154","4+","state","ranger","any_error",83,0.4337,0.3151,75.18,83,3,105,"buffer"
"expedited_i > 0.500 & HH_size_n <= 4.500 & months_since_cert_n > 9.500 & rawben_rel_max <= 0.998","4+","national","ranger","any_error",34,0.5,0.3147,118.21,1,1,106,"buffer"
