"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
198,"buffer","rawben_rel_max <= 0.924 & total_deductions_by_hh_size > 173 & total_deductions_by_hh_size <= 182 & unearned_by_hh_size > 20.4","4+","national","ranger","any_error",100,0.35,0.2494,56.11,0,0,0,1,1,35,"unearned income 0.33; earned income 0.31; shelter deduction 0.17","wrong amount, known item 0.56; wrong include/exclude decision 0.15; household composition 0.09",0.333333333333333,0.714285714285714,0.592592592592593,0.611111111111111
199,"buffer","earned_by_hh_size < 1290 & months_since_cert_n < 1 & shelter_expenses_by_hh_size >= 863 & utilities < 517","2-3","national","xgboost","any_error",39,0.4103,0.2492,85,0.0513,0.125,0.0513,2,2,16,"earned income 0.36; shelter deduction 0.27; unearned income 0.23","wrong include/exclude decision 0.32; wrong amount, known item 0.32; unreported source of income 0.18",0.409090909090909,0.75,0.772727272727273,0.409090909090909
200,"buffer","rawben_rel_max >= 0.897 & rawben_rel_max < 1 & shelter_expenses_by_hh_size >= 517 & utilities < 341","1","national","xgboost","any_error",221,0.3167,0.2491,41.84,0.0362,0.0286,0.009,4,3,70,"shelter deduction 0.37; utility allowance 0.25; unearned income 0.17","wrong include/exclude decision 0.61; wrong amount, known item 0.16",0.262135922330097,0.957142857142857,0.621359223300971,0.475728155339806
201,"buffer","rawben_rel_max < 0.608 & shelter_expenses_by_hh_size >= 864 & total_deductions_by_hh_size >= 1260","1","national","xgboost","any_error",104,0.3462,0.2477,43.56,0.0385,0.1111,0.0385,1,1,36,"unearned income 0.24; earned income 0.22; medical deduction 0.20; shelter deduction 0.18","wrong include/exclude decision 0.33; wrong amount, known item 0.31; unreported source of income 0.16",0.470588235294118,0.777777777777778,0.549019607843137,0.509803921568627
202,"buffer","shelter_expenses_by_hh_size > 161 & unc_rawben_rel_max <= 1.12 & unearned_by_hh_size > 488 & utilities <= 390","4+","national","ranger","any_error",84,0.3571,0.2476,72.88,0,0,0,2,1,30,"unearned income 0.28; shelter deduction 0.27; other element 0.23","wrong include/exclude decision 0.37; wrong amount, known item 0.20; household composition 0.18",0.45,0.666666666666667,0.816666666666667,0.533333333333333
203,"buffer","earned_by_hh_size >= 592 & gross_by_hh_size < 1280 & rawben_rel_max >= 0.76 & rawben_rel_max < 0.822","1","national","xgboost","any_error",121,0.3388,0.2476,42.85,0.0579,0.1707,0.0579,3,2,41,"earned income 0.65; unearned income 0.10; shelter deduction 0.10","wrong amount, known item 0.41; wrong include/exclude decision 0.18; unreported source of income 0.14; method or computation 0.14",0.411764705882353,0.707317073170732,0.509803921568627,0.568627450980392
204,"buffer","months_since_cert_n >= 4 & percent_abawd < 0.25 & shelter_expenses_by_hh_size >= 1130 & utilities < 735","2-3","national","xgboost","any_error",71,0.3662,0.2471,97.62,0.0423,0.1154,0.0423,4,2,26,"shelter deduction 0.34; earned income 0.24; unearned income 0.18","wrong include/exclude decision 0.34; wrong amount, known item 0.26; unreported source of income 0.18",0.315789473684211,0.884615384615385,0.421052631578947,0.5
205,"buffer","rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1","national","xgboost","any_error",475,0.2926,0.2466,52.47,0.0063,0,0,21,11,139,"shelter deduction 0.39; utility allowance 0.29; earned income 0.13","wrong include/exclude decision 0.57; wrong amount, known item 0.16; change in circumstances 0.12",0.310924369747899,0.971223021582734,0.600840336134454,0.466386554621849
206,"buffer","gross_by_hh_size < 1730 & medical_deductions < 156 & shelter_expenses_by_hh_size >= 1510 & unearned_by_hh_size >= 1600","1","national","xgboost","any_error",139,0.3309,0.246,46.36,0.0072,0.0217,0.0072,4,2,46,"shelter deduction 0.37; unearned income 0.28; medical deduction 0.17","wrong include/exclude decision 0.43; wrong amount, known item 0.26; unreported source of income 0.15",0.314814814814815,0.804347826086957,0.703703703703704,0.555555555555556
207,"buffer","total_deductions_by_hh_size >= 407 & total_deductions_by_hh_size < 502 & unc_rawben_rel_max >= 1.16","2-3","national","xgboost","any_error",171,0.3216,0.2451,100.7,0,0,0,3,2,55,"earned income 0.53; unearned income 0.29","wrong include/exclude decision 0.27; unreported source of income 0.24; wrong amount, known item 0.24; change in circumstances 0.12",0.253333333333333,0.981818181818182,0.56,0.506666666666667
