"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"medical_deductions >= 201.00 & months_since_cert_n <  18.00 & rawben_rel_max >=   0.32 & utilities < 462.00","2-3","national",57,0.5439,0.3934,18,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national",34,0.5882,0.3934,19,"core"
"elderly_disabled_i >  0.50 & unc_rawben_rel_max >  1.43 & utilities <= 30.50","1","national",143,0.4825,0.3877,20,"core"
"cat_elig >   0.500 & rawben_rel_max >   0.997 & unc_rawben_rel_max >   1.620 & utilities <= 856.000","2-3","national",147,0.4762,0.3829,21,"core"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.87 & utilities < 369.00","1","national",143,0.4755,0.3811,22,"core"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national",106,0.4906,0.3809,23,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national",35,0.5714,0.3805,24,"core"
"medical_deductions > 114.000 & rawben_rel_max >   0.204 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 853.000","2-3","national",95,0.4947,0.379,25,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size <= 167.000","4+","national",31,0.5806,0.3781,26,"core"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 622.000 & unc_rawben_rel_max >   0.776 & utilities <=  32.500","1","national",175,0.4629,0.3776,27,"core"
"children_i <   1 & total_deductions_by_hh_size >= 653 & unc_rawben_rel_max <   1","2-3","national",128,0.4766,0.3769,28,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national",42,0.5476,0.374,29,"core"
"elderly_disabled_i >   0.500 & medical_deductions > 369.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max <=   0.991","1","national",71,0.507,0.3735,30,"core"
"rawben_rel_max <   0.777 & total_deductions_by_hh_size >= 606.000 & utilities < 551.000","2-3","national",125,0.472,0.3715,31,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national",364,0.4286,0.3697,32,"core"
"elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.490","2-3","national",95,0.4842,0.3691,33,"core"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 646.000 & utilities < 277.000","1","national",345,0.429,0.3686,34,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size <= 167.000 & unc_rawben_rel_max >   0.363","4+","national",34,0.5588,0.3666,35,"core"
"elderly_disabled_i >   0.50 & medical_deductions <= 282.00 & unc_rawben_rel_max >   1.26 & utilities <=  29.50","1","national",182,0.4451,0.3622,36,"core"
"months_since_cert_n >=   4 & shelter_expenses_by_hh_size < 677 & total_deductions_by_hh_size >= 627","2-3","national",88,0.4773,0.3584,37,"core"
"elderly_disabled_i >   0.5 & expedited_i <=   0.5 & total_deductions_by_hh_size > 539.0 & utilities <= 490.0","2-3","national",148,0.4459,0.3545,38,"core"
"elderly_disabled_i >   0.5 & percent_abawd <=   0.5 & shelter_expenses_by_hh_size <= 842.0 & unc_rawben_rel_max >   1.8","1","national",290,0.4172,0.352,39,"core"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.88 & utilities < 469.00","1","national",254,0.4213,0.3516,40,"core"
"homeless >=   1 & medical_deductions < 110 & shelter_expenses_by_hh_size >= 852 & utilities < 800","1","national",80,0.475,0.3509,41,"core"
"shelter_expenses_by_hh_size >= 970.000 & unc_rawben_rel_max <   0.998 & utilities < 505.000","2-3","national",85,0.4706,0.3502,42,"core"
"children_i <   1.000 & rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 851.000 & utilities < 471.000","2-3","national",78,0.4744,0.3488,43,"core"
"rawben_rel_max <   0.949 & shelter_expenses_by_hh_size < 370.000 & total_deductions_by_hh_size >= 305.000 & utilities >= 410.000","4+","national",110,0.4545,0.3488,44,"core"
"months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size < 954.00 & unc_rawben_rel_max >=   1.48 & utilities <  74.00","1","national",152,0.4342,0.3446,45,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.993 & total_deductions_by_hh_size >= 126.000 & unc_rawben_rel_max <   1.010","4+","national",43,0.5116,0.3432,46,"core"
