"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"cat_elig <=   1.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 502.0 & utilities <= 696.0","2-3","national",95,0.5053,0.3889,36,"buffer"
"HH_size_n <= 4.500 & rawben_rel_max > 0.555 & rawben_rel_max <= 0.998","4+","state",45,0.5556,0.3867,37,"buffer"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national",209,0.4641,0.3858,38,"buffer"
"months_since_cert_n <   5 & shelter_expenses_by_hh_size < 429 & total_deductions_by_hh_size >= 138","4+","state",41,0.561,0.3843,39,"buffer"
"shelter_expenses_by_hh_size >  74.700 & total_deductions_by_hh_size <= 202.000 & unc_rawben_rel_max >   0.304 & utilities <= 468.000","4+","state",41,0.561,0.3843,40,"buffer"
"rawben_rel_max <   0.934 & total_deductions_by_hh_size >=  66.200 & total_deductions_by_hh_size < 224.000","4+","state",76,0.5132,0.3834,41,"buffer"
"months_since_cert_n <=   5.5 & shelter_expenses_by_hh_size <= 248.0 & total_deductions_by_hh_size >  53.2 & utilities <= 528.0","4+","state",39,0.5641,0.383,42,"buffer"
"medical_deductions >= 201.00 & rawben_rel_max >=   0.32 & utilities < 462.00","2-3","national",65,0.5231,0.3828,43,"buffer"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.87 & utilities < 369.00","1","national",143,0.4755,0.3811,44,"buffer"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national",106,0.4906,0.3809,45,"buffer"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national",72,0.5139,0.3808,46,"buffer"
"elderly_disabled_i <=   0.500 & months_since_cert_n >   3.500 & shelter_expenses_by_hh_size > 453.000 & unc_rawben_rel_max <=   0.964","2-3","state",35,0.5714,0.3805,47,"buffer"
"HH_size_n >=   5 & shelter_expenses_by_hh_size < 342 & total_deductions_by_hh_size >= 320","4+","national",50,0.54,0.3803,48,"buffer"
"HH_size_n <   5 & months_since_cert_n <   4 & shelter_expenses_by_hh_size < 372","4+","state",33,0.5758,0.3793,49,"buffer"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 630.000 & utilities < 800.000","1","national",464,0.4267,0.3745,50,"buffer"
"HH_size_n <  5.000 & months_since_cert_n < 11.000 & rawben_rel_max >=  0.544 & rawben_rel_max <  0.997","4+","state",42,0.5476,0.374,51,"buffer"
"months_since_cert_n <   6.000 & rawben_rel_max <   0.799 & total_deductions_by_hh_size < 252.000","4+","state",53,0.5283,0.3737,52,"buffer"
"children_i <= 0.500 & rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.997","2-3","national",62,0.5161,0.3733,53,"buffer"
"children_i >=   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 484.00 & unc_rawben_rel_max >=   1.39","2-3","national",40,0.55,0.3722,54,"buffer"
"months_since_cert_n >   3.500 & rawben_rel_max <=   0.961 & shelter_expenses_by_hh_size > 247.000 & unc_rawben_rel_max >   0.591","2-3","state",40,0.55,0.3722,55,"buffer"
"rawben_rel_max <   0.777 & total_deductions_by_hh_size >= 606.000 & utilities < 551.000","2-3","national",125,0.472,0.3715,56,"buffer"
"elderly_disabled_i <=   0.500 & rawben_rel_max >   0.329 & total_deductions_by_hh_size > 319.000 & unc_rawben_rel_max <=   0.964","2-3","state",38,0.5526,0.3704,57,"buffer"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national",364,0.4286,0.3697,58,"buffer"
"elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.490","2-3","national",95,0.4842,0.3691,59,"buffer"
"months_since_cert_n >   3.50 & months_since_cert_n <=  10.50 & rawben_rel_max <=   0.96 & total_deductions_by_hh_size > 299.00","2-3","state",36,0.5556,0.3685,60,"buffer"
"months_since_cert_n >   3.5 & months_since_cert_n <=   6.5 & shelter_expenses_by_hh_size > 444.0","2-3","state",36,0.5556,0.3685,61,"buffer"
"months_since_cert_n <  5.000 & rawben_rel_max <  0.963 & total_deductions_by_hh_size >= 48.500","4+","state",65,0.5077,0.3685,62,"buffer"
"elderly_disabled_i <   1.000 & rawben_rel_max <   0.796 & total_deductions_by_hh_size >= 299.000 & total_deductions_by_hh_size < 491.000","2-3","state",34,0.5588,0.3666,63,"buffer"
"shelter_expenses_by_hh_size < 295.0 & total_deductions_by_hh_size >=  65.5 & total_deductions_by_hh_size < 109.0","4+","state",34,0.5588,0.3666,64,"buffer"
"months_since_cert_n <   6.00 & rawben_rel_max <   0.82 & shelter_expenses_by_hh_size < 220.00","4+","state",45,0.5333,0.3663,65,"buffer"
"HH_size_n <= 4.50 & married <= 0.50 & months_since_cert_n <= 6.50 & unc_rawben_rel_max <= 1.07","4+","state",45,0.5333,0.3663,66,"buffer"
"percent_abawd <=    3.000 & rawben_rel_max <=    0.993 & shelter_expenses_by_hh_size > 2630.000","1","national",32,0.5625,0.3646,67,"buffer"
"elderly_disabled_i <=   0.500 & months_since_cert_n <=   9.500 & shelter_expenses_by_hh_size > 709.000 & unc_rawben_rel_max >   0.194","2-3","state",32,0.5625,0.3646,68,"buffer"
"rawben_rel_max >   0.0843 & shelter_expenses_by_hh_size > 453.0000 & utilities >  20.0000 & utilities <= 468.0000","2-3","state",32,0.5625,0.3646,69,"buffer"
"months_since_cert_n >=   4 & months_since_cert_n <   9 & total_deductions_by_hh_size >= 299","2-3","state",43,0.5349,0.3642,70,"buffer"
"months_since_cert_n >=   4 & total_deductions_by_hh_size >= 306 & utilities < 551","2-3","state",43,0.5349,0.3642,71,"buffer"
