"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"expedited_i >   0.500 & rawben_rel_max <=   0.778 & total_deductions_by_hh_size > 988.000","1","national","ranger","any_error",50,0.54,0.3803,95.24,2,1,24,"core"
"medical_deductions > 128.000 & total_deductions_by_hh_size > 627.000 & unc_rawben_rel_max >   0.158","2-3","national","ranger","any_error",120,0.4833,0.3803,99.19,9,1,25,"core"
"medical_deductions > 114.000 & rawben_rel_max >   0.204 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 853.000","2-3","national","ranger","any_error",95,0.4947,0.379,83.32,6,3,26,"core"
"medical_deductions >=   0.50 & medical_deductions <   8.50 & rawben_rel_max <   0.79 & total_deductions_by_hh_size >= 409.00","1","national","xgboost","any_error",55,0.5273,0.3754,36.04,1,1,27,"core"
"HH_size_n >=   4.5 & shelter_expenses_by_hh_size >= 229.0 & shelter_expenses_by_hh_size < 274.0 & total_deductions_by_hh_size >= 219.0","4+","national","xgboost","any_error",55,0.5273,0.3754,105.62,1,1,28,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size > 382.00 & unc_rawben_rel_max >   1.61","2-3","national","ranger","any_error",176,0.4602,0.3753,140.98,3,1,29,"core"
"rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 900.000 & total_deductions_by_hh_size >= 693.000","2-3","national","xgboost","any_error",117,0.4786,0.3746,105.21,5,1,30,"core"
"expedited_i <=    0.500 & rawben_rel_max <=    0.996 & shelter_expenses_by_hh_size > 1330.000","2-3","national","ranger","any_error",42,0.5476,0.374,155.1,1,1,31,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national","ranger","any_error",42,0.5476,0.374,173.1,4,3,32,"core"
"elderly_disabled_i >   0.500 & medical_deductions > 369.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max <=   0.991","1","national","ranger","any_error",71,0.507,0.3735,102.38,4,2,33,"core"
"rawben_rel_max >=   0.986 & rawben_rel_max <   0.993 & total_deductions_by_hh_size >= 906.000","1","national","xgboost","any_error",146,0.4658,0.3727,82.38,9,2,34,"core"
"cat_elig >=   1.500 & rawben_rel_max <   0.778 & total_deductions_by_hh_size >= 679.000","2-3","national","xgboost","any_error",69,0.5072,0.3719,90.93,1,1,35,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 578.000","2-3","national","ranger","any_error",229,0.4454,0.3712,83.45,13,2,36,"core"
"children_i <=   0.50 & count_divisible_by_100 <=   0.50 & total_deductions_by_hh_size <= 820.00 & unc_rawben_rel_max >   1.96","1","national","ranger","any_error",130,0.4692,0.3707,66.6,1,1,37,"core"
"medical_deductions >= 567.000 & rawben_rel_max >=   0.688 & rawben_rel_max <   0.989","1","national","xgboost","any_error",49,0.5306,0.3702,111.61,7,2,38,"core"
"rawben_rel_max <   0.556 & shelter_expenses_by_hh_size >= 424.000 & shelter_expenses_by_hh_size < 491.000 & total_deductions_by_hh_size >= 329.000","4+","national","xgboost","any_error",36,0.5556,0.3685,121.14,1,1,39,"core"
"total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",278,0.4353,0.368,88.35,12,2,40,"core"
"HH_size_n >=   4.500 & rawben_rel_max >=   0.871 & rawben_rel_max <   0.883 & utilities >= 369.000","4+","national","xgboost","any_error",56,0.5179,0.368,96.54,2,2,41,"core"
"rawben_rel_max >   0.997 & shelter_expenses_by_hh_size <= 679.000 & total_deductions_by_hh_size > 638.000 & unc_rawben_rel_max >   1.100","2-3","national","ranger","any_error",54,0.5185,0.366,140.76,2,1,42,"core"
"children_i <   0.500 & rawben_rel_max <   0.997 & total_deductions_by_hh_size >= 571.000","2-3","national","xgboost","any_error",243,0.4362,0.3644,80.61,14,1,43,"core"
"rawben_rel_max >=    0.98700 & rawben_rel_max <    0.99200 & shelter_expenses_by_hh_size >= 1230.00000 & unc_rawben_rel_max >=   -0.00915","1","national","xgboost","any_error",184,0.4457,0.3632,76.58,9,3,44,"core"
"expedited_i <=   0.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 968.000 & total_deductions_by_hh_size > 614.000","2-3","national","ranger","any_error",167,0.4491,0.3626,88.51,8,1,45,"core"
"HH_size_n >=   4.5 & months_since_cert_n >=  10.5 & shelter_expenses_by_hh_size >= 341.0 & total_deductions_by_hh_size >= 151.0","4+","national","xgboost","any_error",41,0.5366,0.362,163.44,2,1,46,"core"
"months_since_cert_n >   5.500 & rawben_rel_max >   0.315 & total_deductions_by_hh_size <= 902.000 & unc_rawben_rel_max >   1.960","1","national","ranger","any_error",138,0.4565,0.3614,72.76,1,1,47,"core"
"married >=   0.500 & rawben_rel_max <   0.482 & shelter_expenses_by_hh_size >= 847.000 & utilities < 856.000","2-3","national","xgboost","any_error",105,0.4667,0.3579,96.67,1,1,48,"core"
"HH_size_n >=   4.5 & shelter_expenses_by_hh_size < 274.0 & total_deductions_by_hh_size >= 219.0","4+","national","xgboost","any_error",123,0.4553,0.3549,91.93,3,2,49,"core"
"rawben_rel_max >=    0.806 & rawben_rel_max <    0.997 & shelter_expenses_by_hh_size >= 1160.000","2-3","national","xgboost","any_error",33,0.5455,0.3521,173.24,3,1,50,"core"
"expedited_i <=   0.50 & shelter_expenses_by_hh_size > 342.00 & total_deductions_by_hh_size <= 942.00 & unc_rawben_rel_max >   1.93","1","national","ranger","any_error",228,0.4254,0.3519,63.3,2,1,51,"core"
"elderly_disabled_i >   0.50 & medical_deductions <=   4.50 & total_deductions_by_hh_size <= 850.00 & unc_rawben_rel_max >   1.79","1","national","ranger","any_error",304,0.4145,0.3508,65.48,1,1,52,"core"
"HH_size_n >=   4.5 & total_deductions_by_hh_size >= 364.0","4+","national","xgboost","any_error",61,0.4918,0.3498,97.74,2,1,53,"core"
"rawben_rel_max >=   0.395 & total_deductions_by_hh_size >= 439.000 & utilities >= 442.000","4+","national","xgboost","any_error",73,0.4795,0.3496,141.75,3,1,54,"core"
"shelter_expenses_by_hh_size >= 425 & shelter_expenses_by_hh_size < 465 & total_deductions_by_hh_size >= 316","4+","national","xgboost","any_error",54,0.5,0.3491,98.65,2,2,55,"core"
"rawben_rel_max >=   0.600 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 976.000 & total_deductions_by_hh_size >= 438.000","2-3","national","xgboost","any_error",133,0.4436,0.3476,107.05,10,4,56,"core"
