"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions >= 80.50 & unc_rawben_rel_max >=  2.49","1","national","xgboost","any_error",44,0.5,0.3345,103.3,1,1,46,"core"
"medical_deductions >= 196.000 & rawben_rel_max >=   0.684 & rawben_rel_max <   0.961 & shelter_expenses_by_hh_size < 738.000","1","national","xgboost","any_error",82,0.4512,0.3304,77.44,2,2,47,"core"
"shelter_expenses_by_hh_size >=  800.00 & shelter_expenses_by_hh_size < 1990.00 & unc_rawben_rel_max >=    2.41 & utilities <  820.00","1","national","xgboost","any_error",215,0.4047,0.3301,78.93,2,1,48,"core"
"medical_deductions > 227.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.823 & unc_rawben_rel_max <=   0.991","1","national","ranger","any_error",137,0.4234,0.3299,75.61,9,5,49,"core"
"medical_deductions >= 178.000 & rawben_rel_max >=   0.151 & total_deductions_by_hh_size >=  39.700 & utilities < 451.000","2-3","national","xgboost","any_error",114,0.4298,0.3276,55.36,12,6,50,"core"
"elderly_disabled_i <   0.5 & shelter_expenses_by_hh_size < 454.0 & total_deductions_by_hh_size >= 312.0","4+","national","xgboost","any_error",264,0.3939,0.3268,83.98,17,9,51,"core"
"total_deductions_by_hh_size >= 670 & utilities >= 451 & utilities < 578","2-3","national","xgboost","any_error",102,0.4314,0.3236,106.44,4,2,52,"core"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 843.000 & unc_rawben_rel_max <   1.680 & utilities < 552.000","2-3","national","xgboost","any_error",288,0.3854,0.3214,89.09,2,2,53,"core"
"months_since_cert_n <=    5.500 & total_deductions_by_hh_size > 1330.000 & unc_rawben_rel_max <=    0.991 & utilities >   30.500","1","national","ranger","any_error",90,0.4333,0.3191,66.54,2,1,54,"core"
"medical_deductions >= 4.500 & medical_deductions < 9.500 & rawben_rel_max < 0.578","1","national","xgboost","any_error",88,0.4318,0.3165,30.7,2,2,55,"core"
"count_divisible_by_100 <=   0.500 & total_deductions_by_hh_size > 107.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",171,0.3977,0.315,65.88,2,1,56,"core"
"elderly_disabled_i >= 0.500 & rawben_rel_max >= 0.984 & rawben_rel_max < 0.998","2-3","national","xgboost","any_error",152,0.4013,0.3138,80.55,2,1,57,"core"
"expedited_i > 0.500 & months_since_cert_n > 8.500 & rawben_rel_max > 0.597 & unc_rawben_rel_max <= 0.968","4+","national","ranger","any_error",65,0.4462,0.3124,102.94,4,2,58,"core"
