"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 955.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",222,0.4144,0.3404,3,1,65,"buffer"
"married <=   0.500 & rawben_rel_max >   0.561 & rawben_rel_max <=   0.879 & shelter_expenses_by_hh_size <= 288.000","4+","state","ranger","any_error",41,0.5122,0.3401,41,14,66,"buffer"
"months_since_cert_n >  10.500 & total_deductions_by_hh_size > 218.000 & unc_rawben_rel_max <=   0.994 & utilities >  30.500","4+","national","ranger","any_error",128,0.4375,0.3401,8,5,67,"buffer"
"shelter_expenses_by_hh_size < 1580.00 & unc_rawben_rel_max >=    2.52 & utilities >=  571.00 & utilities <  875.00","1","national","xgboost","any_error",70,0.4714,0.3398,3,2,68,"buffer"
"rawben_rel_max >=   1.00 & shelter_expenses_by_hh_size < 673.00 & total_deductions_by_hh_size >= 339.00 & unc_rawben_rel_max >=   1.51","2-3","national","xgboost","any_error",162,0.4259,0.3394,14,1,69,"buffer"
"rawben_rel_max <    1 & total_deductions_by_hh_size >= 1330 & utilities <  703","1","national","xgboost","any_error",118,0.4407,0.3393,1,1,70,"buffer"
"total_deductions_by_hh_size >= 676.00 & unc_rawben_rel_max >=   1.90 & unc_rawben_rel_max <   2.23 & utilities < 415.00","1","national","xgboost","any_error",108,0.4444,0.3385,2,1,71,"buffer"
"HH_size_n >= 5.000 & months_since_cert_n >= 6.000 & percent_abawd >= 0.273 & percent_abawd < 0.667","4+","national","xgboost","any_error",56,0.4821,0.3354,2,2,72,"buffer"
"HH_size_n >= 5.000 & rawben_rel_max >= 0.871 & rawben_rel_max < 0.882","4+","national","xgboost","any_error",91,0.4505,0.3354,4,1,73,"buffer"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 970.000 & total_deductions_by_hh_size >= 535.000 & utilities < 921.000","2-3","national","xgboost","any_error",196,0.4133,0.3349,4,2,74,"buffer"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national","ranger","any_error",154,0.4221,0.3337,4,2,75,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 539.000","2-3","national","ranger","any_error",333,0.3934,0.3333,5,1,76,"buffer"
"rawben_rel_max <   0.405 & shelter_expenses_by_hh_size >= 970.000 & utilities < 680.000","2-3","national","xgboost","any_error",74,0.4595,0.3321,5,3,77,"buffer"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 182.000 & utilities <= 278.000","4+","national","ranger","any_error",82,0.4512,0.3304,3,1,78,"buffer"
"count_divisible_by_100 >   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 253.0 & utilities > 790.0","4+","national","ranger","any_error",35,0.5143,0.3295,4,2,79,"buffer"
"total_deductions_by_hh_size >  26.900 & unc_rawben_rel_max >   0.793 & unc_rawben_rel_max <=   0.886 & utilities <= 818.000","4+","state","ranger","any_error",35,0.5143,0.3295,35,17,80,"buffer"
"rawben_rel_max <   0.787 & shelter_expenses_by_hh_size < 590.000 & total_deductions_by_hh_size >= 518.000","2-3","national","xgboost","any_error",124,0.4274,0.3293,8,6,81,"buffer"
"cat_elig >=   1 & shelter_expenses_by_hh_size < 372 & total_deductions_by_hh_size >= 305 & utilities >= 473","4+","national","xgboost","any_error",85,0.4471,0.3286,11,2,82,"buffer"
"rawben_rel_max >=   0.313 & shelter_expenses_by_hh_size >= 425.000 & total_deductions_by_hh_size >= 244.000 & total_deductions_by_hh_size < 261.000","4+","national","xgboost","any_error",114,0.4298,0.3276,4,3,83,"buffer"
"months_since_cert_n >   7.500 & rawben_rel_max >   0.991 & shelter_expenses_by_hh_size <= 668.000 & unc_rawben_rel_max >   1.790","1","national","ranger","any_error",146,0.4178,0.3275,1,1,84,"buffer"
"shelter_expenses_by_hh_size < 370.000 & total_deductions_by_hh_size >= 282.000 & unc_rawben_rel_max <   0.992 & utilities >= 306.000","4+","national","xgboost","any_error",195,0.4051,0.327,10,1,85,"buffer"
"HH_size_n >=   5 & shelter_expenses_by_hh_size >= 163 & shelter_expenses_by_hh_size < 310 & total_deductions_by_hh_size >= 200","4+","national","xgboost","any_error",262,0.3931,0.3258,8,3,86,"buffer"
"months_since_cert_n >=  12.000 & rawben_rel_max >=   0.796 & rawben_rel_max <   0.972 & utilities >= 388.000","4+","national","xgboost","any_error",50,0.48,0.3258,6,2,87,"buffer"
"HH_size_n > 4.500 & married <= 0.500 & months_since_cert_n <= 3.500 & unc_rawben_rel_max <= 0.856","4+","state","ranger","any_error",33,0.5152,0.3254,33,6,88,"buffer"
"expedited_i <= 0.50 & unc_rawben_rel_max > 1.39","4+","national","ranger","any_error",33,0.5152,0.3254,1,1,89,"buffer"
"cat_elig >   0.5 & total_deductions_by_hh_size > 434.0 & utilities > 451.0","4+","national","ranger","any_error",89,0.4382,0.3229,3,1,90,"buffer"
