"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions >=   0.500 & medical_deductions <  11.500 & rawben_rel_max <   0.692 & shelter_expenses_by_hh_size >= 554.000","1","national","xgboost","any_error",106,0.4151,0.3106,29.54,2,1,61,"buffer"
"expedited_i >= 0.500 & HH_size_n >= 6.500 & months_since_cert_n >= 4.500 & rawben_rel_max >= 0.166","4+","national","xgboost","any_error",32,0.5,0.3099,110.56,2,1,62,"buffer"
"rawben_rel_max >=   0.463 & rawben_rel_max <   0.499 & total_deductions_by_hh_size >= 180.000 & utilities < 428.000","4+","national","xgboost","any_error",50,0.46,0.3081,83.78,5,4,63,"buffer"
"months_since_cert_n >=   8.500 & rawben_rel_max <   0.403 & shelter_expenses_by_hh_size >= 614.000 & total_deductions_by_hh_size >= 406.000","2-3","national","xgboost","any_error",122,0.4016,0.3047,75.94,2,1,64,"buffer"
"shelter_expenses_by_hh_size >= 348 & shelter_expenses_by_hh_size < 394 & total_deductions_by_hh_size < 274","2-3","state","xgboost","any_error",35,0.4857,0.3047,101.51,35,24,65,"buffer"
"elderly_disabled_i >=  0.5 & months_since_cert_n >=  3.5 & shelter_expenses_by_hh_size >= 64.7 & shelter_expenses_by_hh_size < 72.3","4+","national","xgboost","any_error",35,0.4857,0.3047,103.14,1,1,66,"buffer"
"expedited_i <=   0.500 & percent_abawd >   0.118 & percent_abawd <=   0.183 & shelter_expenses_by_hh_size > 238.000","4+","national","ranger","any_error",35,0.4857,0.3047,80.29,1,1,67,"buffer"
"cat_elig >   0.500 & total_deductions_by_hh_size > 606.000 & unc_rawben_rel_max <=   0.991 & utilities <= 346.000","1","national","ranger","any_error",714,0.3445,0.3045,52.96,22,15,68,"buffer"
"cat_elig >=   2.5 & total_deductions_by_hh_size < 177.0 & utilities >=  28.5 & utilities < 591.0","4+","national","xgboost","any_error",48,0.4583,0.3039,115.6,16,9,69,"buffer"
"shelter_expenses_by_hh_size > 158.000 & unc_rawben_rel_max >   0.996 & unc_rawben_rel_max <=   0.998","4+","national","ranger","any_error",48,0.4583,0.3039,89.94,1,1,70,"buffer"
