"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"elderly_disabled_i > 0.500 & percent_abawd > 0.279 & percent_abawd <= 0.675 & rawben_rel_max <= 0.974","4+","national","ranger","any_error",32,0.5,0.3099,104,1,1,102,"core"
"rawben_rel_max >=   0.957 & rawben_rel_max <   0.998 & shelter_expenses_by_hh_size >= 832.000","2-3","national","xgboost","any_error",55,0.4545,0.3095,150.93,2,1,103,"core"
"months_since_cert_n >=  12.500 & rawben_rel_max >=   0.584 & shelter_expenses_by_hh_size < 794.000 & total_deductions_by_hh_size >= 602.000","1","national","xgboost","any_error",146,0.3973,0.3084,63.38,11,3,104,"core"
"months_since_cert_n >=   9.50 & unc_rawben_rel_max >=   1.81 & unc_rawben_rel_max <   2.29 & utilities < 634.00","1","national","xgboost","any_error",244,0.377,0.3083,66.73,7,1,105,"core"
"HH_size_n > 4.500 & months_since_cert_n > 8.500 & rawben_rel_max <= 0.976 & unc_rawben_rel_max > 0.678","4+","national","ranger","any_error",392,0.3622,0.308,86.03,13,7,106,"core"
"rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 1640.000 & total_deductions_by_hh_size > 1320.000","1","national","ranger","any_error",196,0.3827,0.3061,59.68,1,1,107,"core"
"HH_size_n >   2.500 & total_deductions_by_hh_size > 522.000 & unc_rawben_rel_max <=   0.997 & utilities >  57.000","2-3","national","ranger","any_error",130,0.4,0.306,86.7,1,1,108,"core"
"unc_rawben_rel_max >=  -0.00915 & unc_rawben_rel_max <  -0.00172 & utilities >= 506.00000","1","national","xgboost","any_error",80,0.425,0.3052,80.47,4,4,109,"core"
"HH_size_n > 5.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.558 & unc_rawben_rel_max <= 0.961","4+","national","ranger","any_error",498,0.3514,0.3035,82.45,22,11,110,"core"
"rawben_rel_max >=  0.994 & rawben_rel_max <  0.997 & total_deductions_by_hh_size >= 62.200","2-3","national","xgboost","any_error",160,0.3875,0.303,66.85,4,2,111,"core"
"HH_size_n <   5.5 & months_since_cert_n >=  10.5 & total_deductions_by_hh_size >= 208.0","4+","national","xgboost","any_error",160,0.3875,0.303,86.39,7,1,112,"core"
"elderly_disabled_i >=   0.5 & total_deductions_by_hh_size >= 448.0 & utilities <  36.0","1","national","xgboost","any_error",594,0.3468,0.3029,55.09,12,1,113,"core"
"expedited_i >   0.500 & total_deductions_by_hh_size >   9.060 & total_deductions_by_hh_size <= 111.000 & unc_rawben_rel_max <=   0.948","4+","national","ranger","any_error",140,0.3929,0.3026,65.44,2,1,114,"core"
"HH_size_n >   4.500 & months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 260.000 & unc_rawben_rel_max <=   0.987","4+","national","ranger","any_error",537,0.3482,0.3021,88.51,17,8,115,"core"
"children_i >   0.5 & HH_size_n >   4.5 & months_since_cert_n >   3.5 & total_deductions_by_hh_size > 215.0","4+","national","ranger","any_error",433,0.3533,0.302,87.27,8,1,116,"core"
"married <=   0.500 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 874.000 & utilities <=   8.000","1","national","ranger","any_error",333,0.3604,0.3018,57.32,6,1,117,"core"
"married <=   0.500 & months_since_cert_n >  10.500 & total_deductions_by_hh_size > 179.000 & unc_rawben_rel_max <=   0.988","4+","national","ranger","any_error",126,0.3968,0.3017,82.15,5,1,118,"core"
"HH_size_n >   5.500 & months_since_cert_n >  10.500 & rawben_rel_max <=   0.947 & shelter_expenses_by_hh_size <= 177.000","4+","national","ranger","any_error",81,0.4198,0.3012,91.94,5,3,119,"core"
"elderly_disabled_i <=  0.500 & expedited_i >  0.500 & rawben_rel_max <=  0.535 & utilities > 18.500","1","national","ranger","any_error",112,0.4018,0.301,76.62,1,1,120,"core"
"married > 0.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.809 & rawben_rel_max <= 0.959","4+","national","ranger","any_error",226,0.3717,0.3007,91.95,8,1,121,"core"
"months_since_cert_n >=  10.500 & rawben_rel_max >=   0.882 & rawben_rel_max <   0.925 & total_deductions_by_hh_size < 215.000","4+","national","xgboost","any_error",38,0.4737,0.3007,127.39,4,3,122,"core"
"rawben_rel_max >=   0.985 & rawben_rel_max <   0.991 & unc_rawben_rel_max >=  -0.007 & utilities < 798.000","1","national","xgboost","any_error",695,0.341,0.3006,46.77,14,1,123,"core"
"HH_size_n >=   5.500 & months_since_cert_n >=  10.500 & rawben_rel_max <   0.972 & total_deductions_by_hh_size < 159.000","4+","national","xgboost","any_error",141,0.3901,0.3003,74.07,9,3,124,"core"
"cat_elig >=   0.50000 & shelter_expenses_by_hh_size >= 280.00000 & unc_rawben_rel_max >=  -0.00544 & unc_rawben_rel_max <  -0.00172","1","national","xgboost","any_error",182,0.3791,0.3001,64.65,5,1,125,"core"
"HH_size_n < 4.500 & rawben_rel_max >= 0.787 & rawben_rel_max < 0.791","4+","national","xgboost","any_error",46,0.4565,0.2994,93.57,4,4,126,"core"
"cat_elig >=   0.50000 & total_deductions_by_hh_size < 652.00000 & unc_rawben_rel_max >=  -0.00700 & unc_rawben_rel_max <  -0.00172","1","national","xgboost","any_error",248,0.3669,0.2993,63.1,6,1,127,"core"
"months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.81 & utilities <= 606.00","1","national","ranger","any_error",645,0.3411,0.2991,66.06,18,2,128,"core"
"expedited_i >  0.500 & total_deductions_by_hh_size >  9.500 & unc_rawben_rel_max <=  0.914 & utilities <= 31.500","2-3","national","ranger","any_error",110,0.4,0.2985,77.6,2,2,129,"core"
"months_since_cert_n >=  10.5 & months_since_cert_n <  18.5 & shelter_expenses_by_hh_size >= 315.0","4+","national","xgboost","any_error",198,0.3737,0.2981,77.7,4,1,130,"core"
"HH_size_n >=   5.5 & married <   0.5 & total_deductions_by_hh_size >= 182.0 & utilities >= 491.0","4+","national","xgboost","any_error",79,0.4177,0.298,102.43,4,1,131,"core"
"months_since_cert_n >   8.500 & rawben_rel_max >   0.569 & rawben_rel_max <=   0.998 & utilities > 387.000","4+","national","ranger","any_error",799,0.3354,0.2978,72.73,37,13,132,"buffer"
"months_since_cert_n >=   7.50 & total_deductions_by_hh_size >= 263.00 & unc_rawben_rel_max >=   1.48 & utilities < 419.00","1","national","xgboost","any_error",452,0.3473,0.2973,68.34,5,1,133,"buffer"
