"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
28,"core","earned_by_hh_size > 540 & expedited_i >= 1 & total_deductions_by_hh_size > 0.25 & unc_rawben_rel_max > 1.44","1","national","ranger","any_error",30,0.6,0.3926,134.63,0,0,0,2,1,18,"earned income 0.70; other element 0.11","change in circumstances 0.30; unreported source of income 0.26; other 0.22",0.333333333333333,1,0.222222222222222,0.333333333333333
29,"core","medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1","national","xgboost","any_error",41,0.561,0.3843,109.98,0,0,0,1,1,23,"medical deduction 0.69; shelter deduction 0.14","wrong include/exclude decision 0.55; wrong amount, known item 0.28",0.517241379310345,0.91304347826087,0.655172413793103,0.793103448275862
30,"buffer","earned_by_hh_size > 22.6 & gross_by_hh_size > 571 & months_since_cert_n > 4.5 & rawben_rel_max > 0.522","2-3","state","ranger","any_error",46,0.5652,0.3974,104.09,0,0,0,46,41,290,"earned income 0.49; shelter deduction 0.17; unearned income 0.12","wrong amount, known item 0.30; wrong include/exclude decision 0.19; unreported source of income 0.13; change in circumstances 0.12; other 0.11",0.390519187358916,0.720689655172414,0.4627539503386,0.494432071269488
31,"buffer","unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 384 & unearned_by_hh_size < 925","1","national","xgboost","any_error",438,0.4498,0.3954,72.06,0,0,0,11,8,197,"unearned income 0.73; shelter deduction 0.15","wrong include/exclude decision 0.48; wrong amount, known item 0.20; unreported source of income 0.17",0.489208633093525,1,0.402877697841727,0.658362989323843
32,"buffer","months_since_cert_n >= 17 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.02 & utilities < 797","1","national","xgboost","any_error",290,0.4552,0.3886,71.44,0,0,0,17,13,132,"unearned income 0.49; shelter deduction 0.36","wrong include/exclude decision 0.44; wrong amount, known item 0.21; unreported source of income 0.14",0.441025641025641,1,0.353846153846154,0.543147208121827
33,"buffer","months_since_cert_n < 7 & rawben_rel_max >= 0.0871 & shelter_expenses_by_hh_size >= 948 & unearned_by_hh_size >= 986","2-3","national","xgboost","any_error",62,0.5323,0.3883,78.45,0,0,0,8,6,33,"shelter deduction 0.43; unearned income 0.34","wrong include/exclude decision 0.45; wrong amount, known item 0.32",0.386363636363636,0.818181818181818,0.931818181818182,0.613636363636364
34,"buffer","unc_rawben_rel_max > 0.347 & unc_rawben_rel_max <= 0.585 & unearned_by_hh_size <= 305","4+","state","ranger","any_error",50,0.54,0.3803,95.46,0,0,0,50,25,672,"earned income 0.43; shelter deduction 0.17; unearned income 0.17","wrong amount, known item 0.34; wrong include/exclude decision 0.24; unreported source of income 0.09; change in circumstances 0.09",0.434034416826004,0.599702380952381,0.620458891013384,0.619183285849953
35,"buffer","shelter_expenses_by_hh_size < 1260 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.25 & unearned_by_hh_size >= 1130","1","national","xgboost","any_error",61,0.5246,0.38,95.44,0,0,0,1,1,32,"medical deduction 0.51; unearned income 0.22; shelter deduction 0.16","wrong include/exclude decision 0.61; wrong amount, known item 0.16",0.568627450980392,0.96875,0.686274509803922,0.784313725490196
36,"buffer","gross_by_hh_size > 336 & HH_size_n > 2.5 & rawben_rel_max > 0.409 & total_deductions_by_hh_size > 366","2-3","state","ranger","any_error",31,0.5806,0.3781,113.77,0,0,0,31,18,174,"earned income 0.34; dep care or child support deduction 0.19; unearned income 0.17; shelter deduction 0.16","wrong amount, known item 0.31; wrong include/exclude decision 0.30; unreported source of income 0.12; change in circumstances 0.09",0.330909090909091,0.752873563218391,0.625454545454545,0.532608695652174
37,"buffer","months_since_cert_n > 12.5 & total_deductions_by_hh_size > 110 & unc_rawben_rel_max > 0.761 & utilities <= 8","1","national","ranger","any_error",131,0.4733,0.3749,86.3,0,0,0,4,3,62,"shelter deduction 0.31; utility allowance 0.30; unearned income 0.23","wrong include/exclude decision 0.56; wrong amount, known item 0.15; change in circumstances 0.11",0.327433628318584,0.967741935483871,0.424778761061947,0.530973451327434
