"state","vocab","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_ratio"
"Missouri","ps",0.1,10445,756,75,15,0.2,0.0899,0.2633,3
"Missouri","pct",0.05,10220,756,36,9,0.25,0.0899,0.1483,3
"Missouri","pct",0.1,10220,756,75,12,0.16,0.0899,0.1766,3
"Montana","ps",0.05,7333,575,28,2,0.0714,0.1113,0.0148,3
"Montana","ps",0.1,7333,575,57,14,0.2456,0.1113,0.2562,3
"Montana","pct",0.05,5553,575,28,5,0.1786,0.1113,0.1243,3
"Montana","pct",0.1,5553,575,56,10,0.1786,0.1113,0.1903,3
"Nebraska","ps",0.05,6319,881,43,8,0.186,0.0613,0.2605,3
"Nebraska","ps",0.1,6319,881,88,12,0.1364,0.0613,0.308,3
"Nebraska","pct",0.05,7125,881,34,6,0.1765,0.0613,0.2126,3
"Nebraska","pct",0.1,7125,881,87,9,0.1034,0.0613,0.2707,3
"Nevada","ps",0.05,12628,911,44,4,0.0909,0.0911,0.0528,3
"Nevada","ps",0.1,12628,911,91,16,0.1758,0.0911,0.2067,3
"Nevada","pct",0.05,13162,911,45,7,0.1556,0.0911,0.065,3
"Nevada","pct",0.1,13162,911,91,16,0.1758,0.0911,0.1602,3
"New Hampshire","ps",0.05,8708,620,24,7,0.2917,0.1113,0.12,3
"New Hampshire","ps",0.1,8708,620,61,15,0.2459,0.1113,0.2318,3
"New Hampshire","pct",0.05,7787,620,31,5,0.1613,0.1113,0.0831,3
"New Hampshire","pct",0.1,7787,620,62,10,0.1613,0.1113,0.1397,3
"New Jersey","ps",0.05,7317,621,29,8,0.2759,0.095,0.1454,3
"New Jersey","ps",0.1,7317,621,62,12,0.1935,0.095,0.2523,3
"New Jersey","pct",0.05,7366,621,31,10,0.3226,0.095,0.1683,3
"New Jersey","pct",0.1,7366,621,62,16,0.2581,0.095,0.2797,3
"New Mexico","ps",0.05,21954,959,47,10,0.2128,0.1575,0.0714,3
"New Mexico","ps",0.1,21954,959,95,16,0.1684,0.1575,0.1138,3
"New Mexico","pct",0.05,22323,959,47,8,0.1702,0.1575,0.0579,3
"New Mexico","pct",0.1,22323,959,95,24,0.2526,0.1575,0.1756,3
"New York","ps",0.05,11476,673,31,17,0.5484,0.1456,0.2225,3
"New York","ps",0.1,11476,673,67,28,0.4179,0.1456,0.3416,3
"New York","pct",0.05,10911,673,33,16,0.4848,0.1456,0.1212,3
"New York","pct",0.1,10911,673,67,30,0.4478,0.1456,0.3229,3
"North Carolina","ps",0.05,14041,878,43,13,0.3023,0.131,0.1325,3
"North Carolina","ps",0.1,14041,878,87,26,0.2989,0.131,0.2549,3
