"target","arm","seed","budget","n_te","n_err_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","artifact_share_flagged","n_rules_deployed","n_rules_deployed_newfeat","slack"
"New Jersey","cand",117,0.05,621,59,31,4,0.129,0.095,0.046,0,115,97,0
"New Jersey","cand",117,0.1,621,59,62,11,0.1774,0.095,0.1508,0.0323,224,194,0
"New Jersey","cand",20260805,0.05,621,59,31,8,0.2581,0.095,0.1197,0,103,91,0
"New Jersey","cand",20260805,0.1,621,59,62,15,0.2419,0.095,0.233,0.0323,225,193,0
"New Jersey","cand",31415,0.05,621,59,31,6,0.1935,0.095,0.0942,0.0323,110,94,0
"New Jersey","cand",31415,0.1,621,59,62,11,0.1774,0.095,0.194,0.0323,218,187,0
"Mississippi","base",117,0.05,902,127,45,15,0.3333,0.1408,0.0993,0.1111,106,0,0
"Mississippi","base",117,0.1,902,127,90,24,0.2667,0.1408,0.1727,0.0556,169,0,0
"Mississippi","base",20260805,0.05,902,127,45,13,0.2889,0.1408,0.0924,0.1333,102,0,0
"Mississippi","base",20260805,0.1,902,127,90,24,0.2667,0.1408,0.1808,0.0667,186,0,0
"Mississippi","base",31415,0.05,902,127,45,15,0.3333,0.1408,0.102,0.1333,104,0,0
"Mississippi","base",31415,0.1,902,127,90,25,0.2778,0.1408,0.174,0.0667,170,0,0
"Mississippi","cand",117,0.05,902,127,45,14,0.3111,0.1408,0.0941,0.1333,114,97,0
"Mississippi","cand",117,0.1,902,127,90,33,0.3667,0.1408,0.2338,0.0667,206,183,0
"Mississippi","cand",20260805,0.05,902,127,45,16,0.3556,0.1408,0.1139,0.1333,97,86,0
"Mississippi","cand",20260805,0.1,902,127,90,33,0.3667,0.1408,0.2341,0.0778,206,181,0
"Mississippi","cand",31415,0.05,902,127,45,16,0.3556,0.1408,0.1393,0.1556,98,84,0
"Mississippi","cand",31415,0.1,902,127,90,34,0.3778,0.1408,0.2602,0.0778,204,177,0
