"hh_size","rule_id","n_errors_targeted","max_error_jaccard","nearest_rule","mean_error_jaccard","n_near_duplicates"
"2","rule28470",79,0.674,"rule9480",0.076,0
"2","rule19173",31,0.188,"rule23648",0.027,0
"2","rule9480",70,0.674,"rule28470",0.07,0
"2","rule24040",84,0.658,"rule24524",0.089,0
"2","rule2475",128,0.679,"rule6264",0.094,0
"2","rule28299",65,0.243,"rule14634",0.062,0
"2","rule17969",17,0.214,"rule19473",0.02,0
"2","rule23648",140,0.517,"rule6369",0.089,0
"2","rule164",58,0.373,"rule25044",0.054,0
"2","rule24524",110,0.658,"rule24040",0.094,0
"2","rule514",304,0.814,"rule25664",0.139,1
"2","rule25044",23,0.373,"rule164",0.025,0
"2","rule14634",124,0.441,"rule7108",0.083,0
"2","rule9007",21,0.271,"rule11600",0.035,0
"2","rule31479",275,0.761,"rule18446",0.134,0
"2","rule3467",73,0.322,"rule28470",0.061,0
"2","rule6369",268,0.755,"rule514",0.127,0
"2","rule25664",360,0.814,"rule514",0.139,1
"2","rule5932",35,0.286,"rule1118",0.045,0
"2","rule18446",301,0.761,"rule31479",0.128,0
"2","rule19473",51,0.225,"rule7095",0.042,0
"2","rule4270",43,0.523,"rule3995",0.066,0
"2","rule3995",56,0.719,"rule11600",0.064,0
"2","rule11600",54,0.719,"rule3995",0.06,0
"3","rule12598",11,0.769,"rule7705",0.032,0
"3","rule10134",24,0.185,"rule12962",0.014,0
"3","rule6533",19,0.359,"rule5563",0.05,0
"3","rule2046",22,0.468,"rule7899",0.049,0
"3","rule9852",16,0.097,"rule5099",0.014,0
"3","rule7705",12,0.769,"rule12598",0.033,0
"3","rule7390",19,0.233,"rule5563",0.028,0
"3","rule7574",60,0.753,"rule12189",0.106,0
"3","rule12189",68,0.931,"rule1033",0.115,1
"3","rule12962",40,0.185,"rule10134",0.014,0
"3","rule7621",25,0.159,"rule6519",0.026,0
"3","rule2830",44,0.13,"rule7574",0.033,0
"3","rule6519",70,0.3,"rule7574",0.077,0
"3","rule6727",25,0.806,"rule763",0.069,1
"3","rule1033",71,0.931,"rule12189",0.117,1
"3","rule7899",47,0.468,"rule2046",0.058,0
"3","rule9115",47,0.865,"rule2260",0.098,1
"3","rule2260",50,0.865,"rule9115",0.095,1
"3","rule5563",34,0.359,"rule6533",0.072,0
"3","rule763",31,0.806,"rule6727",0.072,1
"3","rule3889",17,0.118,"rule12548",0.017,0
