"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag","collapsed","dominated","dominated_by","pruned_conditions","rule_pruned","precision_recomputed","n_flagged_recomputed"
"1","rule11199","unc_rawben_rel_max < 1.217 & rawearn >= 4 & rawunearn >= 829 & months_since_cert_n >= 4.5",4,"INCLUDE",-0.011,0.001,0.7,88,32,56,0.364,0.04,0.026,5.45,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max < 1.217 & rawearn >= 4 & rawunearn >= 829 & months_since_cert_n >= 4.5",NA,NA
"1","rule5520","shelter_expenses >= 1280 & utilities >= 428.5 & unc_rawben_rel_max >= 1.864 & shelter_expenses < 2130",4,"INCLUDE",-0.051,0.005,1.1,134,48,86,0.358,0.061,0.065,5.37,0.067,"earned_overissuance",FALSE,FALSE,NA,"","shelter_expenses >= 1280 & utilities >= 428.5 & unc_rawben_rel_max >= 1.864 & shelter_expenses < 2130",NA,NA
"1","rule942","unc_rawben_rel_max >= 1.819 & shelter_expenses < 671.5",2,"INCLUDE",-0.068,0.005,0.6,77,27,50,0.351,0.034,0.039,5.26,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.819 & shelter_expenses < 671.5",NA,NA
"1","rule6842","rawgross < 27.5 & months_since_cert_n >= 4.5 & shelter_expenses >= 12.5",3,"INCLUDE",-0.154,0.028,3.3,397,139,258,0.35,0.175,0.203,5.25,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawgross < 27.5 & months_since_cert_n >= 4.5 & shelter_expenses >= 12.5",NA,NA
"1","rule1259","unc_rawben_rel_max >= 1.755 & months_since_cert_n >= 3.5 & utilities < 886",3,"INCLUDE",-0.061,0.01,3,362,125,237,0.345,0.158,0.186,5.18,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.755 & months_since_cert_n >= 3.5 & utilities < 886",NA,NA
"1","rule2132","elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.015 & homeless %in% c(""TRUE"")",3,"INCLUDE",-0.227,0.017,0.5,64,22,42,0.344,0.028,0.029,5.16,0.067,"earned_overissuance",FALSE,FALSE,NA,"","elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.015 & homeless %in% c(""TRUE"")",NA,NA
"1","rule5134","elderly_disabled_i %in% c(""TRUE"") & rawearn >= 1 & rawearn < 188.5 & rawben_rel_max >= 0.284",4,"INCLUDE",-0.011,0.001,0.7,85,29,56,0.341,0.037,0.026,5.12,0.067,"earned_overissuance",FALSE,FALSE,NA,"","elderly_disabled_i %in% c(""TRUE"") & rawearn >= 1 & rawearn < 188.5 & rawben_rel_max >= 0.284",NA,NA
"1","rule7932","percent_abawd < 0.5 & rawearn >= 1.5 & rawearn < 195.5 & rawben_rel_max < 0.984",4,"INCLUDE",-0.31,0.027,0.7,89,30,59,0.337,0.038,0.025,5.06,0.067,"earned_overissuance",FALSE,FALSE,NA,"","percent_abawd < 0.5 & rawearn >= 1.5 & rawearn < 195.5 & rawben_rel_max < 0.984",NA,NA
"1","rule10025","rawgross < 33 & months_since_cert_n >= 2.5 & shelter_expenses >= 12.5 & utilities < 478",4,"INCLUDE",-0.194,0.032,2.7,324,109,215,0.336,0.137,0.161,5.05,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawgross < 33 & months_since_cert_n >= 2.5 & shelter_expenses >= 12.5 & utilities < 478",NA,NA
"1","rule6171","rawunearn >= 14.5 & percent_abawd >= 0.5 & total_deductions >= 535.5",3,"INCLUDE",-0.411,0.028,0.5,54,18,36,0.333,0.023,0.023,5,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn >= 14.5 & percent_abawd >= 0.5 & total_deductions >= 535.5",NA,NA
"1","rule3212","rawunearn < 0.5 & months_since_cert_n >= 4.5 & total_deductions >= 11.5 & utilities < 76.5",4,"INCLUDE",-0.024,0.003,2.1,244,81,163,0.332,0.102,0.113,4.98,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 0.5 & months_since_cert_n >= 4.5 & total_deductions >= 11.5 & utilities < 76.5",NA,NA
"1","rule3966","unc_rawben_rel_max >= 1.714 & utilities < 465.5 & shelter_expenses < 1119",3,"INCLUDE",-0.016,0.002,1.7,202,65,137,0.322,0.082,0.091,4.83,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.714 & utilities < 465.5 & shelter_expenses < 1119",NA,NA
"1","rule737","rawearn >= 1 & unc_rawben_rel_max < 0.972 & rawgross < 1354",3,"INCLUDE",-0.129,0.026,4.3,517,162,355,0.313,0.204,0.166,4.7,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 1 & unc_rawben_rel_max < 0.972 & rawgross < 1354",NA,NA
